site_ID,Sum of alien_SppRich
101000001,0
101000002,0
101000003,0
101000004,0
101000005,0
101000006,0
101000007,0
101000008,0
101000009,0
101000010,0
103000604,0
103000711,0
103000712,0
103000713,0
103000714,0
103000715,0
103000716,0
103000717,0
103000718,0
103000719,0
103000720,0
103000721,0
103000722,0
103000723,0
104000001,0
104000002,0
104000003,0
104000005,0
104000006,0
104000009,0
104000010,0
104000012,0
104000013,0
104000014,0
104000015,0
104000016,0
104000017,0
104000018,0
104000019,0
104000020,0
104000021,0
104000023,0
104000024,0
104000025,0
104000027,0
104000028,0
104000029,0
104000030,0
104000032,0
104000033,0
104000034,0
104000035,0
104000038,0
104000043,0
104000049,0
104000051,0
104000056,0
104000058,0
104000059,0
104000060,0
104000063,0
104000066,0
104000069,0
104000071,0
104000073,0
104000075,0
104000084,0
104000086,0
104000089,0
104000090,0
104000092,0
104000094,0
104000095,0
104000100,0
104000101,0
104000103,0
104000105,0
104000110,0
104000112,0
104000118,0
104000122,0
104000123,0
104000124,0
104000127,0
104000128,0
104000131,0
104000141,0
104000142,0
104000145,0
104000146,0
104000147,0
104000148,0
104000153,0
104000155,0
104000156,0
104000159,0
104000162,0
104000163,0
104000165,0
104000166,0
104000175,0
105000004,0
105000006,0
105000009,0
105000012,0
106000006,0
106000008,0
106000009,0
107000002,0
107000003,0
107000004,0
107000006,0
107000009,0
107000010,0
107000011,0
107000026,0
107000036,0
107000046,0
107000049,0
107000050,0
107000051,0
107000054,0
107000059,0
107000063,0
107000066,0
107000068,0
107000070,0
107000071,0
107000073,0
107000074,0
107000075,0
107000076,0
107000077,0
107000078,0
107000079,0
107000080,0
107000081,0
107000085,0
107000086,0
107000087,0
107000090,0
107000092,0
107000093,0
107000094,0
107000096,0
107000097,0
107000099,0
107000100,0
107000102,0
107000104,0
107000106,0
107000109,0
107000110,0
107000111,0
107000113,0
107000114,0
107000115,0
107000116,0
107000117,0
107000119,0
107000120,0
107000122,0
107000123,0
107000124,0
107000127,0
107000128,0
107000130,0
107000133,0
107000134,0
107000135,0
107000139,0
107000140,0
107000142,0
107000143,0
107000146,0
107000148,0
107000149,0
107000151,0
107000152,0
107000154,0
107000155,0
107000156,0
107000157,0
107000158,0
107000163,0
107000165,0
107000171,0
107000172,0
107000173,0
107000178,0
107000179,0
107000181,0
107000184,0
107000192,0
107000198,0
107000200,0
107000205,0
107000215,0
107000218,0
107000219,0
107000226,0
107000227,0
107000235,0
107000243,0
107000244,0
107000245,0
107000246,0
107000247,0
108000003,0
108000004,0
108000005,0
108000008,0
108000009,0
108000017,0
108000056,0
108000092,0
108000093,0
108000097,0
108000098,0
108000099,0
108000100,0
108000101,0
108000102,0
108000103,0
108000139,0
108000151,0
108000152,0
108000153,0
108000156,0
108000159,0
108000165,0
109000015,0
109000083,0
109000298,0
109000320,0
110000001,0
110000002,0
110000003,0
110000004,0
110000005,0
110000006,0
110000007,0
110000008,0
110000013,0
110000014,0
110000015,0
110000016,0
111000001,0
111000002,0
111000003,0
111000004,0
111000005,0
111000006,0
111000007,0
111000008,0
111000009,0
111000010,0
111000011,0
111000012,0
111000013,0
111000014,0
111000015,0
111000016,0
111000017,0
111000019,0
111000020,0
111000021,0
111000022,0
111000023,0
111000024,0
111000025,0
111000026,0
111000027,0
111000028,0
111000030,0
111000031,0
111000032,0
111000033,0
111000034,0
111000035,0
111000036,0
111000037,0
111000038,0
111000039,0
111000040,0
111000041,0
111000042,0
111000043,0
111000044,0
111000046,0
111000047,0
111000048,0
111000049,0
111000050,0
111000051,0
111000052,0
111000053,0
111000054,0
111000055,0
111000056,0
111000057,0
111000058,0
111000059,0
111000060,0
111000061,0
111000062,0
111000063,0
111000064,0
111000065,0
111000066,0
111000067,0
111000068,0
111000069,0
112000001,0
113000001,0
113000002,0
113000003,0
114000018,0
114000031,0
114000085,0
114000090,0
117000054,0
119000001,0
119000002,0
119000003,0
119000004,0
119000005,0
119000006,0
119000007,0
119000008,0
119000009,0
119000010,0
121000003,0
121000004,0
121000005,0
121000007,0
121000009,0
121000010,0
121000011,0
121000013,0
121000015,0
121000016,0
121000017,0
121000019,0
121000021,0
121000028,0
121000029,0
121000034,0
121000040,0
121000042,0
121000044,0
121000045,0
121000047,0
121000049,0
121000059,0
121000073,0
121000079,0
121000083,0
121000086,0
121000087,0
121000094,0
121000096,0
121000103,0
121000108,0
121000141,0
121000142,0
121000147,0
121000151,0
121000153,0
121000154,0
121000158,0
121000160,0
121000161,0
121000162,0
121000167,0
121000168,0
121000174,0
121000178,0
121000189,0
121000192,0
121000193,0
121000197,0
121000198,0
121000202,0
121000204,0
121000206,0
121000213,0
121000214,0
121000215,0
121000216,0
121000217,0
121000219,0
121000221,0
121000223,0
121000225,0
121000228,0
121000230,0
121000231,0
121000237,0
121000241,0
121000255,0
