site,study_id,Site_name,Country,River,Data_owner,Longitude_X,Latitude_Y,sampling_method_long,unit,Starting_year,Ending_year,Year_count,Sampling_years,Min_month,Max_month,season,TaxonomicRes,abund_alienSpp,SppRich_alienSpp,abundProportion_alienSpp,SppRichProportion_alienSpp,Max of spp_richness_perYr,Min of spp_richness_perYr,total_sppRich_AllYrs,total_abund_AllYrs,ppt_Est,tmax_Est,MacrobasinID,MicrobasinID,microbasin_area_km2,strahler_streamOrder,accumulation_atPoint,elevation_atPoint,slope_atPoint,crop_meanPerc_subcatch,urban_meanPerc_subcatch,dam_impact_score_lessthan100km,ppt_mm_12moPrior,tmax_C_12moPrior
100000001,France_1,svd,France,Rhone,Thibault Datry,5.294382,45.829523,multiplate_artificial_substratum,Ind/0.12 m^2,1980,2014,35,31,5,7,summer,genus,5622,7,0.01566152,0.065420561,57,15,107,358969,-2.285986058,0.041500934,1096615,15625285,0.113677493,8,7.989452,194.4,0.004316876,0.421053,0,0.376196364,997.8571429,16.395
100000002,France_1,svg,France,Rhone,Thibault Datry,5.299435,45.8323815,multiplate_artificial_substratum,Ind/0.12 m^2,1999,2014,16,16,7,9,summer,genus,7268,6,0.15364776,0.069767442,43,10,86,47303,1.685676787,0.014460784,1096615,15624776,0.101703605,8,0.03837541,198.1,0.034091364,0.705882,0,0.364744968,982.75,16.784375
100000003,France_2,1100000,France,AUTHIE,Mathieu Floury,1.918195639,50.30448305,IBGN,Ind/sample,1998,2014,17,8,6,8,summer,family,NA,NA,NA,NA,31,20,43,23157,-3.336193173,-0.011499183,1096625,29534865,0.411318936,6,0.008300861,17.3,0.088458107,0.465185333,0.121481667,0,746.5882353,14.5367647
100000004,France_2,1133000,France,ANCRE,Mathieu Floury,2.513745757,49.9332428,IBGN,Ind/sample,1995,2014,20,9,7,9,summer,family,NA,NA,NA,NA,35,17,50,14435,2.06203281,0.015401002,1097050,28056659,0.066321293,6,375.1478,29.8,0,0.941358259,0.058641952,0,669.55,14.90833333
100000005,France_2,1137000,France,NOYE,Mathieu Floury,2.385456242,49.79422815,IBGN,Ind/sample,1997,2015,19,10,6,8,summer,family,NA,NA,NA,NA,39,15,58,32940,-1.504020937,0.013435673,1097050,27343464,0.088684043,2,0.01478342,39.6,0.001682153,0.875,0,0,666.8947368,15.1127193
100000006,France_2,1138100,France,SELLE,Mathieu Floury,2.169124882,49.71432717,IBGN,Ind/sample,1997,2015,19,10,5,7,summer,family,NA,NA,NA,NA,37,11,56,29538,-0.378874249,0.010307017,1097050,25665510,0.099930226,5,0.007501738,65.7,0.027243012,1,0,0,704.7368421,14.97324561
100000007,France_2,1138300,France,EVOISSONS,Mathieu Floury,2.016358357,49.74211763,IBGN,Ind/sample,1997,2015,19,12,5,7,summer,family,NA,NA,NA,NA,45,18,66,42819,-0.476481477,0.008991228,1097050,23561450,0.155366756,5,94.03386,89.1,0,0.607143,0,0,748.8421053,14.66140351
100000009,France_2,2005700,France,DOLLER,Mathieu Floury,7.232714668,47.74561836,IBGN,Ind/sample,1997,2016,20,12,7,9,summer,family,NA,NA,NA,NA,46,20,59,29718,-1.9563777,0.038239348,1097310,12650897,0.883353708,5,0.005773674,265.5,0.036715721,0.920842333,0.079157533,0.292029128,756.65,15.30791667
100000010,France_2,2010000,France,THUR,Mathieu Floury,7.264966594,47.82728771,IBGN,Ind/sample,1997,2016,20,11,7,8,summer,family,NA,NA,NA,NA,34,18,53,31145,-1.804144789,0.039317043,1097310,13395462,0.31705602,5,230.6924,243.6,0,0.452525333,0.547474667,0.651424306,706.15,15.55375
100000011,France_2,2013000,France,ILL,Mathieu Floury,7.398563309,47.96762657,IBGN,Ind/sample,1997,2016,20,11,7,9,summer,family,NA,NA,NA,NA,35,18,63,23674,-1.501018405,0.039617794,1097310,15177445,0.465726486,6,1319.586,202.9,0,0.711476815,0.288523185,0.430839599,654.4,15.66541667
100000012,France_2,2041650,France,ZINSEL DU NORD,Mathieu Floury,7.592563171,48.91860206,IBGN,Ind/sample,1997,2016,20,12,8,9,summer,family,NA,NA,NA,NA,38,26,57,51052,-3.010956925,0.037669173,1097310,16403912,0.157981529,4,60.84699,180.1,0,0.384920333,0.615079667,0,870.3,14.375
100000013,France_2,2045150,France,SAUER,Mathieu Floury,7.75710979,49.04431811,IBGN,Ind/sample,1997,2016,20,12,7,9,summer,family,NA,NA,NA,NA,48,26,62,22748,-3.023232169,0.038308271,1097310,15009008,0.112564588,5,93.76523,206.4,0,0,0,0,904.15,14.26083333
100000014,France_2,2047500,France,LAUTER,Mathieu Floury,7.902803052,49.04319903,IBGN,Ind/sample,1997,2016,20,13,7,9,summer,family,NA,NA,NA,NA,37,21,53,48097,-3.18852052,0.038734336,1097310,17003754,0.42211692,5,274.8339,170.5,0.034879792,0,0,0,929.85,14.34083333
100000015,France_2,2049900,France,CLEURIE,Mathieu Floury,6.703332127,48.05790591,IBGN,Ind/sample,1993,2016,24,15,7,9,summer,family,NA,NA,NA,NA,31,14,56,30534,-1.400297701,0.044688406,1097310,7617291,0.097559874,5,60.54712,465.3,0,0,0,0,1162.416667,12.74097222
100000016,France_2,2051600,France,NEUNE,Mathieu Floury,6.760989544,48.18509979,IBGN,Ind/sample,1992,2016,25,18,7,9,summer,family,NA,NA,NA,NA,48,16,67,37423,-0.014794922,0.041660256,1097310,8086833,0.143116077,5,94.46302,440.4,0,0.271111111,0,0,1000.96,13.53033333
100000017,France_2,2057600,France,BRENON,Mathieu Floury,6.139495842,48.53057291,IBGN,Ind/sample,1992,2016,25,14,6,8,summer,family,NA,NA,NA,NA,43,18,65,32700,0.629919239,0.037217949,1097310,13951315,0.216065203,5,142.1851,229.9,0,0.68421,0,0,802.64,14.89733333
100000018,France_2,2061500,France,MEURTHE,Mathieu Floury,6.975323307,48.18445676,IBGN,Ind/sample,1992,2016,25,19,7,9,summer,family,NA,NA,NA,NA,38,18,58,121985,0.194569723,0.040987179,1097310,7558422,0.27478983,5,71.75629,468.6,0,0.175154519,0,0,1003,13.223
100000019,France_2,2067600,France,VERDURETTE,Mathieu Floury,6.729182665,48.53977465,IBGN,Ind/sample,1992,2016,25,15,6,8,summer,family,NA,NA,NA,NA,44,27,66,67380,0.620523976,0.039891026,1097310,12767933,0.159185962,1,64.83933,250.2,0,0.142857,0,0,814.72,14.57866667
100000020,France_2,2067800,France,VEZOUZE,Mathieu Floury,6.628408377,48.57951326,IBGN,Ind/sample,1995,2016,22,15,7,9,summer,family,NA,NA,NA,NA,45,25,68,65074,-1.286210879,0.04700734,1097310,13751512,0.198819793,6,0.09095746,236.1,0.014686344,0.2571424,0,0.266199153,810.2727273,14.66439394
100000021,France_2,2068800,France,MORTAGNE,Mathieu Floury,6.584674714,48.39720343,IBGN,Ind/sample,1995,2016,22,15,7,9,summer,family,NA,NA,NA,NA,42,22,66,47024,-1.437358121,0.047355543,1097310,12808122,0.10261656,5,0.03055501,263.1,0.044217682,0,0,0.11001918,836.8181818,14.79621212
100000022,France_2,2077200,France,RUPT DE MAD,Mathieu Floury,5.80552266,48.90726421,IBGN,Ind/sample,1992,2016,25,15,6,8,summer,family,NA,NA,NA,NA,45,23,71,39672,0.981771297,0.034352564,1097310,14435102,0.2031639,5,0.0121973,219.8,0.00970624,0.3333336,0,0,734.68,14.76133333
100000023,France_2,2081000,France,SEILLE,Mathieu Floury,6.669578399,48.79639989,IBGN,Ind/sample,1992,2016,25,15,7,9,summer,family,NA,NA,NA,NA,33,13,57,59972,0.475356833,0.039782051,1097310,15163256,0.141411455,4,43.51727,203.2,0.008741694,0.56,0,0,791.88,14.85433333
100000024,France_2,2099800,France,BLIES,Mathieu Floury,7.08033113,49.14902585,IBGN,Ind/sample,1997,2016,20,12,7,9,summer,family,NA,NA,NA,NA,34,19,59,24851,-2.972807409,0.037399749,1097310,15507114,0.050547067,7,0.04334982,202,0.051401673,0.111111,0.411522963,0,887.35,14.65541667
100000025,France_2,2100600,France,HORN,Mathieu Floury,7.472288499,49.12728909,IBGN,Ind/sample,1995,2015,21,15,7,9,summer,family,NA,NA,NA,NA,38,22,61,37798,-2.668864536,0.042164502,1097310,12705216,0.4382873,4,79.21741,254.6,0,0.025641,0,0,878.1904762,13.95833333
100000026,France_2,2106500,France,MEUSE,Mathieu Floury,5.543815146,48.06819812,IBGN,Ind/sample,1992,2016,25,13,7,9,summer,family,NA,NA,NA,NA,35,15,65,37643,-0.020179376,0.039378205,1097310,10759455,0.0573795,3,9.663544,322,0.001078544,0,0,0,843.96,14.41066667
100000027,France_2,2106600,France,MEUSE,Mathieu Floury,5.614143274,48.24112566,IBGN,Ind/sample,1997,2016,20,12,7,9,summer,family,NA,NA,NA,NA,39,22,68,29561,-0.79070954,0.038758327,1097310,11279026,0.274471738,6,0.01164414,305.1,0.029721974,0.104167,0,0,836.2631579,14.50438596
100000028,France_2,2106900,France,VAIR,Mathieu Floury,5.733337764,48.40248554,IBGN,Ind/sample,1997,2016,20,14,7,9,summer,family,NA,NA,NA,NA,50,23,62,35986,-0.642257994,0.036365915,1097310,11910057,0.290725331,7,439.3381,284.3,0,0.5098042,0,0,794.4,14.63666667
100000029,France_2,2107900,France,MEHOLLE,Mathieu Floury,5.611098085,48.66449129,IBGN,Ind/sample,1997,2016,20,15,7,9,summer,family,NA,NA,NA,NA,46,26,70,43295,-0.676975172,0.032161654,1097310,13099046,0.09073822,4,70.53822,249.4,0,1,0,0,721.3,14.61791667
100000030,France_2,2115675,France,PIENNES,Mathieu Floury,5.746197961,49.38094467,IBGN,Ind/sample,1993,2016,24,17,7,9,summer,family,NA,NA,NA,NA,40,19,62,76792,-1.108644557,0.037525362,1097310,12921206,0.206816442,5,0.09762172,257,0.010784784,1,0,0,928.125,14.23229167
100000031,France_2,2115790,France,OTHAIN,Mathieu Floury,5.680895832,49.31679664,IBGN,Ind/sample,1993,2016,24,16,7,9,summer,family,NA,NA,NA,NA,34,11,59,96389,-1.291979179,0.036735507,1097310,13959024,0.050375306,5,84.83215,229.8,0,0.555556,0,0,874.6666667,14.59131944
100000032,France_2,2115900,France,LOISON,Mathieu Floury,5.329874291,49.48061661,IBGN,Ind/sample,1995,2016,22,15,7,9,summer,family,NA,NA,NA,NA,48,23,71,44300,0.679634829,0.031954639,1097310,16427964,0.61918597,6,0.01180041,181.5,0.019412646,0.78378401,0,0,928.5909091,14.54431818
100000033,France_2,3013300,France,VOULZIE,Mathieu Floury,3.235082367,48.48744272,IBGN,Ind/sample,1992,2016,25,17,7,9,summer,family,NA,NA,NA,NA,35,16,56,46833,0.735950188,0.028717949,1097270,25826922,0.068289898,6,107.1432,59.9,0,0.583334,0,0,610.8,16.14966667
100000034,France_2,3013660,France,AUXENCE,Mathieu Floury,3.17338224,48.44092834,IBGN,Ind/sample,1997,2016,20,10,7,9,summer,family,NA,NA,NA,NA,38,23,61,55675,-0.912502013,0.023389724,1097270,26453249,0.125313767,5,75.1337,51.7,0,1,0,0,608.3,16.34791667
100000035,France_2,3014130,France,AUBE,Mathieu Floury,5.080157244,47.77753501,IBGN,Ind/sample,1997,2015,19,14,6,7,summer,family,NA,NA,NA,NA,45,22,69,26949,0.476413613,0.028991228,1097270,10095404,0.098091989,4,30.21529,345.5,0,0.176471,0,0,836.3157895,14.35921053
100000036,France_2,3015000,France,AUBE,Mathieu Floury,4.795337458,48.14423615,IBGN,Ind/sample,1992,2015,24,18,6,8,summer,family,NA,NA,NA,NA,51,15,78,36158,-0.498527206,0.030572464,1097270,15863997,0.08020822,6,679.0743,189.6,0,0.888888889,0,0,788.375,15.28402778
100000037,France_2,3017000,France,AUBE,Mathieu Floury,4.619353377,48.27172666,IBGN,Ind/sample,1992,2011,20,18,5,7,summer,family,NA,NA,NA,NA,48,13,77,58864,-3.237655121,0.036140351,1097270,18648686,0.154303845,7,1472.732,148.3,0,0.62963,0,0,775.4,15.49333333
100000038,France_2,3047445,France,ECOLE,Mathieu Floury,2.478848762,48.3873699,IBGN,Ind/sample,1997,2016,20,13,7,9,summer,family,NA,NA,NA,NA,44,19,65,63158,-2.376256787,0.018245614,1097270,25552510,0.06272297,5,0.01087246,67.3,0.027212493,0,0,0,628,15.99583333
100000039,France_2,3051500,France,ALMONT,Mathieu Floury,2.741157253,48.55882589,IBGN,Ind/sample,1992,2011,20,17,8,10,fall,family,NA,NA,NA,NA,33,20,53,30772,-2.307165502,0.027337093,1097270,25708957,0.039779876,5,233.0327,62.1,0,0.714286,0,0,615.65,15.82708333
100000040,France_2,3052245,France,LOING,Mathieu Floury,2.78586351,47.94787752,IBGN,Ind/sample,1997,2016,20,13,6,8,summer,family,NA,NA,NA,NA,46,28,70,75813,-1.328486715,0.019216792,1097270,23552004,0.074764737,6,0.01099638,89.3,0.001078828,0.692308,0,0,660.7,16.32291667
100000041,France_2,3057000,France,OUANNE,Mathieu Floury,2.846464786,47.94822298,IBGN,Ind/sample,1993,2016,24,19,6,8,summer,family,NA,NA,NA,NA,46,23,72,79097,-0.760611341,0.028355072,1097270,22934333,0.040257215,6,0.0114625,103.3,0.064402885,0.285714,0,0,667.75,16.1375
100000042,France_2,3059000,France,LUNAIN,Mathieu Floury,2.782218824,48.29527671,IBGN,Ind/sample,1997,2016,20,13,6,8,summer,family,NA,NA,NA,NA,44,21,67,68266,-1.205657927,0.019692982,1097270,25637183,0.03998635,5,0.005715089,65,0.017234558,1,0,0,629.75,16.21958333
100000043,France_2,3066000,France,ESSONNE,Mathieu Floury,2.383070245,48.36039317,IBGN,Ind/sample,1992,2016,25,21,7,9,summer,family,NA,NA,NA,NA,46,16,70,31501,0.579553014,0.025878205,1097270,25700894,0.148330949,7,0.0698099,63.6,0.012699177,0.286324778,0.0213675,0,623,15.852
100000044,France_2,3069000,France,ESSONNE,Mathieu Floury,2.373276174,48.53753886,IBGN,Ind/sample,1992,2016,25,18,7,9,summer,family,NA,NA,NA,NA,45,23,71,51248,0.54006705,0.02499359,1097270,27063597,0.073905889,7,0.05573978,47.6,0.0390046,0.05698,0.096866,0,606.44,15.91733333
100000045,France_2,3071550,France,ORGE,Mathieu Floury,2.259468086,48.59466463,IBGN,Ind/sample,1992,2012,21,16,8,10,fall,family,NA,NA,NA,NA,29,15,54,15834,-2.147326186,0.029577922,1097270,26822112,0.022715505,7,519.7507,46.6,0,0,1,0,604.3333333,15.88174603
100000046,France_2,3075000,France,REMARDE,Mathieu Floury,2.036060474,48.56784257,IBGN,Ind/sample,1992,2015,24,20,8,10,fall,family,NA,NA,NA,NA,42,21,69,21140,-0.727107595,0.028557971,1097270,24761016,0.153405916,6,153.687,75.4,0,1,0,0,617.25,15.48402778
100000047,France_2,3076000,France,YVETTE,Mathieu Floury,2.037520931,48.70497398,IBGN,Ind/sample,1992,2016,25,20,7,9,summer,family,NA,NA,NA,NA,31,14,60,17393,0.310066971,0.022467949,1097270,24720702,0.209662322,6,0.01212353,84.9,0.081637478,0.324324,0.490490815,0,633.4,15.26133333
