site,study_id,Site_name,Country,River,Data_owner,Longitude_X,Latitude_Y,sampling_method_long,unit,Starting_year,Ending_year,Year_count,Sampling_years,Min_month,Max_month,season,TaxonomicRes,abund_alienSpp,SppRich_alienSpp,abundProportion_alienSpp,SppRichProportion_alienSpp,Max of spp_richness_perYr,Min of spp_richness_perYr,total_sppRich_AllYrs,total_abund_AllYrs,ppt_Est,tmax_Est,ppt_Est_gls,ppt_SE_gls,tmax_Est_gls,tmax_SE_gls,MacrobasinID,MicrobasinID,microbasin_area_km2,strahler_streamOrder,accumulation_atPoint,accumulation_min,accumulation_max,accumulation_range,accumulation_mean,accumulation_stddev,elevation_atPoint,elevation_min,elevation_max,elevation_range,elevation_mean,elevation_stddev,slope_atPoint,slope_min,slope_max,slope_range,slope_mean,slope_stddev,crop_meanPerc_subcatch,forest_meanPerc_subcatch,grassShrubland_meanPerc_subcatch,urban_meanPerc_subcatch,water_meanPerc_subcatch,crop_meanPerc_upstr,forest_meanPerc_upstr,grassShrubland_meanPerc_upstr,urban_meanPerc_upstr,water_meanPerc_upstr,dam_impact_score_lessthan100km,dam_minDist_km_lessthan100km,dam_num_connected_lessthan100km,dam_impact_score_AllDams,dam_minDist_km_allDams,dam_num_connected_AllDams,aet_mm_12moPrior,ppt_mm_12moPrior,tmax_C_12moPrior,tmin_C_12moPrior
100000001,France_1,svd,France,Rhone,Thibault Datry,5.294382,45.829523,multiplate_artificial_substratum,Ind/0.12 m^2,1980,2014,35,31,5,7,summer,genus,5622,7,0.01566152,0.065420561,57,15,107,358969,-2.285986058,0.041500934,-2.219595688,2.776299446,0.041318145,0.008549756,1096615,15625285,0.113677493,8,7.989452,0.00621665,15411.26172,15411.2555,3742.185677,6304.634658,194.4,193.4000092,197.4000092,4,195.1000053,1.250684203,0.004316876,0,0.029605662,0.029605662,0.010568319,0.010754093,0.421053,0,0,0,0.578947,0.251858735,0.423846429,0.199978538,0.030983287,0.04691399,0.376196364,72.45039121,2,31.71688761,72.45039121,37,682.7714286,997.8571429,16.395,6.75452381
100000002,France_1,svg,France,Rhone,Thibault Datry,5.299435,45.8323815,multiplate_artificial_substratum,Ind/0.12 m^2,1999,2014,16,16,7,9,summer,genus,7268,6,0.15364776,0.069767442,43,10,86,47303,1.685676787,0.014460784,2.279089623,8.839692252,0.006417162,0.01737173,1096615,15624776,0.101703605,8,0.03837541,0.005991725,15392.45605,15392.45006,1810.872295,4959.215458,198.1,194.1000061,203.4000092,9.300003052,197.535299,2.933165356,0.034091364,0,0.04037132,0.04037132,0.017218756,0.012150006,0.705882,0,0,0,0.294118,0.249731325,0.418051996,0.202591793,0.035847244,0.047278316,0.364744968,73.02296099,2,31.7126571,73.02296099,37,697,982.75,16.784375,7.058854167
100000003,France_2,1100000,France,AUTHIE,Mathieu Floury,1.918195639,50.30448305,IBGN,,1998,2014,17,8,6,8,summer,family,NA,NA,NA,NA,31,20,43,23157,-3.336193173,-0.011499183,2.310416826,9.899597975,-0.016673452,0.021742138,1096625,29534865,0.411318936,6,0.008300861,0.005483953,820.8556519,820.8501679,145.564808,306.516782,17.3,9.100000381,63.10000229,54.00000191,24.9066671,17.34091401,0.088458107,0,0.209216982,0.209216982,0.062401297,0.049786586,0.465185333,0,0.413333,0.121481667,0,0.874991347,0.0522259,0.055137612,0.017496306,0.000148477,0,NoDam,0,0,NoDam,0,541.8823529,746.5882353,14.5367647,7.503431372
100000004,France_2,1133000,France,ANCRE,Mathieu Floury,2.513745757,49.9332428,IBGN,,1995,2014,20,9,7,9,summer,family,NA,NA,NA,NA,35,17,50,14435,2.06203281,0.015401002,1.963843184,6.255949408,0.01425871,0.017618789,1097050,28056659,0.066321293,6,375.1478,0.005526695,375.1477966,375.1422699,93.77889637,162.4175659,29.8,29.80000114,36,6.199998856,32.85833438,2.32825342,0,0,0.104291076,0.104291076,0.035477579,0.032101931,0.941358259,0,0,0.058641952,0,0.94141468,0.021616183,0.00179963,0.025994631,0.009174,0,NoDam,0,0,NoDam,0,527.3,669.55,14.90833333,6.80875
100000005,France_2,1137000,France,NOYE,Mathieu Floury,2.385456242,49.79422815,IBGN,,1997,2015,19,10,6,8,summer,family,NA,NA,NA,NA,39,15,58,32940,-1.504020937,0.013435673,-0.125138959,7.460433025,0.009042195,0.020032031,1097050,27343464,0.088684043,2,0.01478342,0.005542639,3.938027859,3.93248522,0.446930802,0.966565161,39.6,39.5,43.70000076,4.200000763,40.62500072,1.330648232,0.001682153,0,0.033599679,0.033599679,0.009693726,0.010498232,0.875,0.125,0,0,0,1,0,0,0,0,0,NoDam,0,0,NoDam,0,530.5789474,666.8947368,15.1127193,6.862280702
100000006,France_2,1138100,France,SELLE,Mathieu Floury,2.169124882,49.71432717,IBGN,,1997,2015,19,10,5,7,summer,family,NA,NA,NA,NA,37,11,56,29538,-0.378874249,0.010307017,7.523363172,13.15272626,0.006962193,0.020706653,1097050,25665510,0.099930226,5,0.007501738,0.005551796,174.3579559,174.3524041,44.86784186,73.49718057,65.7,62.70000076,87.40000153,24.70000076,68.98889054,7.812376277,0.027243012,0,0.11805237,0.11805237,0.03357854,0.033392436,1,0,0,0,0,0.925098937,0.049911336,0.007137308,0.017854221,0,0,NoDam,0,0,NoDam,0,539.1052632,704.7368421,14.97324561,6.627192983
100000007,France_2,1138300,France,EVOISSONS,Mathieu Floury,2.016358357,49.74211763,IBGN,,1997,2015,19,12,5,7,summer,family,NA,NA,NA,NA,45,18,66,42819,-0.476481477,0.008991228,6.783545343,12.91587657,0.005766566,0.020644124,1097050,23561450,0.155366756,5,94.03386,0.005898897,94.08778381,94.08188492,13.35384038,32.67469261,89.1,88.5,158.8000031,70.30000305,111.5535736,21.96509444,0,0,0.248126211,0.248126211,0.107204255,0.078263465,0.607143,0.392857,0,0,0,0.860234053,0.078760995,0.055149042,0.005855728,0,0,NoDam,0,0,NoDam,0,549.2631579,748.8421053,14.66140351,6.421929825
100000009,France_2,2005700,France,DOLLER,Mathieu Floury,7.232714668,47.74561836,IBGN,,1997,2016,20,12,7,9,summer,family,NA,NA,NA,NA,46,20,59,29718,-1.9563777,0.038239348,-1.872934557,3.853823196,0.037679874,0.022891981,1097310,12650897,0.883353708,5,0.005773674,0.005773304,182.2484283,182.242655,40.38911197,73.90406558,265.5,256.8000183,268.1000061,11.29998779,261.4692866,2.532306888,0.036715721,0,0.036715721,0.036715721,0.011440181,0.010661828,0.920842333,0,0,0.079157533,0,0.216779965,0.691147888,0.0589078,0.027254814,0.005907196,0.292029128,70.79708722,1,22.19252872,70.79708722,30,541.95,756.65,15.30791667,6.490833333
100000010,France_2,2010000,France,THUR,Mathieu Floury,7.264966594,47.82728771,IBGN,,1997,2016,20,11,7,8,summer,family,NA,NA,NA,NA,34,18,53,31145,-1.804144789,0.039317043,-1.762015842,3.237752776,0.035587184,0.0227457,1097310,13395462,0.31705602,5,230.6924,0.005764441,230.8488007,230.8430362,54.54265084,98.01811449,243.6,243.6000061,251.3000031,7.699996948,246.8090945,2.243962333,0,0,0.080423427,0.080423427,0.027278631,0.022418832,0.452525333,0,0,0.547474667,0,0.08345162,0.832297757,0.032973533,0.048190025,0.00308635,0.651424306,34.85756942,1,24.60012768,34.85756942,33,536.45,706.15,15.55375,6.730416667
100000011,France_2,2013000,France,ILL,Mathieu Floury,7.398563309,47.96762657,IBGN,,1997,2016,20,11,7,9,summer,family,NA,NA,NA,NA,35,18,63,23674,-1.501018405,0.039617794,-1.484552651,3.226391113,0.038726601,0.022848552,1097310,15177445,0.465726486,6,1319.586,0.005749043,1319.585571,1319.579822,276.8934103,537.2346849,202.9,202.9000092,205.5,2.599990845,204.2802516,0.792309904,0,0,0.033218332,0.033218332,0.012615503,0.009628245,0.711476815,0,0,0.288523185,0,0.449420697,0.435263286,0.033390415,0.07914889,0.002777747,0.430839599,56.91604014,1,31.64402967,56.91604014,43,522.65,654.4,15.66541667,6.825
