var,Response,Estimate,Est.Error,Q2.5,Q97.5
Intercept,abund_nativeSpp,2.593124543,0.119786135,2.360657547,2.831378541
cYear,abund_nativeSpp,-0.019570579,0.005182953,-0.030053236,-0.009440455
decade_factor2000,abund_nativeSpp,0.308558517,0.040920406,0.229478326,0.387462224
decade_factor2010,abund_nativeSpp,0.327910117,0.041838279,0.246816749,0.409539478
cday_of_year,abund_nativeSpp,-0.030735819,0.007941194,-0.046556315,-0.015526807
cYear:decade_factor2000,abund_nativeSpp,0.032949484,0.00401473,0.025328117,0.040752539
cYear:decade_factor2010,abund_nativeSpp,0.018965352,0.003919849,0.011418582,0.0266141
Intercept,abundance,2.773307892,0.111492572,2.550055757,2.992492426
cYear,abundance,-0.00269185,0.004457948,-0.011537012,0.005825818
decade_factor2000,abundance,0.179765843,0.031969408,0.115841001,0.242801936
decade_factor2010,abundance,0.216936069,0.032722667,0.152337111,0.281731688
cday_of_year,abundance,-0.014330451,0.006288628,-0.026503857,-0.002008199
cYear:decade_factor2000,abundance,0.020155144,0.003108192,0.013894652,0.026184781
cYear:decade_factor2010,abundance,0.001365285,0.003251356,-0.004997428,0.007675313
Intercept,alien_Abund,0.299157081,0.181373449,-0.058446802,0.651420096
cYear,alien_Abund,0.012997621,0.013597577,-0.013642429,0.040182419
decade_factor2000,alien_Abund,0.311501813,0.07372057,0.170866511,0.453300556
decade_factor2010,alien_Abund,0.417315989,0.075985319,0.270745336,0.565457106
cday_of_year,alien_Abund,0.083188162,0.013594099,0.057310935,0.110301388
cYear:decade_factor2000,alien_Abund,0.046416893,0.007468273,0.032015044,0.060954811
cYear:decade_factor2010,alien_Abund,-0.013525823,0.007251066,-0.027701278,0.000430652
Intercept,alien_SppRich,1.124714571,0.301854885,0.529447268,1.727760979
cYear,alien_SppRich,0.057850084,0.014157679,0.030312281,0.086373647
decade_factor2000,alien_SppRich,-0.22629769,0.081318999,-0.386150302,-0.068058357
decade_factor2010,alien_SppRich,-0.132600977,0.083755717,-0.29812571,0.030462519
cday_of_year,alien_SppRich,0.051755636,0.01895498,0.015267621,0.089506864
cYear:decade_factor2000,alien_SppRich,-0.00412465,0.007974685,-0.019689792,0.010989826
cYear:decade_factor2010,alien_SppRich,-0.040808547,0.007861578,-0.056078014,-0.025562479
Intercept,E10,-0.976305728,0.025098161,-1.025177374,-0.926478144
cYear,E10,0.002997242,0.00133143,0.000404713,0.005618037
decade_factor2000,E10,-0.098745456,0.01128791,-0.120454152,-0.076607969
decade_factor2010,E10,-0.102920822,0.011622817,-0.12556268,-0.080071418
cday_of_year,E10,0.004347224,0.002008267,0.000390535,0.008294631
cYear:decade_factor2000,E10,-0.01050629,0.001086112,-0.012602207,-0.008402253
cYear:decade_factor2010,E10,-0.002602531,0.001100299,-0.004759498,-0.000387854
Intercept,EPT_Abund,2.444020028,0.131916195,2.172481103,2.698053695
cYear,EPT_Abund,0.038209125,0.005872723,0.026291167,0.049567136
decade_factor2000,EPT_Abund,-0.230148752,0.047069716,-0.320484895,-0.138747853
decade_factor2010,EPT_Abund,-0.202772959,0.047897492,-0.293691295,-0.108942547
cday_of_year,EPT_Abund,-0.045907321,0.010045672,-0.065464254,-0.02613433
cYear:decade_factor2000,EPT_Abund,-0.026818883,0.004601839,-0.035880615,-0.018109212
cYear:decade_factor2010,EPT_Abund,-0.039374636,0.004626779,-0.048358432,-0.030290704
Intercept,EPT_SppRich,10.74836588,1.331876102,7.933690045,13.14256191
cYear,EPT_SppRich,0.086448148,0.050064656,-0.01279763,0.180579264
decade_factor2000,EPT_SppRich,0.657996649,0.263584692,0.138117583,1.184433464
decade_factor2010,EPT_SppRich,0.752574756,0.271769865,0.217603822,1.28271894
cday_of_year,EPT_SppRich,-0.192226957,0.064550875,-0.318013468,-0.065225054
cYear:decade_factor2000,EPT_SppRich,0.080780099,0.025697406,0.03092097,0.131888477
cYear:decade_factor2010,EPT_SppRich,-0.101786136,0.026245517,-0.152269856,-0.04951328
Intercept,F_to,-1.113108926,0.045309912,-1.200251264,-1.022451477
cYear,F_to,-0.000559907,0.003540115,-0.007727965,0.006243077
decade_factor2000,F_to,-0.023734596,0.034418319,-0.092223112,0.043589625
decade_factor2010,F_to,-0.057522269,0.035261206,-0.126507465,0.011020432
cday_of_year,F_to,-0.020498285,0.004774582,-0.030210946,-0.01119805
cYear:decade_factor2000,F_to,-0.002892147,0.003367121,-0.009391237,0.003817648
cYear:decade_factor2010,F_to,0.00130583,0.003348355,-0.005247813,0.007735321
Intercept,FDiv,0.677793998,0.017816987,0.642631457,0.713424011
cYear,FDiv,-0.000748851,0.001154077,-0.002993904,0.001561623
decade_factor2000,FDiv,0.019132146,0.012191803,-0.00498988,0.042562713
decade_factor2010,FDiv,0.021994397,0.012363681,-0.00217846,0.045858454
cday_of_year,FDiv,-0.019391924,0.002501865,-0.024390794,-0.014423323
cYear:decade_factor2000,FDiv,-0.000225934,0.001182376,-0.002527538,0.002090616
cYear:decade_factor2010,FDiv,0.001421488,0.001177201,-0.000881456,0.003738681
Intercept,FEve,0.524309897,0.014363041,0.495875436,0.552794534
cYear,FEve,-0.001470598,0.000934818,-0.003320357,0.000388885
decade_factor2000,FEve,-0.007147148,0.008143392,-0.022723979,0.008876638
decade_factor2010,FEve,-0.018744639,0.008372735,-0.03471007,-0.002260106
cday_of_year,FEve,-0.000175926,0.001403741,-0.002874138,0.002557574
cYear:decade_factor2000,FEve,-0.002094781,0.000781151,-0.003632084,-0.000568223
cYear:decade_factor2010,FEve,0.001891075,0.000800105,0.000342518,0.003439363
Intercept,FRed,0.306724281,0.009403712,0.288476495,0.325680561
