,drivers,Response,Estimate,Est.Error,Q0.5,Q99.5,Q2.5,Q97.5,Q5,Q95,Q10,Q90
1,Intercept,spp_richness,0.194481078,0.085413936,-0.026115463,0.423010297,0.028420451,0.361670199,0.054785412,0.335663206,0.08707515,0.3050899
2,sppt_Est,spp_richness,-0.035444329,0.011083357,-0.063317602,-0.004828434,-0.056794388,-0.012953711,-0.053789519,-0.016771827,-0.049482956,-0.021198646
3,stmax_Est,spp_richness,-0.01172838,0.012925073,-0.047872728,0.015584409,-0.040748299,0.009108063,-0.035404522,0.005295542,-0.030060569,0.002028046
4,sppt_mm_12moPrior,spp_richness,0.006204397,0.011945888,-0.024383937,0.044976967,-0.014724839,0.034053071,-0.010791176,0.028496061,-0.006198569,0.022233416
5,stmax_C_12moPrior,spp_richness,0.065168613,0.021396288,0.004203184,0.121179613,0.022617212,0.106993839,0.030317275,0.10095561,0.038242475,0.092335104
6,sstrahler_streamOrder,spp_richness,-0.009809245,0.007357844,-0.029727183,0.006275053,-0.024927302,0.002298764,-0.022656075,0.000741791,-0.019659877,-0.000422324
7,saccumulation_atPoint,spp_richness,-7.46E-05,0.004367222,-0.01247377,0.012481944,-0.009024775,0.009207739,-0.007397989,0.007334218,-0.00552451,0.005389229
8,selevation_atPoint,spp_richness,0.002293373,0.009364454,-0.023932654,0.032144018,-0.015994629,0.023855471,-0.012304845,0.01928207,-0.008035196,0.014319893
9,sslope_mean,spp_richness,-0.001770162,0.006002332,-0.020317813,0.014349203,-0.015163921,0.009824766,-0.012732724,0.007712218,-0.009764709,0.005157185
10,surban_meanPerc_upstr,spp_richness,-0.011639626,0.006537393,-0.028047303,0.002845004,-0.024343493,0.000475357,-0.0223985,-0.000765888,-0.02007612,-0.002951676
11,scrop_meanPerc_upstr,spp_richness,-0.070641736,0.011176742,-0.099630012,-0.04156711,-0.092346236,-0.048493441,-0.089025678,-0.052198849,-0.084867304,-0.056516628
12,sdam_impact_score_lessthan100km,spp_richness,-0.042966447,0.006182784,-0.058981242,-0.027211689,-0.055189187,-0.030495395,-0.052895319,-0.032681549,-0.050763465,-0.035032947
13,Intercept,spp_richness_rarefied,0.036754387,0.039620982,-0.075020746,0.140498467,-0.042930045,0.114768986,-0.02957176,0.100208506,-0.012801241,0.085166707
14,sppt_Est,spp_richness_rarefied,-0.026457955,0.007469244,-0.045211994,-0.005507561,-0.04085872,-0.011426311,-0.038432993,-0.014057901,-0.035892141,-0.016858421
15,stmax_Est,spp_richness_rarefied,0.006482194,0.008140289,-0.008145231,0.0331745,-0.004349245,0.026189842,-0.0026018,0.022488769,-0.001121519,0.018205933
16,sppt_mm_12moPrior,spp_richness_rarefied,-0.003050193,0.006227789,-0.025166955,0.010855343,-0.01890427,0.006518709,-0.015687914,0.004517918,-0.011646573,0.002707759
17,stmax_C_12moPrior,spp_richness_rarefied,0.002944169,0.007055541,-0.014263209,0.029981597,-0.008340145,0.021301403,-0.005896218,0.017000655,-0.003394766,0.012318024
18,sstrahler_streamOrder,spp_richness_rarefied,-0.003244051,0.003559032,-0.014142745,0.003760972,-0.011221291,0.001905812,-0.009772335,0.001174161,-0.008253776,0.00048151
19,saccumulation_atPoint,spp_richness_rarefied,0.002061037,0.002755009,-0.003814281,0.010594897,-0.002279657,0.008393558,-0.001515747,0.007275859,-0.000776571,0.005943675
20,selevation_atPoint,spp_richness_rarefied,-0.001201602,0.004530226,-0.016957704,0.0118914,-0.012221313,0.007555223,-0.009704367,0.005360557,-0.006976475,0.003381365
21,sslope_mean,spp_richness_rarefied,-0.002129373,0.003792333,-0.014674389,0.006357657,-0.011521909,0.003809363,-0.009441818,0.002838371,-0.007378057,0.001600901
22,surban_meanPerc_upstr,spp_richness_rarefied,-0.000847672,0.002531066,-0.009149885,0.00579127,-0.006838899,0.003823233,-0.005654115,0.00289538,-0.004242598,0.001875395
23,scrop_meanPerc_upstr,spp_richness_rarefied,-0.026971969,0.006913825,-0.044635885,-0.009110099,-0.040458186,-0.013205451,-0.038342046,-0.015421574,-0.035828476,-0.018136554
24,sdam_impact_score_lessthan100km,spp_richness_rarefied,0.003041075,0.003314519,-0.003533014,0.013103908,-0.001914698,0.010501515,-0.00114098,0.009250557,-0.000426928,0.007713369
