drivers,Response,Estimate,Est.Error,Q0.5,Q99.5,Q2.5,Q97.5,Q5,Q95,Q10,Q90
Intercept,spp_richness,0.23912549,0.103381664,-0.030499171,0.477744821,0.036060115,0.416618792,0.07026902,0.406506092,0.110233114,0.391971558
sppt_Est,spp_richness,-0.004481695,0.00943622,-0.027552596,0.019306369,-0.021458607,0.014088391,-0.018983878,0.011342291,-0.016699963,0.007833449
stmax_Est,spp_richness,0.032831825,0.011643646,0.001083651,0.063615624,0.009188041,0.055576605,0.013585224,0.051726344,0.017787142,0.047462505
sppt_mm_12moPrior,spp_richness,-0.007640811,0.015043914,-0.047393643,0.030357601,-0.037680107,0.020880509,-0.032802716,0.015903423,-0.027353575,0.010692928
stmax_C_12moPrior,spp_richness,0.076215129,0.020892364,0.021478585,0.128711984,0.034156079,0.11640438,0.040686477,0.109738914,0.048752979,0.102044936
sstrahler_streamOrder,spp_richness,-0.00132008,0.007590939,-0.019620354,0.018418688,-0.014833147,0.013919482,-0.012872909,0.011447526,-0.011274644,0.008452056
saccumulation_atPoint,spp_richness,-0.007797791,0.006113015,-0.023690476,0.007791013,-0.020033504,0.003794661,-0.01815169,0.001923505,-0.015753541,-0.000337861
selevation_atPoint,spp_richness,0.018405929,0.01184508,-0.012797005,0.049367138,-0.005208151,0.042290573,-0.001287391,0.038279129,0.003209832,0.033678399
sslope_mean,spp_richness,0.016335206,0.008403042,-0.005428641,0.03813909,-0.00013852,0.033432324,0.002826657,0.030544302,0.00589816,0.027267637
sN_Est,spp_richness,0.058966836,0.01607256,0.02560053,0.099284641,0.027703276,0.089409541,0.031377686,0.084664573,0.035052678,0.079104763
sN_mean,spp_richness,0.038195363,0.014283124,-8.34E-05,0.076197704,0.009895728,0.067189758,0.014481149,0.061773918,0.019597943,0.056182942
surban_meanPerc_upstr,spp_richness,-0.013227524,0.006800996,-0.029161354,0.004858394,-0.025467862,0.000503857,-0.023533724,-0.00184468,-0.021500094,-0.00434774
scrop_meanPerc_upstr,spp_richness,-0.066810522,0.010934455,-0.094778715,-0.037998353,-0.08718761,-0.044656752,-0.083712105,-0.048374872,-0.079957521,-0.052255364
scrop_Est,spp_richness,0.001793599,0.006018569,-0.010743336,0.016345066,-0.009762995,0.013103544,-0.009162509,0.011282809,-0.00709605,0.009301354
surban_Est,spp_richness,0.016179883,0.007733575,-0.004446246,0.035765896,0.000684993,0.031178205,0.002959424,0.028531863,0.006038689,0.025845204
sdam_impact_score_lessthan100km,spp_richness,-0.039596686,0.006013701,-0.055122784,-0.023945253,-0.051564987,-0.027630177,-0.049553766,-0.029703272,-0.047434009,-0.031824755
Intercept,spp_richness_rarefied,0.072873171,0.063292233,-0.092525751,0.253861171,-0.050822162,0.202597007,-0.03078588,0.176460829,-0.006596238,0.152432481
sppt_Est,spp_richness_rarefied,-0.028817119,0.005319984,-0.042589526,-0.014986627,-0.039362207,-0.018494402,-0.037603135,-0.020207314,-0.03564253,-0.022172391
stmax_Est,spp_richness_rarefied,0.014923632,0.006271308,-0.001096202,0.030895962,0.002866647,0.027182582,0.004737459,0.025350797,0.00694407,0.023185747
sppt_mm_12moPrior,spp_richness_rarefied,-0.011225312,0.008405502,-0.033127387,0.010288576,-0.027529991,0.005486596,-0.025022888,0.002666114,-0.022109716,-0.000578451
stmax_C_12moPrior,spp_richness_rarefied,0.017758382,0.012183643,-0.013252912,0.049063699,-0.0060896,0.041815097,-0.002347396,0.037724916,0.002161771,0.033258799
sstrahler_streamOrder,spp_richness_rarefied,0.000939234,0.003905217,-0.008994838,0.010933287,-0.006728274,0.008660209,-0.005605478,0.007369994,-0.004098431,0.005924837
saccumulation_atPoint,spp_richness_rarefied,-0.00021208,0.00304871,-0.007993091,0.007654185,-0.006191804,0.005718248,-0.005276093,0.004792199,-0.004121911,0.003665345
selevation_atPoint,spp_richness_rarefied,-0.000553211,0.007066599,-0.01788135,0.017101353,-0.014346438,0.013329716,-0.012252852,0.011021281,-0.009777733,0.008573776
sslope_mean,spp_richness_rarefied,0.011278798,0.004820591,-0.000890552,0.023568623,0.001860463,0.020657511,0.003317162,0.019130238,0.005025284,0.017498187
sN_Est,spp_richness_rarefied,-0.024226685,0.00813201,-0.044876872,-0.002358229,-0.040093611,-0.008256086,-0.037591652,-0.010847199,-0.034725084,-0.013814227
sN_mean,spp_richness_rarefied,-0.007311397,0.007932899,-0.027964743,0.013401438,-0.022965021,0.007938389,-0.020334888,0.00554284,-0.017426169,0.002787815
surban_meanPerc_upstr,spp_richness_rarefied,-8.27E-06,0.003500699,-0.009030946,0.009120795,-0.006884876,0.006745804,-0.005875396,0.005659183,-0.004470106,0.004519301
scrop_meanPerc_upstr,spp_richness_rarefied,-0.037577131,0.006056448,-0.053244471,-0.022247194,-0.049582256,-0.025978363,-0.04753467,-0.027709972,-0.045367196,-0.029853457
scrop_Est,spp_richness_rarefied,0.007220959,0.00350614,-0.001758328,0.016117996,0.000334962,0.014166186,0.001482537,0.013051181,0.002772365,0.011784913
surban_Est,spp_richness_rarefied,0.002229906,0.00448814,-0.008995504,0.013764995,-0.006460849,0.011204394,-0.005262186,0.009637422,-0.003588318,0.007976782
sdam_impact_score_lessthan100km,spp_richness_rarefied,0.004189667,0.003354989,-0.004655121,0.012813466,-0.002398344,0.010759316,-0.001353152,0.009696836,-8.74E-05,0.008524443
Intercept,shannonsH,0.002910746,0.005153471,-0.011177652,0.015777726,-0.007572805,0.01283793,-0.005757469,0.011168913,-0.003694167,0.009370304
sppt_Est,shannonsH,-0.002778863,0.0002368,-0.003382521,-0.002168326,-0.003241388,-0.002313514,-0.003170056,-0.002389416,-0.003077953,-0.002473448
stmax_Est,shannonsH,-0.000869501,0.000313192,-0.001687137,-6.82E-05,-0.001483824,-0.000252823,-0.001385824,-0.000350556,-0.001274245,-0.000463843
sppt_mm_12moPrior,shannonsH,-0.000421132,0.00035247,-0.001346672,0.000487606,-0.00112268,0.000259573,-0.001000279,0.000155124,-0.000873992,3.35E-05
stmax_C_12moPrior,shannonsH,0.005706711,0.000511314,0.004393051,0.007008086,0.004698293,0.006731959,0.004860259,0.00655074,0.00505711,0.006354205
sstrahler_streamOrder,shannonsH,0.001069928,0.00018156,0.000598213,0.001529746,0.000717806,0.001427083,0.000771811,0.001370394,0.000838609,0.001304588
saccumulation_atPoint,shannonsH,-0.000567285,0.000137135,-0.000907032,-0.000207055,-0.000831345,-0.000296664,-0.000790313,-0.000337699,-0.000742791,-0.000389054
selevation_atPoint,shannonsH,0.00072226,0.000287794,4.62E-06,0.001458913,0.000167446,0.00129653,0.000247885,0.001201118,0.000356054,0.001090506
sslope_mean,shannonsH,0.001085887,0.000210156,0.000538003,0.00160939,0.000671751,0.001496791,0.000740937,0.00143365,0.000816156,0.001356013
sN_Est,shannonsH,-0.004248618,0.000319735,-0.005055878,-0.00343954,-0.004876191,-0.003630027,-0.00478024,-0.003722927,-0.004654225,-0.003841115
sN_mean,shannonsH,-0.003550099,0.000328589,-0.004403039,-0.002693249,-0.004208815,-0.002908761,-0.004092866,-0.003015659,-0.003970257,-0.003133451
surban_meanPerc_upstr,shannonsH,0.001128565,0.000177991,0.000671778,0.001591002,0.000781985,0.001476909,0.000836181,0.001421145,0.000899216,0.001355416
scrop_meanPerc_upstr,shannonsH,-0.003987042,0.000264678,-0.004687589,-0.003316949,-0.004506505,-0.003469105,-0.004420234,-0.003555155,-0.00432476,-0.003650081
scrop_Est,shannonsH,0.002431259,0.000171112,0.001988166,0.002864534,0.002090679,0.002763731,0.002150704,0.002713455,0.00221455,0.002653058
surban_Est,shannonsH,0.002085716,0.000207916,0.001569645,0.002624859,0.001683288,0.002499082,0.001745688,0.002435135,0.001823726,0.002352699
sdam_impact_score_lessthan100km,shannonsH,0.000830154,0.000151265,0.000440546,0.001214768,0.000533227,0.001128842,0.000583495,0.001081234,0.00063647,0.001027038
Intercept,E10,-0.002633607,0.001276855,-0.006373116,0.000635561,-0.005262093,-0.000171309,-0.004794514,-0.000572855,-0.004245038,-0.001058357
sppt_Est,E10,-0.000152953,3.38E-05,-0.000238721,-6.58E-05,-0.000218469,-8.68E-05,-0.000208312,-9.76E-05,-0.000196301,-0.000109331
stmax_Est,E10,-0.000373296,4.40E-05,-0.000488565,-0.000263065,-0.000459319,-0.000286894,-0.000445678,-0.000300615,-0.000429376,-0.000316926
sppt_mm_12moPrior,E10,-7.01E-06,5.02E-05,-0.000138359,0.000121417,-0.000104877,9.06E-05,-8.90E-05,7.55E-05,-7.19E-05,5.74E-05
stmax_C_12moPrior,E10,0.000283095,7.12E-05,0.000101392,0.000465009,0.000141801,0.000422388,0.00016498,0.000400336,0.000193072,0.00037406
sstrahler_streamOrder,E10,0.000220424,2.62E-05,0.000152867,0.000288211,0.00016955,0.000271319,0.000178119,0.000263439,0.000186948,0.000253702
saccumulation_atPoint,E10,-5.86E-05,2.61E-05,-0.000124933,8.86E-06,-0.000109375,-7.33E-06,-0.000101275,-1.56E-05,-9.23E-05,-2.48E-05
selevation_atPoint,E10,-3.25E-06,4.03E-05,-0.000107982,0.000102265,-8.13E-05,7.61E-05,-6.85E-05,6.29E-05,-5.50E-05,4.82E-05
