"","drivers","Response","Estimate","Est.Error","Q0.5","Q99.5","Q2.5","Q97.5","Q5","Q95","Q10","Q90"
"1","Intercept","spp_richness",0.232831018432495,0.123220909475045,-0.0877982323933941,0.588363958388254,-0.00382840449714453,0.484026597945577,0.0337834998432318,0.43934246769424,0.076850683025492,0.387355225261254
"2","sppt_Est","spp_richness",-0.00140727022151789,0.0171984634851079,-0.04572481541915,0.0421428229329325,-0.035098096009746,0.0320323434877084,-0.0295578881701178,0.026867274669726,-0.0232403522797243,0.0206183225434132
"3","stmax_Est","spp_richness",0.0354121208729113,0.0185928449521693,-0.0145266507831605,0.082445807875939,-0.000885035240257128,0.071967870046825,0.00475789884797261,0.0660017881752477,0.0114701204286668,0.0590509113915205
"4","sppt_mm_12moPrior","spp_richness",-0.00991678252100221,0.0304801100693,-0.0882593677946931,0.0699246345287386,-0.0696166433811719,0.049758636424086,-0.0605102140945068,0.0393546301228927,-0.0491798131038445,0.0288591764142558
"5","stmax_C_12moPrior","spp_richness",0.043719081923092,0.0414515110877323,-0.0632293280144824,0.155442767071546,-0.0368343348474414,0.125029592296921,-0.0241758655410988,0.112433506030803,-0.00880402111044733,0.0962917988646463
"6","sstrahler_streamOrder","spp_richness",0.0198904584698653,0.0163425868390993,-0.0218757081818185,0.0624425546397134,-0.01219820601388,0.0517790238636459,-0.00694502497325354,0.0468887016175406,-0.00061855633592423,0.0409210199868582
"7","saccumulation_atPoint","spp_richness",-0.02968894324376,0.015135400991617,-0.0675746073011887,0.00968598410938186,-0.0588125792088021,0.000197114005340951,-0.0546569402588652,-0.00459112537585495,-0.0488682745910674,-0.0103387169474377
"8","selevation_atPoint","spp_richness",-0.00870421507014801,0.0250827394506499,-0.0707127281790103,0.0571245290030009,-0.0576453648208754,0.0399859446518671,-0.0506294098879376,0.0322237626781928,-0.0409273136144392,0.0235479762328508
"9","sslope_mean","spp_richness",0.0163208352245912,0.0193417194828869,-0.0327190591422092,0.0660057924548297,-0.0212668867888292,0.0548136206229714,-0.0155578405962185,0.048104588239824,-0.00856540757182213,0.0411096905037469
"10","surban_meanPerc_upstr","spp_richness",-0.00886981542558102,0.0152622264820951,-0.0466634462665459,0.0290106896313349,-0.0387067030516816,0.0208218509318078,-0.0336539591766983,0.0164978536961573,-0.0284168974329544,0.0107311298136264
"11","scrop_meanPerc_upstr","spp_richness",-0.0346232838884267,0.0214129076275263,-0.0888576743434067,0.0196283388993032,-0.0770247214985884,0.00677219992586182,-0.0706447869738928,0.000506511309945803,-0.0622200615510231,-0.00721303108386634
