code,site_id,day,month,year,country,sampling_method,unit,spp_richness,simpsonsD,shannonsH,evennessJ,abundance,turnover
100000001_28_6_1980,100000001,28,6,1980,France,multiplate_artificial_substratum,Ind/0.12 m^2,18,0.046016353,0.152048464,0.052605158,20478,NA
100000001_23_6_1981,100000001,23,6,1981,France,multiplate_artificial_substratum,Ind/0.12 m^2,19,0.342579059,0.753084129,0.255764896,6235,0.576923077
100000001_25_7_1983,100000001,25,7,1983,France,multiplate_artificial_substratum,Ind/0.12 m^2,26,0.121475927,0.308029148,0.094542671,21941,0.548387097
100000001_9_5_1984,100000001,9,5,1984,France,multiplate_artificial_substratum,Ind/0.12 m^2,19,0.570319255,1.024469473,0.347933675,9235,0.636363636
100000001_2_7_1985,100000001,2,7,1985,France,multiplate_artificial_substratum,Ind/0.12 m^2,18,0.02427057,0.090267663,0.031230468,28878,0.678571429
100000001_19_6_1986,100000001,19,6,1986,France,multiplate_artificial_substratum,Ind/0.12 m^2,20,0.18784367,0.447143177,0.149260059,14739,0.48
100000001_11_7_1988,100000001,11,7,1988,France,multiplate_artificial_substratum,Ind/0.12 m^2,24,0.240482035,0.537659475,0.169178845,13309,0.580645161
100000001_11_5_1989,100000001,11,5,1989,France,multiplate_artificial_substratum,Ind/0.12 m^2,15,0.297825415,0.652132193,0.240812446,4360,0.555555556
100000001_25_6_1990,100000001,25,6,1990,France,multiplate_artificial_substratum,Ind/0.12 m^2,18,0.060637501,0.18261905,0.063181855,19666,0.5
100000001_9_7_1991,100000001,9,7,1991,France,multiplate_artificial_substratum,Ind/0.12 m^2,31,0.077446811,0.244882785,0.071311502,14709,0.743589744
100000001_16_7_1992,100000001,16,7,1992,France,multiplate_artificial_substratum,Ind/0.12 m^2,27,0.026762977,0.102601199,0.031130545,16756,0.585365854
100000001_22_7_1993,100000001,22,7,1993,France,multiplate_artificial_substratum,Ind/0.12 m^2,36,0.050619678,0.174069179,0.048574929,17305,0.534883721
100000001_20_7_1994,100000001,20,7,1994,France,multiplate_artificial_substratum,Ind/0.12 m^2,25,0.112676845,0.301369487,0.093625695,19467,0.475
100000001_12_7_1995,100000001,12,7,1995,France,multiplate_artificial_substratum,Ind/0.12 m^2,41,0.062182041,0.193654266,0.052147707,23053,0.5
100000001_17_7_1996,100000001,17,7,1996,France,multiplate_artificial_substratum,Ind/0.12 m^2,30,0.066643337,0.225238863,0.066223403,20952,0.607843137
100000001_23_5_1997,100000001,23,5,1997,France,multiplate_artificial_substratum,Ind/0.12 m^2,22,0.382960051,0.96377442,0.311795918,3056,0.555555556
100000001_27_5_1999,100000001,27,5,1999,France,multiplate_artificial_substratum,Ind/0.12 m^2,24,0.301567353,0.750369978,0.236109902,5820,0.516129032
100000001_4_5_2000,100000001,4,5,2000,France,multiplate_artificial_substratum,Ind/0.12 m^2,30,0.302882651,0.755173973,0.222031799,7624,0.540540541
100000001_12_6_2001,100000001,12,6,2001,France,multiplate_artificial_substratum,Ind/0.12 m^2,35,0.422944417,1.104250175,0.310588487,7551,0.522727273
100000001_15_5_2002,100000001,15,5,2002,France,multiplate_artificial_substratum,Ind/0.12 m^2,26,0.310530367,0.76517152,0.234852317,3577,0.547619048
100000001_17_5_2004,100000001,17,5,2004,France,multiplate_artificial_substratum,Ind/0.12 m^2,22,0.588597804,1.204036511,0.389524418,3748,0.628571429
100000001_9_6_2005,100000001,9,6,2005,France,multiplate_artificial_substratum,Ind/0.12 m^2,41,0.412496696,1.127620694,0.303648529,6630,0.6
100000001_1_6_2006,100000001,1,6,2006,France,multiplate_artificial_substratum,Ind/0.12 m^2,35,0.090243478,0.290048993,0.08158104,16401,0.538461538
100000001_13_6_2007,100000001,13,6,2007,France,multiplate_artificial_substratum,Ind/0.12 m^2,44,0.240721944,0.673820356,0.178061995,10954,0.509433962
100000001_27_5_2008,100000001,27,5,2008,France,multiplate_artificial_substratum,Ind/0.12 m^2,35,0.80907117,1.955235925,0.549942197,6607,0.42
100000001_28_5_2009,100000001,28,5,2009,France,multiplate_artificial_substratum,Ind/0.12 m^2,37,0.752536525,2.049796847,0.567666421,4267,0.363636364
100000001_6_5_2010,100000001,6,5,2010,France,multiplate_artificial_substratum,Ind/0.12 m^2,51,0.808454603,2.163047662,0.550138247,6296,0.428571429
100000001_8_6_2011,100000001,8,6,2011,France,multiplate_artificial_substratum,Ind/0.12 m^2,45,0.88578649,2.464585185,0.647439901,6056,0.372881356
100000001_24_5_2012,100000001,24,5,2012,France,multiplate_artificial_substratum,Ind/0.12 m^2,57,0.630748604,1.784930683,0.441481091,7458,0.454545455
100000001_25_6_2013,100000001,25,6,2013,France,multiplate_artificial_substratum,Ind/0.12 m^2,42,0.62686801,1.451757562,0.38841249,7898,0.403225806
100000001_4_6_2014,100000001,4,6,2014,France,multiplate_artificial_substratum,Ind/0.12 m^2,37,0.836840653,2.18214234,0.604317903,3943,0.354166667
100000002_21_9_1999,100000002,21,9,1999,France,multiplate_artificial_substratum,Ind/0.12 m^2,29,0.491421171,1.021910169,0.303480959,5367,NA
100000002_9_8_2000,100000002,9,8,2000,France,multiplate_artificial_substratum,Ind/0.12 m^2,22,0.145898927,0.376981451,0.121959325,4699,0.583333333
100000002_20_9_2001,100000002,20,9,2001,France,multiplate_artificial_substratum,Ind/0.12 m^2,30,0.211645753,0.636167603,0.187042248,2426,0.631578947
100000002_5_9_2002,100000002,5,9,2002,France,multiplate_artificial_substratum,Ind/0.12 m^2,10,0.124630594,0.328734907,0.142767756,1440,0.709677419
100000002_5_8_2003,100000002,5,8,2003,France,multiplate_artificial_substratum,Ind/0.12 m^2,32,0.603335226,1.456072318,0.420133663,1444,0.6875
100000002_4_8_2004,100000002,4,8,2004,France,multiplate_artificial_substratum,Ind/0.12 m^2,15,0.125406819,0.327235756,0.120838143,5178,0.72972973
100000002_29_9_2005,100000002,29,9,2005,France,multiplate_artificial_substratum,Ind/0.12 m^2,21,0.258558979,0.69913833,0.229638094,1858,0.75862069
100000002_28_8_2006,100000002,28,8,2006,France,multiplate_artificial_substratum,Ind/0.12 m^2,22,0.649108792,1.40597175,0.454853588,1221,0.696969697
100000002_28_8_2007,100000002,28,8,2007,France,multiplate_artificial_substratum,Ind/0.12 m^2,23,0.232857584,0.623971613,0.199002636,4002,0.448275862
100000002_28_8_2008,100000002,28,8,2008,France,multiplate_artificial_substratum,Ind/0.12 m^2,27,0.478797244,1.217372731,0.369366804,1596,0.529411765
100000002_29_7_2009,100000002,29,7,2009,France,multiplate_artificial_substratum,Ind/0.12 m^2,37,0.449756072,1.203851897,0.333392208,3177,0.511627907
100000002_29_7_2010,100000002,29,7,2010,France,multiplate_artificial_substratum,Ind/0.12 m^2,43,0.798979546,2.17514336,0.578310989,3315,0.431372549
100000002_30_8_2011,100000002,30,8,2011,France,multiplate_artificial_substratum,Ind/0.12 m^2,42,0.584870887,1.571368115,0.420413861,3298,0.482142857
100000002_21_8_2012,100000002,21,8,2012,France,multiplate_artificial_substratum,Ind/0.12 m^2,39,0.813238033,2.245235439,0.612855919,2305,0.5
100000002_28_8_2013,100000002,28,8,2013,France,multiplate_artificial_substratum,Ind/0.12 m^2,28,0.700151172,1.506656751,0.452150145,2520,0.543478261
100000002_28_8_2014,100000002,28,8,2014,France,multiplate_artificial_substratum,Ind/0.12 m^2,31,0.675592169,1.439895031,0.419307046,3457,0.525
100000003_31_7_1998,100000003,31,7,1998,France,IBGN,,25,0.878641286,2.413742197,0.749871175,931,NA
100000003_26_7_1999,100000003,26,7,1999,France,IBGN,,22,0.884455045,2.43531706,0.787862702,1918,0.483870968
100000003_2_8_2000,100000003,2,8,2000,France,IBGN,,24,0.719285145,1.632435692,0.513658918,2219,0.357142857
100000003_12_6_2009,100000003,12,6,2009,France,IBGN,,28,0.40589709,1.035368136,0.310715664,8199,0.470588235
100000003_9_6_2010,100000003,9,6,2010,France,IBGN,,20,0.778337155,1.816975483,0.606521317,1051,0.451612903
100000003_27_6_2011,100000003,27,6,2011,France,IBGN,,31,0.593762869,1.5281591,0.445010132,3060,0.40625
100000003_27_6_2012,100000003,27,6,2012,France,IBGN,,21,0.679189822,1.577717559,0.51821512,2979,0.424242424
100000003_5_8_2014,100000003,5,8,2014,France,IBGN,,27,0.60862398,1.430907624,0.434156083,2800,0.344827586
100000004_14_9_1995,100000004,14,9,1995,France,IBGN,,18,0.887338129,2.387059079,0.825865764,1211,NA
100000004_25_8_1997,100000004,25,8,1997,France,IBGN,,26,0.868177558,2.396050116,0.735414095,874,0.428571429
100000004_14_8_1998,100000004,14,8,1998,France,IBGN,,31,0.930347153,2.893552191,0.842621716,1420,0.416666667
100000004_11_8_1999,100000004,11,8,1999,France,IBGN,,20,0.831265501,2.167688398,0.723592164,583,0.454545455
100000004_31_7_2000,100000004,31,7,2000,France,IBGN,,27,0.88524177,2.476774221,0.751485684,996,0.433333333
