,Respi_teg,Respi_gil,Respi_pls,Respi_spi,Respi_ves,ResisForm_egg,ResisForm_coc,ResisForm_hou,ResisForm_did,ResisForm_non,Disp_aquatic_passive,Disp_aquatic_active,Disp_aerial_passive,Disp_aerial_active,AquStag_egg,AquStag_larva,AquStag_nymph,AquStag_adult,LifCycDur_ls1yr,LifCycDur_1yr,Repro_ovo,Repro_fie,Repro_cie,Repro_fic,Repro_frc,Repro_vec,Repro_tec,Repro_ase,MaxBody_s1,MaxBody_s2,MaxBody_s3,MaxBody_s4,MaxBody_s5,MaxBody_s6,MaxBody_s7,WingPair_wnb1,WingPair_wnb2,WingPair_wnb3,WingPair_wnb4,WingPair_wnb5,PropDrif_drift1,PropDrif_drift2,PropDrif_drift3,FeedType_gra,FeedType_min,FeedType_xyl,FeedType_shr,FeedType_gat,FeedType_aff,FeedType_pff,FeedType_pre,FeedType_par,FeedType_oth
taxon_10118,0.75,0.25,0,0,0,0,0,0,0,1,0.333333333,0.166666667,0.333333333,0.166666667,0.142857143,0.428571429,0.428571429,0,1,0,0,0,0,0.333333333,0.666666667,0,0,0,0,0.2,0.6,0.2,0,0,0,0,1,0,0,0,0.333333333,0.5,0.166666667,0.5,0,0,0,0.5,0,0,0,0,0
taxon_10323,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0.333333333,0.333333333,0,0.333333333,0.333333333,0.666666667,1,0,0,0,0,0,0,0,0,0,0,0.25,0.75,0,0,1,0,0,0,0,0.166666667,0.5,0.333333333,0.125,0,0,0.25,0.25,0,0,0.375,0,0
taxon_10331,0,0,0,1,0,0,0,0,1,0,0,0.5,0.5,0,0.285714286,0.428571429,0.285714286,0,1,0,0,0,0,0.6,0.2,0,0.2,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.214285714,0.5,0,0,0,0.285714286
taxon_10332,0.75,0.25,0,0,0,0,0,0,0,1,0.333333333,0.166666667,0.333333333,0.166666667,0.142857143,0.428571429,0.428571429,0,1,0,0,0,0,0.333333333,0.666666667,0,0,0,0,0.2,0.6,0.2,0,0,0,0,1,0,0,0,0.333333333,0.5,0.166666667,0.222222222,0,0,0.111111111,0.444444444,0.111111111,0,0.111111111,0,0
taxon_10339,0,0,0,1,0,0.25,0,0,0.5,0.25,0,0,0.4,0.6,0.142857143,0.428571429,0.428571429,0,1,0,0,0.75,0,0,0.25,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
taxon_10341,0.333333333,0.166666667,0,0.5,0,0,0.5,0,0,0.5,1,0,0,0,0.333333333,0.333333333,0.333333333,0,0.4,0.6,0,0.75,0,0,0,0,0.25,0,0,0,0,0,0.6,0.4,0,0,1,0,0,0,1,0,0,0,0,0,0.454545455,0.454545455,0,0,0,0,0.090909091
taxon_10344,0.333333333,0,0.333333333,0.333333333,0,0,0,0,1,0,0,1,0,0,0.333333333,0.333333333,0,0.333333333,1,0,0,0,0.6,0.4,0,0,0,0,0.75,0.25,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
taxon_10349,0,0,0,1,0,0,0,0,1,0,0.6,0.2,0.2,0,0.4,0.4,0.2,0,1,0,0,0,0,0.6,0.2,0,0.2,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
taxon_10350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.181818182,0.363636364,0,0,0.454545455,0,0
taxon_10365,0.75,0.25,0,0,0,0,0,0,0,1,0.333333333,0.166666667,0.333333333,0.166666667,0.142857143,0.428571429,0.428571429,0,1,0,0,0,0,0.333333333,0.666666667,0,0,0,0,0.2,0.6,0.2,0,0,0,0,1,0,0,0,0.333333333,0.5,0.166666667,0.1,0,0,0,0.7,0.2,0,0,0,0
