Estimate,Est.Error,l.95..CI,u.95..CI,Rhat,Bulk_ESS,Tail_ESS,country,Response,percEstimate,percEst.Error,percQ2.5,percQ97.5
-0.000696457,0.004649667,-0.00844952,0.008820037,1.574237838,9,39,Austria,abund_nativeSpp,-0.069645718,0.464966675,-0.844952001,0.882003681
-0.0017221,0.00524804,-0.012574498,0.007365409,1.795928549,7,19,Belgium,abund_nativeSpp,-0.172209953,0.524803973,-1.257449816,0.736540906
0.00029156,0.005444838,-0.009586781,0.010770527,1.479087301,9,19,Bulgaria,abund_nativeSpp,0.029156002,0.54448383,-0.958678106,1.077052699
0.002863181,0.004694519,-0.005100674,0.013431954,1.397476372,10,30,Cyprus,abund_nativeSpp,0.286318137,0.469451928,-0.510067378,1.343195435
-0.00094161,0.003420681,-0.008105497,0.006036437,1.463302598,10,49,Czech Republic,abund_nativeSpp,-0.094161046,0.342068125,-0.810549685,0.603643736
0.00073784,0.004200855,-0.006701158,0.009013357,1.333012433,12,115,Denmark,abund_nativeSpp,0.073783981,0.420085464,-0.670115758,0.901335693
7.78E-05,0.004572292,-0.006550255,0.009382432,1.474659653,9,45,Estonia,abund_nativeSpp,0.007775476,0.457229201,-0.655025545,0.938243217
0.000978453,0.004136435,-0.006956579,0.010250685,1.373672763,11,27,Finland,abund_nativeSpp,0.097845313,0.41364346,-0.695657896,1.025068549
0.003884466,0.004573406,-0.004023537,0.012168634,1.4139888,10,21,France,abund_nativeSpp,0.388446623,0.457340581,-0.402353726,1.216863392
0.002299435,0.003519653,-0.005356274,0.007645186,1.297303657,13,66,Germany,abund_nativeSpp,0.229943495,0.351965349,-0.535627434,0.764518646
0.000632518,0.004543144,-0.006195362,0.010877784,1.324966181,12,59,Hungary,abund_nativeSpp,0.063251811,0.454314436,-0.619536223,1.0877784
-0.000162797,0.003580916,-0.005856822,0.007657506,1.24538388,15,49,Ireland,abund_nativeSpp,-0.016279679,0.358091584,-0.585682232,0.765750562
0.002028697,0.004879915,-0.007286208,0.011550916,1.650246421,8,50,Italy,abund_nativeSpp,0.202869686,0.487991495,-0.728620779,1.155091593
0.000406432,0.005279573,-0.009082302,0.013700416,1.370644212,11,15,Latvia,abund_nativeSpp,0.04064315,0.527957297,-0.908230176,1.370041577
0.00238158,0.003604747,-0.004491715,0.008880721,1.425949682,10,46,Luxembourg,abund_nativeSpp,0.238158022,0.360474707,-0.449171487,0.88807205
0.003002161,0.004493032,-0.004340829,0.013352439,1.552939872,9,13,Netherlands,abund_nativeSpp,0.300216088,0.44930315,-0.434082939,1.335243876
0.001101213,0.003692148,-0.005932024,0.00783514,1.211730819,15,84,Norway,abund_nativeSpp,0.110121305,0.369214782,-0.593202382,0.783513983
0.002407242,0.003480376,-0.004745331,0.008801818,1.422368235,10,28,Portugal,abund_nativeSpp,0.240724242,0.34803764,-0.474533111,0.880181822
0.00267929,0.003199431,-0.003314808,0.009624491,1.154893527,23,22,Spain,abund_nativeSpp,0.267929017,0.319943138,-0.331480844,0.962449085
0.002075098,0.003560066,-0.004045345,0.009568289,1.184476039,17,131,Sweden,abund_nativeSpp,0.207509824,0.356006639,-0.404534494,0.956828893
0.000631609,0.005125369,-0.00643784,0.014246463,1.332156015,13,35,Switzerland,abund_nativeSpp,0.063160908,0.512536895,-0.643784035,1.42464626
