"StartYear","country","Response","TaskID"
1990,"France","FRic",1
1990,"Spain","FRic",2
1990,"Denmark","FRic",3
1990,"Germany","FRic",4
1990,"Netherlands","FRic",5
1990,"Belgium","FRic",6
1991,"France","FRic",7
1991,"Spain","FRic",8
1991,"Denmark","FRic",9
1991,"Germany","FRic",10
1991,"Portugal","FRic",11
1991,"Netherlands","FRic",12
1991,"Belgium","FRic",13
1992,"France","FRic",14
1992,"Spain","FRic",15
1992,"Denmark","FRic",16
1992,"Germany","FRic",17
1992,"UK","FRic",18
1992,"Portugal","FRic",19
1992,"Netherlands","FRic",20
1992,"Belgium","FRic",21
1993,"France","FRic",22
1993,"Spain","FRic",23
1993,"Sweden","FRic",24
1993,"Denmark","FRic",25
1993,"Germany","FRic",26
1993,"UK","FRic",27
1993,"Portugal","FRic",28
1993,"Netherlands","FRic",29
1993,"Belgium","FRic",30
1994,"France","FRic",31
1994,"Spain","FRic",32
1994,"Sweden","FRic",33
1994,"Denmark","FRic",34
1994,"Germany","FRic",35
1994,"UK","FRic",36
1994,"Portugal","FRic",37
1994,"Netherlands","FRic",38
1994,"Latvia","FRic",39
1994,"Belgium","FRic",40
1995,"France","FRic",41
1995,"Spain","FRic",42
1995,"Sweden","FRic",43
1995,"Denmark","FRic",44
1995,"Germany","FRic",45
1995,"UK","FRic",46
1995,"Portugal","FRic",47
1995,"Netherlands","FRic",48
1995,"Latvia","FRic",49
1995,"Belgium","FRic",50
1996,"France","FRic",51
1996,"Spain","FRic",52
1996,"Sweden","FRic",53
1996,"Denmark","FRic",54
1996,"Germany","FRic",55
1996,"UK","FRic",56
1996,"Portugal","FRic",57
1996,"Netherlands","FRic",58
1996,"Latvia","FRic",59
1996,"Belgium","FRic",60
1997,"France","FRic",61
1997,"Spain","FRic",62
1997,"Sweden","FRic",63
1997,"Denmark","FRic",64
1997,"Germany","FRic",65
1997,"UK","FRic",66
1997,"Portugal","FRic",67
1997,"Netherlands","FRic",68
1997,"Latvia","FRic",69
1997,"Belgium","FRic",70
1998,"France","FRic",71
1998,"Spain","FRic",72
1998,"Sweden","FRic",73
1998,"Denmark","FRic",74
1998,"Germany","FRic",75
1998,"UK","FRic",76
1998,"Portugal","FRic",77
1998,"Netherlands","FRic",78
1998,"Finland","FRic",79
1998,"Latvia","FRic",80
1998,"Belgium","FRic",81
1999,"France","FRic",82
1999,"Spain","FRic",83
1999,"Sweden","FRic",84
1999,"Denmark","FRic",85
1999,"Germany","FRic",86
1999,"UK","FRic",87
1999,"Portugal","FRic",88
1999,"Netherlands","FRic",89
1999,"Finland","FRic",90
1999,"Latvia","FRic",91
1999,"Belgium","FRic",92
2000,"France","FRic",93
2000,"Spain","FRic",94
2000,"Sweden","FRic",95
2000,"Denmark","FRic",96
2000,"Germany","FRic",97
2000,"UK","FRic",98
2000,"Portugal","FRic",99
2000,"Netherlands","FRic",100
2000,"Finland","FRic",101
2000,"Latvia","FRic",102
2000,"Belgium","FRic",103
2001,"France","FRic",104
2001,"Spain","FRic",105
2001,"Sweden","FRic",106
2001,"Denmark","FRic",107
2001,"Germany","FRic",108
2001,"UK","FRic",109
2001,"Ireland","FRic",110
2001,"Norway","FRic",111
2001,"Portugal","FRic",112
2001,"Netherlands","FRic",113
2001,"Finland","FRic",114
2001,"Latvia","FRic",115
2001,"Belgium","FRic",116
2002,"France","FRic",117
2002,"Spain","FRic",118
2002,"Sweden","FRic",119
2002,"Denmark","FRic",120
2002,"Germany","FRic",121
2002,"UK","FRic",122
2002,"Ireland","FRic",123
2002,"Norway","FRic",124
2002,"Portugal","FRic",125
2002,"Netherlands","FRic",126
2002,"Finland","FRic",127
2002,"Latvia","FRic",128
2002,"Belgium","FRic",129
2003,"France","FRic",130
2003,"Spain","FRic",131
2003,"Sweden","FRic",132
2003,"Denmark","FRic",133
2003,"Germany","FRic",134
2003,"UK","FRic",135
2003,"Ireland","FRic",136
2003,"Norway","FRic",137
2003,"Hungary","FRic",138
2003,"Portugal","FRic",139
2003,"Netherlands","FRic",140
2003,"Finland","FRic",141
2003,"Latvia","FRic",142
2003,"Belgium","FRic",143
2004,"France","FRic",144
2004,"Cyprus","FRic",145
2004,"Spain","FRic",146
2004,"Sweden","FRic",147
2004,"Denmark","FRic",148
2004,"Germany","FRic",149
2004,"UK","FRic",150
2004,"Ireland","FRic",151
2004,"Norway","FRic",152
2004,"Hungary","FRic",153
2004,"Portugal","FRic",154
2004,"Netherlands","FRic",155
2004,"Finland","FRic",156
2004,"Latvia","FRic",157
2005,"France","FRic",158
2005,"Cyprus","FRic",159
2005,"Spain","FRic",160
2005,"Sweden","FRic",161
2005,"Bulgaria","FRic",162
2005,"Denmark","FRic",163
2005,"Germany","FRic",164
2005,"UK","FRic",165
2005,"Ireland","FRic",166
2005,"Norway","FRic",167
2005,"Hungary","FRic",168
2005,"Portugal","FRic",169
2005,"Netherlands","FRic",170
2005,"Finland","FRic",171
2005,"Latvia","FRic",172
2006,"France","FRic",173
2006,"Cyprus","FRic",174
2006,"Spain","FRic",175
2006,"Sweden","FRic",176
2006,"Luxemburg","FRic",177
2006,"Denmark","FRic",178
2006,"Germany","FRic",179
2006,"UK","FRic",180
2006,"Ireland","FRic",181
2006,"Norway","FRic",182
2006,"Hungary","FRic",183
2006,"Portugal","FRic",184
2006,"Netherlands","FRic",185
2006,"Finland","FRic",186
2006,"Latvia","FRic",187
2007,"France","FRic",188
2007,"Cyprus","FRic",189
2007,"Spain","FRic",190
2007,"Sweden","FRic",191
2007,"Luxemburg","FRic",192
2007,"Denmark","FRic",193
2007,"Germany","FRic",194
2007,"UK","FRic",195
2007,"Ireland","FRic",196
2007,"Norway","FRic",197
2007,"Hungary","FRic",198
2007,"Portugal","FRic",199
2007,"Netherlands","FRic",200
2007,"Finland","FRic",201
2007,"Latvia","FRic",202
2008,"France","FRic",203
2008,"Spain","FRic",204
2008,"Sweden","FRic",205
2008,"Luxemburg","FRic",206
2008,"Bulgaria","FRic",207
2008,"Denmark","FRic",208
2008,"Germany","FRic",209
2008,"UK","FRic",210
2008,"Ireland","FRic",211
2008,"Norway","FRic",212
2008,"Italy","FRic",213
2008,"Hungary","FRic",214
2008,"Portugal","FRic",215
2008,"Netherlands","FRic",216
2008,"Finland","FRic",217
2008,"Latvia","FRic",218
2008,"Belgium","FRic",219
2009,"France","FRic",220
2009,"Estonia","FRic",221
2009,"Spain","FRic",222
2009,"Sweden","FRic",223
2009,"Luxemburg","FRic",224
2009,"Bulgaria","FRic",225
2009,"Denmark","FRic",226
2009,"Germany","FRic",227
2009,"UK","FRic",228
2009,"Ireland","FRic",229
2009,"Norway","FRic",230
2009,"Italy","FRic",231
2009,"Hungary","FRic",232
2009,"Portugal","FRic",233
2009,"Netherlands","FRic",234
2009,"Finland","FRic",235
2009,"Latvia","FRic",236
2009,"Belgium","FRic",237
2010,"France","FRic",238
2010,"Estonia","FRic",239
2010,"Spain","FRic",240
2010,"Sweden","FRic",241
2010,"Luxemburg","FRic",242
2010,"Bulgaria","FRic",243
