StartYear,Response,TaskID
1971,abundance,1
1972,abundance,2
1973,abundance,3
1974,abundance,4
1975,abundance,5
1976,abundance,6
1977,abundance,7
1978,abundance,8
1979,abundance,9
1980,abundance,10
1981,abundance,11
1982,abundance,12
1983,abundance,13
1984,abundance,14
1985,abundance,15
1986,abundance,16
1987,abundance,17
1988,abundance,18
1989,abundance,19
1990,abundance,20
1991,abundance,21
1992,abundance,22
1993,abundance,23
1994,abundance,24
1995,abundance,25
1996,abundance,26
1997,abundance,27
1998,abundance,28
1999,abundance,29
2000,abundance,30
2001,abundance,31
2002,abundance,32
2003,abundance,33
2004,abundance,34
2005,abundance,35
2006,abundance,36
2007,abundance,37
2008,abundance,38
2009,abundance,39
2010,abundance,40
2011,abundance,41
1971,spp_richness,42
1972,spp_richness,43
1973,spp_richness,44
1974,spp_richness,45
1975,spp_richness,46
1976,spp_richness,47
1977,spp_richness,48
1978,spp_richness,49
1979,spp_richness,50
1980,spp_richness,51
1981,spp_richness,52
1982,spp_richness,53
1983,spp_richness,54
1984,spp_richness,55
1985,spp_richness,56
1986,spp_richness,57
1987,spp_richness,58
1988,spp_richness,59
1989,spp_richness,60
1990,spp_richness,61
1991,spp_richness,62
1992,spp_richness,63
1993,spp_richness,64
1994,spp_richness,65
1995,spp_richness,66
1996,spp_richness,67
1997,spp_richness,68
1998,spp_richness,69
1999,spp_richness,70
2000,spp_richness,71
2001,spp_richness,72
2002,spp_richness,73
2003,spp_richness,74
2004,spp_richness,75
2005,spp_richness,76
2006,spp_richness,77
2007,spp_richness,78
2008,spp_richness,79
2009,spp_richness,80
2010,spp_richness,81
2011,spp_richness,82
