StartYear,country,TaskID,Response
2008,Austria,1,abundance
2008,Austria,2,spp_richness
2009,Austria,3,abundance
2009,Austria,4,spp_richness
2010,Austria,5,abundance
2010,Austria,6,spp_richness
2011,Austria,7,abundance
2011,Austria,8,spp_richness
1988,Belgium,9,abundance
1988,Belgium,10,spp_richness
1989,Belgium,11,abundance
1989,Belgium,12,spp_richness
1990,Belgium,13,abundance
1990,Belgium,14,spp_richness
1991,Belgium,15,abundance
1991,Belgium,16,spp_richness
1992,Belgium,17,abundance
1992,Belgium,18,spp_richness
1993,Belgium,19,abundance
1993,Belgium,20,spp_richness
1994,Belgium,21,abundance
1994,Belgium,22,spp_richness
1995,Belgium,23,abundance
1995,Belgium,24,spp_richness
1996,Belgium,25,abundance
1996,Belgium,26,spp_richness
1997,Belgium,27,abundance
1997,Belgium,28,spp_richness
1998,Belgium,29,abundance
1998,Belgium,30,spp_richness
1999,Belgium,31,abundance
1999,Belgium,32,spp_richness
2000,Belgium,33,abundance
2000,Belgium,34,spp_richness
2001,Belgium,35,abundance
2001,Belgium,36,spp_richness
2002,Belgium,37,abundance
2002,Belgium,38,spp_richness
2006,Belgium,39,abundance
2006,Belgium,40,spp_richness
2007,Belgium,41,abundance
2007,Belgium,42,spp_richness
2008,Belgium,43,abundance
2008,Belgium,44,spp_richness
2009,Belgium,45,abundance
2009,Belgium,46,spp_richness
2010,Belgium,47,abundance
2010,Belgium,48,spp_richness
2011,Belgium,49,abundance
2011,Belgium,50,spp_richness
1981,Bulgaria,51,abundance
1981,Bulgaria,52,spp_richness
1982,Bulgaria,53,abundance
1982,Bulgaria,54,spp_richness
1983,Bulgaria,55,abundance
1983,Bulgaria,56,spp_richness
1984,Bulgaria,57,abundance
1984,Bulgaria,58,spp_richness
1985,Bulgaria,59,abundance
1985,Bulgaria,60,spp_richness
2007,Bulgaria,61,abundance
2007,Bulgaria,62,spp_richness
2008,Bulgaria,63,abundance
2008,Bulgaria,64,spp_richness
2009,Bulgaria,65,abundance
2009,Bulgaria,66,spp_richness
2010,Bulgaria,67,abundance
2010,Bulgaria,68,spp_richness
2011,Bulgaria,69,abundance
2011,Bulgaria,70,spp_richness
1989,Denmark,71,abundance
1989,Denmark,72,spp_richness
1990,Denmark,73,abundance
1990,Denmark,74,spp_richness
1991,Denmark,75,abundance
1991,Denmark,76,spp_richness
1992,Denmark,77,abundance
1992,Denmark,78,spp_richness
1993,Denmark,79,abundance
1993,Denmark,80,spp_richness
1994,Denmark,81,abundance
1994,Denmark,82,spp_richness
1995,Denmark,83,abundance
1995,Denmark,84,spp_richness
1996,Denmark,85,abundance
1996,Denmark,86,spp_richness
1997,Denmark,87,abundance
1997,Denmark,88,spp_richness
1998,Denmark,89,abundance
1998,Denmark,90,spp_richness
1999,Denmark,91,abundance
1999,Denmark,92,spp_richness
2000,Denmark,93,abundance
2000,Denmark,94,spp_richness
2001,Denmark,95,abundance
2001,Denmark,96,spp_richness
2002,Denmark,97,abundance
2002,Denmark,98,spp_richness
2003,Denmark,99,abundance
2003,Denmark,100,spp_richness
2004,Denmark,101,abundance
2004,Denmark,102,spp_richness
2005,Denmark,103,abundance
2005,Denmark,104,spp_richness
2006,Denmark,105,abundance
2006,Denmark,106,spp_richness
2007,Denmark,107,abundance
2007,Denmark,108,spp_richness
2008,Denmark,109,abundance
2008,Denmark,110,spp_richness
2009,Denmark,111,abundance
2009,Denmark,112,spp_richness
2010,Denmark,113,abundance
2010,Denmark,114,spp_richness
2011,Denmark,115,abundance
2011,Denmark,116,spp_richness
2008,Estonia,117,abundance
2008,Estonia,118,spp_richness
2009,Estonia,119,abundance
2009,Estonia,120,spp_richness
2010,Estonia,121,abundance
2010,Estonia,122,spp_richness
2011,Estonia,123,abundance
2011,Estonia,124,spp_richness
1997,Finland,125,abundance
1997,Finland,126,spp_richness
1998,Finland,127,abundance
1998,Finland,128,spp_richness
1999,Finland,129,abundance
1999,Finland,130,spp_richness
2000,Finland,131,abundance
2000,Finland,132,spp_richness
2001,Finland,133,abundance
2001,Finland,134,spp_richness
2002,Finland,135,abundance
2002,Finland,136,spp_richness
2003,Finland,137,abundance
2003,Finland,138,spp_richness
2004,Finland,139,abundance
2004,Finland,140,spp_richness
2005,Finland,141,abundance
2005,Finland,142,spp_richness
2006,Finland,143,abundance
2006,Finland,144,spp_richness
2007,Finland,145,abundance
2007,Finland,146,spp_richness
2008,Finland,147,abundance
2008,Finland,148,spp_richness
1979,France,149,abundance
1979,France,150,spp_richness
1980,France,151,abundance
1980,France,152,spp_richness
1981,France,153,abundance
1981,France,154,spp_richness
1982,France,155,abundance
1982,France,156,spp_richness
1983,France,157,abundance
1983,France,158,spp_richness
1984,France,159,abundance
1984,France,160,spp_richness
1985,France,161,abundance
1985,France,162,spp_richness
1986,France,163,abundance
1986,France,164,spp_richness
1987,France,165,abundance
1987,France,166,spp_richness
1988,France,167,abundance
1988,France,168,spp_richness
1989,France,169,abundance
1989,France,170,spp_richness
1990,France,171,abundance
1990,France,172,spp_richness
1991,France,173,abundance
1991,France,174,spp_richness
1992,France,175,abundance
1992,France,176,spp_richness
1993,France,177,abundance
1993,France,178,spp_richness
1994,France,179,abundance
1994,France,180,spp_richness
1995,France,181,abundance
1995,France,182,spp_richness
1996,France,183,abundance
1996,France,184,spp_richness
1997,France,185,abundance
1997,France,186,spp_richness
1998,France,187,abundance
1998,France,188,spp_richness
1999,France,189,abundance
