country,Response,TaskID
France,spp_richness,1
France,spp_rich_rare,2
France,shannonsH,3
France,E10,4
France,abundance,5
France,turnover,6
France,F_to,7
France,FRic,8
France,FEve,9
France,FDiv,10
France,RaoQ,11
France,alien_SppRich,12
France,alien_Abund,13
France,abund_nativeSpp,14
France,SppRich_nativeSpp,15
France,EPT_SppRich,16
France,EPT_Abund,17
France,insect_SppRich,18
France,insect_Abund,19
Estonia,spp_richness,20
Estonia,spp_rich_rare,21
Estonia,shannonsH,22
Estonia,E10,23
Estonia,abundance,24
Estonia,turnover,25
Estonia,F_to,26
Estonia,FRic,27
Estonia,FEve,28
Estonia,FDiv,29
Estonia,RaoQ,30
Estonia,alien_SppRich,31
Estonia,alien_Abund,32
Estonia,abund_nativeSpp,33
Estonia,SppRich_nativeSpp,34
Estonia,EPT_SppRich,35
Estonia,EPT_Abund,36
Estonia,insect_SppRich,37
Estonia,insect_Abund,38
Cyprus,spp_richness,39
Cyprus,spp_rich_rare,40
Cyprus,shannonsH,41
Cyprus,E10,42
Cyprus,abundance,43
Cyprus,turnover,44
Cyprus,F_to,45
Cyprus,FRic,46
Cyprus,FEve,47
Cyprus,FDiv,48
Cyprus,RaoQ,49
Cyprus,alien_SppRich,50
Cyprus,alien_Abund,51
Cyprus,abund_nativeSpp,52
Cyprus,SppRich_nativeSpp,53
Cyprus,EPT_SppRich,54
Cyprus,EPT_Abund,55
Cyprus,insect_SppRich,56
Cyprus,insect_Abund,57
Spain,spp_richness,58
Spain,spp_rich_rare,59
Spain,shannonsH,60
Spain,E10,61
Spain,abundance,62
Spain,turnover,63
Spain,F_to,64
Spain,FRic,65
Spain,FEve,66
Spain,FDiv,67
Spain,RaoQ,68
Spain,alien_SppRich,69
Spain,alien_Abund,70
Spain,abund_nativeSpp,71
Spain,SppRich_nativeSpp,72
Spain,EPT_SppRich,73
Spain,EPT_Abund,74
Spain,insect_SppRich,75
Spain,insect_Abund,76
Sweden,spp_richness,77
Sweden,spp_rich_rare,78
Sweden,shannonsH,79
Sweden,E10,80
Sweden,abundance,81
Sweden,turnover,82
Sweden,F_to,83
Sweden,FRic,84
Sweden,FEve,85
Sweden,FDiv,86
Sweden,RaoQ,87
Sweden,alien_SppRich,88
Sweden,alien_Abund,89
Sweden,abund_nativeSpp,90
Sweden,SppRich_nativeSpp,91
Sweden,EPT_SppRich,92
Sweden,EPT_Abund,93
Sweden,insect_SppRich,94
Sweden,insect_Abund,95
Luxemburg,spp_richness,96
Luxemburg,spp_rich_rare,97
Luxemburg,shannonsH,98
Luxemburg,E10,99
Luxemburg,abundance,100
Luxemburg,turnover,101
Luxemburg,F_to,102
Luxemburg,FRic,103
Luxemburg,FEve,104
Luxemburg,FDiv,105
Luxemburg,RaoQ,106
Luxemburg,alien_SppRich,107
Luxemburg,alien_Abund,108
Luxemburg,abund_nativeSpp,109
Luxemburg,SppRich_nativeSpp,110
Luxemburg,EPT_SppRich,111
Luxemburg,EPT_Abund,112
Luxemburg,insect_SppRich,113
Luxemburg,insect_Abund,114
Bulgaria,spp_richness,115
Bulgaria,spp_rich_rare,116
Bulgaria,shannonsH,117
Bulgaria,E10,118
Bulgaria,abundance,119
Bulgaria,turnover,120
Bulgaria,F_to,121
Bulgaria,FRic,122
Bulgaria,FEve,123
Bulgaria,FDiv,124
Bulgaria,RaoQ,125
Bulgaria,alien_SppRich,126
Bulgaria,alien_Abund,127
Bulgaria,abund_nativeSpp,128
Bulgaria,SppRich_nativeSpp,129
Bulgaria,EPT_SppRich,130
Bulgaria,EPT_Abund,131
Bulgaria,insect_SppRich,132
Bulgaria,insect_Abund,133
Denmark,spp_richness,134
Denmark,spp_rich_rare,135
Denmark,shannonsH,136
Denmark,E10,137
Denmark,abundance,138
Denmark,turnover,139
Denmark,F_to,140
Denmark,FRic,141
Denmark,FEve,142
Denmark,FDiv,143
Denmark,RaoQ,144
Denmark,alien_SppRich,145
Denmark,alien_Abund,146
Denmark,abund_nativeSpp,147
Denmark,SppRich_nativeSpp,148
Denmark,EPT_SppRich,149
Denmark,EPT_Abund,150
Denmark,insect_SppRich,151
Denmark,insect_Abund,152
Germany,spp_richness,153
Germany,spp_rich_rare,154
Germany,shannonsH,155
Germany,E10,156
Germany,abundance,157
Germany,turnover,158
Germany,F_to,159
Germany,FRic,160
Germany,FEve,161
Germany,FDiv,162
Germany,RaoQ,163
Germany,alien_SppRich,164
Germany,alien_Abund,165
Germany,abund_nativeSpp,166
Germany,SppRich_nativeSpp,167
Germany,EPT_SppRich,168
Germany,EPT_Abund,169
Germany,insect_SppRich,170
Germany,insect_Abund,171
UK,spp_richness,172
