country,Response,TaskID
Austria,abund_nativeSpp,1
Belgium,abund_nativeSpp,2
Bulgaria,abund_nativeSpp,3
Cyprus,abund_nativeSpp,4
CzechRepublic,abund_nativeSpp,5
Denmark,abund_nativeSpp,6
Estonia,abund_nativeSpp,7
Finland,abund_nativeSpp,8
France,abund_nativeSpp,9
Germany,abund_nativeSpp,10
Hungary,abund_nativeSpp,11
Ireland,abund_nativeSpp,12
Italy,abund_nativeSpp,13
Latvia,abund_nativeSpp,14
Luxemburg,abund_nativeSpp,15
Netherlands,abund_nativeSpp,16
Norway,abund_nativeSpp,17
Portugal,abund_nativeSpp,18
Spain,abund_nativeSpp,19
Sweden,abund_nativeSpp,20
Switzerland,abund_nativeSpp,21
UK,abund_nativeSpp,22
Austria,alien_Abund,23
Belgium,alien_Abund,24
Bulgaria,alien_Abund,25
Cyprus,alien_Abund,26
CzechRepublic,alien_Abund,27
Denmark,alien_Abund,28
Estonia,alien_Abund,29
Finland,alien_Abund,30
France,alien_Abund,31
Germany,alien_Abund,32
Hungary,alien_Abund,33
Ireland,alien_Abund,34
Italy,alien_Abund,35
Latvia,alien_Abund,36
Luxemburg,alien_Abund,37
Netherlands,alien_Abund,38
Norway,alien_Abund,39
Portugal,alien_Abund,40
Spain,alien_Abund,41
Sweden,alien_Abund,42
Switzerland,alien_Abund,43
UK,alien_Abund,44
Austria,alien_SppRich,45
Belgium,alien_SppRich,46
Bulgaria,alien_SppRich,47
Cyprus,alien_SppRich,48
CzechRepublic,alien_SppRich,49
Denmark,alien_SppRich,50
Estonia,alien_SppRich,51
Finland,alien_SppRich,52
France,alien_SppRich,53
Germany,alien_SppRich,54
Hungary,alien_SppRich,55
Ireland,alien_SppRich,56
Italy,alien_SppRich,57
Latvia,alien_SppRich,58
Luxemburg,alien_SppRich,59
Netherlands,alien_SppRich,60
Norway,alien_SppRich,61
Portugal,alien_SppRich,62
Spain,alien_SppRich,63
Sweden,alien_SppRich,64
Switzerland,alien_SppRich,65
UK,alien_SppRich,66
Austria,E10,67
Belgium,E10,68
Bulgaria,E10,69
Cyprus,E10,70
CzechRepublic,E10,71
Denmark,E10,72
Estonia,E10,73
Finland,E10,74
France,E10,75
Germany,E10,76
Hungary,E10,77
Ireland,E10,78
Italy,E10,79
Latvia,E10,80
Luxemburg,E10,81
Netherlands,E10,82
Norway,E10,83
Portugal,E10,84
Spain,E10,85
Sweden,E10,86
Switzerland,E10,87
UK,E10,88
Austria,EPT_Abund,89
Belgium,EPT_Abund,90
Bulgaria,EPT_Abund,91
Cyprus,EPT_Abund,92
CzechRepublic,EPT_Abund,93
Denmark,EPT_Abund,94
Estonia,EPT_Abund,95
Finland,EPT_Abund,96
France,EPT_Abund,97
Germany,EPT_Abund,98
Hungary,EPT_Abund,99
Ireland,EPT_Abund,100
Italy,EPT_Abund,101
Latvia,EPT_Abund,102
Luxemburg,EPT_Abund,103
Netherlands,EPT_Abund,104
Norway,EPT_Abund,105
Portugal,EPT_Abund,106
Spain,EPT_Abund,107
Sweden,EPT_Abund,108
Switzerland,EPT_Abund,109
UK,EPT_Abund,110
Austria,EPT_SppRich,111
Belgium,EPT_SppRich,112
Bulgaria,EPT_SppRich,113
Cyprus,EPT_SppRich,114
CzechRepublic,EPT_SppRich,115
Denmark,EPT_SppRich,116
Estonia,EPT_SppRich,117
Finland,EPT_SppRich,118
France,EPT_SppRich,119
Germany,EPT_SppRich,120
Hungary,EPT_SppRich,121
Ireland,EPT_SppRich,122
Italy,EPT_SppRich,123
Latvia,EPT_SppRich,124
Luxemburg,EPT_SppRich,125
Netherlands,EPT_SppRich,126
Norway,EPT_SppRich,127
Portugal,EPT_SppRich,128
Spain,EPT_SppRich,129
Sweden,EPT_SppRich,130
Switzerland,EPT_SppRich,131
UK,EPT_SppRich,132
Austria,F_to,133
Belgium,F_to,134
Bulgaria,F_to,135
Cyprus,F_to,136
CzechRepublic,F_to,137
Denmark,F_to,138
Estonia,F_to,139
Finland,F_to,140
France,F_to,141
Germany,F_to,142
Hungary,F_to,143
Ireland,F_to,144
Italy,F_to,145
Latvia,F_to,146
Luxemburg,F_to,147
Netherlands,F_to,148
Norway,F_to,149
Portugal,F_to,150
Spain,F_to,151
Sweden,F_to,152
Switzerland,F_to,153
UK,F_to,154
Austria,FDiv,155
Belgium,FDiv,156
Bulgaria,FDiv,157
Cyprus,FDiv,158
CzechRepublic,FDiv,159
Denmark,FDiv,160
Estonia,FDiv,161
Finland,FDiv,162
France,FDiv,163
Germany,FDiv,164
Hungary,FDiv,165
Ireland,FDiv,166
Italy,FDiv,167
Latvia,FDiv,168
Luxemburg,FDiv,169
Netherlands,FDiv,170
Norway,FDiv,171
Portugal,FDiv,172
Spain,FDiv,173
Sweden,FDiv,174
Switzerland,FDiv,175
UK,FDiv,176
Austria,FEve,177
Belgium,FEve,178
Bulgaria,FEve,179
Cyprus,FEve,180
CzechRepublic,FEve,181
Denmark,FEve,182
Estonia,FEve,183
Finland,FEve,184
France,FEve,185
Germany,FEve,186
Hungary,FEve,187
Ireland,FEve,188
Italy,FEve,189
Latvia,FEve,190
Luxemburg,FEve,191
Netherlands,FEve,192
Norway,FEve,193
Portugal,FEve,194
Spain,FEve,195
Sweden,FEve,196
Switzerland,FEve,197
UK,FEve,198
Austria,FRic,199
Belgium,FRic,200
Bulgaria,FRic,201
Cyprus,FRic,202
CzechRepublic,FRic,203
Denmark,FRic,204
Estonia,FRic,205
Finland,FRic,206
France,FRic,207
Germany,FRic,208
Hungary,FRic,209
Ireland,FRic,210
Italy,FRic,211
Latvia,FRic,212
Luxemburg,FRic,213
Netherlands,FRic,214
Norway,FRic,215
Portugal,FRic,216
Spain,FRic,217
Sweden,FRic,218
Switzerland,FRic,219
UK,FRic,220
Austria,insect_Abund,221
Belgium,insect_Abund,222
Bulgaria,insect_Abund,223
Cyprus,insect_Abund,224
CzechRepublic,insect_Abund,225
Denmark,insect_Abund,226
Estonia,insect_Abund,227
Finland,insect_Abund,228
France,insect_Abund,229
Germany,insect_Abund,230
Hungary,insect_Abund,231
Ireland,insect_Abund,232
Italy,insect_Abund,233
Latvia,insect_Abund,234
Luxemburg,insect_Abund,235
Netherlands,insect_Abund,236
Norway,insect_Abund,237
Portugal,insect_Abund,238
Spain,insect_Abund,239
Sweden,insect_Abund,240
Switzerland,insect_Abund,241
UK,insect_Abund,242
Austria,insect_SppRich,243
Belgium,insect_SppRich,244
Bulgaria,insect_SppRich,245
Cyprus,insect_SppRich,246
CzechRepublic,insect_SppRich,247
Denmark,insect_SppRich,248
Estonia,insect_SppRich,249
Finland,insect_SppRich,250
France,insect_SppRich,251
Germany,insect_SppRich,252
Hungary,insect_SppRich,253
Ireland,insect_SppRich,254
Italy,insect_SppRich,255
Latvia,insect_SppRich,256
Luxemburg,insect_SppRich,257
Netherlands,insect_SppRich,258
Norway,insect_SppRich,259
Portugal,insect_SppRich,260
Spain,insect_SppRich,261
Sweden,insect_SppRich,262
Switzerland,insect_SppRich,263
UK,insect_SppRich,264
Austria,RaoQ,265
Belgium,RaoQ,266
Bulgaria,RaoQ,267
Cyprus,RaoQ,268
CzechRepublic,RaoQ,269
Denmark,RaoQ,270
Estonia,RaoQ,271
Finland,RaoQ,272
France,RaoQ,273
Germany,RaoQ,274
Hungary,RaoQ,275
Ireland,RaoQ,276
Italy,RaoQ,277
Latvia,RaoQ,278
Luxemburg,RaoQ,279
Netherlands,RaoQ,280
Norway,RaoQ,281
Portugal,RaoQ,282
Spain,RaoQ,283
Sweden,RaoQ,284
Switzerland,RaoQ,285
UK,RaoQ,286
Austria,SppRich_nativeSpp,287
Belgium,SppRich_nativeSpp,288
Bulgaria,SppRich_nativeSpp,289
Cyprus,SppRich_nativeSpp,290
CzechRepublic,SppRich_nativeSpp,291
Denmark,SppRich_nativeSpp,292
Estonia,SppRich_nativeSpp,293
Finland,SppRich_nativeSpp,294
France,SppRich_nativeSpp,295
Germany,SppRich_nativeSpp,296
Hungary,SppRich_nativeSpp,297
Ireland,SppRich_nativeSpp,298
Italy,SppRich_nativeSpp,299
Latvia,SppRich_nativeSpp,300
Luxemburg,SppRich_nativeSpp,301
Netherlands,SppRich_nativeSpp,302
Norway,SppRich_nativeSpp,303
Portugal,SppRich_nativeSpp,304
Spain,SppRich_nativeSpp,305
Sweden,SppRich_nativeSpp,306
Switzerland,SppRich_nativeSpp,307
UK,SppRich_nativeSpp,308
Austria,turnover,309
Belgium,turnover,310
Bulgaria,turnover,311
Cyprus,turnover,312
CzechRepublic,turnover,313
Denmark,turnover,314
Estonia,turnover,315
