resolution,response,Estimate,Est.Error,Q2.5,Q97.5
Family,abundance,0.020902804,0.033324766,-0.045754591,0.088136522
Family,alienAbund,0.015374308,0.754888175,-1.730152775,1.624247168
Family,alienSppRich,0.103312109,0.745194485,-1.536386814,1.645640177
Family,E10,-0.005274563,0.002788451,-0.010893259,9.77E-05
Family,EPTAbund,0.008470324,0.0483503,-0.059861254,0.149867426
Family,EPTSppRich,0.197705092,0.179430135,0.035866705,0.51449181
Family,Fto,-0.005879416,0.03027296,-0.06907157,0.058102314
Family,FDiv,-0.004064561,0.036780384,-0.080340846,0.073865169
Family,FEve,-0.009090903,0.014172634,-0.041304264,0.016496949
Family,FRed,0.018227001,0.032983967,-0.003586596,0.087106125
Family,FRic,0.00553432,0.015680934,-0.024029328,0.043918451
Family,insectAbund,0.026128399,0.039586121,-0.066702305,0.086486527
Family,insectSppRich,0.083897541,0.185072035,-0.299901042,0.44793273
Family,RaoQ,-0.087501878,0.30559197,-0.750459259,0.513968334
Family,shannonsH,-0.017040962,0.025896624,-0.0722733,0.037361024
Family,SppRichRare,-0.079822636,0.198431589,-0.474556954,0.320200727
Family,SppRich,0.148792139,0.163481214,-0.188350657,0.462788624
Family,turnover,-0.002210144,0.008318464,-0.015759161,0.015095966
Family,unweightedabundance,0.023985365,0.034089463,-0.043721635,0.094948628
Family,unweightedalienAbund,0.107925668,1.278327354,-3.251948629,3.627926355
Family,unweightedalienSppRich,0.08403057,0.865827534,-1.695275872,2.050994093
Family,unweightedE10,-0.004763247,0.002296825,-0.011072184,-0.000840341
Family,unweightedEPTAbund,0.033697164,0.041863444,-0.057027002,0.117431329
Family,unweightedEPTSppRich,0.049959144,0.092034491,-0.141327394,0.236853783
Family,unweightedFto,-0.017464842,0.039773546,-0.109527797,0.045941038
Family,unweightedFDiv,0.000630747,0.017537819,-0.032836218,0.032275519
Family,unweightedFEve,-0.007220693,0.013899437,-0.035392323,0.02119875
Family,unweightedFRed,-0.002334305,0.004462501,-0.011344063,0.007073641
Family,unweightedFRic,0.01297031,0.014936223,-0.020583442,0.042070821
Family,unweightedinsectAbund,0.025503451,0.039544206,-0.055622904,0.108476895
Family,unweightedinsectSppRich,0.123585757,0.173131893,-0.250436161,0.467521725
Family,unweightedRaoQ,-0.072208441,0.343186333,-0.776302451,0.653111404
Family,unweightedshannonsH,-0.012071185,0.021999868,-0.05810734,0.032569922
Family,unweightedSppRichRare,-0.061078294,0.18530017,-0.46751877,0.299132052
Family,unweightedSppRich,0.21420817,0.154818201,-0.169450342,0.455741936
Family,unweightedturnover,0.000286673,0.006433602,-0.011892268,0.018620349
Genus,abundNativeSpp,-0.003405909,0.010492311,-0.02481277,0.01819635
Genus,abundance,-0.000970841,0.01040445,-0.021685229,0.020212741
Genus,alienAbund,0.006017188,0.029337624,-0.053612017,0.064612376
Genus,alienSppRich,0.448489432,0.283032826,0.11824969,0.88336939
Genus,E10,0.001483915,0.002920768,-0.004336697,0.007247268
Genus,EPTAbund,0.012283545,0.043411934,-0.102335457,0.092827991
Genus,EPTSppRich,0.28477646,0.528490736,-0.122150752,1.202935416
Genus,Fto,0.011058678,0.033095054,-0.055601042,0.077884711
Genus,FDiv,-0.003081817,0.005577565,-0.014605708,0.007969198
Genus,FEve,-0.00141451,0.001878438,-0.005163574,0.002388027
Genus,FRed,0.000924903,0.001256554,-0.001664702,0.003359091
Genus,FRic,-0.012285861,0.017853573,-0.048031158,0.022634247
Genus,insectAbund,-0.001684073,0.010192824,-0.022167558,0.019611965
Genus,insectSppRich,-0.060063254,0.220451493,-0.494487844,0.37999559
Genus,RaoQ,-0.195127382,0.253720622,-0.728776333,0.297977825
Genus,shannonsH,-0.001025026,0.013189698,-0.028176163,0.024330248
Genus,SppRichRare,-0.023331907,0.159927565,-0.341818832,0.308947161
Genus,SppRich,-0.046371309,0.258226502,-0.540964793,0.47879193
Genus,SppRichNativeSpp,-0.080887621,0.249296155,-0.575018369,0.413009758
