site_id,study_id,Country,season,TaxonomicRes,Year_count,abund_nativeSpp,abundance,alien_Abund,alien_SppRich,E10,EPT_Abund,EPT_SppRich,FEve,FRed,FRic,insect_Abund,insect_SppRich,RaoQ,shannonsH,spp_rich_rare,spp_richness,SppRich_nativeSpp,turnover,F_to,FDiv
100000001,France_1,France,summer,genus,35,-0.008615125,-0.006895893,0.085791812,0.187006535,0.004364279,-0.000315822,0.051821286,-0.000571541,0.003759261,0.037627332,0.009468773,0.375374544,0.625402636,0.044268391,0.838643712,0.895748695,0.709400631,-0.005703162,-0.022426981,-0.031967281
100000002,France_1,France,summer,genus,16,-0.024831638,-0.010009943,0.146881379,0.175080258,0.017582292,-0.079332082,0.322921916,0.000505326,0.012403313,0.03293201,-0.048944342,0.325963883,0.850324328,0.084546442,0.843708837,0.789743907,0.595548389,-0.008993507,-0.007077154,0.057892284
100000003,France_2,France,summer,family,17,NA,0.035998725,NA,NA,-0.038879118,0.000412003,0.147405398,0.001657416,-0.003143221,0.042281065,0.021740205,0.077078519,-0.92934565,-0.082505999,-0.158956863,0.075205913,NA,-0.005263687,0.009272306,-0.012627392
100000004,France_2,France,summer,family,20,NA,0.028535268,NA,NA,-0.02350688,0.00533463,0.213298219,0.009710738,-0.001557059,-0.006658589,0.002919762,0.19740168,-1.627638336,-0.077403766,-0.233531438,0.014322439,NA,0.024444089,-0.077281409,-0.087417155
100000005,France_2,France,summer,family,19,NA,0.018744226,NA,NA,-0.027408891,-0.019550108,0.228692649,0.012807917,-0.00351612,0.0422087,-0.001270672,0.513797191,-1.275497495,-0.072483069,0.481713694,0.701865154,NA,-0.002573361,-0.064627346,0.081514111
100000006,France_2,France,summer,family,19,NA,-0.000357044,NA,NA,-0.002507997,-0.027573468,0.174563969,0.010134865,0.000857584,0.023820907,-0.026832373,0.311976289,-0.93461519,-0.030016953,0.103584065,0.377671144,NA,-0.00141118,-0.070051357,-0.026616769
100000007,France_2,France,summer,family,19,NA,0.019429635,NA,NA,-0.008813114,0.015661629,0.17117526,0.003755589,0.00084078,0.000454175,0.012270524,0.13359798,-0.546865473,-0.048607022,-0.03040719,0.234090919,NA,-0.009663195,-0.038149748,-0.035931862
100000009,France_2,France,summer,family,20,NA,0.018398698,NA,NA,0.00220331,0.052231479,0.389619184,-0.009566734,-0.003986924,0.036567913,0.013101065,0.740215257,0.679317366,0.069260466,0.607248813,0.96266836,NA,-0.00568237,0.003071136,-0.036032129
100000010,France_2,France,summer,family,20,NA,0.009469024,NA,NA,0.004974002,0.078006346,0.419447064,-0.004849703,0.004490687,0.017168205,0.007361135,0.629202386,1.036860109,0.081068086,0.585804443,0.818406342,NA,-0.036355449,-0.010732136,-0.056515889
100000011,France_2,France,summer,family,20,NA,0.005199204,0.16677893,0.120063858,0.000328158,0.003490327,0.16065074,0.002353344,-0.002469502,0.042530579,-0.023278427,0.330614659,0.612689468,0.081351132,0.523784253,0.433294566,NA,-0.016788358,-0.048570497,-0.128813339
100000012,France_2,France,summer,family,20,NA,0.034641061,NA,NA,-0.004684936,0.053403083,0.198085064,-0.008718571,-0.001644436,0.010362838,0.066875635,0.065827679,0.222078718,-0.013870476,-0.388368909,0.040923605,NA,-0.005199678,-0.011305351,0.060936396
100000013,France_2,France,summer,family,20,NA,0.002977184,NA,NA,0.000629637,0.02243911,0.384680601,0.001872929,-0.002407377,0.003241177,0.002192671,0.406327938,-0.022734399,0.021804808,0.227272422,0.328966879,NA,-2.14E-05,-0.035868195,-0.040597688
100000014,France_2,France,summer,family,20,NA,0.010346428,NA,NA,-0.002794552,0.023911457,0.342172543,-0.001961708,0.001426755,0.037988059,0.0055865,0.456026635,0.13595294,0.036586539,0.271617964,0.3123481,NA,-0.007133377,-0.004639386,-0.005258946
100000015,France_2,France,summer,family,24,NA,-0.03363848,NA,NA,0.019026148,0.017098263,0.2466469,0.000674653,0.001555681,-0.045167083,-0.032980725,0.087531274,0.893960156,0.038026141,0.191305315,0.012658715,NA,-0.007464324,0.02152243,-0.05157857
100000016,France_2,France,summer,family,25,NA,-0.014312621,NA,NA,0.004646412,0.008536807,0.313591104,-0.003920265,-0.000746604,0.001330651,-0.009931516,0.208538908,0.646509192,0.057876317,0.429609873,0.376870091,NA,0.002493456,0.018959533,-0.051640847
100000017,France_2,France,summer,family,25,NA,-0.010507255,NA,NA,0.000186595,0.040049123,0.28852956,0.000898809,0.001127967,0.008404717,-0.001838727,0.3846899,0.120746433,0.023148863,0.48962038,0.465735383,NA,-0.011517273,-0.042710598,0.013669371
100000018,France_2,France,summer,family,25,NA,-0.023302245,NA,NA,0.004653944,-0.003856727,0.333595212,0.001501496,0.001225772,0.005322217,-0.021000733,0.308624591,0.194151408,0.021699762,0.317551528,0.224166846,NA,-0.002128279,-0.010279457,-0.01284983
100000019,France_2,France,summer,family,25,NA,-0.003978899,NA,NA,-0.001181946,0.002985531,0.191300911,0.000466276,0.003287386,0.005731223,0.006844239,0.36464579,0.421897624,0.015528936,0.302369057,0.338355017,NA,-8.18E-05,-0.004881457,0.040134284
100000020,France_2,France,summer,family,22,NA,-0.035390283,NA,NA,0.005841852,-0.012562217,0.322027282,0.001601186,0.002708208,-0.002138087,-0.034051156,-0.09365225,0.353189428,0.026933939,0.449045193,0.069952807,NA,-0.007753899,-0.010843628,-0.001631406
100000021,France_2,France,summer,family,22,NA,-0.023718703,NA,NA,-0.002880017,0.01381938,0.395553002,0.00420316,0.000602565,-0.004301979,-0.017815965,0.312293215,-0.202253896,0.004679897,0.256529809,0.185056882,NA,-0.004256054,0.023722534,0.001103345
100000022,France_2,France,summer,family,25,NA,0.002873656,NA,NA,0.0058983,0.012553149,0.197555007,-0.001569134,0.000108361,0.00580097,-0.008639262,0.210952033,0.885117936,0.052988234,0.418119624,0.479723268,NA,-0.006877327,-0.006391242,0.033231529
100000023,France_2,France,summer,family,25,NA,-0.003764593,NA,NA,-0.000814103,0.001692532,0.028263692,0.003741885,0.002740691,0.015995722,-0.015492479,0.138165841,0.055602587,-0.004830466,-0.087016746,0.017906569,NA,-0.019622177,0.026028842,0.033285736
100000024,France_2,France,summer,family,20,NA,-0.020113082,NA,NA,0.005816341,0.016754389,0.43792556,-0.006169444,0.001480011,0.031206702,-0.003024235,0.638080004,0.7212224,0.074822771,0.624808296,0.711207617,NA,0.01053686,-0.053962287,0.098825366
100000025,France_2,France,summer,family,21,NA,-0.009510898,NA,NA,-0.009249595,-0.027430858,-0.031336969,0.004204531,0.000471957,0.007063595,-0.031423102,0.013215432,-1.140078015,-0.031264069,-0.149020346,0.03622977,NA,-0.002847454,0.013808493,-0.021708433
100000026,France_2,France,summer,family,25,NA,-0.00479339,NA,NA,-0.00106381,0.020896504,0.183157604,0.006587672,0.000217994,0.012523936,0.020200929,0.223791252,0.210629776,0.010620437,0.223598477,0.177051904,NA,-0.003239955,-0.000531198,-0.024660882
100000027,France_2,France,summer,family,20,NA,-0.005769106,NA,NA,0.001090804,0.059564619,0.38250086,0.000587048,0.002981989,-0.003156524,0.00734198,0.07805073,-0.200612138,0.00028347,0.035162805,-0.055275913,NA,0.005937867,0.006179896,0.023651491
100000028,France_2,France,summer,family,20,NA,-0.014422619,NA,NA,0.007226936,0.009221782,0.018551055,-0.008591594,-0.002097483,-0.004518287,-0.012318323,-0.127826274,0.580210115,0.035790447,0.078947859,-0.118599776,NA,0.005573188,0.015985366,-0.002845506
