country,Response,TaskID
Austria,abund_nativeSpp,1
Austria,abundance,2
Austria,alien_Abund,3
Austria,alien_SppRich,4
Austria,E10,5
Austria,EPT_Abund,6
Austria,EPT_SppRich,7
Austria,F_to,8
Austria,FDiv,9
Austria,FEve,10
Austria,FRed,11
Austria,FRic,12
Austria,insect_Abund,13
Austria,insect_SppRich,14
Austria,RaoQ,15
Austria,shannonsH,16
Austria,spp_rich_rare,17
Austria,spp_richness,18
Austria,SppRich_nativeSpp,19
Austria,turnover,20
Belgium,abund_nativeSpp,21
Belgium,abundance,22
Belgium,alien_Abund,23
Belgium,alien_SppRich,24
Belgium,E10,25
Belgium,EPT_Abund,26
Belgium,EPT_SppRich,27
Belgium,F_to,28
Belgium,FDiv,29
Belgium,FEve,30
Belgium,FRed,31
Belgium,FRic,32
Belgium,insect_Abund,33
Belgium,insect_SppRich,34
Belgium,RaoQ,35
Belgium,shannonsH,36
Belgium,spp_rich_rare,37
Belgium,spp_richness,38
Belgium,SppRich_nativeSpp,39
Belgium,turnover,40
Bulgaria,abund_nativeSpp,41
Bulgaria,abundance,42
Bulgaria,alien_Abund,43
Bulgaria,alien_SppRich,44
Bulgaria,E10,45
Bulgaria,EPT_Abund,46
Bulgaria,EPT_SppRich,47
Bulgaria,F_to,48
Bulgaria,FDiv,49
Bulgaria,FEve,50
Bulgaria,FRed,51
Bulgaria,FRic,52
Bulgaria,insect_Abund,53
Bulgaria,insect_SppRich,54
Bulgaria,RaoQ,55
Bulgaria,shannonsH,56
Bulgaria,spp_rich_rare,57
Bulgaria,spp_richness,58
Bulgaria,SppRich_nativeSpp,59
Bulgaria,turnover,60
Cyprus,abund_nativeSpp,61
Cyprus,abundance,62
Cyprus,alien_Abund,63
Cyprus,alien_SppRich,64
Cyprus,E10,65
Cyprus,EPT_Abund,66
Cyprus,EPT_SppRich,67
Cyprus,F_to,68
Cyprus,FDiv,69
Cyprus,FEve,70
Cyprus,FRed,71
Cyprus,FRic,72
Cyprus,insect_Abund,73
Cyprus,insect_SppRich,74
Cyprus,RaoQ,75
Cyprus,shannonsH,76
Cyprus,spp_rich_rare,77
Cyprus,spp_richness,78
Cyprus,SppRich_nativeSpp,79
Cyprus,turnover,80
CzechRepublic,abund_nativeSpp,81
CzechRepublic,abundance,82
CzechRepublic,alien_Abund,83
CzechRepublic,alien_SppRich,84
