Model,Response,Estimate,Est.Error,Q0.5,Q99.5,Q2.5,Q97.5,Q5,Q95,Q10,Q90,percEstimate,percEst.Error,percQ0.5,percQ99.5,percQ2.5,percQ97.5,percQ5,percQ95,percQ10,percQ90
OneStage,spp_richness,0.238398007,0.115315935,-0.087058075,0.558687109,0.005159149,0.457381783,0.046884406,0.41912434,0.096043515,0.378135089,0.873664863,0.422602025,-0.319044534,2.047438662,0.0189069,1.676181768,0.171818794,1.535978483,0.351973766,1.385763853
OneStage,abundance,0.007783098,0.003199744,-0.000640823,0.016359274,0.001684126,0.01420569,0.002721284,0.013156806,0.003781777,0.011859396,0.7783098,0.3199744,-0.0640823,1.6359274,0.1684126,1.420569,0.2721284,1.3156806,0.3781777,1.1859396
OneStage,E10,-0.002600098,0.000715825,-0.004543946,-0.000578642,-0.003976574,-0.001160468,-0.003734185,-0.001418448,-0.003493109,-0.001694075,-0.2600098,0.0715825,-0.4543946,-0.0578642,-0.3976574,-0.1160468,-0.3734185,-0.1418448,-0.3493109,-0.1694075
OneStage,turnover,-0.001613422,0.001051372,-0.004518016,0.001358211,-0.003711831,0.000450019,-0.003336469,8.44E-05,-0.002939904,-0.000305687,-0.297167571,0.193646587,-0.832149209,0.250161622,-0.683662304,0.082886593,-0.614526385,0.015545185,-0.541485198,-0.056302854
OneStage,shannonsH,0.004894203,0.002887865,-0.003355521,0.012103594,-0.001069394,0.010318546,-5.71E-06,0.00948325,0.001248928,0.008460333,0.247402846,0.145982097,-0.169622193,0.611838863,-0.05405806,0.521604364,-0.000288642,0.47938,0.063133536,0.427671361
OneStage,spp_richness_rarefied,0.094762634,0.05856549,-0.056269273,0.25302547,-0.02140183,0.215292582,0.00029845,0.193132541,0.024550457,0.169905282,0.492400657,0.304314945,-0.292383462,1.314757753,-0.111207073,1.118692088,0.00155079,1.003545238,0.127567804,0.882852966
OneStage,func_rich,0.0102449,0.003692661,-0.000388914,0.020090589,0.002458203,0.017175509,0.003978197,0.016101985,0.005658207,0.014741917,1.02449,0.3692661,-0.0388914,2.0090589,0.2458203,1.7175509,0.3978197,1.6101985,0.5658207,1.4741917
OneStage,FRed,3.92E-05,0.000381662,-0.001044147,0.001032817,-0.000755015,0.000774126,-0.000607146,0.000643116,-0.000450043,0.000506988,0.013464042,0.131089626,-0.358633659,0.354742138,-0.259325355,0.26588942,-0.208536721,0.220891354,-0.15457648,0.174135406
OneStage,func_even,-0.001451463,0.000586626,-0.00305547,0.000124373,-0.00263409,-0.000283036,-0.002421532,-0.00049129,-0.002192245,-0.00072014,-0.280253425,0.113267748,-0.589960565,0.024014363,-0.508599078,-0.054649556,-0.467557654,-0.094859948,-0.423286139,-0.139047086
OneStage,func_turnover,-0.003831701,0.001670924,-0.008538101,0.000483769,-0.007346078,-0.00063119,-0.006569391,-0.001134991,-0.005898386,-0.001777525,-0.38243694,0.167232077,-0.850175493,0.048388604,-0.731916152,-0.063099084,-0.654785973,-0.113434714,-0.588102467,-0.177594614
