Response,Estimate,Est.Error,Q0.5,Q99.5,Q2.5,Q97.5,Q5,Q95,Q10,Q90
spp_richness,0.238398007,0.115315935,-0.087058075,0.558687109,0.005159149,0.457381783,0.046884406,0.41912434,0.096043515,0.378135089
spp_richness_rarefied,0.094762634,0.05856549,-0.056269273,0.25302547,-0.02140183,0.215292582,0.00029845,0.193132541,0.024550457,0.169905282
shannonsH,0.004894203,0.002887865,-0.003355521,0.012103594,-0.001069394,0.010318546,-5.71E-06,0.00948325,0.001248928,0.008460333
E10,-0.002600098,0.000715825,-0.004543946,-0.000578642,-0.003976574,-0.001160468,-0.003734185,-0.001418448,-0.003493109,-0.001694075
abundance,0.007783098,0.003199744,-0.000640823,0.016359274,0.001684126,0.01420569,0.002721284,0.013156806,0.003781777,0.011859396
turnover,-0.001613422,0.001051372,-0.004518016,0.001358211,-0.003711831,0.000450019,-0.003336469,8.44E-05,-0.002939904,-0.000305687
func_turnover,-0.003831701,0.001670924,-0.008538101,0.000483769,-0.007346078,-0.00063119,-0.006569391,-0.001134991,-0.005898386,-0.001777525
func_rich,0.0102449,0.003692661,-0.000388914,0.020090589,0.002458203,0.017175509,0.003978197,0.016101985,0.005658207,0.014741917
func_even,-0.001451463,0.000586626,-0.00305547,0.000124373,-0.00263409,-0.000283036,-0.002421532,-0.00049129,-0.002192245,-0.00072014
func_diverg,0.000543205,0.00064888,-0.001352344,0.002203456,-0.000795374,0.001779341,-0.000541459,0.00156496,-0.000259403,0.001334909
RaoQ,0.084667881,0.07921974,-0.135651268,0.338101189,-0.064756115,0.251928761,-0.035681453,0.211614895,-0.007209935,0.178712052
FRed,3.92E-05,0.000381662,-0.001044147,0.001032817,-0.000755015,0.000774126,-0.000607146,0.000643116,-0.000450043,0.000506988
alien_SppRich,0.034550555,0.011216745,0.004908443,0.06592379,0.012599046,0.057080564,0.016350296,0.052960257,0.020421939,0.04904291
alien_abund,0.026044543,0.011126445,-0.004076584,0.055937646,0.003899339,0.048102369,0.007495977,0.04399031,0.012030448,0.039822902
native_SppRich,0.213036923,0.118047908,-0.12543571,0.539405169,-0.025706884,0.442563055,0.021946059,0.401761121,0.069676348,0.359923864
native_abund,0.003671224,0.003513715,-0.006221097,0.013381481,-0.003345569,0.010600189,-0.002239248,0.009395377,-0.000785812,0.008012472
EPT_SppRich,0.068975507,0.042858501,-0.055106945,0.177130533,-0.016946639,0.152642136,-0.003012994,0.138350071,0.014900703,0.12293166
EPT_abund,0.00937814,0.004090337,-0.002169161,0.020003861,0.001245508,0.017395108,0.002662131,0.015936947,0.004103579,0.014423204
insect_SppRich,0.185900133,0.08055546,-0.031824403,0.401571286,0.028647842,0.345175644,0.056114373,0.315997004,0.083967174,0.287476178
insect_abund,0.008269826,0.003150255,-0.000177914,0.016718617,0.002058788,0.014286222,0.00310973,0.013296302,0.004244374,0.012216089
