Response,Estimate,Est.Error,Q0.5,Q99.5,Q2.5,Q97.5,Q5,Q95,Q10,Q90
spp_richness,0.274297638,0.106906322,0.011879445,0.552210936,0.071187252,0.492272934,0.106374302,0.466966516,0.142710318,0.417859932
spp_richness_rarefied,0.094957407,0.087866996,-0.127214736,0.349226305,-0.071598505,0.281875246,-0.043770596,0.244629845,-0.011924841,0.20647436
shannonsH,-0.001254296,0.006208579,-0.018552397,0.01531242,-0.014124569,0.010501882,-0.011832447,0.008529084,-0.009127238,0.006399719
E10,-0.001844976,0.000639266,-0.003441695,-0.000716043,-0.00322068,-0.000855466,-0.003051936,-0.000945838,-0.002821391,-0.001060379
abundance,0.010962948,0.004993102,-0.002629863,0.023591073,0.0009383,0.020625606,0.00250233,0.019106423,0.004601142,0.017229126
turnover,0.010962948,0.004993102,-0.002629863,0.023591073,0.0009383,0.020625606,0.00250233,0.019106423,0.004601142,0.017229126
func_turnover,0.000586936,0.000997077,-0.00189499,0.001704348,-0.001588389,0.001590505,-0.001212092,0.00146314,-0.001045946,0.001353266
func_rich,1.186275632,0.309349201,0.26313141,1.970721087,0.523374205,1.745839931,0.653868174,1.653161024,0.796226213,1.557758743
func_even,-0.00249669,0.001918452,-0.008007112,0.002442122,-0.006302341,0.001171001,-0.005635466,0.00061214,-0.004896181,-9.07E-05
func_diverg,-0.000649776,0.001210687,-0.003831087,0.002508609,-0.003023303,0.001773049,-0.002637907,0.001365757,-0.002199975,0.000859369
RaoQ,0.015443051,0.102373692,-0.270057466,0.283324946,-0.195736997,0.209272179,-0.158023039,0.176598665,-0.115679349,0.140850425
alien_SppRich,0.029969765,0.009474735,0.003782048,0.044703101,0.015186291,0.044160705,0.01589288,0.043550938,0.016634914,0.042766189
alien_abund,0.035726987,0.013663568,-0.002159674,0.071619044,0.008220458,0.062506496,0.012774871,0.058108996,0.018286642,0.05300619
native_SppRich,0.244161536,0.120836976,-0.090913752,0.580216103,0.010275315,0.485143863,0.049985904,0.441885818,0.09286551,0.39701004
native_abund,0.006359258,0.004656618,-0.005495458,0.018071535,-0.002541903,0.015825518,-0.001225098,0.014124629,0.000377278,0.012376466
EPT_SppRich,0.020879221,0.065854636,-0.084632697,0.112956724,-0.083382111,0.10915406,-0.082040616,0.102817527,-0.07938202,0.094802793
EPT_abund,-0.002069633,0.014270048,-0.01744809,0.026258961,-0.016166937,0.023440551,-0.01534234,0.022571808,-0.014585778,0.02206041
insect_SppRich,0.186318825,0.081557664,-0.041084955,0.395044637,0.012620728,0.326411881,0.041990624,0.304094743,0.075292215,0.283357597
insect_abund,0.010911174,0.005120988,-0.001816467,0.024760756,0.001062718,0.021049079,0.002706798,0.019297105,0.004655991,0.017377914
