"","Response","Estimate","Est.Error","Q1","Q99","Q2.5","Q97.5","Q5","Q95","Q10","Q90"
"x","spp_richness",0.00614879339327864,0.00264696272494583,-1.44161834282444e-05,0.0122023096884433,0.000980626328443491,0.0112958427876445,0.00174411825027362,0.0104262804347838,0.00275452376957532,0.00950413801497137
"x1","spp_richness_rarefied",0.00198982240102019,0.00198424244779868,-0.002711333591181,0.00678262139001766,-0.00202510158496755,0.00597651430837386,-0.00128456626129844,0.00520655070168396,-0.000506792383882228,0.00448792192015346
"x2","shannonsH",-0.00120121165545859,0.00615692564401585,-0.0160786309497232,0.0133888061659938,-0.0136119165911616,0.0105718987073375,-0.0116251132450457,0.00865634520506826,-0.00902361340792503,0.00643313620483059
"x3","E10",-0.00472815603692014,0.00204570323833685,-0.00948021899767987,0.000182078054464938,-0.00867011297712907,-0.000593001812844423,-0.00804490695545495,-0.00135452306485648,-0.00733571724592362,-0.00217741025487977
"x4","abundance",0.0113224893274753,0.00499352672658711,2.55647943061042e-07,0.0230977017928685,0.00162983377565352,0.021241773701855,0.00326054971186873,0.0196544862589862,0.00508539933681819,0.0178198170603436
"x5","turnover",-0.582264930593734,0.675566924181421,-2.20360247352991,0.996354974885372,-1.9326011569801,0.737356925138596,-1.70821065197129,0.531556702800981,-1.45399177547592,0.269250348847908
"x6","func_turnover",0.00596089536221822,0.00855198671894411,-0.00743169465896045,0.0240146170768146,-0.00673701035021796,0.0227362196662892,-0.00536296222712652,0.0215802396762607,-0.00375396288249236,0.0196903088469615
"x7","func_rich",0.00966729084886827,0.00719389069021543,-0.00742331832971504,0.0274572168324376,-0.00428283162702368,0.0241832358365465,-0.00203925125851254,0.0212246483854956,0.000557425941398777,0.0186121406751883
"x8","func_even",-0.0023875114479448,0.00188557118253947,-0.00704301775970411,0.00215965456842746,-0.00621735952696131,0.00138435689251888,-0.0055073066035481,0.000728055119385958,-0.00473613048869714,-3.78687160479202e-05
"x9","func_diverg",-0.000817189898803855,0.00179711570024974,-0.00522363010975926,0.00352511792242752,-0.00446477898626328,0.00266906392632587,-0.00382970371564051,0.00206585622237517,-0.0030647619631875,0.00143633131014471
"x10","RaoQ",0.014412515391834,0.10470247200792,-0.248447627920936,0.251534326871512,-0.205606393104869,0.209966274961747,-0.164206210756117,0.179693231030881,-0.119865303289543,0.143009433337613
"x11","alien_SppRich",0.00822231272559467,0.00614757892391381,4.59630747430245e-05,0.0169550967476861,9.87276103278204e-05,0.0168422652791394,9.960131799178e-05,0.0167111203189512,0.000100565732063173,0.0161001242097496
"x12","alien_abund",0.036300922105525,0.0130694394940006,0.00476881394261051,0.067743687440241,0.0101292663987106,0.0616301685869812,0.0148480818403335,0.0575979519609826,0.0195310366612133,0.0526430864997602
"x13","native_SppRich",0.00626501457349562,0.00310002759554246,-0.00158134916569651,0.0136728707155684,-5.13584482769577e-05,0.0125035971151202,0.00122366211601661,0.0114105108107207,0.00239715215599357,0.010169350163342
"x14","native_abund",0.00660087527019921,0.00471562632198377,-0.00443447119005712,0.017661221794227,-0.00260065670245657,0.0156678874609968,-0.00140652995971053,0.0143089033235159,0.000478451014639348,0.0125785907388575
"x15","EPT_SppRich",0.00421807997730656,0.00651214920918107,-0.00782077050976505,0.0122244193519391,-0.00773765082950854,0.0119465197239181,-0.00761345797853974,0.0119288195669488,-0.00695350348364616,0.0119050361039027
"x16","EPT_abund",0.00945550999470902,0.00591221513878927,-0.00187272747897031,0.017667034719721,-0.000198649605218695,0.0171307994922333,0.000917502401332721,0.017015275486833,0.00217019490483791,0.0168067933609453
"x17","insect_SppRich",0.00511765200266616,0.00191706686956017,0.000509886538677984,0.00953312002460303,0.00137879786198227,0.00882417854875024,0.00200296765836466,0.00824310931084162,0.00269414641083934,0.00754177888733151
"x18","insect_abund",0.0110422006452917,0.00503569567791426,-0.00141181862535915,0.022793601001694,0.000934126562360768,0.0209294678436526,0.00269032024535293,0.0191395929476818,0.00458576505911298,0.0172269463861717
