Response,Estimate,Est.Error,Q0.5,Q99.5,Q2.5,Q97.5,Q5,Q95,Q10,Q90
spp_richness,0.249419397,0.111872311,-0.040694302,0.567866178,0.032021777,0.475089056,0.069989415,0.43237541,0.110698128,0.391128593
spp_richness_rarefied,0.081160496,0.073087715,-0.11617975,0.302052218,-0.057552233,0.23493322,-0.032355643,0.203775238,-0.007521811,0.172901049
shannonsH,0.000364389,0.00525993,-0.015580769,0.01379092,-0.010980535,0.01000705,-0.008929933,0.008245251,-0.006388803,0.006554802
E10,-0.003705366,0.001257906,-0.007345947,-0.000500911,-0.006254611,-0.001378199,-0.005814882,-0.001698677,-0.005291058,-0.00214823
abundance,0.012226313,0.004585836,0.000495126,0.025246947,0.003393813,0.021498411,0.004833057,0.019784635,0.006403093,0.018066325
turnover,-0.000994073,0.001537331,-0.00503401,0.003124955,-0.004018773,0.002046626,-0.003500549,0.001518976,-0.002917686,0.000963362
func_turnover,-0.017319696,0.009770549,-0.043878745,0.010775194,-0.036266628,0.002679013,-0.033068233,-0.000952184,-0.029485145,-0.005188832
func_rich,0.0114919,0.005952434,-0.004622922,0.028912789,-0.000472923,0.023390263,0.001838168,0.020839178,0.004113258,0.018696104
func_even,-0.002046587,0.00171623,-0.006783258,0.002562489,-0.0054647,0.001323699,-0.00484718,0.000783104,-0.004188672,0.000104037
func_diverg,0.007850567,0.00367184,-0.002357827,0.017795997,0.000453975,0.015196547,0.001849575,0.013905803,0.003307783,0.012461407
RaoQ,0.018171794,0.10098258,-0.278148316,0.278771844,-0.195149061,0.209243171,-0.15213329,0.175220516,-0.108829004,0.139624902
FRed,-2.12E-05,0.000606418,-0.001681779,0.001746396,-0.001229886,0.00121934,-0.000991455,0.000976853,-0.00076252,0.000722667
alien_SppRich,0.056528763,0.017274916,0.009612027,0.104362803,0.022476118,0.090011278,0.028372819,0.08442091,0.034786049,0.07831254
alien_abund,0.040554201,0.016929435,-0.005057707,0.084314023,0.007310781,0.073469987,0.012587499,0.068606623,0.019060549,0.06166475
native_SppRich,0.21974966,0.12966483,-0.120613619,0.581821429,-0.032475545,0.478374036,0.009457292,0.431803604,0.055917118,0.383287861
native_abund,0.006147736,0.004375409,-0.005776495,0.018005839,-0.002454872,0.014771135,-0.000943124,0.013299574,0.000672939,0.011617676
EPT_SppRich,0.042197396,0.048259902,-0.087239078,0.171541752,-0.051865463,0.138363642,-0.036094967,0.122032324,-0.017850624,0.103608145
EPT_abund,0.010200776,0.005403634,-0.004673988,0.024633576,-0.000680539,0.020639296,0.001125051,0.019089384,0.003381072,0.016870948
insect_SppRich,0.140524263,0.090195201,-0.094836544,0.394978963,-0.031858518,0.318717709,-0.003840245,0.28855987,0.0269701,0.252566426
insect_abund,0.011987318,0.004864944,-0.000513547,0.025721398,0.002700361,0.021706983,0.004144918,0.020005442,0.005875106,0.018152984
