Response,probIncrease,probDecrease,model has good fit
spp_richness,0.98975,0.01025,
spp_richness_rarefied,0.847875,0.152125,
shannonsH,0.427,0.573,
E10,0.013,0.987,X
abundance,0.99,0.01,
turnover,0.187,0.813,
func_turnover,0.6395,0.3605,
func_rich,0.910875,0.089125,
func_even,0.0965,0.9035,
func_diverg,0.31325,0.68675,X
RaoQ,0.568125,0.431875,
alien_sppRich,0.993,0.007,
alien_abund,0.996125,0.003875,
native_sppRich,0.974375,0.025625,
native_abund,0.915625,0.084375,
EPT_sppRich,0.75,0.25,
EPT_abund,0.97025,0.02975,
insect_sppRich,0.99425,0.00575,
insect_abund,0.981875,0.018125,
