Response,Yr,Estimate,Est.Error,Q0.5,Q99.5,Q2.5,Q97.5,Q5,Q95,Q10,Q90
abundance,1971,0.160372965,2.466139191,-6.785693428,6.909903302,-4.872818678,5.116935514,-3.904602305,4.240898564,-2.848963244,3.387129026
abundance,1972,0.044355448,2.38820231,-6.83536761,6.769436225,-4.816750184,5.031137659,-3.829893621,4.026552182,-2.916132809,3.043463991
abundance,1973,0.683100233,2.368536087,-6.849901669,7.25776723,-4.783462185,5.10341974,-3.655326234,3.839959227,-2.419230633,2.804316838
abundance,1974,0.097735741,2.553086813,-7.476041343,6.836978444,-5.42096427,5.293229447,-4.248811369,4.25850585,-3.050057227,3.15859951
abundance,1975,0.063464363,2.579957289,-8.018236368,7.54786556,-5.134422263,5.391300778,-4.245370733,4.202752971,-3.050810029,3.133033957
abundance,1976,0.113507528,2.517675385,-7.762473313,6.912576652,-5.348110848,5.046385321,-4.307686337,4.212353023,-3.032892968,3.110512066
abundance,1977,0.07939273,2.449048238,-6.852514266,7.266215222,-4.898663238,5.293300496,-3.997519561,4.132642424,-2.996873714,3.066220517
abundance,1978,0.056749816,1.347201859,-4.059480472,4.695233283,-2.899908303,3.072026012,-2.236913077,2.296134197,-1.48241274,1.546984786
abundance,1979,0.071291431,0.13924718,-0.3754783,0.492516763,-0.213979917,0.304806377,-0.137459854,0.290567191,-0.068062513,0.2632225
abundance,1980,-0.00540681,0.115753509,-0.574336251,0.442474745,-0.255498967,0.23256344,-0.174202291,0.161821578,-0.104419758,0.092048384
abundance,1981,-0.016486299,0.065341416,-0.242021288,0.191975714,-0.166118123,0.136936388,-0.125427291,0.093660637,-0.087044316,0.05279399
abundance,1982,0.009262069,0.058069434,-0.193185881,0.235060575,-0.1115611,0.1296286,-0.079893636,0.095012531,-0.050025621,0.066068684
abundance,1983,0.015061244,0.098247766,-0.244628565,0.614617143,-0.141196889,0.220222127,-0.095875224,0.136221387,-0.060257963,0.086402955
abundance,1984,0.02401255,0.063894042,-0.209625031,0.227694491,-0.110313022,0.158676668,-0.078479716,0.124917522,-0.044550717,0.097598621
abundance,1985,0.061590847,0.119597065,-0.353241006,0.44550309,-0.197467735,0.315940212,-0.126771146,0.249592845,-0.068992591,0.192853989
abundance,1986,0.038395975,0.136010413,-0.464229909,0.468443462,-0.282097152,0.306965535,-0.19282249,0.25016975,-0.101694189,0.174587339
abundance,1987,0.035551617,0.098769624,-0.29317812,0.348585013,-0.171355994,0.264281688,-0.115791389,0.212541941,-0.067676849,0.143294312
abundance,1988,-0.021568579,0.080431139,-0.256821632,0.239492649,-0.198188742,0.141324438,-0.165231026,0.10478944,-0.116555842,0.067521922
abundance,1989,-0.012772327,0.034604257,-0.116768242,0.094657984,-0.08479407,0.062859431,-0.067807564,0.043476147,-0.052871636,0.027056902
abundance,1990,-0.011116067,0.02377392,-0.085215821,0.059123622,-0.060433912,0.036248787,-0.04940858,0.027710575,-0.038987763,0.01741885
abundance,1991,-0.007684121,0.017635785,-0.058481789,0.048448904,-0.043410449,0.027784336,-0.035975307,0.02051052,-0.029057828,0.013275357
abundance,1992,0.001818288,0.019898315,-0.053863204,0.063659861,-0.035963408,0.043098391,-0.029096938,0.034509651,-0.022213279,0.02641198
abundance,1993,0.010952693,0.015871273,-0.034335243,0.058615455,-0.019650986,0.04415939,-0.013940895,0.038109817,-0.007629435,0.030699912
abundance,1994,0.002330821,0.012244671,-0.034220609,0.038105649,-0.022255645,0.026431964,-0.017357427,0.021744913,-0.012197531,0.016803084
abundance,1995,0.00672958,0.007139516,-0.013603959,0.027201714,-0.007564957,0.021000892,-0.004872207,0.018515481,-0.00199705,0.015493543
abundance,1996,0.003227664,0.005837176,-0.013226904,0.019912501,-0.008166801,0.015034506,-0.006181903,0.012699448,-0.003958797,0.010546278
abundance,1997,0.001808095,0.00711272,-0.018119139,0.021886558,-0.012068153,0.016124177,-0.009789432,0.01340248,-0.006920568,0.010870057
abundance,1998,0.010108423,0.016783377,-0.038187778,0.058213899,-0.021695205,0.044109269,-0.016123988,0.038634008,-0.01023651,0.030872602
abundance,1999,0.002691005,0.010097363,-0.025336439,0.030273808,-0.017022073,0.022885263,-0.013625647,0.019191341,-0.009788266,0.015296197
abundance,2000,0.009433029,0.009113702,-0.017462082,0.03614015,-0.008484491,0.027807832,-0.005313652,0.023949471,-0.001675596,0.020450922
abundance,2001,-0.001659941,0.00746388,-0.022827764,0.018390074,-0.017089133,0.012836757,-0.014044609,0.010168525,-0.011044499,0.007604082
abundance,2002,0.012928364,0.011065786,-0.016442825,0.043188252,-0.009324408,0.035544639,-0.005158704,0.031344341,-0.000605367,0.026906881
abundance,2003,0.003399654,0.011375312,-0.029434953,0.03418518,-0.018760156,0.026356468,-0.014671439,0.022108543,-0.010960551,0.017313112
abundance,2004,0.008424696,0.011148842,-0.022135223,0.039023244,-0.013153379,0.031196555,-0.009837487,0.026894947,-0.005626594,0.022380903
abundance,2005,0.014140237,0.00778376,-0.00708257,0.035278603,-0.001234381,0.03010851,0.001348519,0.026764778,0.004424433,0.023914786
abundance,2006,0.010252069,0.012810703,-0.026176733,0.04585537,-0.015457573,0.034905471,-0.010956193,0.03097913,-0.005575261,0.026038014
