StartYear,Response,Estimate,Est.Error,Q0.5,Q99.5,Q2.5,Q97.5,Q5,Q95,Q10,Q90,site_num
1971,abundance,0.136101171,2.659511041,-7.30764765,7.676506495,-5.381151173,5.780449478,-4.383551639,4.674067373,-3.151815728,3.510716767,26
1972,abundance,0.119615238,2.459844806,-7.11388142,7.035908805,-5.208949993,5.233370783,-4.000054857,4.280470908,-2.898762521,3.130734001,22
1973,abundance,0.082351821,2.647592839,-7.700205305,7.682751986,-5.67773978,5.503910889,-4.426371957,4.493126647,-3.222214849,3.341148504,25
1974,abundance,0.121546432,2.64724328,-7.429648513,7.589174626,-5.433564571,5.7069771,-4.416131693,4.697677711,-3.166694014,3.39671171,30
1975,abundance,0.154513415,2.429177979,-6.824868673,7.355819695,-4.895864632,5.250524908,-3.898506329,4.294597209,-2.869293263,3.199982763,32
1976,abundance,0.021559126,2.511523603,-7.376800421,7.458106704,-5.22084957,5.121655262,-4.164315224,4.115819012,-3.080940673,3.041663218,33
1977,abundance,0.048937465,0.346269112,-1.194512011,1.579752964,-0.667995298,0.730516921,-0.476620653,0.519194019,-0.280018806,0.320207903,37
1978,abundance,-0.562750923,1.111680958,-2.415269403,1.423207102,-2.403114429,0.753901629,-2.385966739,0.702889432,-2.381553485,0.373798528,38
1979,abundance,-0.03480962,0.125432353,-0.450501213,0.382944543,-0.305171038,0.232671223,-0.243049795,0.17339113,-0.17522063,0.106977133,50
1980,abundance,-0.048727635,0.067739147,-0.253211239,0.197238333,-0.185757073,0.108110215,-0.156079199,0.058342346,-0.124986444,0.025804701,62
1981,abundance,-0.055931576,0.073724217,-0.288645096,0.169294299,-0.215147193,0.091118158,-0.176723009,0.061693712,-0.143813101,0.026310149,77
1982,abundance,-0.110583642,0.24166464,-0.830684864,0.681990336,-0.60123745,0.423406545,-0.487921791,0.288295097,-0.383418246,0.171059904,88
1983,abundance,-0.052298308,0.152368399,-0.484801202,0.437910665,-0.358637521,0.271712357,-0.299727449,0.194978875,-0.235198286,0.127831485,93
1984,abundance,0.055265188,0.11863998,-0.309768763,0.416794604,-0.193705216,0.307695913,-0.139503553,0.249270634,-0.083341065,0.194879208,91
1985,abundance,0.051682794,0.095174677,-0.272094903,0.343808825,-0.159466671,0.241395935,-0.103091261,0.203219742,-0.057946657,0.160024563,101
1986,abundance,0.017965617,0.049359039,-0.141766408,0.177231755,-0.081939451,0.120168626,-0.06137549,0.095148015,-0.040473838,0.074533861,102
1987,abundance,0.021006802,0.042041574,-0.118840633,0.142847479,-0.09571412,0.104623751,-0.053066067,0.084072792,-0.023894375,0.066195305,98
1988,abundance,-0.015775421,0.047238649,-0.163368875,0.138496819,-0.112204054,0.081791021,-0.092521437,0.060753492,-0.069969611,0.037828312,164
1989,abundance,-0.009961952,0.023439079,-0.074427624,0.056028587,-0.057958007,0.03765531,-0.048668894,0.028386315,-0.038723765,0.019092554,230
1990,abundance,-0.009733937,0.019249237,-0.06938066,0.045388033,-0.048016851,0.028644795,-0.03960519,0.020890692,-0.033288135,0.012819878,289
1991,abundance,0.00674284,0.023106485,-0.059230985,0.076467632,-0.037619308,0.057137704,-0.028601987,0.046330297,-0.019775915,0.036293396,359
1992,abundance,0.009671127,0.014394435,-0.029084557,0.054798757,-0.017822833,0.040144098,-0.012555782,0.033650543,-0.007276077,0.027228078,462
1993,abundance,-0.001079285,0.012195377,-0.03479267,0.033952424,-0.024680371,0.024825723,-0.020718478,0.01909106,-0.016153846,0.014130731,524
1994,abundance,0.006311186,0.009606138,-0.019087974,0.035673161,-0.012287144,0.026462395,-0.008915257,0.022472475,-0.005484373,0.018258015,589
1995,abundance,0.003255981,0.00751424,-0.016721098,0.024823443,-0.011760943,0.019484021,-0.009001885,0.015822675,-0.005758304,0.012509885,688
1996,abundance,0.006105796,0.006554917,-0.012992262,0.022910626,-0.007010539,0.018873219,-0.00437871,0.01672707,-0.001977513,0.014403878,710
1997,abundance,0.004533417,0.005868429,-0.011193806,0.021213953,-0.007018746,0.016273887,-0.005166449,0.01407941,-0.002627224,0.011940833,700
1998,abundance,0.012548471,0.015143039,-0.030176609,0.054220703,-0.018062311,0.042180988,-0.012259742,0.036950518,-0.006232945,0.031172021,709
1999,abundance,0.009115625,0.01113536,-0.021915716,0.041362408,-0.012932559,0.031212772,-0.008777776,0.0268334,-0.00425073,0.023063099,749
2000,abundance,0.007813256,0.009531279,-0.019633843,0.034190428,-0.01116628,0.027243199,-0.007567282,0.023261924,-0.003870405,0.019638174,814
2001,abundance,0.019567071,0.015950825,-0.023134321,0.063735554,-0.012356582,0.051459452,-0.006439102,0.045813786,-0.000336401,0.038961253,866
2002,abundance,0.010322028,0.008232687,-0.012422059,0.031521095,-0.006374265,0.026666981,-0.00338855,0.023900413,9.16E-05,0.020973309,937
2003,abundance,0.000280829,0.011541864,-0.029207226,0.032682921,-0.022323891,0.023122921,-0.019000858,0.018779613,-0.014592963,0.014501106,1086
2004,abundance,0.007331477,0.008706057,-0.015196096,0.031770936,-0.009513995,0.024672228,-0.006912345,0.02148394,-0.003600601,0.018289976,1215
2005,abundance,0.011407817,0.00725461,-0.008018706,0.031206333,-0.002968865,0.025845741,-0.000530187,0.023487684,0.002318094,0.020661449,1253
2006,abundance,0.008357241,0.0090648,-0.016888249,0.033074771,-0.009893954,0.026651698,-0.006429229,0.023081585,-0.003100484,0.01953623,1308
2007,abundance,0.018945297,0.012133753,-0.014905041,0.052407042,-0.005124682,0.043301185,-0.000813547,0.03822181,0.003971882,0.03406442,1358
2008,abundance,0.015330712,0.008708104,-0.006474604,0.037695452,-0.001723717,0.032214182,0.000955069,0.02917642,0.004080466,0.025754499,1369
2009,abundance,0.006143519,0.008551726,-0.016227863,0.028404299,-0.010922553,0.022699476,-0.007926195,0.020089887,-0.004722576,0.016867607,1331
2010,abundance,0.006239888,0.009720649,-0.01617676,0.032968886,-0.010456191,0.025737096,-0.009366498,0.02222759,-0.007434069,0.018400979,1198
2011,abundance,-6.40E-05,0.012587567,-0.03607379,0.033751247,-0.026232567,0.024039155,-0.021113521,0.02005352,-0.016134294,0.0154009,1067
1971,spp_richness,0.269127007,2.604354841,-7.155977584,7.63059495,-5.252058752,5.546777513,-4.199389466,4.448010997,-3.02615659,3.399150724,26
1972,spp_richness,0.572675693,2.441430321,-6.32957493,7.508838584,-4.416123178,5.603441806,-3.52830903,4.66329673,-2.490888502,3.587352525,22
1973,spp_richness,0.615575011,2.610976792,-6.912235767,8.184261413,-4.906973466,6.062307353,-3.856320058,4.986462867,-2.642488697,3.8093623,25
1974,spp_richness,0.988458761,2.678718671,-6.944017129,8.791145465,-4.807671917,6.453526135,-3.719047044,5.308553715,-2.395616668,4.136255875,30
1975,spp_richness,0.814243472,2.688307713,-6.98521852,8.867944502,-4.939762134,6.335584705,-3.813923368,5.124404416,-2.636022338,3.990562225,32
1976,spp_richness,0.658750184,2.596528906,-6.619165273,8.179075803,-4.757537716,6.108829773,-3.744050196,5.033442424,-2.524138385,3.838898781,33
1977,spp_richness,0.624138864,0.918784034,-2.498061976,4.028903397,-1.416155129,2.408340393,-0.837228952,2.002172553,-0.397502324,1.55486936,37
1978,spp_richness,0.576473294,0.812061609,-1.753342336,3.197762657,-1.184143164,2.438771958,-0.810327585,2.06039571,-0.353747192,1.550037682,38
1979,spp_richness,0.441844047,0.512210597,-1.620105363,1.964596613,-0.735526335,1.596682187,-0.431727402,1.246621131,-0.10695758,0.994897453,50
1980,spp_richness,0.286249196,0.517818927,-1.366317506,2.014890503,-0.758383265,1.525591678,-0.496401764,1.210523594,-0.262210955,0.900419322,62
1981,spp_richness,0.519219387,0.748090476,-1.483759574,2.982634941,-0.902630456,2.566503528,-0.609882812,1.813231901,-0.335204465,1.389976778,77
1982,spp_richness,0.228304464,0.403059028,-1.041138074,1.398855731,-0.670625779,1.098185077,-0.47454358,0.862376141,-0.276754631,0.663819078,88
1983,spp_richness,0.312055702,0.310551774,-0.676357579,1.308726857,-0.355345386,0.931606908,-0.222437392,0.816998833,-0.067843787,0.659970967,93
1984,spp_richness,0.320715233,0.434645916,-1.573392589,1.467211843,-0.799098284,1.142712492,-0.392866506,0.963251567,-0.114124322,0.779774205,91
1985,spp_richness,0.51845628,0.403809165,-0.594602313,2.062624256,-0.253373642,1.524228864,-0.06517225,1.209196904,0.107098972,0.938022669,101
1986,spp_richness,0.452669193,0.511651619,-1.095544045,1.968454366,-0.60902032,1.478297094,-0.392840683,1.24554861,-0.159364733,1.03941042,102
1987,spp_richness,1.088076824,0.793991541,-1.622602466,3.186181653,-0.640767796,2.638969404,-0.183135917,2.327119534,0.18106774,1.990422427,98
1988,spp_richness,0.597109745,0.392334811,-0.599603923,1.840398032,-0.149370097,1.412354515,0.022604149,1.24089625,0.173337887,1.072448776,164
1989,spp_richness,0.352515917,0.311169972,-0.345525432,1.407753137,-0.151304446,1.23910935,-0.06292224,1.063543268,0.023556133,0.715354785,230
1990,spp_richness,0.200191096,0.24602827,-0.530053483,0.895907139,-0.294335031,0.706284305,-0.194000635,0.607612408,-0.092717833,0.50574379,289
1991,spp_richness,0.170712316,0.272442096,-0.53935012,0.998821178,-0.346134462,0.777513288,-0.245574135,0.644138854,-0.148518671,0.5149246,359
1992,spp_richness,0.450957241,0.331134554,-0.398465212,1.399755682,-0.163733296,1.157628719,-0.069194898,1.012316967,0.049442954,0.86722775,462
1993,spp_richness,0.34020755,0.297297108,-0.488421587,1.237503942,-0.228285625,0.949952334,-0.123333837,0.831640064,-0.008179589,0.70516148,524
1994,spp_richness,0.453719103,0.253528675,-0.270198129,1.242117968,-0.011224727,0.980145617,0.066985282,0.872317628,0.155137652,0.764137871,589
1995,spp_richness,0.333164384,0.190391101,-0.207206482,0.869810254,-0.037635899,0.740027724,0.032943831,0.656504524,0.104893628,0.576134308,688
1996,spp_richness,0.422543132,0.129361189,0.061516599,0.855008958,0.168730439,0.689857238,0.220573816,0.637639102,0.269110653,0.577392656,710
1997,spp_richness,0.347517677,0.133187727,-0.029712464,0.72466706,0.083033298,0.608390344,0.132966003,0.563464756,0.185111715,0.509291819,700
1998,spp_richness,0.354860325,0.119461135,0.037195799,0.699283902,0.1241179,0.599533479,0.160662771,0.552947568,0.205455215,0.505490576,709
1999,spp_richness,0.240767081,0.166284348,-0.266085328,0.700657586,-0.101749739,0.562271457,-0.040527892,0.503172114,0.033219733,0.443499228,749
2000,spp_richness,0.364747902,0.132243239,-0.004321799,0.732369819,0.089838582,0.626208919,0.148480827,0.57895969,0.199793079,0.528725591,814
2001,spp_richness,0.347737334,0.149919803,-0.066050892,0.781453225,0.042880611,0.639726121,0.100639037,0.586128394,0.162308141,0.533663403,866
2002,spp_richness,0.285246424,0.166717975,-0.310821049,0.744827675,-0.064658957,0.609285781,0.021623385,0.545173679,0.09223513,0.486075863,937
2003,spp_richness,0.230620879,0.181528198,-0.582946304,0.671081377,-0.144656576,0.55620752,-0.045148478,0.498444912,0.032155279,0.436032061,1086
2004,spp_richness,0.245937309,0.211721393,-0.421089599,0.822011744,-0.183850358,0.650826199,-0.100446433,0.577531933,-0.018857922,0.498157522,1215
2005,spp_richness,0.285692594,0.178082138,-0.247713796,0.774406814,-0.083422464,0.630652713,-0.006405882,0.565275365,0.069385419,0.502922412,1253
2006,spp_richness,0.154186974,0.148612641,-0.28443088,0.52096043,-0.163863908,0.443922572,-0.094396645,0.391786569,-0.030836374,0.337506717,1308
2007,spp_richness,0.142742617,0.116511621,-0.187753541,0.459505111,-0.084493847,0.380787161,-0.047790416,0.33121751,-0.002002866,0.286081456,1358
2008,spp_richness,0.018127071,0.149819768,-0.391306243,0.4241607,-0.284101114,0.312555738,-0.228228836,0.26089778,-0.170998129,0.205994267,1369
2009,spp_richness,-0.077361592,0.147583172,-0.462563912,0.328846749,-0.374920943,0.214171426,-0.327417698,0.160572773,-0.264839601,0.103825134,1331
2010,spp_richness,-0.003188788,0.145786972,-0.385834628,0.390279922,-0.295243292,0.28037432,-0.245299352,0.22934095,-0.18917573,0.180235753,1198
