Lat,Response,StartYear,Estimate,Est.Error,Q0.5,Q99.5,Q2.5,Q97.5,Q5,Q95,Q10,Q90
north,abundance,1971,-0.036977964,2.570995239,-7.856118788,6.900122874,-5.594360853,5.118721532,-4.429688203,4.16535975,-3.147590928,3.071791932
north,abundance,1972,0.121017269,2.555230044,-7.362821977,7.860647032,-5.186496945,5.499896712,-4.060503955,4.430328207,-2.92486279,3.269927998
north,abundance,1973,0.104910547,2.713816975,-8.000694516,8.169357786,-5.574171831,5.744739663,-4.45487583,4.619682231,-3.273206346,3.41170795
north,abundance,1974,0.121120816,2.430031234,-6.793071888,7.187085098,-4.936790386,5.200069212,-3.929112508,4.282667611,-2.823868231,3.153965145
north,abundance,1975,0.17037793,2.596460305,-7.41859299,8.120472457,-5.28145392,5.635424397,-4.101238374,4.480700547,-2.962838759,3.330737569
north,abundance,1976,0.215087005,2.456458083,-6.555452598,7.094577995,-4.749928333,5.421909073,-3.867894661,4.490602963,-2.820232431,3.292557058
north,abundance,1977,0.032397367,1.256238039,-4.105693544,4.150526811,-2.703520316,2.902215173,-2.130905273,2.098833703,-1.436571552,1.420942882
north,abundance,1978,-0.010262978,1.098299436,-3.57212434,3.163742605,-2.367370167,2.233152984,-1.903593973,1.81499406,-1.379783581,1.294444335
north,abundance,1979,-0.051922475,0.436327802,-1.489644924,1.576862664,-1.038845127,0.924663785,-0.777263251,0.66383721,-0.526898582,0.402789099
north,abundance,1980,0.058276201,0.530882455,-1.486981001,1.375714734,-1.019218479,1.153325976,-0.755536655,1.141841866,-0.457864502,1.066599779
north,abundance,1981,-0.035290985,0.326055742,-1.060898146,1.33249411,-0.689496914,0.706357584,-0.529658587,0.489058616,-0.363847209,0.281610202
north,abundance,1982,-0.064477661,0.732876037,-2.489846334,2.14849869,-1.652092825,1.492184661,-1.281244086,1.056684669,-0.918845687,0.63474818
north,abundance,1983,-0.214240919,0.657326126,-3.274271455,1.707917518,-1.673211348,1.074733598,-1.277659321,0.800206749,-0.910866025,0.494320502
north,abundance,1984,0.016262109,0.990382261,-2.976271064,2.981363102,-2.222186025,2.185360396,-1.730723579,1.732008133,-1.188274096,1.206168662
