"","site_id","study_id","Country","season","TaxonomicRes","Year_count","abund_nativeSpp","abundance","alien_Abund","alien_SppRich","E10","EPT_Abund","EPT_SppRich","FEve","FRed","FRic","insect_Abund","insect_SppRich","RaoQ","shannonsH","spp_rich_rare","spp_richness","SppRich_nativeSpp","turnover","F_to","FDiv"
"1",100000001,"France_1","France","summer","genus",35,-0.00861512534830171,-0.0068958931608107,0.0865902688233415,0.187390064810167,0.00436427910102804,-0.000315821641868735,0.0518212859485819,-0.00057154094909251,0.00375926119460266,0.0376273321235072,0.00946877336567511,0.375374543529728,0.625402636057706,0.0442683911170412,0.838643711600608,0.89574869545045,0.709400630560585,-0.00570316219302097,-0.0224269813516894,-0.0319672811211482
"2",100000002,"France_1","France","summer","genus",16,-0.0248316381185843,-0.0100099430135588,0.145683299481798,0.171474744709498,0.0175822922345289,-0.0793320823988742,0.322921915522166,0.000505325749149641,0.0124033130008243,0.0329320097044129,-0.0489443415465233,0.325963883217967,0.850324328272276,0.0845464418629821,0.843708836754124,0.789743906586218,0.595548389275523,-0.00899350723725967,-0.00707715406721392,0.0578922844234415
"3",100000003,"France_2","France","summer","family",17,NA,0.0359987251872503,NA,NA,-0.0388791183587363,0.000412002575244064,0.147405398439639,0.00165741593445551,-0.003143221004367,0.0422810651118372,0.0217402052980033,0.0770785193314436,-0.929345650446806,-0.0825059987154731,-0.158956863460572,0.0752059130429982,NA,-0.00526368729837026,0.00927230641941233,-0.0126273922205329
"4",100000004,"France_2","France","summer","family",20,NA,0.028535268352138,NA,NA,-0.0235068799006979,0.00533462992008816,0.2132982193353,0.00971073794046324,-0.00155705866868492,-0.00665858880562377,0.0029197618059482,0.197401679630924,-1.62763833586027,-0.0774037659575711,-0.233531437688386,0.0143224385745433,NA,0.0244440893998005,-0.0772814094498773,-0.0874171546426024
"5",100000005,"France_2","France","summer","family",19,NA,0.0187442261898877,NA,NA,-0.0274088907617463,-0.0195501083386484,0.228692649447309,0.0128079169217249,-0.00351611961785686,0.0422087004261009,-0.00127067154505102,0.513797191376588,-1.27549749526889,-0.072483069403923,0.481713694411717,0.701865153589847,NA,-0.00257336083097643,-0.0646273462351415,0.0815141107494699
"6",100000006,"France_2","France","summer","family",19,NA,-0.000357043889061203,NA,NA,-0.00250799743143445,-0.0275734676468134,0.174563969261191,0.0101348653598651,0.000857583669655807,0.0238209068522841,-0.0268323734111626,0.31197628853344,-0.934615189982797,-0.0300169532053675,0.103584064590745,0.377671143601821,NA,-0.00141118013665145,-0.0700513571756185,-0.0266167693481797
"7",100000007,"France_2","France","summer","family",19,NA,0.0194296351248328,NA,NA,-0.00881311366601615,0.0156616286251419,0.171175259838914,0.00375558931600609,0.000840780059600012,0.000454174653196942,0.0122705244135846,0.133597980149695,-0.546865473052508,-0.0486070218801577,-0.0304071896734156,0.234090918512078,NA,-0.00966319498018753,-0.0381497483783172,-0.0359318617670641
"8",100000009,"France_2","France","summer","family",20,NA,0.0183986980206047,NA,NA,0.00220331033826625,0.0522314791106034,0.389619184117707,-0.00956673362297534,-0.00398692380265791,0.0365679134438076,0.0131010652215101,0.740215257323581,0.679317365682064,0.0692604664606436,0.607248812614612,0.962668360122187,NA,-0.00568237048238064,0.0030711364213142,-0.0360321293934983
"9",100000010,"France_2","France","summer","family",20,NA,0.00946902441457738,NA,NA,0.00497400180015409,0.0780063460202701,0.419447064044252,-0.0048497034931597,0.00449068708443493,0.0171682047817662,0.0073611346756213,0.629202386362877,1.03686010881287,0.0810680861894128,0.585804443369265,0.818406341525226,NA,-0.0363554485969611,-0.0107321361256376,-0.0565158887024151
"10",100000011,"France_2","France","summer","family",20,NA,0.00519920437519054,0.165081933114231,0.120889483088376,0.000328158150788764,0.00349032686372886,0.160650740230006,0.00235334440940031,-0.00246950211123961,0.0425305791358696,-0.0232784267908711,0.330614659028416,0.612689467737681,0.0813511320666491,0.523784252817547,0.433294566155231,NA,-0.0167883575539107,-0.0485704965377286,-0.128813339049736
"11",100000012,"France_2","France","summer","family",20,NA,0.0346410613488993,NA,NA,-0.00468493646772702,0.0534030830678638,0.198085063515959,-0.00871857110045333,-0.00164443560752807,0.0103628377247023,0.066875634850202,0.0658276788922375,0.222078718118945,-0.0138704762871583,-0.388368909092871,0.0409236045300595,NA,-0.0051996777040787,-0.0113053506079697,0.0609363955055068
"12",100000013,"France_2","France","summer","family",20,NA,0.00297718359398562,NA,NA,0.000629636890290461,0.0224391101907405,0.384680601177715,0.00187292875177378,-0.00240737744517788,0.00324117689958368,0.00219267067017871,0.406327937532359,-0.0227343990761501,0.0218048082893198,0.227272421526386,0.328966878612158,NA,-2.14299523922017e-05,-0.0358681952797917,-0.0405976878377607
"13",100000014,"France_2","France","summer","family",20,NA,0.0103464277141627,NA,NA,-0.00279455245078892,0.0239114574047579,0.342172542651667,-0.00196170795809117,0.00142675495442731,0.037988058579441,0.0055864998379947,0.456026635151013,0.13595294022852,0.0365865386276039,0.271617963942035,0.312348100205559,NA,-0.00713337687562598,-0.00463938614112685,-0.00525894594445835
"14",100000015,"France_2","France","summer","family",24,NA,-0.0336384801006452,NA,NA,0.0190261479356068,0.0170982633117635,0.246646900322093,0.00067465278005381,0.00155568093526759,-0.0451670832109031,-0.0329807247042017,0.0875312736094841,0.893960155835689,0.0380261410309932,0.191305314830448,0.0126587148650194,NA,-0.00746432430960312,0.0215224303521039,-0.0515785698589361
