Response,Estimate,Est.Error,Q0.5,Q99.5,Q2.5,Q97.5,Q5,Q95,Q10,Q90
spp_richness,0.200403514,0.079188559,-0.005497321,0.417254772,0.047120045,0.35926664,0.071389986,0.330765775,0.100431838,0.299787244
spp_richness_rarefied,0.043197447,0.038567819,-0.061931906,0.144760836,-0.032811748,0.120093486,-0.017642112,0.107479909,-0.004707694,0.091952449
shannonsH,0.004915627,0.002903158,-0.004442506,0.012101081,-0.00180513,0.010258042,-6.18E-05,0.009336033,0.001399861,0.008415971
E10,-0.002345967,0.000949393,-0.00496894,0.000174371,-0.004263798,-0.000498298,-0.003904752,-0.000803598,-0.003539705,-0.001177769
abundance,0.005070704,0.003757592,-0.004989245,0.016021666,-0.00229045,0.012590343,-0.001013245,0.011063762,0.000348879,0.009753834
turnover,-0.001108296,0.001044864,-0.003981211,0.001828082,-0.003175698,0.000972912,-0.002818705,0.000583308,-0.002395987,0.000158623
func_turnover,-0.006677983,0.003665191,-0.01670228,0.003037698,-0.014187259,0.00046043,-0.012813084,-0.000718384,-0.011379238,-0.002191064
func_rich,0.010303468,0.00379334,0.000567857,0.021080361,0.002883881,0.01783833,0.004221083,0.016539552,0.00555709,0.015094508
func_even,-0.0011347,0.000636848,-0.002897424,0.000537884,-0.002413075,0.000101793,-0.002180455,-0.000105306,-0.001930751,-0.000334638
func_diverg,0.000626314,0.002706338,-0.006397816,0.008235516,-0.004745562,0.006154055,-0.003784413,0.005050087,-0.002759433,0.003974677
RaoQ,0.07868425,0.055755951,-0.089891716,0.227116219,-0.039906237,0.184614065,-0.016512098,0.165139024,0.010101581,0.145120053
FRed,8.11E-05,0.000248486,-0.000632195,0.000731111,-0.000431128,0.000566432,-0.000331112,0.000478155,-0.000232253,0.000383467
alien_SppRich_unweighted,0.056528763,0.017274916,0.009612027,0.104362803,0.022476118,0.090011278,0.028372819,0.08442091,0.034786049,0.07831254
alien_abund,0.016619631,0.010417961,-0.011425652,0.046614472,-0.003990581,0.037464812,-1.74E-05,0.033819819,0.003780764,0.029776054
native_SppRich,0.175544253,0.087880986,-0.052912444,0.423003264,0.004127437,0.352805424,0.03280477,0.319945302,0.066739177,0.286994589
native_abund,0.001143857,0.004007578,-0.009059402,0.012773613,-0.00638945,0.009290106,-0.005250529,0.007837444,-0.003785633,0.006236547
EPT_SppRich_unweighted,0.042197396,0.048259902,-0.087239078,0.171541752,-0.051865463,0.138363642,-0.036094967,0.122032324,-0.017850624,0.103608145
EPT_abund_unweighted,0.010200776,0.005403634,-0.004673988,0.024633576,-0.000680539,0.020639296,0.001125051,0.019089384,0.003381072,0.016870948
insect_SppRich,0.135738251,0.059687348,-0.017834089,0.297013985,0.017229617,0.254814621,0.03884341,0.235821246,0.060482831,0.211401818
insect_abund,0.006612129,0.004073594,-0.003874127,0.018199117,-0.001250644,0.014633402,3.33E-05,0.013319548,0.001498048,0.011764268
