site_id,years_sampled
100000001,23
100000002,16
100000003,8
100000004,9
100000005,10
100000006,10
100000007,12
100000009,12
100000010,11
100000011,11
100000012,12
100000013,12
100000014,13
100000015,15
100000016,18
100000017,14
100000018,19
100000019,15
100000020,15
100000021,15
100000022,15
100000023,15
100000024,12
100000025,15
100000026,13
100000027,12
100000028,14
100000029,15
100000030,17
100000031,16
100000032,15
100000033,17
100000034,10
100000035,14
100000036,18
100000037,18
100000038,13
100000039,17
100000040,13
100000041,19
100000042,13
100000043,21
100000044,18
100000045,16
100000046,20
100000047,20
100000048,15
100000049,19
100000050,18
100000051,15
100000052,12
100000053,10
100000054,13
100000055,16
100000056,19
100000057,20
100000058,10
100000059,21
100000060,19
100000061,13
100000062,11
100000063,16
100000064,14
100000065,13
100000066,15
100000067,15
100000068,15
100000069,15
100000070,11
100000071,14
100000072,15
100000073,12
100000074,9
100000075,9
100000076,13
100000077,11
100000078,13
100000079,14
100000080,14
100000081,15
100000082,13
100000083,13
100000084,15
100000085,14
100000086,14
100000088,12
100000089,15
100000090,15
100000091,13
100000092,11
100000093,15
100000094,12
100000095,11
100000096,14
100000097,14
100000098,13
100000099,14
100000100,11
100000101,11
100000102,11
100000103,11
100000104,11
100000106,14
100000107,9
100000108,15
100000109,12
100000110,14
100000111,12
100000112,14
100000113,11
100000114,13
100000115,8
100000116,14
100000118,14
100000119,13
100000120,9
100000121,13
100000122,14
100000123,17
100000124,17
100000125,14
100000126,18
100000127,11
100000128,13
100000129,13
100000130,9
100000131,13
100000132,11
100000133,14
100000134,12
100000135,14
100000136,13
100000137,11
100000138,10
100000139,11
100000140,13
100000141,19
100000142,18
100000143,19
100000144,16
100000145,14
100000146,18
100000147,13
100000148,17
100000149,14
100000150,14
100000151,15
100000152,15
100000153,10
100000154,17
100000155,17
100000156,16
100000157,18
100000158,12
100000159,16
100000160,14
100000161,13
100000162,19
100000163,22
100000164,16
100000165,20
100000166,22
100000167,14
100000168,12
100000169,20
100000170,23
100000171,23
100000172,16
100000173,16
100000174,13
100000175,14
100000176,15
100000177,16
100000178,11
100000179,13
100000180,17
100000181,13
100000182,18
100000183,18
100000184,17
100000185,16
100000186,9
100000187,18
100000188,14
100000189,16
100000190,12
100000191,15
100000192,13
100000193,15
100000194,24
100000195,20
100000196,22
100000197,15
100000198,12
100000199,14
100000200,14
100000201,16
100000202,15
100000203,17
100000204,16
100000205,13
100000206,20
100000207,18
100000208,17
100000209,19
100000210,18
100000211,19
100000212,21
100000213,19
100000214,23
100000215,15
100000216,10
100000217,14
100000218,18
100000219,13
100000220,9
100000221,15
100000222,16
100000223,12
100000224,11
100000225,14
100000226,10
100000227,12
100000228,14
100000229,17
100000230,16
100000231,13
100000232,18
100000233,14
100000234,17
100000235,17
100000236,13
100000237,14
100000238,16
100000239,11
100000240,12
100000241,9
100000242,11
100000243,12
100000244,11
100000245,10
100000246,12
100000247,12
100000248,11
100000249,10
100000250,12
100000251,12
100000252,11
100000253,11
100000254,15
100000255,13
100000256,9
100000257,16
100000258,13
100000259,15
100000260,13
100000261,13
100000262,18
100000263,11
100000264,10
100000265,11
100000266,10
100000267,12
100000269,8
100000270,10
100000271,11
100000272,10
100000273,14
100000274,14
100000275,15
100000276,12
100000277,10
100000278,10
100000279,11
100000280,14
100000281,11
100000282,9
100000283,9
100000284,9
100000285,9
100000286,10
100000287,11
100000288,12
100000289,10
100000290,12
100000291,11
100000292,14
100000293,11
100000294,11
100000295,10
100000296,9
100000297,11
100000298,10
100000299,13
100000300,10
100000301,11
100000302,11
100000303,10
100000305,8
100000306,8
100000307,10
100000308,20
100000309,20
100000310,20
100000311,20
100000312,19
100000313,18
101000001,8
101000002,8
101000003,8
101000004,8
101000005,8
101000006,8
101000007,8
101000008,10
101000009,8
101000010,9
102000002,8
102000003,8
103000031,9
103000046,8
103000056,8
103000058,8
103000059,8
103000060,8
103000061,9
103000064,8
103000070,8
103000075,8
103000078,9
103000079,9
103000082,9
103000085,9
103000087,9
103000094,8
103000096,8
103000100,8
103000103,8
103000107,8
103000118,9
103000121,8
103000122,8
103000123,8
103000124,8
