"","drivers","Response","Estimate","Est.Error","Q0.5","Q99.5","Q2.5","Q97.5","Q5","Q95","Q10","Q90"
"1","Intercept","spp_richness",0.341415110884393,0.123004558205845,0.0237537521666186,0.698928689181212,0.112505505188267,0.600293085813368,0.151067915858387,0.550349338711104,0.190593760141806,0.496963722631431
"2","sppt_Est","spp_richness",0.0348956967938781,0.0175720347049556,-0.00545660696281444,0.0796545803101989,0.000523124319459691,0.0694627774078212,0.00543346267156217,0.0639135042256457,0.0118214348841772,0.0577409518514235
"3","stmax_Est","spp_richness",-0.0114147841720419,0.0161479414028114,-0.0602103540415808,0.0257086447870242,-0.048085938135329,0.0152865080490378,-0.0417314385475629,0.0104246151854981,-0.0338921483810691,0.00556795994044829
"4","sppt_mm_12moPrior","spp_richness",-0.0937921091444471,0.0242076638974522,-0.156449784385299,-0.0296032010523751,-0.141782406682658,-0.0453621371004999,-0.133714423449844,-0.0534746205472054,-0.124292983014176,-0.0631261261138111
"5","stmax_C_12moPrior","spp_richness",0.0605995046539955,0.0495871181252775,-0.0280700664674201,0.197257715965677,-0.0118276395340416,0.161409489061516,-0.00548351857294278,0.146830939521591,-7.16389236365958e-05,0.128691531337165
"6","sstrahler_streamOrder","spp_richness",-0.000676374967177858,0.00772060549672405,-0.0234140241634434,0.0205651663551302,-0.0171153461291019,0.0154245008710819,-0.0140143030045451,0.0120619108655827,-0.010346299892951,0.0087768049311952
"7","saccumulation_atPoint","spp_richness",-0.00141944374312212,0.00495341699730293,-0.0162236918092444,0.0114952338792222,-0.0120797455964914,0.00818860486429272,-0.010231165443976,0.00651797401892887,-0.00786932471636766,0.0044788726066189
"8","selevation_atPoint","spp_richness",0.0748774530322688,0.0353358118012332,-0.00206998643740621,0.166067860739559,0.00606896578370184,0.145094964792862,0.0160642281265068,0.133612092201302,0.0283779601658974,0.120932059276873
"9","sslope_mean","spp_richness",0.0501564920879449,0.0187105621025572,0.0012190566767425,0.0964946058082996,0.0122603392439361,0.0858995894656967,0.0185874370714416,0.0807922163222441,0.0259232385841693,0.0738246558540186
"10","surban_meanPerc_upstr","spp_richness",-0.0160760695086479,0.0101549545226743,-0.0428779534382529,0.00561646552052102,-0.0367262877985028,0.0014509570555145,-0.0330880325825704,-8.06983823183251e-05,-0.0292466741640157,-0.00243697711062642
"11","scrop_meanPerc_upstr","spp_richness",-0.0571265667975237,0.0216837811701269,-0.112194881210497,-0.00125993055250876,-0.100048512126052,-0.0137843172144705,-0.093131764277205,-0.0212969974541443,-0.0848104159562763,-0.0294916671150105
"12","sdam_impact_score_lessthan100km","spp_richness",0.0183359403889732,0.0151783810413673,-0.0134966166004877,0.0593976431102181,-0.00622127042594171,0.0498656628018121,-0.00303368810366653,0.0448694814839749,-0.0001067884065434,0.0392090867430375
"13","Intercept","spp_richness_rarefied",0.0953424825786712,0.0719094568481203,-0.0907275060062719,0.309314771074223,-0.0415304919424088,0.243992998055842,-0.0163187480539477,0.217082220823064,0.00852605472005856,0.185084495419191
"14","sppt_Est","spp_richness_rarefied",-0.0166100512114519,0.0103201178178403,-0.0429800784631026,0.00429371605771868,-0.0370981989105005,0.000983964047234057,-0.0340401893010475,-6.542931728622e-05,-0.0301263840530433,-0.00257862076144616
"15","stmax_Est","spp_richness_rarefied",0.00711894081115071,0.0101874101516359,-0.0148188869853501,0.0392825579087807,-0.00894727297394143,0.0310535501601436,-0.00598375599871431,0.026774759560503,-0.00325906371515466,0.021519445823804
"16","sppt_mm_12moPrior","spp_richness_rarefied",-0.069308555994878,0.0165990859600865,-0.113608596539335,-0.026413165526874,-0.10190826458141,-0.037008903585415,-0.0963766551536965,-0.0422905220552805,-0.0902250371031146,-0.0480769984991893
"17","stmax_C_12moPrior","spp_richness_rarefied",0.0176077216094146,0.0218608559737516,-0.0208374170280767,0.0897951477540066,-0.0114751090654035,0.0694234459001428,-0.0072425588531226,0.0602843665131078,-0.00311146588329288,0.049312809270561
"18","sstrahler_streamOrder","spp_richness_rarefied",-8.36521362651e-05,0.00358123513817094,-0.0108905785603666,0.0100320547003465,-0.00759063830040824,0.00738790314803782,-0.00615833858644327,0.00599775192864112,-0.00455827673167684,0.0043548285983571
"19","saccumulation_atPoint","spp_richness_rarefied",0.000582443282779835,0.00269580290060659,-0.00683308412759289,0.00861642794264411,-0.00485855798345045,0.0065127807741375,-0.00373392445897486,0.00533411785885323,-0.00260822735509612,0.00401666365526143
"20","selevation_atPoint","spp_richness_rarefied",0.0242539041468204,0.0183013223914647,-0.00720534909198183,0.0783655688770424,-0.00240077619015157,0.0648742780896659,-0.000573883239291015,0.0570123396764067,0.00110667846084618,0.0490820569994378
"21","sslope_mean","spp_richness_rarefied",0.0781232946803167,0.0131489146234687,0.0441770883494568,0.111970855156913,0.0526431878147854,0.104315429425016,0.0563745044147248,0.09982967389751,0.0612401835063461,0.0948279153760775
"22","surban_meanPerc_upstr","spp_richness_rarefied",-0.00062469768630446,0.00339506813614372,-0.0115031761815732,0.00894803601094455,-0.00799768620474985,0.00606337006545897,-0.00657329606425195,0.00475428664405384,-0.00488273686499639,0.00333853320963822
"23","scrop_meanPerc_upstr","spp_richness_rarefied",-0.0159193803379553,0.0106452285295633,-0.0434270987757913,0.00577739380196278,-0.0372361977850746,0.00180393183479535,-0.0340503965112853,0.000126576111913817,-0.0302708290136346,-0.00166263922497627
"24","sdam_impact_score_lessthan100km","spp_richness_rarefied",0.0124660513101381,0.00819078048429871,-0.00450745251054743,0.0335489481726878,-0.0013048810705957,0.028703658396541,-9.43774361646997e-05,0.0263936322906487,0.00146820665370674,0.0233595622124995
"25","Intercept","shannonsH",0.00658713351708409,0.00463885611780918,-0.00674400663834983,0.0192966351457004,-0.00297562312264522,0.0157763034374596,-0.00114693626654686,0.0140318946955988,0.00082535499018571,0.0122591779939519
"26","sppt_Est","shannonsH",-0.000561869248944148,0.00105128857321527,-0.00450558556188106,0.00173103374957949,-0.00330509708401678,0.000939858869171661,-0.00268764439896815,0.000612073931650259,-0.00203553856402893,0.000320587334541825
"27","stmax_Est","shannonsH",0.000224540959887115,0.00110284922668183,-0.00323964800417938,0.00477625345194628,-0.00180350538928273,0.00294020312131951,-0.00127810841332517,0.00225301304918122,-0.000775026055276581,0.00151653923173223
"28","sppt_mm_12moPrior","shannonsH",-0.00106406637071028,0.00148523269795981,-0.00610344096313725,0.00152696986190813,-0.0048004134367051,0.000722437970325977,-0.00409677573575866,0.000434238959599213,-0.00327726366995253,0.000193945999775935
"29","stmax_C_12moPrior","shannonsH",0.000839895485903067,0.00164015071583319,-0.00222317697653732,0.00783591592013534,-0.00113088521769826,0.00538471203093637,-0.000745256619494102,0.0042915786248031,-0.000378408317492523,0.00304042257293375
"30","sstrahler_streamOrder","shannonsH",-1.79997638809445e-05,0.000580987614235743,-0.00200889754520296,0.00189074781652653,-0.00134327890358531,0.00123204736263856,-0.00102046465200985,0.00093100580801539,-0.000681869194709843,0.000634976393726017
"31","saccumulation_atPoint","shannonsH",-0.000104908739161064,0.000324202708233263,-0.00114458554695926,0.000774929079676734,-0.000851587792021259,0.000495833954903666,-0.000710934197631602,0.000373065671277281,-0.000546126444536232,0.000243101957059735
"32","selevation_atPoint","shannonsH",0.000151608038305181,0.00101576627040169,-0.00273174240816877,0.00438590056461987,-0.00176550796864691,0.00266642098608577,-0.00131326264252949,0.00197193712973487,-0.000825567039549798,0.00128519630257521
"33","sslope_mean","shannonsH",0.00708903981915128,0.0033038092758298,-0.000246660801854016,0.0148315189169441,2.99848475011909e-06,0.0130322837950279,0.000304773167046653,0.0121714050201336,0.00226289189710323,0.0110254915644856
