Model,Response,Estimate,Est.Error,Q0.5,Q99.5,Q2.5,Q97.5,Q5,Q95,Q10,Q90,percEstimate,percEst.Error,percQ0.5,percQ99.5,percQ2.5,percQ97.5,percQ5,percQ95,percQ10,percQ90
OneStage,spp_richness,0.238398007,0.115315935,-0.087058075,0.558687109,0.005159149,0.457381783,0.046884406,0.41912434,0.096043515,0.378135089,0.873664863,0.422602025,-0.319044534,2.047438662,0.0189069,1.676181768,0.171818794,1.535978483,0.351973766,1.385763853
OneStage,abundance,0.007783098,0.003199744,-0.000640823,0.016359274,0.001684126,0.01420569,0.002721284,0.013156806,0.003781777,0.011859396,1.808279456,0.739489099,-0.14744614,3.838707561,0.388537199,3.325065675,0.628566034,3.075821796,0.874588708,2.768352897
OneStage,E10,-0.002600098,0.000715825,-0.004543946,-0.000578642,-0.003976574,-0.001160468,-0.003734185,-0.001418448,-0.003493109,-0.001694075,-0.596906084,0.164960708,-1.040827739,-0.133148523,-0.911460784,-0.26685095,-0.856141924,-0.326076933,-0.801092088,-0.389315379
OneStage,turnover,-0.001613422,0.001051372,-0.004518016,0.001358211,-0.003711831,0.000450019,-0.003336469,8.44E-05,-0.002939904,-0.000305687,-0.297167571,0.193646587,-0.832149209,0.250161622,-0.683662304,0.082886593,-0.614526385,0.015545185,-0.541485198,-0.056302854
OneStage,shannonsH,0.004894203,0.002887865,-0.003355521,0.012103594,-0.001069394,0.010318546,-5.71E-06,0.00948325,0.001248928,0.008460333,0.247402846,0.145982097,-0.169622193,0.611838863,-0.05405806,0.521604364,-0.000288642,0.47938,0.063133536,0.427671361
OneStage,spp_richness_rarefied,0.094762634,0.05856549,-0.056269273,0.25302547,-0.02140183,0.215292582,0.00029845,0.193132541,0.024550457,0.169905282,0.492400657,0.304314945,-0.292383462,1.314757753,-0.111207073,1.118692088,0.00155079,1.003545238,0.127567804,0.882852966
OneStage,func_rich,0.0102449,0.003692661,-0.000388914,0.020090589,0.002458203,0.017175509,0.003978197,0.016101985,0.005658207,0.014741917,2.387019309,0.853891651,-0.089510673,4.73469902,0.56762709,4.034050788,0.920221956,3.777208633,1.311374382,3.452720783
OneStage,FRed,3.92E-05,0.000381662,-0.001044147,0.001032817,-0.000755015,0.000774126,-0.000607146,0.000643116,-0.000450043,0.000506988,0.013464042,0.131089626,-0.358633659,0.354742138,-0.259325355,0.26588942,-0.208536721,0.220891354,-0.15457648,0.174135406
OneStage,func_even,-0.001451463,0.000586626,-0.00305547,0.000124373,-0.00263409,-0.000283036,-0.002421532,-0.00049129,-0.002192245,-0.00072014,-0.280253425,0.113267748,-0.589960565,0.024014363,-0.508599078,-0.054649556,-0.467557654,-0.094859948,-0.423286139,-0.139047086
OneStage,func_turnover,-0.003831701,0.001670924,-0.008538101,0.000483769,-0.007346078,-0.00063119,-0.006569391,-0.001134991,-0.005898386,-0.001777525,-0.1832247,0.08000546,-0.40782254,0.02315673,-0.3509839,-0.03020532,-0.31393248,-0.05430797,-0.28191171,-0.08503942
OneStage,func_diverg,0.000543205,0.00064888,-0.001352344,0.002203456,-0.000795374,0.001779341,-0.000541459,0.00156496,-0.000259403,0.001334909,0.03902259,0.046614038,-0.097149264,0.158291181,-0.057137828,0.12782374,-0.038897162,0.112423105,-0.018634911,0.095896774
OneStage,RaoQ,0.084667881,0.07921974,-0.135651268,0.338101189,-0.064756115,0.251928761,-0.035681453,0.211614895,-0.007209935,0.178712052,0.213216144,0.199496283,-0.341605813,0.851428323,-0.163073045,0.634423331,-0.089855347,0.532902341,-0.018156526,0.45004427
OneStage,alien_SppRich,0.034550555,0.011216745,0.004908443,0.06592379,0.012599046,0.057080564,0.016350296,0.052960257,0.020421939,0.04904291,2.424251208,0.787026652,0.344402539,4.625564698,0.884016262,4.005076799,1.147223969,3.715974085,1.432912157,3.441112127
OneStage,alien_abund,0.026044543,0.011126445,-0.004076584,0.055937646,0.003899339,0.048102369,0.007495977,0.04399031,0.012030448,0.039822902,6.180445458,2.595058867,-0.934276417,13.74639623,0.901898803,11.71265384,1.740994156,10.65990932,2.808837396,9.603116189
