"","site","startyear","count.i"
"10",100000001,1977,6
"11",100000001,1978,6
"12",100000001,1979,7
"13",100000001,1980,8
"14",100000001,1981,8
"15",100000001,1982,8
"16",100000001,1983,9
"17",100000001,1984,9
"18",100000001,1985,9
"19",100000001,1986,9
"20",100000001,1987,9
"21",100000001,1988,10
"22",100000001,1989,9
"23",100000001,1990,9
"24",100000001,1991,9
"25",100000001,1992,9
"26",100000001,1993,9
"27",100000001,1994,8
"28",100000001,1995,8
"29",100000001,1996,8
"30",100000001,1997,8
"31",100000001,1998,8
"32",100000001,1999,9
"33",100000001,2000,9
"34",100000001,2001,9
"35",100000001,2002,9
"36",100000001,2003,9
"37",100000001,2004,10
"38",100000001,2005,10
"39",100000001,2006,9
"40",100000001,2007,8
"41",100000001,2008,7
"42",100000001,2009,6
"77",100000002,1995,6
"78",100000002,1996,7
"79",100000002,1997,8
"80",100000002,1998,9
"81",100000002,1999,10
"82",100000002,2000,10
"83",100000002,2001,10
"84",100000002,2002,10
"85",100000002,2003,10
"86",100000002,2004,10
"87",100000002,2005,10
"88",100000002,2006,9
"89",100000002,2007,8
"90",100000002,2008,7
"91",100000002,2009,6
"234",100000005,2005,6
"235",100000005,2006,7
"236",100000005,2007,6
"275",100000006,1997,6
"276",100000006,1998,6
"324",100000007,1997,6
"325",100000007,1998,6
"331",100000007,2004,6
"332",100000007,2005,7
"333",100000007,2006,7
"334",100000007,2007,6
"381",100000009,2005,6
"382",100000009,2006,7
"383",100000009,2007,8
"384",100000009,2008,7
"385",100000009,2009,6
"386",100000009,2010,6
"431",100000010,2006,6
"432",100000010,2007,7
"433",100000010,2008,6
"480",100000011,2006,6
"481",100000011,2007,7
"482",100000011,2008,6
"527",100000012,2004,6
"528",100000012,2005,6
"529",100000012,2006,7
"530",100000012,2007,8
"531",100000012,2008,7
"532",100000012,2009,6
"533",100000012,2010,6
"576",100000013,2004,6
"577",100000013,2005,6
"578",100000013,2006,7
"579",100000013,2007,8
"580",100000013,2008,7
"581",100000013,2009,6
"582",100000013,2010,6
"625",100000014,2004,6
"626",100000014,2005,7
"627",100000014,2006,8
"628",100000014,2007,9
"629",100000014,2008,8
"630",100000014,2009,7
"631",100000014,2010,7
"632",100000014,2011,6
"661",100000015,1991,6
"662",100000015,1992,6
"663",100000015,1993,7
"664",100000015,1994,6
"674",100000015,2004,6
"675",100000015,2005,6
"676",100000015,2006,7
"677",100000015,2007,8
"678",100000015,2008,7
"679",100000015,2009,6
"708",100000016,1989,6
"709",100000016,1990,7
"710",100000016,1991,8
"711",100000016,1992,8
"712",100000016,1993,8
"713",100000016,1994,7
"714",100000016,1995,6
"715",100000016,1996,6
"721",100000016,2002,6
"722",100000016,2003,6
"723",100000016,2004,7
"724",100000016,2005,7
"725",100000016,2006,8
"726",100000016,2007,9
"727",100000016,2008,8
"728",100000016,2009,7
"729",100000016,2010,6
"772",100000017,2004,6
"773",100000017,2005,6
"774",100000017,2006,7
"775",100000017,2007,8
"776",100000017,2008,8
"777",100000017,2009,7
"778",100000017,2010,6
"806",100000018,1989,6
"807",100000018,1990,7
"808",100000018,1991,8
"809",100000018,1992,8
"810",100000018,1993,8
"811",100000018,1994,7
"812",100000018,1995,6
"819",100000018,2002,6
"820",100000018,2003,6
"821",100000018,2004,7
"822",100000018,2005,8
"823",100000018,2006,9
"824",100000018,2007,10
"825",100000018,2008,9
"826",100000018,2009,8
"827",100000018,2010,7
"828",100000018,2011,6
"856",100000019,1990,6
"857",100000019,1991,6
"858",100000019,1992,6
"859",100000019,1993,6
"860",100000019,1994,6
"861",100000019,1995,6
"870",100000019,2004,6
"871",100000019,2005,6
"872",100000019,2006,7
"873",100000019,2007,8
"874",100000019,2008,8
"875",100000019,2009,7
"876",100000019,2010,6
"908",100000020,1993,6
"909",100000020,1994,6
"910",100000020,1995,6
"917",100000020,2002,6
"918",100000020,2003,6
"919",100000020,2004,7
"920",100000020,2005,7
"921",100000020,2006,8
"922",100000020,2007,9
"923",100000020,2008,8
"924",100000020,2009,7
"925",100000020,2010,6
"957",100000021,1993,6
"958",100000021,1994,6
"959",100000021,1995,6
"966",100000021,2002,6
"967",100000021,2003,6
"968",100000021,2004,7
"969",100000021,2005,7
"970",100000021,2006,8
"971",100000021,2007,9
"972",100000021,2008,8
"973",100000021,2009,7
"974",100000021,2010,6
"1015",100000022,2002,6
"1016",100000022,2003,6
"1017",100000022,2004,7
"1018",100000022,2005,7
"1019",100000022,2006,8
"1020",100000022,2007,9
"1021",100000022,2008,8
"1022",100000022,2009,7
"1023",100000022,2010,6
"1064",100000023,2002,6
"1065",100000023,2003,6
"1066",100000023,2004,7
"1067",100000023,2005,7
"1068",100000023,2006,8
"1069",100000023,2007,9
"1070",100000023,2008,8
"1071",100000023,2009,7
"1072",100000023,2010,6
"1114",100000024,2003,6
"1115",100000024,2004,7
"1116",100000024,2005,8
"1117",100000024,2006,9
"1118",100000024,2007,10
"1119",100000024,2008,9
"1120",100000024,2009,8
"1121",100000024,2010,7
"1122",100000024,2011,6
"1153",100000025,1993,6
"1154",100000025,1994,6
"1155",100000025,1995,6
"1162",100000025,2002,6
"1163",100000025,2003,6
"1164",100000025,2004,7
"1165",100000025,2005,8
"1166",100000025,2006,9
"1167",100000025,2007,9
"1168",100000025,2008,8
"1169",100000025,2009,7
"1170",100000025,2010,6
"1213",100000026,2004,6
"1214",100000026,2005,6
"1215",100000026,2006,7
"1216",100000026,2007,8
"1217",100000026,2008,7
"1218",100000026,2009,6
"1219",100000026,2010,6
"1262",100000027,2004,6
"1263",100000027,2005,6
"1264",100000027,2006,7
"1265",100000027,2007,8
"1266",100000027,2008,7
"1267",100000027,2009,6
"1268",100000027,2010,6
"1310",100000028,2003,6
"1311",100000028,2004,7
"1312",100000028,2005,8
"1313",100000028,2006,9
"1314",100000028,2007,10
"1315",100000028,2008,9
"1316",100000028,2009,8
"1317",100000028,2010,7
"1318",100000028,2011,6
"1358",100000029,2002,6
"1359",100000029,2003,7
"1360",100000029,2004,8
"1361",100000029,2005,9
"1362",100000029,2006,10
"1363",100000029,2007,10
"1364",100000029,2008,9
"1365",100000029,2009,8
"1366",100000029,2010,7
"1367",100000029,2011,6
"1395",100000030,1990,6
"1396",100000030,1991,7
"1397",100000030,1992,8
"1398",100000030,1993,8
"1399",100000030,1994,7
"1400",100000030,1995,7
"1401",100000030,1996,6
"1408",100000030,2003,6
"1409",100000030,2004,7
"1410",100000030,2005,7
"1411",100000030,2006,8
"1412",100000030,2007,9
"1413",100000030,2008,8
"1414",100000030,2009,7
"1415",100000030,2010,6
"1444",100000031,1990,6
"1445",100000031,1991,7
"1446",100000031,1992,8
"1447",100000031,1993,8
"1448",100000031,1994,7
"1449",100000031,1995,7
"1450",100000031,1996,6
"1457",100000031,2003,6
"1458",100000031,2004,7
"1459",100000031,2005,7
"1460",100000031,2006,7
"1461",100000031,2007,8
"1462",100000031,2008,7
"1463",100000031,2009,6
"1495",100000032,1992,6
"1496",100000032,1993,6
"1497",100000032,1994,6
"1498",100000032,1995,6
"1506",100000032,2003,6
"1507",100000032,2004,7
"1508",100000032,2005,7
"1509",100000032,2006,8
"1510",100000032,2007,9
"1511",100000032,2008,8
"1512",100000032,2009,7
"1513",100000032,2010,6
"1548",100000033,1996,6
"1549",100000033,1997,6
"1550",100000033,1998,6
"1551",100000033,1999,7
"1552",100000033,2000,8
"1553",100000033,2001,9
"1554",100000033,2002,10
"1555",100000033,2003,10
"1556",100000033,2004,10
"1557",100000033,2005,10
"1558",100000033,2006,9
"1559",100000033,2007,9
"1560",100000033,2008,8
"1561",100000033,2009,7
"1562",100000033,2010,6
"1603",100000034,2002,6
"1604",100000034,2003,6
"1605",100000034,2004,6
"1606",100000034,2005,7
"1607",100000034,2006,7
"1608",100000034,2007,8
"1609",100000034,2008,7
"1610",100000034,2009,6
"1643",100000035,1993,6
"1644",100000035,1994,6
"1645",100000035,1995,6
"1646",100000035,1996,7
"1647",100000035,1997,8
