site_id,year
100000002,15
100000043,15
100000047,15
100000059,16
100000060,15
100000148,15
100000170,15
100000171,15
100000194,16
100000195,15
100000196,15
100000212,15
100000214,15
100000262,15
100000308,19
100000309,19
100000310,19
100000311,19
100000312,18
100000313,17
103000516,17
103000519,19
103000522,19
103000523,19
103000525,19
103000526,18
103000530,18
103000532,18
103000533,17
103000538,19
103000541,19
103000544,19
103000545,17
103000547,19
103000548,19
103000549,19
103000550,19
103000551,19
103000553,19
103000554,16
103000555,19
103000556,18
103000558,18
103000559,16
103000560,17
103000562,19
103000563,19
103000569,19
103000570,19
103000573,17
103000574,19
103000575,16
103000577,17
103000578,19
103000580,19
103000582,19
103000583,19
103000588,19
103000596,15
103000597,19
103000600,16
103000605,16
103000609,17
103000610,17
103000611,19
103000612,16
103000613,19
103000614,15
103000615,19
103000619,16
103000621,16
103000622,17
103000626,19
103000627,17
103000628,19
103000635,19
103000637,18
103000638,18
103000640,18
103000641,18
103000642,18
103000643,18
103000644,18
103000645,17
103000646,18
103000647,18
103000648,18
103000649,18
103000650,18
103000651,18
103000652,15
103000654,18
103000655,18
103000657,18
103000658,18
103000659,18
103000660,18
103000661,18
103000662,18
103000663,18
103000665,18
103000666,18
103000667,16
103000668,18
103000669,18
103000670,18
103000671,17
103000672,18
103000673,18
103000674,18
103000675,18
103000676,18
103000677,18
103000678,18
103000679,18
103000680,18
103000682,18
103000683,15
103000684,18
103000685,18
103000686,18
103000687,18
103000688,17
103000690,18
103000691,17
103000692,17
103000693,18
103000694,18
103000695,17
103000696,18
103000697,18
103000698,18
103000699,18
103000700,18
103000701,18
103000702,18
103000703,18
103000704,18
103000705,18
103000706,18
103000707,18
103000708,18
103000709,17
103000710,18
104000001,18
104000002,16
104000005,19
104000011,16
104000031,18
104000038,15
104000043,15
104000056,15
104000073,15
104000074,15
104000084,15
104000086,15
104000090,15
104000092,18
104000094,18
104000095,19
104000100,19
104000101,15
104000110,15
104000118,19
104000124,19
104000141,15
104000142,15
104000148,15
104000156,18
104000162,19
104000166,19
107000001,18
107000002,18
107000003,19
107000004,18
107000005,16
107000006,18
107000007,18
107000008,18
107000009,18
107000010,18
107000011,19
107000012,18
107000013,18
107000014,18
107000015,19
107000016,18
107000017,18
107000018,16
107000019,16
107000020,17
107000021,18
107000022,18
107000023,19
107000024,16
107000025,18
107000026,17
107000027,18
107000028,17
107000029,16
107000030,16
107000031,16
107000032,18
107000033,18
107000034,17
107000035,18
107000036,19
107000038,17
107000039,17
107000040,19
107000041,19
107000042,17
107000043,17
107000044,16
107000045,16
107000046,19
107000047,17
107000048,17
107000049,17
107000050,17
107000051,18
107000052,18
107000053,19
107000054,17
107000055,18
107000056,18
107000057,15
107000058,18
107000059,18
107000060,18
107000061,18
107000062,17
107000063,17
107000064,18
107000065,19
107000066,18
107000067,17
107000068,16
107000069,17
107000070,19
107000071,17
107000072,17
107000073,18
107000074,18
107000075,19
107000076,18
107000077,18
107000078,17
107000079,17
107000080,19
107000081,18
107000082,17
107000083,18
107000084,18
107000085,17
107000086,18
107000087,17
107000088,17
107000090,18
107000091,19
107000092,17
107000093,16
107000094,18
107000095,18
107000096,18
107000097,15
107000098,18
107000099,19
107000100,17
107000101,18
107000102,17
107000103,18
107000104,15
107000105,17
107000106,17
107000107,18
107000108,15
107000109,17
107000110,18
107000111,17
107000112,15
107000113,18
107000114,18
107000115,18
107000116,15
107000117,17
107000118,18
107000119,18
107000120,17
107000121,17
107000122,17
107000123,18
107000124,18
107000125,17
107000126,18
107000127,18
107000128,18
107000129,19
107000131,18
107000132,15
107000133,19
107000134,17
107000135,18
107000136,16
107000137,18
107000138,19
107000139,16
107000140,17
107000141,19
107000142,19
107000144,16
107000145,17
107000146,17
107000147,19
107000148,15
107000149,17
107000150,17
107000151,17
107000152,18
107000153,17
107000154,17
107000155,17
107000156,17
107000157,17
107000158,17
107000159,17
107000161,17
107000162,17
107000163,17
107000164,17
107000165,17
107000166,17
107000167,17
107000168,16
107000169,17
107000170,18
107000171,16
107000172,16
107000173,17
107000174,17
107000175,17
107000176,17
107000177,17
107000178,16
107000180,17
107000181,17
107000182,17
107000183,16
107000184,15
107000185,16
107000186,16
107000187,16
107000188,16
107000189,16
107000190,15
107000191,16
107000193,15
107000194,16
107000195,15
107000196,15
107000197,19
107000198,18
107000199,19
107000200,16
107000201,18
107000202,18
107000203,17
107000204,17
107000205,18
107000206,17
107000207,17
107000208,18
107000209,18
107000210,18
107000211,17
107000212,18
107000213,18
107000214,19
107000215,16
107000216,17
107000217,17
107000218,17
107000219,17
107000220,18
107000221,18
107000222,18
107000223,18
107000224,17
107000226,18
107000227,17
107000229,18
107000230,18
107000231,18
107000232,18
107000233,17
107000234,15
107000238,15
107000239,17
107000241,17
107000242,18
107000243,18
107000244,18
107000245,17
107000246,18
107000247,18
107000248,18
109000016,15
109000032,15
109000037,15
109000038,15
109000039,19
109000040,19
109000083,15
109000084,16
109000085,19
109000087,16
109000088,16
109000092,16
109000099,15
109000102,16
109000103,18
109000108,18
109000110,15
109000118,17
109000120,17
109000122,18
109000144,16
109000146,15
109000147,17
109000152,18
109000153,16
109000159,18
109000177,15
109000184,15
109000186,16
