Lat50N,meanyear,site_count,sppRich,se_sppRich,abun,se_abun,turnover,se_turnover,sppRichRare,se_sppRichRare,S_PIE,se_S_PIE,ShanH,se_ShanH,FRich,se_FRich,FEve,se_FEve,FTurnO,se_FTurnO,FDiv,se_FDiv,RaoQ,se_RaoQ
north,1972.5,14,0.5790617,0.090252085,0.047961709,0.017988963,0.021033645,0.015890187,0.441114452,0.055489171,0.05408991,0.008630899,0.11447245,0.018357793,0.087768934,0.032340144,0.007527667,0.009312837,0.007001908,0.008647522,0.00117763,0.007848659,1.622841355,0.414010185
north,1973.5,25,0.65826596,0.059898411,0.055473569,0.012573867,-0.022729336,0.008294811,0.442148814,0.043730354,0.048674698,0.007823204,0.122246171,0.014294774,0.114049977,0.018463537,0.002669095,0.005370853,-0.013715751,0.003828658,0.000978247,0.00515151,1.553124055,0.280053324
north,1974.5,27,0.504745345,0.072716091,0.078004665,0.013933597,-0.015091539,0.008241877,0.308691711,0.054263949,0.02365605,0.007303245,0.078755646,0.014056152,0.120859511,0.018847326,-0.003271566,0.00590305,-0.006364478,0.003591238,0.005840818,0.004644012,1.135322929,0.356732853
north,1975.5,30,0.524967822,0.060869368,0.121331707,0.009441588,-0.002330952,0.00614492,0.266669464,0.034859094,0.019572285,0.006360058,0.0612543,0.012883692,0.127113289,0.019044514,-0.009775099,0.0045783,-0.006438459,0.004140734,0.002232588,0.004355147,1.529616136,0.295063212
north,1976.5,27,0.564468672,0.064656591,0.130832067,0.010852181,0.001430783,0.006263869,0.27339399,0.041860121,0.021320261,0.007240218,0.065942667,0.014553739,0.144856935,0.023239951,-0.01018407,0.005419692,-0.004368283,0.003914419,0.00367813,0.005880047,1.862024824,0.327237555
north,1977.5,32,1.198310301,0.073342753,0.187113399,0.011377359,0.010647247,0.004749898,0.307317179,0.057751819,0.011192473,0.006496499,0.062693937,0.012929444,0.150315045,0.015932852,-0.022459601,0.003983741,-0.006028759,0.00342515,0.006577677,0.004168966,1.624386327,0.306018328
north,1978.5,32,1.302543572,0.083231216,0.178382991,0.017133696,0.001407559,0.005681404,0.389433412,0.063291088,0.013490546,0.007025565,0.079224618,0.015361173,0.162851526,0.019443608,-0.020226407,0.003672349,-0.014649176,0.003183219,0.009947794,0.003164947,1.721309411,0.247988321
north,1979.5,33,0.942267446,0.09006608,0.144790154,0.016152002,-0.010224549,0.005133231,0.21420553,0.046812983,-0.000141802,0.005120141,0.038841522,0.012191757,0.137029583,0.01742462,-0.016886007,0.004698696,-0.017249936,0.003806499,0.007208409,0.00321579,1.569412105,0.256988623
north,1980.5,37,0.916353309,0.189909907,0.102217248,0.016314704,-0.007667096,0.004230969,0.365392686,0.12765692,0.009060726,0.005760245,0.050041475,0.01211817,0.084492604,0.016027178,-0.011844521,0.00356645,-0.014343645,0.003171526,0.005264019,0.002935212,1.369066363,0.227289357
north,1981.5,40,0.731230744,0.174297763,0.07191353,0.015637581,0.003865087,0.004316287,0.26449331,0.139225663,0.00850582,0.006888469,0.035323268,0.014779075,0.068198191,0.013828672,-0.007033108,0.003941528,-0.002304771,0.002847673,0.006231972,0.002526406,1.162402241,0.263251521
north,1982.5,48,0.493358586,0.154323215,0.045195996,0.015535579,0.010133835,0.00349436,0.209876235,0.105292744,0.008273969,0.006209355,0.028047013,0.013657126,0.066184995,0.017963115,-0.002325391,0.004850857,6.35664E-05,0.002663954,0.005019251,0.002904135,1.174776099,0.28779102
north,1983.5,59,-0.04728357,0.255673885,-0.006663813,0.011275161,0.002703725,0.004077566,-0.011369001,0.182877948,0.009144576,0.00684468,0.01834769,0.015449601,0.016299988,0.016823813,-4.94254E-06,0.004306473,-0.001637279,0.00254614,-0.002780166,0.003514568,0.439699752,0.328447768
north,1984.5,59,-0.166319698,0.220074037,-0.019537209,0.009395297,-0.001958689,0.004191477,-0.025036327,0.185325399,0.008003649,0.006636372,0.012839573,0.014715101,0.011230571,0.0142556,0.001154704,0.004241498,-0.001385285,0.002486898,3.32054E-05,0.003619708,0.554047935,0.310983079
north,1985.5,70,0.185501352,0.220023314,-0.001592893,0.007676169,-0.01077771,0.003387576,0.055612272,0.206286634,-0.005578223,0.006354258,-0.007344006,0.013235289,0.027466294,0.013542454,0.002406873,0.003457538,-0.000977172,0.002012467,-0.005506809,0.002715947,-0.053807562,0.273728629
north,1986.5,77,0.146389039,0.202274005,0.004270142,0.007369547,-0.008315827,0.002673397,0.106260252,0.192726796,-0.006190575,0.005359965,-0.010282636,0.012611672,0.027503386,0.012150551,0.002855412,0.002566364,-0.002030267,0.001709768,-0.007517383,0.002391439,-0.181509007,0.250019508
north,1987.5,75,0.319028603,0.225882369,-0.001892598,0.008883257,-0.000132459,0.002884688,0.15662902,0.202797864,-0.00701774,0.00579455,-0.010827639,0.013623222,0.02140396,0.012420395,0.002291447,0.00229715,0.001078844,0.001370583,-0.0074019,0.002550451,-0.529898943,0.2605995
north,1988.5,73,0.588194952,0.235445826,0.009434807,0.009878202,0.001938264,0.003204742,0.228915045,0.215915159,-0.002253968,0.006332826,0.001760168,0.015441004,0.03697308,0.011741432,0.002860081,0.002308158,-0.001577831,0.00165349,-0.010036061,0.002818771,-0.505685406,0.324713239
north,1989.5,75,0.604815381,0.182163125,0.004779245,0.009325068,0.009096173,0.002864483,0.205803162,0.155302723,0.012581466,0.005317937,0.03010711,0.01190689,0.049080118,0.011594205,0.000655833,0.001851275,-0.00051294,0.001673063,-0.0093677,0.002952285,0.292225304,0.244787522
north,1990.5,79,0.645462153,0.186094203,-0.000732341,0.00784243,-0.000809656,0.002903353,0.246152167,0.140556768,0.012698584,0.005302687,0.036030836,0.011507227,0.056516562,0.010767088,-0.001439991,0.001953062,-0.001827093,0.001300405,-0.01190851,0.003415777,0.232239557,0.260674374
north,1991.5,116,0.312813614,0.185659797,-0.001188278,0.008550846,-0.00758075,0.003570374,0.13658554,0.123654369,0.006987113,0.005247891,0.016838503,0.011057848,0.022522298,0.01324216,0.001082849,0.002096778,-0.001960877,0.001737932,-0.008919864,0.003237065,-0.13401514,0.310036894
north,1992.5,143,0.383867562,0.153716328,-0.000351497,0.006500583,-0.00015067,0.003031299,0.197963058,0.092088872,0.002608045,0.004364374,0.013633988,0.008896693,0.02410105,0.010270207,0.001612457,0.001707311,-0.001038228,0.001166578,-0.00813342,0.001853284,-0.279442794,0.235247389
north,1993.5,195,0.243190291,0.109429874,-0.009991939,0.006644884,-0.001673294,0.002665006,0.221064739,0.075144093,0.005899861,0.003852381,0.021518826,0.008175892,0.020422917,0.008362266,0.000969291,0.001752442,-0.000996809,0.001133018,-0.004510775,0.001591884,0.277149939,0.167000917
north,1994.5,231,0.098602986,0.093343327,-0.013687319,0.006917563,-0.001533768,0.002805092,0.147637101,0.059964059,0.007466325,0.003135353,0.017220326,0.006511119,0.018049413,0.009136542,0.005145907,0.001934616,-0.000149166,0.001042087,8.25487E-05,0.001335387,0.4123787,0.138905035
north,1995.5,277,0.15138571,0.084895573,-0.001792953,0.005032783,-0.003510065,0.001997506,0.138573305,0.058641326,0.006616666,0.002888532,0.016392448,0.00585682,0.010757966,0.007693288,0.00143451,0.001263448,-6.12745E-05,0.000966042,0.002121158,0.001114231,0.356399929,0.112851973
north,1996.5,311,0.078734887,0.084407258,0.001893351,0.00453926,-0.004502329,0.001795165,0.092198582,0.059549537,0.005038388,0.00256856,0.011319959,0.005255339,0.011576634,0.007277691,0.001102827,0.001187631,-0.000652467,0.000923229,0.002129035,0.00101909,0.27486781,0.107316768
north,1997.5,346,-0.034479162,0.07182009,-0.001395903,0.004069916,-0.009467523,0.002029949,0.039916406,0.046289879,0.000679032,0.002433578,0.002243987,0.004837486,0.000177055,0.006587916,0.001024476,0.001041666,-4.33526E-05,0.000806635,0.001661233,0.001010347,0.037699526,0.102596743
north,1998.5,444,0.12852693,0.069888044,0.009158094,0.003748497,0.00027033,0.001999439,0.036779372,0.038912304,-0.000381788,0.002269846,0.002044973,0.00463516,0.012487592,0.005970547,0.000813855,0.000966532,6.51989E-05,0.00082862,0.002750246,0.000915027,0.33187781,0.123827406
north,1999.5,485,0.650597354,0.069493258,0.018829953,0.003178351,0.010068907,0.001635442,0.245647939,0.041084887,0.001792337,0.002049866,0.011149903,0.004215488,0.027857228,0.00484917,-0.00057313,0.000842595,0.000846098,0.000630681,0.003289685,0.000800713,0.066307049,0.097692479
