StartYear,meanYear,count_5yrMin,sppRich,sppRich_stdev,sppRich_se,turnover,turnover_stdev,turnover_se,abun,abun_stdev,abun_se,sppRichRare,sppRichRare_stdev,sppRichRare_se,S_PIE,S_PIE_stdev,S_PIE_se,ShanH,ShanH_stdev,ShanH_se,FRich,FRich_stdev,FRich_se,FEve,FEve_stdev,FEve_se,FTurnO,FTurnO_stdev,FTurnO_se,FDiv,FDiv_stdev,FDiv_se,RaoQ,RaoQ_stdev,RaoQ_se
1978,1982.5,57,0.46540312,1.033776041,0.136926982,0.006598276,0.02874352,0.003807172,0.047270858,0.10425143,0.013808439,0.187766471,0.711420259,0.094229915,0.005742844,0.043625038,0.005778277,0.019578747,0.100995237,0.013377146,0.063370183,0.125504947,0.016623536,-0.005389108,0.033368568,0.004419775,-0.00138544,0.018135152,0.00240206,0.000992903,0.023200997,0.003073047,0.695404982,2.55585832,0.338531704
1979,1983.5,86,0.121310242,1.667853903,0.179849312,-0.00194939,0.03304144,0.00356295,-0.000162049,0.094536111,0.010194091,0.081344793,1.192778349,0.128620597,0.009391989,0.050088139,0.005401143,0.022634823,0.10998472,0.011859957,0.04055773,0.134766652,0.014532262,0.000748614,0.032597172,0.003515043,-0.000572414,0.021934922,0.002365303,-0.005703301,0.026134177,0.002818121,0.410705991,2.390455544,0.257769451
1980,1984.5,87,0.016578302,1.454937488,0.155985672,-0.00187558,0.033449382,0.00358615,-0.008854279,0.080351473,0.008614582,0.063296548,1.199563499,0.128606706,0.005919681,0.045868281,0.004917596,0.013895896,0.102100473,0.01094632,0.035813731,0.124886074,0.013389193,0.000701115,0.031553899,0.003382933,0.000176434,0.020741163,0.002223686,-0.003937702,0.025998229,0.002787303,0.406215847,2.156761496,0.231229103
1981,1985.5,101,0.219827155,1.560721654,0.155297609,-0.009531202,0.029887111,0.002973879,0.003231563,0.06380402,0.006348737,0.083822435,1.445762479,0.143858743,-0.002590087,0.047622748,0.004738641,-0.001050359,0.100219801,0.009972243,0.039148449,0.115082451,0.011451132,0.000577981,0.029641155,0.002949405,-0.000545953,0.016455652,0.001637399,-0.004959677,0.021379405,0.00212733,-0.011904251,2.12931684,0.211874945
1982,1986.5,114,0.189187296,1.487766924,0.139342139,-0.009327562,0.029880757,0.002798589,0.003261296,0.078338529,0.007337075,0.1450592,1.401906985,0.131300619,-0.001967127,0.042574588,0.003987476,0.001596728,0.099546197,0.009323356,0.03829044,0.10626582,0.009952706,0.001193785,0.025216303,0.002361723,-0.001792649,0.019744498,0.001849242,-0.004809394,0.021338918,0.001998573,0.052882127,2.156957257,0.202017556
1983,1987.5,115,0.296382858,1.607650162,0.149914151,-0.000240763,0.02957056,0.002757469,-0.006725089,0.108608158,0.010127763,0.179180267,1.441268656,0.134398995,-0.001988119,0.044548651,0.004154183,0.002229433,0.104792266,0.009771929,0.036267168,0.109984529,0.01025611,0.003378222,0.023593229,0.00220008,0.002862644,0.017334953,0.001616493,-0.003651312,0.023257149,0.00216874,-0.134658581,2.175750487,0.202889779
1984,1988.5,117,0.442678992,1.636266318,0.151272875,-0.000950855,0.035058502,0.00324116,0.004493632,0.123225248,0.011392178,0.215055748,1.481269794,0.136943441,0.001155715,0.048006066,0.004438162,0.009785931,0.115912279,0.010716094,0.04046041,0.110594349,0.010224451,0.004569014,0.024818423,0.002294464,-0.000105504,0.018323529,0.001694011,-0.004908002,0.028808629,0.002663359,-0.131323152,2.509704372,0.232022251
1985,1989.5,122,0.446007237,1.333833335,0.120759596,0.005620463,0.029900607,0.002707074,0.002287427,0.116257861,0.010525492,0.199567268,1.130141163,0.102318173,0.01041409,0.041527446,0.003759718,0.028410389,0.095076288,0.008607803,0.047394583,0.105941471,0.00959149,0.000359757,0.021516139,0.00194798,0.000726642,0.016305996,0.001476276,-0.003745518,0.028666524,0.002595345,0.370378162,2.021539934,0.183021626
1986,1990.5,128,0.496611503,1.440507057,0.127324039,-0.000402644,0.031687973,0.002800848,0.000552483,0.099361438,0.008782393,0.212467372,1.070320246,0.094603838,0.010050064,0.044428275,0.003926942,0.029523604,0.097231158,0.008594101,0.059238552,0.128552488,0.011362542,-0.001630747,0.023359803,0.002064734,-0.001026134,0.014124666,0.001248456,-0.005778156,0.030978413,0.002738131,0.219986819,2.190472279,0.193612225
1987,1991.5,193,0.407009156,1.763071832,0.126908687,-0.007245499,0.038873028,0.002798142,0.009867346,0.103482221,0.007448813,0.18920155,1.201787262,0.08650654,0.012248435,0.056608721,0.004074785,0.028360553,0.117704085,0.008472525,0.043727117,0.139896858,0.010069996,-0.002316014,0.025354312,0.001825043,-0.001708343,0.019141628,0.001377845,-0.004454162,0.032886211,0.002367201,0.184180674,2.946605303,0.212101291
