Site_ID,Longitude_X,Latitude_Y,tmax_mean_1958to2020,tmax_1958,tmax_1959,tmax_1960,tmax_1961,tmax_1962,tmax_1963,tmax_1964,tmax_1965,tmax_1966,tmax_1967,tmax_1968,tmax_1969,tmax_1970,tmax_1971,tmax_1972,tmax_1973,tmax_1974,tmax_1975,tmax_1976,tmax_1977,tmax_1978,tmax_1979,tmax_1980,tmax_1981,tmax_1982,tmax_1983,tmax_1984,tmax_1985,tmax_1986,tmax_1987,tmax_1988,tmax_1989,tmax_1990,tmax_1991,tmax_1992,tmax_1993,tmax_1994,tmax_1995,tmax_1996,tmax_1997,tmax_1998,tmax_1999,tmax_2000,tmax_2001,tmax_2002,tmax_2003,tmax_2004,tmax_2005,tmax_2006,tmax_2007,tmax_2008,tmax_2009,tmax_2010,tmax_2011,tmax_2012,tmax_2013,tmax_2014,tmax_2015,tmax_2016,tmax_2017,tmax_2018,tmax_2019,tmax_2020
100000001,5.294382,45.829523,16.26838624,15.76666667,16.88333333,15.83333333,16.95833333,15.34166667,14.53333333,15.725,14.99166667,15.85,16,15.29166667,15.19166667,15.4,15.65,15.21666667,15.5,15.9,15.53333333,16.10833333,15.51666667,15.08333333,15.58333333,14.825,15.73333333,16.6,16.20833333,15.4,15.40833333,15.51666667,15.26666667,16.26666667,17.025,17,15.95833333,16.05833333,15.69166667,16.99166667,16.33333333,15.54166667,17.01666667,16.475,16.51666667,17.15,16.45833333,16.94166667,17.475,16.54166667,16.39166667,17.08333333,16.89166667,16.425,17.23333333,15.84166667,17.675,16.86666667,16.14166667,17.75833333,17.65833333,17.13333333,17.48333333,18.09166667,17.925,18.05
100000002,5.299435,45.8323815,16.26838624,15.76666667,16.88333333,15.83333333,16.95833333,15.34166667,14.53333333,15.725,14.99166667,15.85,16,15.29166667,15.19166667,15.4,15.65,15.21666667,15.5,15.9,15.53333333,16.10833333,15.51666667,15.08333333,15.58333333,14.825,15.73333333,16.6,16.20833333,15.4,15.40833333,15.51666667,15.26666667,16.26666667,17.025,17,15.95833333,16.05833333,15.69166667,16.99166667,16.33333333,15.54166667,17.01666667,16.475,16.51666667,17.15,16.45833333,16.94166667,17.475,16.54166667,16.39166667,17.08333333,16.89166667,16.425,17.23333333,15.84166667,17.675,16.86666667,16.14166667,17.75833333,17.65833333,17.13333333,17.48333333,18.09166667,17.925,18.05
100000003,1.918195639,50.30448305,13.96494709,13.31666667,15.04166667,13.66666667,14.34166667,12.31666667,11.71666667,13.225,12.71666667,13.475,13.61666667,12.83333333,13.375,13.34166667,13.5,12.9,13.59166667,13.54166667,13.63333333,14.21666667,13.35,12.84166667,12.675,12.89166667,13.20833333,14.025,13.925,13.525,12.64166667,12.85833333,12.66666667,13.85,14.94166667,14.99166667,13.48333333,14.125,13.64166667,14.65833333,14.83333333,13.03333333,14.65833333,14.2,14.80833333,14.56666667,14.2,14.73333333,14.96666667,14.28333333,14.56666667,14.78333333,14.825,14.4,14.625,13.35,15.35833333,14.225,13.75,15.50833333,14.9,14.68333333,15.23333333,15.75833333,15.21666667,15.65833333
100000004,2.513745757,49.9332428,14.36587302,13.69166667,15.5,14.05,14.76666667,12.75,12.15,13.65833333,13.09166667,13.85,14.025,13.2,13.68333333,13.575,13.89166667,13.26666667,13.91666667,13.94166667,13.95833333,14.61666667,13.75,13.1,13.05833333,13.15,13.54166667,14.40833333,14.35833333,13.775,13.00833333,13.33333333,12.99166667,14.275,15.34166667,15.41666667,13.93333333,14.55833333,14.075,15.125,15.16666667,13.38333333,15.075,14.56666667,15.20833333,15.04166667,14.625,15.18333333,15.4,14.68333333,15.025,15.20833333,15.21666667,14.83333333,15.075,13.84166667,15.89166667,14.74166667,14.18333333,15.98333333,15.35833333,15.00833333,15.55,16.175,15.64166667,16.2
100000005,2.385456242,49.79422815,14.53544974,13.875,15.70833333,14.23333333,14.98333333,12.94166667,12.30833333,13.85833333,13.26666667,14.05,14.15833333,13.36666667,13.86666667,13.75833333,14.075,13.44166667,14.09166667,14.125,14.11666667,14.76666667,13.89166667,13.26666667,13.225,13.325,13.70833333,14.56666667,14.53333333,13.95833333,13.2,13.45833333,13.14166667,14.425,15.525,15.58333333,14.09166667,14.71666667,14.23333333,15.275,15.33333333,13.59166667,15.275,14.75833333,15.36666667,15.20833333,14.8,15.36666667,15.55833333,14.85,15.18333333,15.35,15.36666667,14.98333333,15.20833333,13.99166667,16.075,14.91666667,14.34166667,16.125,15.55,15.16666667,15.70833333,16.35833333,15.8,16.38333333
100000006,2.169124882,49.71432717,14.40330688,13.74166667,15.60833333,14.125,14.85833333,12.825,12.16666667,13.71666667,13.15,13.90833333,14.04166667,13.21666667,13.75,13.65,13.95833333,13.30833333,14,13.96666667,13.96666667,14.625,13.73333333,13.15,13.10833333,13.18333333,13.6,14.44166667,14.40833333,13.85,13.09166667,13.31666667,13.025,14.26666667,15.40833333,15.44166667,13.96666667,14.575,14.10833333,15.13333333,15.2,13.5,15.15833333,14.63333333,15.225,15.075,14.64166667,15.24166667,15.44166667,14.71666667,15.03333333,15.225,15.21666667,14.83333333,15.05833333,13.86666667,15.93333333,14.75833333,14.175,15.96666667,15.425,15.01666667,15.56666667,16.2,15.66666667,16.24166667
100000007,2.016358357,49.74211763,14.10132275,13.44166667,15.31666667,13.81666667,14.55,12.525,11.84166667,13.40833333,12.84166667,13.60833333,13.725,12.9,13.45,13.38333333,13.675,13.025,13.70833333,13.68333333,13.675,14.33333333,13.41666667,12.88333333,12.825,12.91666667,13.29166667,14.175,14.10833333,13.58333333,12.83333333,13.025,12.75,13.96666667,15.08333333,15.125,13.625,14.26666667,13.76666667,14.825,14.90833333,13.225,14.85833333,14.33333333,14.925,14.74166667,14.35,14.93333333,15.1,14.41666667,14.74166667,14.91666667,14.89166667,14.51666667,14.74166667,13.53333333,15.6,14.43333333,13.88333333,15.64166667,15.11666667,14.725,15.29166667,15.925,15.35,15.90833333
100000009,7.232714668,47.74561836,14.76283069,14.375,15.61666667,14.50833333,15.46666667,13.69166667,13.30833333,14.525,13.35,14.39166667,14.71666667,13.78333333,13.71666667,13.71666667,14.49166667,13.625,13.91666667,14.45,14.23333333,14.70833333,14.26666667,13.3,13.99166667,13.2,14.08333333,14.76666667,14.88333333,13.74166667,13.81666667,13.94166667,13.54166667,14.81666667,15.38333333,15.6,14.36666667,14.925,14.325,15.575,14.675,13.6,15.14166667,14.86666667,14.88333333,15.6,15.09166667,15.65833333,15.95833333,14.98333333,14.95833333,15.46666667,15.625,15.10833333,15.34166667,14.025,16.18333333,15.30833333,14.53333333,16.375,16.46666667,15.55,15.93333333,16.88333333,16.19166667,16.53333333
100000010,7.264966594,47.82728771,15.01335979,14.63333333,15.89166667,14.74166667,15.70833333,13.89166667,13.55,14.78333333,13.59166667,14.625,14.95,14,13.95833333,13.91666667,14.75833333,13.88333333,14.16666667,14.69166667,14.475,14.95833333,14.53333333,13.55833333,14.225,13.46666667,14.33333333,15,15.13333333,13.98333333,14.06666667,14.18333333,13.76666667,15.04166667,15.64166667,15.85,14.65833333,15.2,14.58333333,15.83333333,14.93333333,13.825,15.4,15.11666667,15.14166667,15.84166667,15.35833333,15.91666667,16.225,15.225,15.2,15.725,15.89166667,15.36666667,15.6,14.26666667,16.46666667,15.56666667,14.78333333,16.64166667,16.73333333,15.79166667,16.175,17.13333333,16.49166667,16.79166667
100000011,7.398563309,47.96762657,15.10740741,14.68333333,16,14.79166667,15.75,13.95833333,13.65,14.89166667,13.64166667,14.7,15.025,14.08333333,14.04166667,13.99166667,14.875,13.96666667,14.29166667,14.79166667,14.55833333,15.08333333,14.64166667,13.63333333,14.29166667,13.55,14.375,15.08333333,15.25833333,14.04166667,14.13333333,14.24166667,13.825,15.11666667,15.74166667,15.95833333,14.76666667,15.35,14.73333333,15.95,15.03333333,13.86666667,15.50833333,15.175,15.25833333,15.93333333,15.46666667,15.98333333,16.33333333,15.30833333,15.3,15.84166667,16.025,15.50833333,15.69166667,14.35833333,16.575,15.69166667,14.88333333,16.74166667,16.83333333,15.89166667,16.26666667,17.24166667,16.59166667,16.99166667
