sample_id,site_id,day,month,year,taxon_id,taxon,abundance,listed in freshwaterecology.com
121000183_20.07.2016,121000183,20,7,2016,8700,Jaera istri,1,8700
121000196_23.06.2014,121000196,23,6,2014,8700,Jaera istri,24,8700
121000196_23.05.2016,121000196,23,5,2016,8700,Jaera istri,30,8700
121000251_14.05.2003,121000251,14,5,2003,8700,Jaera istri,2,8700
121000252_05.07.2009,121000252,5,7,2009,8700,Jaera istri,2,8700
121000252_26.05.2011,121000252,26,5,2011,8700,Jaera istri,3,8700
121000252_19.05.2014,121000252,19,5,2014,8700,Jaera istri,74,8700
121000252_28.05.2020,121000252,28,5,2020,8700,Jaera istri,112,8700
121000253_25.05.2010,121000253,25,5,2010,8700,Jaera istri,3,8700
121000254_20.05.2014,121000254,20,5,2014,8700,Jaera istri,6,8700
121000254_31.05.2017,121000254,31,5,2017,8700,Jaera istri,5,8700
121000193_18.07.2018,121000193,18,7,2018,20396,Sphaeroma rugicauda,60,20396
121000044_13.10.2005,121000044,13,10,2005,5063,Ecnomus sp.,1,5063
121000073_22.10.1992,121000073,22,10,1992,5063,Ecnomus sp.,1,5063
121000142_10.09.2019,121000142,10,9,2019,5063,Ecnomus sp.,29,5063
121000165_25.07.2002,121000165,25,7,2002,5063,Ecnomus sp.,2,5063
121000165_16.06.2010,121000165,16,6,2010,5063,Ecnomus sp.,1,5063
121000165_27.06.2013,121000165,27,6,2013,5063,Ecnomus sp.,4,5063
121000165_17.06.2014,121000165,17,6,2014,5063,Ecnomus sp.,1,5063
121000167_05.05.1992,121000167,5,5,1992,5063,Ecnomus sp.,1,5063
121000167_18.05.1994,121000167,18,5,1994,5063,Ecnomus sp.,2,5063
121000167_19.06.1995,121000167,19,6,1995,5063,Ecnomus sp.,101,5063
121000167_23.05.1996,121000167,23,5,1996,5063,Ecnomus sp.,2,5063
121000167_29.04.1998,121000167,29,4,1998,5063,Ecnomus sp.,2,5063
121000167_05.05.1999,121000167,5,5,1999,5063,Ecnomus sp.,7,5063
121000167_05.04.2000,121000167,5,4,2000,5063,Ecnomus sp.,2,5063
121000168_06.07.1996,121000168,6,7,1996,5063,Ecnomus sp.,2,5063
121000168_28.05.1998,121000168,28,5,1998,5063,Ecnomus sp.,11,5063
121000168_06.07.2001,121000168,6,7,2001,5063,Ecnomus sp.,1,5063
121000168_28.05.2002,121000168,28,5,2002,5063,Ecnomus sp.,11,5063
121000168_14.05.2003,121000168,14,5,2003,5063,Ecnomus sp.,11,5063
121000168_26.05.2004,121000168,26,5,2004,5063,Ecnomus sp.,11,5063
121000168_24.05.2005,121000168,24,5,2005,5063,Ecnomus sp.,11,5063
121000168_16.06.2006,121000168,16,6,2006,5063,Ecnomus sp.,20,5063
121000168_22.05.2008,121000168,22,5,2008,5063,Ecnomus sp.,16,5063
121000168_26.05.2011,121000168,26,5,2011,5063,Ecnomus sp.,4,5063
121000168_19.05.2014,121000168,19,5,2014,5063,Ecnomus sp.,11,5063
121000174_21.05.1992,121000174,21,5,1992,5063,Ecnomus sp.,1,5063
121000174_16.05.2000,121000174,16,5,2000,5063,Ecnomus sp.,1,5063
121000174_26.07.2002,121000174,26,7,2002,5063,Ecnomus sp.,1,5063
121000174_08.07.2003,121000174,8,7,2003,5063,Ecnomus sp.,2,5063
121000174_07.07.2004,121000174,7,7,2004,5063,Ecnomus sp.,3,5063
121000174_14.05.2008,121000174,14,5,2008,5063,Ecnomus sp.,3,5063
121000174_15.07.2009,121000174,15,7,2009,5063,Ecnomus sp.,9,5063
121000183_07.06.2018,121000183,7,6,2018,5063,Ecnomus sp.,5,5063
121000183_26.07.2019,121000183,26,7,2019,5063,Ecnomus sp.,1,5063
121000190_16.06.2006,121000190,16,6,2006,5063,Ecnomus sp.,1,5063
121000196_30.05.2001,121000196,30,5,2001,5063,Ecnomus sp.,51,5063
121000196_30.05.2002,121000196,30,5,2002,5063,Ecnomus sp.,6,5063
121000196_28.05.2003,121000196,28,5,2003,5063,Ecnomus sp.,4,5063
121000196_30.05.2005,121000196,30,5,2005,5063,Ecnomus sp.,3,5063
121000196_16.05.2008,121000196,16,5,2008,5063,Ecnomus sp.,10,5063
121000213_13.09.2016,121000213,13,9,2016,5063,Ecnomus sp.,1,5063
121000213_10.09.2019,121000213,10,9,2019,5063,Ecnomus sp.,27,5063
121000225_18.08.1998,121000225,18,8,1998,5063,Ecnomus sp.,2,5063
121000248_29.05.1991,121000248,29,5,1991,5063,Ecnomus sp.,11,5063
121000248_23.05.1995,121000248,23,5,1995,5063,Ecnomus sp.,11,5063
121000248_06.04.1996,121000248,6,4,1996,5063,Ecnomus sp.,11,5063
121000248_16.05.1997,121000248,16,5,1997,5063,Ecnomus sp.,2,5063
121000248_27.05.1998,121000248,27,5,1998,5063,Ecnomus sp.,11,5063
121000248_27.05.2002,121000248,27,5,2002,5063,Ecnomus sp.,5,5063
121000248_15.05.2003,121000248,15,5,2003,5063,Ecnomus sp.,4,5063
121000248_31.05.2005,121000248,31,5,2005,5063,Ecnomus sp.,3,5063
121000251_12.06.1991,121000251,12,6,1991,5063,Ecnomus sp.,11,5063
121000251_19.05.1994,121000251,19,5,1994,5063,Ecnomus sp.,11,5063
121000251_29.05.1995,121000251,29,5,1995,5063,Ecnomus sp.,11,5063
121000251_28.05.1998,121000251,28,5,1998,5063,Ecnomus sp.,11,5063
121000251_29.05.2001,121000251,29,5,2001,5063,Ecnomus sp.,1,5063
121000251_14.05.2003,121000251,14,5,2003,5063,Ecnomus sp.,6,5063
121000251_25.05.2005,121000251,25,5,2005,5063,Ecnomus sp.,1,5063
121000251_26.06.2007,121000251,26,6,2007,5063,Ecnomus sp.,2,5063
121000252_11.05.1990,121000252,11,5,1990,5063,Ecnomus sp.,1,5063
121000252_17.05.1993,121000252,17,5,1993,5063,Ecnomus sp.,11,5063
121000252_17.05.1994,121000252,17,5,1994,5063,Ecnomus sp.,11,5063
121000252_29.05.1995,121000252,29,5,1995,5063,Ecnomus sp.,11,5063
121000252_28.05.1998,121000252,28,5,1998,5063,Ecnomus sp.,11,5063
121000252_06.07.2001,121000252,6,7,2001,5063,Ecnomus sp.,11,5063
121000252_28.05.2002,121000252,28,5,2002,5063,Ecnomus sp.,6,5063
