sample_id,site_id,day,month,year,taxon_id,taxon,abundance,listed in freshwaterecology.com
106000001_28.07.2010,106000001,28,7,2010,4642,Chironomidae Gen. sp.,43,4642
106000001_28.07.2010,106000001,28,7,2010,5605,Hydropsyche sp.,2,5605
106000001_28.07.2010,106000001,28,7,2010,7455,Hydroptilidae Gen. sp.,56,7455
106000001_28.07.2010,106000001,28,7,2010,5809,Limnephilidae Gen. sp.,30,5809
106000001_28.07.2010,106000001,28,7,2010,8483,Limoniidae Gen. sp.,2,8483
106000001_28.07.2010,106000001,28,7,2010,7490,Lumbriculidae Gen. sp.,2,7490
106000001_28.07.2010,106000001,28,7,2010,6385,Philopotamidae Gen. sp.,11,6385
106000001_28.07.2010,106000001,28,7,2010,8487,Tipulidae Gen. sp.,2,8487
106000001_14.07.2011,106000001,14,7,2011,4642,Chironomidae Gen. sp.,12.8,4642
106000001_14.07.2011,106000001,14,7,2011,7455,Hydroptilidae Gen. sp.,22.4,7455
106000001_14.07.2011,106000001,14,7,2011,7490,Lumbriculidae Gen. sp.,1.6,7490
106000001_14.07.2011,106000001,14,7,2011,8487,Tipulidae Gen. sp.,3.2,8487
106000001_26.07.2012,106000001,26,7,2012,4642,Chironomidae Gen. sp.,22.4,4642
106000001_26.07.2012,106000001,26,7,2012,4663,Chironomus sp.,68.8,4663
106000001_07.08.2013,106000001,7,8,2013,4365,Atherix sp.,8,4365
106000001_07.08.2013,106000001,7,8,2013,4419,Baetis sp.,9.6,4419
106000001_07.08.2013,106000001,7,8,2013,10619,Calopterygidae Gen. sp.,1.6,10619
106000001_07.08.2013,106000001,7,8,2013,4642,Chironomidae Gen. sp.,8,4642
106000001_07.08.2013,106000001,7,8,2013,17878,Haliplidae Gen. sp.,4.8,
106000001_07.08.2013,106000001,7,8,2013,7455,Hydroptilidae Gen. sp.,19.2,7455
106000001_07.08.2013,106000001,7,8,2013,5809,Limnephilidae Gen. sp.,3.2,5809
106000001_07.08.2013,106000001,7,8,2013,8483,Limoniidae Gen. sp.,3.2,8483
106000001_07.08.2013,106000001,7,8,2013,7490,Lumbriculidae Gen. sp.,1.6,7490
106000001_07.08.2013,106000001,7,8,2013,6385,Philopotamidae Gen. sp.,20.8,6385
106000001_07.08.2013,106000001,7,8,2013,6842,Simuliidae Gen. sp.,14.4,6842
106000001_13.06.2014,106000001,13,6,2014,4642,Chironomidae Gen. sp.,30.4,4642
106000001_13.06.2014,106000001,13,6,2014,9981,Goeridae Gen. sp.,3.2,9981
106000001_13.06.2014,106000001,13,6,2014,5809,Limnephilidae Gen. sp.,8,5809
106000001_13.06.2014,106000001,13,6,2014,7490,Lumbriculidae Gen. sp.,1.6,7490
106000001_13.06.2014,106000001,13,6,2014,6385,Philopotamidae Gen. sp.,3.2,6385
106000001_18.06.2015,106000001,18,6,2015,4419,Baetis sp.,128,4419
106000001_18.06.2015,106000001,18,6,2015,4642,Chironomidae Gen. sp.,6.4,4642
106000001_18.06.2015,106000001,18,6,2015,17756,Dytiscidae Gen. sp.,1.6,
106000001_18.06.2015,106000001,18,6,2015,6842,Simuliidae Gen. sp.,3.2,6842
