sample_id,site_id,day,month,year,taxon_id,taxon,abundance,listed in freshwaterecology.com,
106000006_17.06.1985,106000006,17,6,1985,5131,Ephemerella ignita,12,5131,
106000006_03.08.1986,106000006,3,8,1986,5131,Ephemerella ignita,33,5131,
106000006_08.08.1987,106000006,8,8,1987,5131,Ephemerella ignita,5,5131,
106000006_11.07.1989,106000006,11,7,1989,5131,Ephemerella ignita,30,5131,
106000006_04.05.1983,106000006,4,5,1983,4642,Chironomidae Gen. sp.,6,4642,
106000006_04.05.1983,106000006,4,5,1983,5605,Hydropsyche sp.,9,5605,
106000006_04.05.1983,106000006,4,5,1983,6823,Sialis sp.,1,6823,
106000006_04.05.1983,106000006,4,5,1983,6108,Nemoura sp.,2,6108,
106000006_04.05.1983,106000006,4,5,1983,5790,Leuctra sp.,10,5790,
106000006_04.05.1983,106000006,4,5,1983,5667,Isoperla grammatica,2,5667,
106000006_04.05.1983,106000006,4,5,1983,4488,Brachyptera seticornis,8,4488,
106000006_04.05.1983,106000006,4,5,1983,6744,Rhithrogena semicolorata,14,6744,
106000006_04.05.1983,106000006,4,5,1983,5135,Ephemerella mucronata,3,5135,
106000006_04.05.1983,106000006,4,5,1983,5124,Ephemera danica,1,5124,
106000006_04.05.1983,106000006,4,5,1983,5058,Ecdyonurus venosus,10,5058,
106000006_04.05.1983,106000006,4,5,1983,4409,Baetis muticus,3,4409,
106000006_04.05.1983,106000006,4,5,1983,4415,Baetis rhodani,8,4415,
106000006_04.05.1983,106000006,4,5,1983,4381,Baetis alpinus,9,4381,
106000006_04.05.1983,106000006,4,5,1983,5101,Enchytraeidae Gen. sp.,2,5101,
106000006_04.05.1983,106000006,4,5,1983,6935,Stylodrilus heringianus,14,6935,
106000006_04.05.1983,106000006,4,5,1983,5075,Eiseniella tetraedra,2,5075,
106000006_04.05.1983,106000006,4,5,1983,5018,Dugesia gonocephala,4,5018,
106000006_17.06.1985,106000006,17,6,1985,6843,Simulium argyreatum,4,6843,
106000006_17.06.1985,106000006,17,6,1985,5809,Limnephilidae Gen. sp.,11,5809,
106000006_17.06.1985,106000006,17,6,1985,6780,Rhyacophila sp.,8,6780,
106000006_17.06.1985,106000006,17,6,1985,6784,Rhyacophila tristis,1,6784,
106000006_17.06.1985,106000006,17,6,1985,13958,Rhyacophila mocsaryi ssp.,9,13958,
106000006_17.06.1985,106000006,17,6,1985,20426,Hydropsyche instabilis-Gr.,4,20426,
106000006_17.06.1985,106000006,17,6,1985,4982,Dinocras sp.,5,4982,
106000006_17.06.1985,106000006,17,6,1985,4978,Dinocras cephalotes,1,4978,
106000006_17.06.1985,106000006,17,6,1985,6744,Rhithrogena semicolorata,2,6744,
106000006_17.06.1985,106000006,17,6,1985,5124,Ephemera danica,16,5124,
106000006_17.06.1985,106000006,17,6,1985,5058,Ecdyonurus venosus,1,5058,
106000006_17.06.1985,106000006,17,6,1985,4416,Baetis scambus,10,4416,
106000006_17.06.1985,106000006,17,6,1985,4408,Baetis melanonyx,91,4408,
106000006_17.06.1985,106000006,17,6,1985,6937,Stylodrilus sp.,1,6937,
106000006_17.06.1985,106000006,17,6,1985,6078,Nais variabilis,2,6078,
106000006_17.06.1985,106000006,17,6,1985,6073,Nais elinguis,1,6073,
106000006_17.06.1985,106000006,17,6,1985,6072,Nais communis,1,6072,
106000006_17.06.1985,106000006,17,6,1985,6071,Nais bretscheri,9,6071,
106000006_17.06.1985,106000006,17,6,1985,5946,Marionina sp.,1,5946,
