sample_id,site_id,day,month,year,taxon_id,taxon,abundance,listed in freshwaterecology.com,
102000002_18.03.2006,102000002,18,3,2006,10323,GAMMARIDAE Gen. sp.,50,10323,
102000002_18.03.2006,102000002,18,3,2006,10612,POTAMIDAE Gen. sp.,4,10612,
102000002_18.03.2006,102000002,18,3,2006,10619,CALOPTERYGIDAE Gen. sp.,14,10619,
102000002_18.03.2006,102000002,18,3,2006,12324,EUPHAEIDAE Gen. sp.,68,12324,
102000002_18.03.2006,102000002,18,3,2006,17767,ELMIDAE Gen. sp.,8,,
102000002_18.03.2006,102000002,18,3,2006,18186,HYDROPHILIDAE Gen. sp.,2,,
102000002_18.03.2006,102000002,18,3,2006,18707,SCIRTIDAE Gen. sp.,32,,
102000002_18.03.2006,102000002,18,3,2006,4380,BAETIDAE Gen. sp.,272,4380,
102000002_18.03.2006,102000002,18,3,2006,4642,CHIRONOMIDAE Gen. sp.,82,4642,
102000002_18.03.2006,102000002,18,3,2006,4990,DIXIDAE Gen. sp.,8,4990,
102000002_18.03.2006,102000002,18,3,2006,5162,ERPOBDELLIDAE Gen. sp.,6,5162,
102000002_18.03.2006,102000002,18,3,2006,5458,HEPTAGENIIDAE Gen. sp.,166,5458,
102000002_18.03.2006,102000002,18,3,2006,5725,LEPIDOSTOMATIDAE Gen. sp.,20,5725,
102000002_18.03.2006,102000002,18,3,2006,5900,LUMBRICIDAE Gen. sp.,32,5900,
102000002_18.03.2006,102000002,18,3,2006,6068,NAIDIDAE Gen. sp.,6,6068,
102000002_18.03.2006,102000002,18,3,2006,6385,PHILOPOTAMIDAE Gen. sp.,6,6385,
102000002_18.03.2006,102000002,18,3,2006,6842,SIMULIIDAE Gen. sp.,120,6842,
102000002_18.03.2006,102000002,18,3,2006,7117,TUBIFICIDAE Gen. sp.,4,7117,
102000002_18.03.2006,102000002,18,3,2006,7455,HYDROPTILIDAE Gen. sp.,74,7455,
102000002_18.03.2006,102000002,18,3,2006,8411,LIBELLULIDAE Gen. sp.,2,8411,
102000002_18.03.2006,102000002,18,3,2006,8429,SPHAERIIDAE Gen. sp.,2,8429,
102000002_18.03.2006,102000002,18,3,2006,8437,LEUCTRIDAE Gen. sp.,6,8437,
102000002_18.03.2006,102000002,18,3,2006,8438,AESHNIDAE Gen. sp.,4,8438,
102000002_18.03.2006,102000002,18,3,2006,8468,VELIIDAE Gen. sp.,4,8468,
