sample_id,site_id,day,month,year,taxon_id,taxon,abundance,listed in freshwaterecology.com,,
112000001_03.04.2002,112000001,3,4,2002,4487,Brachyptera risi,108,4487,,
112000001_03.04.2002,112000001,3,4,2002,4496,Brillia bifida,20,4496,,
112000001_03.04.2002,112000001,3,4,2002,4927,Diamesa cinerella-Gr.,40,4927,,
112000001_03.04.2002,112000001,3,4,2002,4989,Dixa sp.,4,4989,,
112000001_03.04.2002,112000001,3,4,2002,5075,Eiseniella tetraedra,44,5075,,
112000001_03.04.2002,112000001,3,4,2002,17774,Elmis maugetii,4,,,
112000001_03.04.2002,112000001,3,4,2002,5101,Enchytraeidae Gen. sp.,24,5101,,
112000001_03.04.2002,112000001,3,4,2002,5234,Eukiefferiella sp.,88,5234,,
112000001_03.04.2002,112000001,3,4,2002,5284,Galba truncatula,8,5284,,
112000001_03.04.2002,112000001,3,4,2002,4610,Chaetocladius piger-Gr.,336,4610,,
112000001_03.04.2002,112000001,3,4,2002,4638,Chelifera sp.,12,4638,,
112000001_03.04.2002,112000001,3,4,2002,5675,Isoperla tripartita tripartita,248,5675,,
112000001_03.04.2002,112000001,3,4,2002,6020,Micropsectra sp.,160,6020,,
112000001_03.04.2002,112000001,3,4,2002,6023,Micropterna sequax,24,6023,,
112000001_03.04.2002,112000001,3,4,2002,6022,Micropterna nycterobia,36,6022,,
112000001_03.04.2002,112000001,3,4,2002,8813,Nematoda Gen. sp.,16,,,
112000001_03.04.2002,112000001,3,4,2002,6095,Nemoura cinerea cinerea,16,6095,,
112000001_03.04.2002,112000001,3,4,2002,6266,Oxycera sp.,4,6266,,
112000001_03.04.2002,112000001,3,4,2002,6354,Pedicia sp.,8,6354,,
112000001_03.04.2002,112000001,3,4,2002,6425,Pisidium sp.,44,6425,,
112000001_03.04.2002,112000001,3,4,2002,6444,Plectrocnemia conspersa conspersa,5,6444,,
112000001_03.04.2002,112000001,3,4,2002,10952,Polypedilum (Polypedilum) sp.,4,10952,,
112000001_03.04.2002,112000001,3,4,2002,6521,Potamophylax cingulatus cingulatus,8,6521,,
112000001_03.04.2002,112000001,3,4,2002,6583,Prodiamesa olivacea,4,6583,,
112000001_03.04.2002,112000001,3,4,2002,6592,Prosimulium tomosvaryi,600,6592,,
112000001_03.04.2002,112000001,3,4,2002,6596,Protonemura auberti,101,6596,,
112000001_03.04.2002,112000001,3,4,2002,8753,Psychodidae Gen. sp.,28,8753,,
112000001_03.04.2002,112000001,3,4,2002,6702,Rheocricotopus sp.,100,6702,,
112000001_03.04.2002,112000001,3,4,2002,6859,Siphlonurus aestivalis,1,6859,,
112000001_03.04.2002,112000001,3,4,2002,6935,Stylodrilus heringianus,128,6935,,
112000001_03.04.2002,112000001,3,4,2002,6956,Synagapetus moselyi,112,6956,,
112000001_03.04.2002,112000001,3,4,2002,7075,Tipula maxima,4,7075,,
112000001_01.04.2003,112000001,1,4,2003,4415,Baetis rhodani,232,4415,,
112000001_01.04.2003,112000001,1,4,2003,4487,Brachyptera risi,17,4487,,
112000001_01.04.2003,112000001,1,4,2003,4496,Brillia bifida,6,4496,,
112000001_01.04.2003,112000001,1,4,2003,4585,Ceratopogonidae Gen. sp.,20,4585,,
112000001_01.04.2003,112000001,1,4,2003,4955,Dicranota sp.,40,4955,,
112000001_01.04.2003,112000001,1,4,2003,5084,Electrogena ujhelyii,10,5084,,
112000001_01.04.2003,112000001,1,4,2003,17774,Elmis maugetii,2,,,
112000001_01.04.2003,112000001,1,4,2003,5418,Elodes sp. Lv.,2,5418,,
112000001_01.04.2003,112000001,1,4,2003,5288,Gammarus fossarum,1210,5288,,
112000001_01.04.2003,112000001,1,4,2003,5292,Gammarus roeselii,2,5292,,
112000001_01.04.2003,112000001,1,4,2003,5602,Hydropsyche saxonica,3,5602,,
112000001_01.04.2003,112000001,1,4,2003,4638,Chelifera sp.,6,4638,,
112000001_01.04.2003,112000001,1,4,2003,4663,Chironomus sp.,4,4663,,
112000001_01.04.2003,112000001,1,4,2003,5870,Limnophila sp.,6,5870,,
112000001_01.04.2003,112000001,1,4,2003,6020,Micropsectra sp.,70,6020,,
112000001_01.04.2003,112000001,1,4,2003,6023,Micropterna sequax,4,6023,,
112000001_01.04.2003,112000001,1,4,2003,6022,Micropterna nycterobia,4,6022,,
112000001_01.04.2003,112000001,1,4,2003,6095,Nemoura cinerea cinerea,17,6095,,
112000001_01.04.2003,112000001,1,4,2003,6243,Orthocladius sp.,250,6243,,
112000001_01.04.2003,112000001,1,4,2003,6317,Paraphaenocladius sp.,4,6317,,
112000001_01.04.2003,112000001,1,4,2003,6425,Pisidium sp.,14,6425,,
112000001_01.04.2003,112000001,1,4,2003,6444,Plectrocnemia conspersa conspersa,2,6444,,
112000001_01.04.2003,112000001,1,4,2003,6521,Potamophylax cingulatus cingulatus,2,6521,,
112000001_01.04.2003,112000001,1,4,2003,6592,Prosimulium tomosvaryi,2,6592,,
112000001_01.04.2003,112000001,1,4,2003,8753,Psychodidae Gen. sp.,6,8753,,
112000001_01.04.2003,112000001,1,4,2003,6818,Sericostoma sp.,6,6818,,
112000001_01.04.2003,112000001,1,4,2003,6956,Synagapetus moselyi,10,6956,,
112000001_01.04.2003,112000001,1,4,2003,7009,Tanytarsus sp.,4,7009,,
112000001_05.04.2005,112000001,5,4,2005,4415,Baetis rhodani,8,4415,,
112000001_05.04.2005,112000001,5,4,2005,4487,Brachyptera risi,142,4487,,
112000001_05.04.2005,112000001,5,4,2005,4496,Brillia bifida,16,4496,,
112000001_05.04.2005,112000001,5,4,2005,4585,Ceratopogonidae Gen. sp.,48,4585,,
112000001_05.04.2005,112000001,5,4,2005,4761,Corynoneura lobata,8,4761,,
112000001_05.04.2005,112000001,5,4,2005,4955,Dicranota sp.,16,4955,,
112000001_05.04.2005,112000001,5,4,2005,5075,Eiseniella tetraedra,32,5075,,
112000001_05.04.2005,112000001,5,4,2005,5418,Elodes sp. Lv.,8,5418,,
112000001_05.04.2005,112000001,5,4,2005,9654,Eloeophila sp.,8,9654,,
112000001_05.04.2005,112000001,5,4,2005,5102,Enchytraeus sp.,1,5102,,
112000001_05.04.2005,112000001,5,4,2005,6068,Naididae Gen. sp.,18,6068,,
112000001_05.04.2005,112000001,5,4,2005,5288,Gammarus fossarum,280,5288,,
112000001_05.04.2005,112000001,5,4,2005,5401,Haplotaxis gordioides,8,5401,,
112000001_05.04.2005,112000001,5,4,2005,5409,Heleniella serratosioi,25,5409,,
112000001_05.04.2005,112000001,5,4,2005,5281,Fridericia sp.,8,5281,,
112000001_05.04.2005,112000001,5,4,2005,9716,Henlea sp.,8,9716,,
112000001_05.04.2005,112000001,5,4,2005,5531,Hydraena sp. Ad.,25,5531,,
112000001_05.04.2005,112000001,5,4,2005,4638,Chelifera sp.,8,4638,,
112000001_05.04.2005,112000001,5,4,2005,5675,Isoperla tripartita tripartita,30,5675,,
112000001_05.04.2005,112000001,5,4,2005,5873,Limnophyes sp.,8,5873,,
112000001_05.04.2005,112000001,5,4,2005,5931,Macropelopia nebulosa,8,5931,,
112000001_05.04.2005,112000001,5,4,2005,14797,Micropsectra atrofasciata-Gr.,442,14797,,
112000001_05.04.2005,112000001,5,4,2005,6020,Micropsectra sp.,8,6020,,
112000001_05.04.2005,112000001,5,4,2005,6022,Micropterna nycterobia,42,6022,,
112000001_05.04.2005,112000001,5,4,2005,6108,Nemoura sp.,32,6108,,
112000001_05.04.2005,112000001,5,4,2005,6113,Nemurella pictetii,8,6113,,
112000001_05.04.2005,112000001,5,4,2005,6126,Niphargus aquilex,16,6126,,
112000001_05.04.2005,112000001,5,4,2005,6314,Parametriocnemus stylatus,25,6314,,
112000001_05.04.2005,112000001,5,4,2005,6317,Paraphaenocladius sp.,1,6317,,
112000001_05.04.2005,112000001,5,4,2005,6366,Pericoma sp.,8,6366,,
112000001_05.04.2005,112000001,5,4,2005,6425,Pisidium sp.,56,6425,,
112000001_05.04.2005,112000001,5,4,2005,6444,Plectrocnemia conspersa conspersa,127,6444,,
112000001_05.04.2005,112000001,5,4,2005,6473,Polypedilum albicorne,8,6473,,
112000001_05.04.2005,112000001,5,4,2005,6583,Prodiamesa olivacea,16,6583,,
112000001_05.04.2005,112000001,5,4,2005,6592,Prosimulium tomosvaryi,101,6592,,
112000001_05.04.2005,112000001,5,4,2005,6596,Protonemura auberti,8,6596,,
112000001_05.04.2005,112000001,5,4,2005,6699,Rheocricotopus effusus,16,6699,,
112000001_05.04.2005,112000001,5,4,2005,6859,Siphlonurus aestivalis,69,6859,,
112000001_05.04.2005,112000001,5,4,2005,8116,Stempellinella brevis,34,8116,,
112000001_05.04.2005,112000001,5,4,2005,6935,Stylodrilus heringianus,8,6935,,
112000001_05.04.2005,112000001,5,4,2005,6956,Synagapetus moselyi,1,6956,,
112000001_05.04.2005,112000001,5,4,2005,7009,Tanytarsus sp.,17,7009,,
112000001_05.04.2005,112000001,5,4,2005,7075,Tipula maxima,8,7075,,
112000001_05.04.2005,112000001,5,4,2005,7095,Trichodrilus sp.,8,7095,,
112000001_05.04.2005,112000001,5,4,2005,9683,Tvetenia bavarica/calvescens,16,9683,,
112000001_05.04.2005,112000001,5,4,2005,4549,Capnia bifrons,17,4549,,
112000001_25.04.2012,112000001,25,4,2012,4251,Agapetus fuscipes,49,4251,,
112000001_25.04.2012,112000001,25,4,2012,4338,Apsectrotanypus trifascipennis,18,4338,,
112000001_25.04.2012,112000001,25,4,2012,4409,Baetis muticus,2,4409,,
112000001_25.04.2012,112000001,25,4,2012,4415,Baetis rhodani,299,4415,,
112000001_25.04.2012,112000001,25,4,2012,4487,Brachyptera risi,1,4487,,
112000001_25.04.2012,112000001,25,4,2012,4496,Brillia bifida,4,4496,,
112000001_25.04.2012,112000001,25,4,2012,4510,Bythinella austriaca austriaca,92,4510,,
112000001_25.04.2012,112000001,25,4,2012,4585,Ceratopogonidae Gen. sp.,30,4585,,
112000001_25.04.2012,112000001,25,4,2012,4700,Clinocera sp.,1,4700,,
112000001_25.04.2012,112000001,25,4,2012,4733,Conchapelopia sp.,72,4733,,
112000001_25.04.2012,112000001,25,4,2012,4927,Diamesa cinerella-Gr.,3,4927,,
112000001_25.04.2012,112000001,25,4,2012,4955,Dicranota sp.,18,4955,,
112000001_25.04.2012,112000001,25,4,2012,5018,Dugesia gonocephala,57,5018,,
112000001_25.04.2012,112000001,25,4,2012,5020,Dugesia polychroa,3,5020,,
112000001_25.04.2012,112000001,25,4,2012,5075,Eiseniella tetraedra,3,5075,,
112000001_25.04.2012,112000001,25,4,2012,5084,Electrogena ujhelyii,77,5084,,
112000001_25.04.2012,112000001,25,4,2012,17774,Elmis maugetii,322,,,
112000001_25.04.2012,112000001,25,4,2012,5418,Elodes sp. Lv.,4,5418,,
112000001_25.04.2012,112000001,25,4,2012,9654,Eloeophila sp.,13,9654,,
112000001_25.04.2012,112000001,25,4,2012,5101,Enchytraeidae Gen. sp.,1,5101,,
112000001_25.04.2012,112000001,25,4,2012,6068,Naididae Gen. sp.,2,6068,,
112000001_25.04.2012,112000001,25,4,2012,5157,Erpobdella vilnensis,2,5157,,
112000001_25.04.2012,112000001,25,4,2012,5220,Eukiefferiella gracei,4,5220,,
112000001_25.04.2012,112000001,25,4,2012,5234,Eukiefferiella sp.,4,5234,,
112000001_25.04.2012,112000001,25,4,2012,5288,Gammarus fossarum,2709,5288,,
112000001_25.04.2012,112000001,25,4,2012,5367,Habroleptoides confusa,5,5367,,
112000001_25.04.2012,112000001,25,4,2012,5375,Halesus digitatus digitatus,5,5375,,
112000001_25.04.2012,112000001,25,4,2012,5401,Haplotaxis gordioides,6,5401,,
112000001_25.04.2012,112000001,25,4,2012,5409,Heleniella serratosioi,100,5409,,
112000001_25.04.2012,112000001,25,4,2012,5442,Hemerodromia sp.,5,5442,,
112000001_25.04.2012,112000001,25,4,2012,9716,Henlea sp.,1,9716,,
112000001_25.04.2012,112000001,25,4,2012,5513,Hydraena excisa Ad.,18,5513,,
112000001_25.04.2012,112000001,25,4,2012,5514,Hydraena gracilis Ad.,112,5514,,
112000001_25.04.2012,112000001,25,4,2012,5527,Hydraena riparia Ad.,1,5527,,
112000001_25.04.2012,112000001,25,4,2012,5598,Hydropsyche instabilis,2,5598,,
112000001_25.04.2012,112000001,25,4,2012,5602,Hydropsyche saxonica,84,5602,,
112000001_25.04.2012,112000001,25,4,2012,4624,Chaetopteryx major,3,4624,,
112000001_25.04.2012,112000001,25,4,2012,4638,Chelifera sp.,27,4638,,
112000001_25.04.2012,112000001,25,4,2012,5675,Isoperla tripartita tripartita,41,5675,,
112000001_25.04.2012,112000001,25,4,2012,5812,Limnephilinae Gen. sp.,64,5812,,
112000001_25.04.2012,112000001,25,4,2012,5854,Limnius volckmari Lv.,1,5854,,
112000001_25.04.2012,112000001,25,4,2012,5921,Lype reducta,1,5921,,
112000001_25.04.2012,112000001,25,4,2012,5946,Marionina sp.,2,5946,,
112000001_25.04.2012,112000001,25,4,2012,14797,Micropsectra atrofasciata-Gr.,2166,14797,,
112000001_25.04.2012,112000001,25,4,2012,10525,Microtendipes pedellus-Gr.,4,10525,,
112000001_25.04.2012,112000001,25,4,2012,6073,Nais elinguis,2,6073,,
112000001_25.04.2012,112000001,25,4,2012,6084,Nanocladius sp.,4,6084,,
112000001_25.04.2012,112000001,25,4,2012,6108,Nemoura sp.,2,6108,,
112000001_25.04.2012,112000001,25,4,2012,13325,Neolimnomyia sp.,2,13325,,
112000001_25.04.2012,112000001,25,4,2012,11066,Orthocladius (Orthocladius) sp.,20,11066,,
112000001_25.04.2012,112000001,25,4,2012,9758,Orthocladius obumbratus/rubicundus,12,9758,,
112000001_25.04.2012,112000001,25,4,2012,6314,Parametriocnemus stylatus,76,6314,,
112000001_25.04.2012,112000001,25,4,2012,6345,Paratrissocladius excerptus,5,6345,,
112000001_25.04.2012,112000001,25,4,2012,6354,Pedicia sp.,5,6354,,
112000001_25.04.2012,112000001,25,4,2012,6366,Pericoma sp.,2,6366,,
112000001_25.04.2012,112000001,25,4,2012,6425,Pisidium sp.,121,6425,,
112000001_25.04.2012,112000001,25,4,2012,6444,Plectrocnemia conspersa conspersa,45,6444,,
112000001_25.04.2012,112000001,25,4,2012,6473,Polypedilum albicorne,36,6473,,
112000001_25.04.2012,112000001,25,4,2012,10952,Polypedilum (Polypedilum) sp.,92,10952,,
112000001_25.04.2012,112000001,25,4,2012,6583,Prodiamesa olivacea,20,6583,,
112000001_25.04.2012,112000001,25,4,2012,6592,Prosimulium tomosvaryi,23,6592,,
112000001_25.04.2012,112000001,25,4,2012,6621,Psammoryctides barbatus,9,6621,,
112000001_25.04.2012,112000001,25,4,2012,6700,Rheocricotopus fuscipes,24,6700,,
112000001_25.04.2012,112000001,25,4,2012,6717,Rheotanytarsus sp.,8,6717,,
112000001_25.04.2012,112000001,25,4,2012,13965,Rhyacophila (Rhyacophila) sp.,1,13965,,
112000001_25.04.2012,112000001,25,4,2012,6818,Sericostoma sp.,98,6818,,
112000001_25.04.2012,112000001,25,4,2012,6834,Silo pallipes,4,6834,,
112000001_25.04.2012,112000001,25,4,2012,8116,Stempellinella brevis,4404,8116,,
112000001_25.04.2012,112000001,25,4,2012,6935,Stylodrilus heringianus,56,6935,,
112000001_25.04.2012,112000001,25,4,2012,6956,Synagapetus moselyi,10,6956,,
112000001_25.04.2012,112000001,25,4,2012,6959,Synorthocladius semivirens,9,6959,,
112000001_25.04.2012,112000001,25,4,2012,7009,Tanytarsus sp.,896,7009,,
112000001_25.04.2012,112000001,25,4,2012,7047,Thienemanniella sp.,4,7047,,
112000001_25.04.2012,112000001,25,4,2012,7066,Tinodes rostocki,6,7066,,
112000001_25.04.2012,112000001,25,4,2012,7183,Zavrelimyia sp.,4,7183,,
112000001_12.04.2013,112000001,12,4,2013,4487,Brachyptera risi,69,4487,,
112000001_12.04.2013,112000001,12,4,2013,4496,Brillia bifida,16,4496,,
112000001_12.04.2013,112000001,12,4,2013,4510,Bythinella austriaca austriaca,34,4510,,
112000001_12.04.2013,112000001,12,4,2013,4585,Ceratopogonidae Gen. sp.,8,4585,,
112000001_12.04.2013,112000001,12,4,2013,13780,Clytocerus sp.,4,13780,,
112000001_12.04.2013,112000001,12,4,2013,4724,Cognettia glandulosa,1,4724,,
112000001_12.04.2013,112000001,12,4,2013,4761,Corynoneura lobata,52,4761,,
