sample_id,site_id,day,month,year,taxon_id,taxon,abundance,listed in freshwaterecology.com
101000003_02.05.2014,101000003,2,5,2014,4205,Acroloxus lacustris,1,4205
101000003_12.05.2015,101000003,12,5,2015,4205,Acroloxus lacustris,4,4205
101000007_11.05.2013,101000007,11,5,2013,4222,Aeshna cyanea,1,4222
101000001_16.05.2012,101000001,16,5,2012,4253,Agapetus ochripes,9,4253
101000001_05.05.2014,101000001,5,5,2014,4253,Agapetus ochripes,3,4253
101000001_06.05.2015,101000001,6,5,2015,4253,Agapetus ochripes,2,4253
101000001_17.05.2017,101000001,17,5,2017,4253,Agapetus ochripes,3,4253
101000001_02.05.2018,101000001,2,5,2018,4253,Agapetus ochripes,80,4253
101000001_14.05.2019,101000001,14,5,2019,4253,Agapetus ochripes,1,4253
101000002_16.05.2012,101000002,16,5,2012,4253,Agapetus ochripes,5,4253
101000002_15.05.2013,101000002,15,5,2013,4253,Agapetus ochripes,5,4253
101000002_27.04.2014,101000002,27,4,2014,4253,Agapetus ochripes,13,4253
101000002_07.05.2015,101000002,7,5,2015,4253,Agapetus ochripes,17,4253
101000002_17.05.2016,101000002,17,5,2016,4253,Agapetus ochripes,13,4253
101000002_17.05.2017,101000002,17,5,2017,4253,Agapetus ochripes,1,4253
101000002_15.05.2018,101000002,15,5,2018,4253,Agapetus ochripes,3,4253
101000002_15.05.2019,101000002,15,5,2019,4253,Agapetus ochripes,9,4253
101000003_07.05.2011,101000003,7,5,2011,4253,Agapetus ochripes,2,4253
101000003_17.05.2018,101000003,17,5,2018,4253,Agapetus ochripes,1,4253
101000005_13.05.2013,101000005,13,5,2013,4253,Agapetus ochripes,5,4253
101000005_18.05.2015,101000005,18,5,2015,4253,Agapetus ochripes,1,4253
101000005_18.05.2016,101000005,18,5,2016,4253,Agapetus ochripes,1,4253
101000005_10.05.2017,101000005,10,5,2017,4253,Agapetus ochripes,9,4253
101000005_08.05.2018,101000005,8,5,2018,4253,Agapetus ochripes,12,4253
101000005_02.05.2019,101000005,2,5,2019,4253,Agapetus ochripes,4,4253
101000006_26.04.2014,101000006,26,4,2014,4253,Agapetus ochripes,5,4253
101000006_07.05.2015,101000006,7,5,2015,4253,Agapetus ochripes,4,4253
101000006_17.05.2017,101000006,17,5,2017,4253,Agapetus ochripes,1,4253
101000007_11.05.2013,101000007,11,5,2013,4253,Agapetus ochripes,1,4253
101000010_01.10.2003,101000010,1,10,2003,4253,Agapetus ochripes,18,4253
101000010_04.10.2018,101000010,4,10,2018,4253,Agapetus ochripes,2,4253
101000001_16.05.2012,101000001,16,5,2012,4292,Amphinemura borealis,19,4292
101000001_14.05.2013,101000001,14,5,2013,4292,Amphinemura borealis,78,4292
