sample_id,site_id,day,month,year,taxon_id,taxon,abundance,listed in freshwaterecology.com,
119000001_NA.09.2000,119000001,NA,9,2000,20125,Ephemerella aurivillii,3,20125,
119000001_NA.09.2006,119000001,NA,9,2006,20125,Ephemerella aurivillii,1,20125,
119000002_NA.09.2000,119000002,NA,9,2000,20125,Ephemerella aurivillii,1,20125,
119000003_NA.09.2000,119000003,NA,9,2000,20125,Ephemerella aurivillii,40,20125,
119000003_NA.09.2001,119000003,NA,9,2001,20125,Ephemerella aurivillii,16,20125,
119000003_NA.09.2002,119000003,NA,9,2002,20125,Ephemerella aurivillii,40,20125,
119000003_NA.09.2003,119000003,NA,9,2003,20125,Ephemerella aurivillii,38,20125,
119000003_NA.09.2004,119000003,NA,9,2004,20125,Ephemerella aurivillii,82,20125,
119000003_NA.09.2006,119000003,NA,9,2006,20125,Ephemerella aurivillii,51,20125,
119000003_NA.09.2007,119000003,NA,9,2007,20125,Ephemerella aurivillii,57,20125,
119000003_NA.09.2008,119000003,NA,9,2008,20125,Ephemerella aurivillii,34,20125,
119000003_NA.09.2009,119000003,NA,9,2009,20125,Ephemerella aurivillii,76,20125,
119000003_NA.09.2010,119000003,NA,9,2010,20125,Ephemerella aurivillii,32,20125,
119000003_NA.09.2011,119000003,NA,9,2011,20125,Ephemerella aurivillii,86,20125,
119000003_NA.09.2012,119000003,NA,9,2012,20125,Ephemerella aurivillii,78,20125,
119000003_NA.09.2013,119000003,NA,9,2013,20125,Ephemerella aurivillii,88,20125,
119000003_NA.09.2014,119000003,NA,9,2014,20125,Ephemerella aurivillii,6,20125,
119000004_NA.09.2004,119000004,NA,9,2004,20125,Ephemerella aurivillii,1,20125,
119000005_NA.09.2000,119000005,NA,9,2000,20125,Ephemerella aurivillii,38,20125,
119000005_NA.09.2001,119000005,NA,9,2001,20125,Ephemerella aurivillii,51,20125,
119000005_NA.09.2002,119000005,NA,9,2002,20125,Ephemerella aurivillii,16,20125,
119000005_NA.09.2003,119000005,NA,9,2003,20125,Ephemerella aurivillii,12,20125,
119000005_NA.09.2004,119000005,NA,9,2004,20125,Ephemerella aurivillii,16,20125,
119000005_NA.09.2005,119000005,NA,9,2005,20125,Ephemerella aurivillii,24,20125,
119000005_NA.09.2006,119000005,NA,9,2006,20125,Ephemerella aurivillii,6,20125,
119000005_NA.09.2007,119000005,NA,9,2007,20125,Ephemerella aurivillii,4,20125,
119000005_NA.09.2008,119000005,NA,9,2008,20125,Ephemerella aurivillii,21,20125,
119000005_NA.09.2009,119000005,NA,9,2009,20125,Ephemerella aurivillii,6,20125,
119000005_NA.09.2010,119000005,NA,9,2010,20125,Ephemerella aurivillii,5,20125,
119000005_NA.09.2011,119000005,NA,9,2011,20125,Ephemerella aurivillii,6,20125,
119000005_NA.09.2012,119000005,NA,9,2012,20125,Ephemerella aurivillii,3,20125,
119000005_NA.09.2013,119000005,NA,9,2013,20125,Ephemerella aurivillii,7,20125,
119000005_NA.09.2014,119000005,NA,9,2014,20125,Ephemerella aurivillii,1,20125,
119000006_NA.09.2000,119000006,NA,9,2000,20125,Ephemerella aurivillii,26,20125,
119000006_NA.09.2001,119000006,NA,9,2001,20125,Ephemerella aurivillii,12,20125,
119000006_NA.09.2002,119000006,NA,9,2002,20125,Ephemerella aurivillii,12,20125,
119000006_NA.09.2003,119000006,NA,9,2003,20125,Ephemerella aurivillii,24,20125,
119000006_NA.09.2004,119000006,NA,9,2004,20125,Ephemerella aurivillii,2,20125,
119000006_NA.09.2006,119000006,NA,9,2006,20125,Ephemerella aurivillii,1,20125,
