sample_id,site_id,day,month,year,taxon_id,taxon,abundance,listed in freshwaterecology.com,
100000001_28.06.1980,100000001,28,6,1980,5131,Ephemerella ignita,62,5131,
100000001_23.06.1981,100000001,23,6,1981,5131,Ephemerella ignita,17,5131,
100000001_25.07.1983,100000001,25,7,1983,5131,Ephemerella ignita,26,5131,
100000001_02.07.1985,100000001,2,7,1985,5131,Ephemerella ignita,26,5131,
100000001_19.06.1986,100000001,19,6,1986,5131,Ephemerella ignita,4,5131,
100000001_11.07.1988,100000001,11,7,1988,5131,Ephemerella ignita,2,5131,
100000001_11.05.1989,100000001,11,5,1989,5131,Ephemerella ignita,1,5131,
100000001_25.06.1990,100000001,25,6,1990,5131,Ephemerella ignita,2,5131,
100000001_09.07.1991,100000001,9,7,1991,5131,Ephemerella ignita,2,5131,
100000001_16.07.1992,100000001,16,7,1992,5131,Ephemerella ignita,3,5131,
100000001_22.07.1993,100000001,22,7,1993,5131,Ephemerella ignita,21,5131,
100000001_12.07.1995,100000001,12,7,1995,5131,Ephemerella ignita,4,5131,
100000001_23.05.1997,100000001,23,5,1997,5131,Ephemerella ignita,13,5131,
100000001_27.05.1999,100000001,27,5,1999,5131,Ephemerella ignita,132,5131,
100000001_04.05.2000,100000001,4,5,2000,5131,Ephemerella ignita,28,5131,
100000001_12.06.2001,100000001,12,6,2001,5131,Ephemerella ignita,61,5131,
100000001_09.06.2005,100000001,9,6,2005,5131,Ephemerella ignita,26,5131,
100000001_01.06.2006,100000001,1,6,2006,5131,Ephemerella ignita,60,5131,
100000001_13.06.2007,100000001,13,6,2007,5131,Ephemerella ignita,3,5131,
100000001_27.05.2008,100000001,27,5,2008,5131,Ephemerella ignita,56,5131,
100000001_28.05.2009,100000001,28,5,2009,5131,Ephemerella ignita,108,5131,
100000001_06.05.2010,100000001,6,5,2010,5131,Ephemerella ignita,72,5131,
100000001_24.05.2012,100000001,24,5,2012,5131,Ephemerella ignita,146,5131,
100000001_25.06.2013,100000001,25,6,2013,5131,Ephemerella ignita,14,5131,
100000001_04.06.2014,100000001,4,6,2014,5131,Ephemerella ignita,15,5131,
100000002_09.08.2000,100000002,9,8,2000,5131,Ephemerella ignita,10,5131,
100000002_29.09.2005,100000002,29,9,2005,5131,Ephemerella ignita,1,5131,
