sample_id,site_id,day,month,year,taxon_id,taxon,abundance,listed in freshwaterecology.com
100000309_11.09.2018,100000309,11,9,2018,6510,Potamanthus luteus,2,6510
100000308_09.08.2000,100000308,9,8,2000,4397,Baetis fuscatus,3,4397
100000308_09.08.2000,100000308,9,8,2000,4531,Calopteryx sp.,1,4531
100000308_09.08.2000,100000308,9,8,2000,4642,Chironomidae Gen. sp.,30,4642
100000308_09.08.2000,100000308,9,8,2000,4644,Chironomini Gen. sp.,17,4644
100000308_09.08.2000,100000308,9,8,2000,11178,Corbicula sp.,1,11178
100000308_09.08.2000,100000308,9,8,2000,4950,Diamesinae Gen. sp.,4,4950
100000308_09.08.2000,100000308,9,8,2000,5021,Dugesia sp.,21,5021
100000308_09.08.2000,100000308,9,8,2000,5022,Dugesia tigrina,3,5022
100000308_09.08.2000,100000308,9,8,2000,5137,Ephemerella sp.,10,5137
100000308_09.08.2000,100000308,9,8,2000,17822,Esolus sp.,6,
100000308_09.08.2000,100000308,9,8,2000,5293,Gammarus sp.,4335,5293
100000308_09.08.2000,100000308,9,8,2000,5443,Hemerodromiinae Gen. sp.,2,5443
100000308_09.08.2000,100000308,9,8,2000,5456,Heptagenia sp.,17,5456
100000308_09.08.2000,100000308,9,8,2000,5605,Hydropsyche sp.,256,5605
100000308_09.08.2000,100000308,9,8,2000,5616,Hydroptila sp.,1,5616
100000308_09.08.2000,100000308,9,8,2000,5790,Leuctra sp.,2,5790
100000308_09.08.2000,100000308,9,8,2000,8736,Oligochaeta Gen. sp.,2,8736
100000308_09.08.2000,100000308,9,8,2000,18613,Orectochilus villosus,2,
100000308_09.08.2000,100000308,9,8,2000,6208,Orthocladiinae Gen. sp.,9,6208
100000308_09.08.2000,100000308,9,8,2000,6426,Pisidium subtruncatum,1,6426
100000308_09.08.2000,100000308,9,8,2000,6510,Potamanthus luteus,2,6510
100000308_09.08.2000,100000308,9,8,2000,6661,Psychomyia pusilla,1,6661
100000308_09.08.2000,100000308,9,8,2000,7025,Theodoxus fluviatilis ssp.,3,
