sample_id,site_id,day,month,year,taxon_id,taxon,abundance,listed in freshwaterecology.com
108000153_21.05.1986,108000153,21,5,1986,5790,Leuctra sp.,20,5790
108000153_21.05.1986,108000153,21,5,1986,6113,Nemurella pictetii,200,6113
108000153_21.05.1986,108000153,21,5,1986,10544,Chaetopterygini Gen. sp.,6,10544
108000153_05.05.1988,108000153,5,5,1988,5790,Leuctra sp.,20,5790
108000153_05.05.1988,108000153,5,5,1988,21307,Siphonoperla torrentium ssp.,1,21307
108000153_05.05.1988,108000153,5,5,1988,6616,Protonemura sp.,20,6616
108000153_05.05.1988,108000153,5,5,1988,21218,Plectrocnemia conspersa ssp.,20,21218
108000153_05.05.1988,108000153,5,5,1988,7839,Simulium cryophilum,20,7839
108000153_15.06.1989,108000153,15,6,1989,6527,Potamophylax sp.,20,6527
108000153_15.06.1989,108000153,15,6,1989,6616,Protonemura sp.,650,6616
108000153_15.06.1989,108000153,15,6,1989,6780,Rhyacophila sp.,20,6780
108000153_15.06.1989,108000153,15,6,1989,7842,Simulium vernum,1,7842
108000153_15.06.1989,108000153,15,6,1989,6463,Polycelis felina,20,6463
108000153_19.07.1990,108000153,19,7,1990,6113,Nemurella pictetii,1,6113
108000153_19.07.1990,108000153,19,7,1990,6780,Rhyacophila sp.,6,6780
108000153_19.07.1990,108000153,19,7,1990,5001,Drusus annulatus,1,5001
108000153_19.07.1990,108000153,19,7,1990,6463,Polycelis felina,20,6463
108000153_25.07.1991,108000153,25,7,1991,5790,Leuctra sp.,1,5790
108000153_25.07.1991,108000153,25,7,1991,5844,Limnephilus sp.,6,5844
108000153_25.07.1991,108000153,25,7,1991,6113,Nemurella pictetii,6,6113
108000153_25.07.1991,108000153,25,7,1991,6463,Polycelis felina,20,6463
108000153_19.05.1999,108000153,19,5,1999,21307,Siphonoperla torrentium ssp.,20,21307
108000153_19.05.1999,108000153,19,5,1999,6616,Protonemura sp.,20,6616
108000153_19.05.1999,108000153,19,5,1999,21218,Plectrocnemia conspersa ssp.,20,21218
108000153_19.05.1999,108000153,19,5,1999,21356,Nemoura cinerea ssp.,20,21356
108000153_19.05.1999,108000153,19,5,1999,6113,Nemurella pictetii,6,6113
108000153_19.05.1999,108000153,19,5,1999,5779,Leuctra nigra,65,5779
108000153_19.05.1999,108000153,19,5,1999,4988,Diura bicaudata,6,4988
108000153_19.05.1999,108000153,19,5,1999,9752,Simulium (Nevermannia) sp.,20,9752
108000153_19.05.1999,108000153,19,5,1999,6463,Polycelis felina,20,6463
108000153_19.05.1999,108000153,19,5,1999,6127,Niphargus sp.,6,6127
108000153_19.06.2000,108000153,19,6,2000,6616,Protonemura sp.,20,6616
108000153_19.06.2000,108000153,19,6,2000,21218,Plectrocnemia conspersa ssp.,65,21218
108000153_19.06.2000,108000153,19,6,2000,11659,Agabus sp. Ad.,6,11659
108000153_19.06.2000,108000153,19,6,2000,6113,Nemurella pictetii,20,6113
108000153_19.06.2000,108000153,19,6,2000,5779,Leuctra nigra,1,5779
108000153_19.06.2000,108000153,19,6,2000,4988,Diura bicaudata,20,4988
108000153_19.06.2000,108000153,19,6,2000,6780,Rhyacophila sp.,20,6780
108000153_19.06.2000,108000153,19,6,2000,10544,Chaetopterygini Gen. sp.,20,10544
108000153_19.06.2000,108000153,19,6,2000,9752,Simulium (Nevermannia) sp.,1,9752
108000153_19.06.2000,108000153,19,6,2000,6463,Polycelis felina,20,6463
108000153_19.06.2000,108000153,19,6,2000,6425,Pisidium sp.,1,6425
108000153_19.06.2000,108000153,19,6,2000,6127,Niphargus sp.,20,6127
108000153_24.07.2001,108000153,24,7,2001,5790,Leuctra sp.,1,5790
108000153_24.07.2001,108000153,24,7,2001,6616,Protonemura sp.,6,6616
108000153_24.07.2001,108000153,24,7,2001,6108,Nemoura sp.,6,6108
108000153_24.07.2001,108000153,24,7,2001,21218,Plectrocnemia conspersa ssp.,20,21218
108000153_24.07.2001,108000153,24,7,2001,11659,Agabus sp. Ad.,1,11659
108000153_24.07.2001,108000153,24,7,2001,4988,Diura bicaudata,20,4988
108000153_24.07.2001,108000153,24,7,2001,10544,Chaetopterygini Gen. sp.,6,10544
108000153_24.07.2001,108000153,24,7,2001,6463,Polycelis felina,6,6463
108000153_24.07.2001,108000153,24,7,2001,6127,Niphargus sp.,6,6127
