sample_id,site_id,day,month,year,taxon_id,taxon,abundance,listed in freshwaterecology.com,
108000156_09.06.1983,108000156,9,6,1983,6108,Nemoura sp.,1,6108,
108000156_09.06.1983,108000156,9,6,1983,17494,Agabus sturmii,6,,
108000156_09.06.1983,108000156,9,6,1983,4293,Amphinemura sp.,6,4293,
108000156_09.06.1983,108000156,9,6,1983,4332,Apatania fimbriata,6,4332,
108000156_09.06.1983,108000156,9,6,1983,4489,Brachyptera sp.,6,4489,
108000156_09.06.1983,108000156,9,6,1983,10544,Chaetopterygini Gen. sp.,6,10544,
108000156_09.06.1983,108000156,9,6,1983,17779,Elmis sp.,6,,
108000156_09.06.1983,108000156,9,6,1983,17816,Esolus angustatus,6,,
108000156_09.06.1983,108000156,9,6,1983,5378,Halesus sp.,6,5378,
108000156_09.06.1983,108000156,9,6,1983,5790,Leuctra sp.,6,5790,
108000156_09.06.1983,108000156,9,6,1983,18418,Limnius perrisi,6,,
108000156_09.06.1983,108000156,9,6,1983,6463,Polycelis felina,6,6463,
108000156_09.06.1983,108000156,9,6,1983,6527,Potamophylax sp.,6,6527,
108000156_09.06.1983,108000156,9,6,1983,6817,Sericostoma personatum,6,6817,
108000156_09.06.1983,108000156,9,6,1983,6842,Simuliidae Gen. sp.,6,6842,
108000156_09.06.1983,108000156,9,6,1983,5007,Drusus discolor,20,5007,
108000156_09.06.1983,108000156,9,6,1983,18616,Oreodytes sanmarkii,20,,
108000156_09.06.1983,108000156,9,6,1983,6616,Protonemura sp.,20,6616,
108000156_09.06.1983,108000156,9,6,1983,6780,Rhyacophila sp.,20,6780,
108000156_09.06.1983,108000156,9,6,1983,6836,Silo sp.,20,6836,
108000156_15.04.1987,108000156,15,4,1987,17773,Elmis latreillei,1,,
108000156_15.04.1987,108000156,15,4,1987,6377,Perlodes sp.,1,6377,
108000156_15.04.1987,108000156,15,4,1987,4334,Apatania sp.,6,4334,
108000156_15.04.1987,108000156,15,4,1987,4988,Diura bicaudata,6,4988,
108000156_15.04.1987,108000156,15,4,1987,5001,Drusus annulatus,6,5001,
108000156_15.04.1987,108000156,15,4,1987,5007,Drusus discolor,6,5007,
108000156_15.04.1987,108000156,15,4,1987,5034,Ecclisopteryx guttulata,6,5034,
108000156_15.04.1987,108000156,15,4,1987,5035,Ecclisopteryx madida,6,5035,
108000156_15.04.1987,108000156,15,4,1987,5790,Leuctra sp.,6,5790,
108000156_15.04.1987,108000156,15,4,1987,5983,Micrasema longulum,6,5983,
108000156_15.04.1987,108000156,15,4,1987,5984,Micrasema minimum,6,5984,
108000156_15.04.1987,108000156,15,4,1987,6386,Philopotamus ludificatus,6,6386,
108000156_15.04.1987,108000156,15,4,1987,6527,Potamophylax sp.,6,6527,
108000156_15.04.1987,108000156,15,4,1987,6616,Protonemura sp.,6,6616,
108000156_15.04.1987,108000156,15,4,1987,19398,Rhyacophila dorsalis ssp.,6,19398,
108000156_15.04.1987,108000156,15,4,1987,6780,Rhyacophila sp.,6,6780,
108000156_15.04.1987,108000156,15,4,1987,6784,Rhyacophila tristis,6,6784,
108000156_15.04.1987,108000156,15,4,1987,6818,Sericostoma sp.,6,6818,
108000156_15.04.1987,108000156,15,4,1987,4488,Brachyptera seticornis,20,4488,
108000156_15.04.1987,108000156,15,4,1987,5316,Glossosoma sp.,20,5316,
108000156_15.04.1987,108000156,15,4,1987,5673,Isoperla sp.,20,5673,
108000156_15.04.1987,108000156,15,4,1987,6834,Silo pallipes,20,6834,
108000156_12.06.1989,108000156,12,6,1989,4295,Amphinemura sulcicollis,1,4295,
108000156_12.06.1989,108000156,12,6,1989,17778,Elmis rioloides,1,,
108000156_12.06.1989,108000156,12,6,1989,5769,Leuctra inermis,1,5769,
108000156_12.06.1989,108000156,12,6,1989,19393,Plectrocnemia geniculata ssp.,1,19393,
108000156_12.06.1989,108000156,12,6,1989,8487,Tipulidae Gen. sp.,1,8487,
108000156_12.06.1989,108000156,12,6,1989,4293,Amphinemura sp.,6,4293,
108000156_12.06.1989,108000156,12,6,1989,4334,Apatania sp.,6,4334,
108000156_12.06.1989,108000156,12,6,1989,4488,Brachyptera seticornis,6,4488,
108000156_12.06.1989,108000156,12,6,1989,5007,Drusus discolor,6,5007,
108000156_12.06.1989,108000156,12,6,1989,5790,Leuctra sp.,6,5790,
108000156_12.06.1989,108000156,12,6,1989,5809,Limnephilidae Gen. sp.,6,5809,
108000156_12.06.1989,108000156,12,6,1989,5852,Limnius perrisi Lv.,6,5852,
108000156_12.06.1989,108000156,12,6,1989,6168,Odontocerum albicorne,6,6168,
108000156_12.06.1989,108000156,12,6,1989,6780,Rhyacophila sp.,6,6780,
108000156_12.06.1989,108000156,12,6,1989,6836,Silo sp.,6,6836,
108000156_12.06.1989,108000156,12,6,1989,21307,Siphonoperla torrentium ssp.,6,21307,
108000156_12.06.1989,108000156,12,6,1989,7117,Tubificidae Gen. sp.,6,7117,
108000156_12.06.1989,108000156,12,6,1989,19394,Potamophylax cingulatus ssp.,20,19394,
108000156_12.06.1989,108000156,12,6,1989,6616,Protonemura sp.,20,6616,
108000156_12.06.1989,108000156,12,6,1989,6842,Simuliidae Gen. sp.,20,6842,
108000156_12.06.1989,108000156,12,6,1989,4642,Chironomidae Gen. sp.,200,4642,
108000156_17.06.1991,108000156,17,6,1991,4295,Amphinemura sulcicollis,1,4295,
108000156_17.06.1991,108000156,17,6,1991,5001,Drusus annulatus,1,5001,
108000156_17.06.1991,108000156,17,6,1991,5034,Ecclisopteryx guttulata,1,5034,
108000156_17.06.1991,108000156,17,6,1991,5378,Halesus sp.,1,5378,
108000156_17.06.1991,108000156,17,6,1991,10725,Ceratopogoninae Gen. sp.,1,10725,
108000156_17.06.1991,108000156,17,6,1991,5779,Leuctra nigra,1,5779,
108000156_17.06.1991,108000156,17,6,1991,21381,Protonemura intricata  ,1,21381,
108000156_17.06.1991,108000156,17,6,1991,6747,Rhithrogena sp.,1,6747,
108000156_17.06.1991,108000156,17,6,1991,6776,Rhyacophila praemorsa,1,6776,
108000156_17.06.1991,108000156,17,6,1991,6821,Sialis fuliginosa,1,6821,
108000156_17.06.1991,108000156,17,6,1991,4332,Apatania fimbriata,6,4332,
108000156_17.06.1991,108000156,17,6,1991,4622,Chaetopterygopsis maclachlani,6,4622,
108000156_17.06.1991,108000156,17,6,1991,4988,Diura bicaudata,6,4988,
108000156_17.06.1991,108000156,17,6,1991,5035,Ecclisopteryx madida,6,5035,
108000156_17.06.1991,108000156,17,6,1991,5673,Isoperla sp.,6,5673,
108000156_17.06.1991,108000156,17,6,1991,5809,Limnephilidae Gen. sp.,6,5809,
108000156_17.06.1991,108000156,17,6,1991,8736,Oligochaeta Gen. sp.,6,8736,
108000156_17.06.1991,108000156,17,6,1991,18616,Oreodytes sanmarkii,6,,
108000156_17.06.1991,108000156,17,6,1991,6386,Philopotamus ludificatus,6,6386,
108000156_17.06.1991,108000156,17,6,1991,6589,Prosimulium latimucro,6,6589,
108000156_17.06.1991,108000156,17,6,1991,6616,Protonemura sp.,6,6616,
108000156_17.06.1991,108000156,17,6,1991,6780,Rhyacophila sp.,6,6780,
108000156_17.06.1991,108000156,17,6,1991,6834,Silo pallipes,6,6834,
108000156_17.06.1991,108000156,17,6,1991,19460,Simulium vernum-Gr.,6,19460,
108000156_17.06.1991,108000156,17,6,1991,4293,Amphinemura sp.,20,4293,
108000156_17.06.1991,108000156,17,6,1991,4642,Chironomidae Gen. sp.,20,4642,
108000156_17.06.1991,108000156,17,6,1991,5769,Leuctra inermis,20,5769,
108000156_17.06.1991,108000156,17,6,1991,18418,Limnius perrisi,20,,
108000156_17.06.1991,108000156,17,6,1991,6527,Potamophylax sp.,20,6527,
108000156_17.06.1991,108000156,17,6,1991,21307,Siphonoperla torrentium ssp.,20,21307,
108000156_17.06.1991,108000156,17,6,1991,4288,Ameletus inopinatus,65,4288,
108000156_17.06.1991,108000156,17,6,1991,4327,Anomalopterygella chauviniana,65,4327,
108000156_20.06.1994,108000156,20,6,1994,5769,Leuctra inermis,1,5769,
108000156_20.06.1994,108000156,20,6,1994,6596,Protonemura auberti,1,6596,
108000156_20.06.1994,108000156,20,6,1994,21381,Protonemura intricata  ,1,21381,
108000156_20.06.1994,108000156,20,6,1994,6784,Rhyacophila tristis,1,6784,
