sample_id,site_id,day,month,year,taxon_id,taxon,abundance,listed in freshwaterecology.com
114000001_19.06.2007,114000001,19,6,2007,11203,Sigara dorsalis,30.4,11203
114000001_19.06.2007,114000001,19,6,2007,14407,Pseudanodonta complanata complanata,3.2,14407
114000001_19.06.2007,114000001,19,6,2007,16982,Radix labiata,16,16982
114000001_19.06.2007,114000001,19,6,2007,4226,Aeshna sp.,1.6,4226
114000001_19.06.2007,114000001,19,6,2007,4357,Astacus astacus,4.8,4357
114000001_19.06.2007,114000001,19,6,2007,4419,Baetis sp.,1.6,4419
114000001_19.06.2007,114000001,19,6,2007,4460,Bithynia leachii leachii,1.6,4460
114000001_19.06.2007,114000001,19,6,2007,4462,Bithynia tentaculata,3.2,4462
114000001_19.06.2007,114000001,19,6,2007,4530,Calopteryx splendens,1.6,4530
114000001_19.06.2007,114000001,19,6,2007,4642,Chironomidae Gen. sp.,340.8,4642
114000001_19.06.2007,114000001,19,6,2007,4838,Cybister lateralimarginalis Lv.,1.6,4838
114000001_19.06.2007,114000001,19,6,2007,5303,Gerris sp.,1.6,5303
114000001_19.06.2007,114000001,19,6,2007,5592,Hydropsyche contubernalis ssp.,9.6,5592
114000001_19.06.2007,114000001,19,6,2007,5919,Lymnaea sp.,1.6,5919
114000001_19.06.2007,114000001,19,6,2007,6122,Neureclipsis bimaculata,3.2,6122
114000001_19.06.2007,114000001,19,6,2007,6823,Sialis sp.,1.6,6823
114000001_19.06.2007,114000001,19,6,2007,8142,Hydropsyche incognita,9.6,8142
114000001_19.06.2007,114000001,19,6,2007,8691,Asellus aquaticus,1.6,8691
114000001_19.06.2007,114000001,19,6,2007,8736,Oligochaeta Gen. sp.,1.6,8736
114000001_20.05.2008,114000001,20,5,2008,4643,Chironominae Gen. sp.,107.2,4643
114000001_20.05.2008,114000001,20,5,2008,6199,Orconectes limosus,1.6,6199
114000001_20.05.2008,114000001,20,5,2008,6438,Platycnemis pennipes,8,6438
114000001_20.05.2008,114000001,20,5,2008,7138,Unio sp.,1.6,7138
114000001_20.05.2008,114000001,20,5,2008,8736,Oligochaeta Gen. sp.,12.8,8736
114000001_20.05.2008,114000001,20,5,2008,9146,Physa sp.,1.6,9146
114000001_12.05.2009,114000001,12,5,2009,4530,Calopteryx splendens,3.2,4530
114000001_12.05.2009,114000001,12,5,2009,5658,Ischnura elegans,3.2,5658
114000001_12.05.2009,114000001,12,5,2009,5796,Libellula fulva,8,5796
114000001_12.05.2009,114000001,12,5,2009,6438,Platycnemis pennipes,1.6,6438
114000001_12.05.2009,114000001,12,5,2009,6583,Prodiamesa olivacea,3.2,6583
114000001_12.05.2009,114000001,12,5,2009,6934,Stylaria lacustris,8,6934
114000001_12.05.2009,114000001,12,5,2009,6977,Tanytarsini Gen. sp.,1.6,6977
114000001_12.05.2009,114000001,12,5,2009,8736,Oligochaeta Gen. sp.,3.2,8736
114000001_28.06.2011,114000001,28,6,2011,4642,Chironomidae Gen. sp.,8,4642
114000001_28.06.2011,114000001,28,6,2011,4643,Chironominae Gen. sp.,8,4643
114000001_28.06.2011,114000001,28,6,2011,5064,Ecnomus tenellus,20.8,5064
114000001_28.06.2011,114000001,28,6,2011,6830,Sigara striata,6.4,6830
114000001_28.06.2011,114000001,28,6,2011,8736,Oligochaeta Gen. sp.,22.4,8736
114000001_24.04.2012,114000001,24,4,2012,4643,Chironominae Gen. sp.,1.6,4643
114000001_24.04.2012,114000001,24,4,2012,4644,Chironomini Gen. sp.,1.6,4644
114000001_24.04.2012,114000001,24,4,2012,5284,Galba truncatula,1.6,5284
114000001_24.04.2012,114000001,24,4,2012,5652,Ilyocoris cimicoides cimicoides,1.6,5652
114000001_24.04.2012,114000001,24,4,2012,6396,Physella acuta,4.8,6396
114000001_24.04.2012,114000001,24,4,2012,6842,Simuliidae Gen. sp.,4.8,6842
114000001_24.04.2012,114000001,24,4,2012,7442,Orthetrum albistylum,1.6,7442
114000001_24.04.2012,114000001,24,4,2012,8485,Tabanidae Gen. sp.,1.6,8485
114000001_24.04.2012,114000001,24,4,2012,8691,Asellus aquaticus,3.2,8691
114000001_24.04.2012,114000001,24,4,2012,8736,Oligochaeta Gen. sp.,859.2,8736
114000001_18.06.2013,114000001,18,6,2013,11763,Copelatus haemorrhoidalis Ad.,1.6,11763
