sample_id,site_id,day,month,year,taxon_id,taxon,abundance,listed in freshwaterecology.com
110000014_29.05.2014,110000014,29,5,2014,5063,Ecnomus sp.,1,5063
110000013_30.05.2005,110000013,30,5,2005,5063,Ecnomus sp.,1,5063
110000012_29.05.2014,110000012,29,5,2014,5063,Ecnomus sp.,1,5063
110000011_29.05.2014,110000011,29,5,2014,5063,Ecnomus sp.,1,5063
110000010_24.05.2005,110000010,24,5,2005,5063,Ecnomus sp.,2,5063
110000008_05.06.2013,110000008,5,6,2013,5063,Ecnomus sp.,9,5063
110000007_07.06.2019,110000007,7,6,2019,5063,Ecnomus sp.,1,5063
110000007_05.06.2013,110000007,5,6,2013,5063,Ecnomus sp.,1,5063
110000005_26.05.2014,110000005,26,5,2014,5063,Ecnomus sp.,1,5063
110000003_26.05.2014,110000003,26,5,2014,5063,Ecnomus sp.,1,5063
110000002_29.05.2014,110000002,29,5,2014,5063,Ecnomus sp.,1,5063
110000001_27.05.2014,110000001,27,5,2014,5063,Ecnomus sp.,1,5063
110000016_09.06.2015,110000016,9,6,2015,5131,Ephemerella ignita,27,5131
110000016_28.05.2009,110000016,28,5,2009,5131,Ephemerella ignita,1,5131
110000016_30.05.2007,110000016,30,5,2007,5131,Ephemerella ignita,9,5131
110000016_31.05.2006,110000016,31,5,2006,5131,Ephemerella ignita,1,5131
110000016_24.05.2005,110000016,24,5,2005,5131,Ephemerella ignita,3,5131
110000016_25.05.2004,110000016,25,5,2004,5131,Ephemerella ignita,100,5131
110000016_17.06.2003,110000016,17,6,2003,5131,Ephemerella ignita,26,5131
110000015_04.06.2019,110000015,4,6,2019,5131,Ephemerella ignita,1,5131
110000015_29.05.2018,110000015,29,5,2018,5131,Ephemerella ignita,3,5131
110000015_29.05.2017,110000015,29,5,2017,5131,Ephemerella ignita,1,5131
110000015_08.06.2015,110000015,8,6,2015,5131,Ephemerella ignita,5,5131
110000015_27.05.2014,110000015,27,5,2014,5131,Ephemerella ignita,5,5131
110000015_04.06.2013,110000015,4,6,2013,5131,Ephemerella ignita,2,5131
110000015_02.06.2011,110000015,2,6,2011,5131,Ephemerella ignita,1,5131
110000015_28.05.2009,110000015,28,5,2009,5131,Ephemerella ignita,13,5131
