sample_id,site_id,day,month,year,taxon_id,taxon,abundance,listed in freshwaterecology.com,,
113000001_6to8_2010,113000001,NA,6to8,2010,4419,Baetis sp.,96.5,4419,,
113000001_6to8_2010,113000001,NA,6to8,2010,4465,Blephariceridae Gen. sp.,1.3,4465,,
113000001_6to8_2010,113000001,NA,6to8,2010,4552,Capnia sp.,2.2,4552,,
113000001_6to8_2010,113000001,NA,6to8,2010,4642,Chironomidae Gen. sp.,136.1,4642,,
113000001_6to8_2010,113000001,NA,6to8,2010,4671,Chloroperla sp.,3.8,4671,,
113000001_6to8_2010,113000001,NA,6to8,2010,4771,Crenobia alpina,1.7,4771,,
113000001_6to8_2010,113000001,NA,6to8,2010,4968,Dictyogenus sp.,3.2,4968,,
113000001_6to8_2010,113000001,NA,6to8,2010,5097,Empididae Gen. sp.,1.3,5097,,
113000001_6to8_2010,113000001,NA,6to8,2010,5119,Epeorus sp.,2.1,5119,,
113000001_6to8_2010,113000001,NA,6to8,2010,5673,Isoperla sp.,19.1,5673,,
113000001_6to8_2010,113000001,NA,6to8,2010,5790,Leuctra sp.,20.9,5790,,
113000001_6to8_2010,113000001,NA,6to8,2010,5809,Limnephilidae Gen. sp.,12.3,5809,,
113000001_6to8_2010,113000001,NA,6to8,2010,8483,Limoniidae Gen. sp.,8,8483,,
113000001_6to8_2010,113000001,NA,6to8,2010,6108,Nemoura sp.,3.3,6108,,
113000001_6to8_2010,113000001,NA,6to8,2010,6377,Perlodes sp.,3.7,6377,,
113000001_6to8_2010,113000001,NA,6to8,2010,6616,Protonemura sp.,8.8,6616,,
113000001_6to8_2010,113000001,NA,6to8,2010,8753,Psychodidae Gen. sp.,2.7,8753,,
113000001_6to8_2010,113000001,NA,6to8,2010,6682,Rhabdiopteryx sp.,36.9,6682,,
113000001_6to8_2010,113000001,NA,6to8,2010,6747,Rhithrogena sp.,1.5,6747,,
113000001_6to8_2010,113000001,NA,6to8,2010,6780,Rhyacophila sp.,12.6,6780,,
113000001_6to8_2010,113000001,NA,6to8,2010,6842,Simuliidae Gen. sp.,47.2,6842,,
113000001_6to8_2010,113000001,NA,6to8,2010,6867,Siphonoperla sp.,1.5,6867,,
113000001_6to8_2011,113000001,NA,6to8,2011,4419,Baetis sp.,78.2,4419,,
113000001_6to8_2011,113000001,NA,6to8,2011,4552,Capnia sp.,4.5,4552,,
113000001_6to8_2011,113000001,NA,6to8,2011,4585,Ceratopogonidae Gen. sp.,1.3,4585,,
113000001_6to8_2011,113000001,NA,6to8,2011,4642,Chironomidae Gen. sp.,154.7,4642,,
113000001_6to8_2011,113000001,NA,6to8,2011,4671,Chloroperla sp.,2.6,4671,,
113000001_6to8_2011,113000001,NA,6to8,2011,4771,Crenobia alpina,4.9,4771,,
113000001_6to8_2011,113000001,NA,6to8,2011,4968,Dictyogenus sp.,6.3,4968,,
113000001_6to8_2011,113000001,NA,6to8,2011,5097,Empididae Gen. sp.,1.4,5097,,
113000001_6to8_2011,113000001,NA,6to8,2011,5673,Isoperla sp.,5.9,5673,,
113000001_6to8_2011,113000001,NA,6to8,2011,5790,Leuctra sp.,19.8,5790,,
113000001_6to8_2011,113000001,NA,6to8,2011,5809,Limnephilidae Gen. sp.,31,5809,,
113000001_6to8_2011,113000001,NA,6to8,2011,8483,Limoniidae Gen. sp.,10.4,8483,,
113000001_6to8_2011,113000001,NA,6to8,2011,6108,Nemoura sp.,4.7,6108,,
113000001_6to8_2011,113000001,NA,6to8,2011,6377,Perlodes sp.,1.3,6377,,
113000001_6to8_2011,113000001,NA,6to8,2011,8478,Polycentropodidae Gen. sp.,2.6,8478,,
113000001_6to8_2011,113000001,NA,6to8,2011,6616,Protonemura sp.,42.2,6616,,
113000001_6to8_2011,113000001,NA,6to8,2011,6682,Rhabdiopteryx sp.,69,6682,,
113000001_6to8_2011,113000001,NA,6to8,2011,6780,Rhyacophila sp.,30.7,6780,,
113000001_6to8_2011,113000001,NA,6to8,2011,6842,Simuliidae Gen. sp.,78.4,6842,,
113000001_6to8_2011,113000001,NA,6to8,2011,6867,Siphonoperla sp.,2.2,6867,,
113000001_6to8_2012,113000001,NA,6to8,2012,9737,Anthomyiidae Gen. sp.,1.3,9737,,
113000001_6to8_2012,113000001,NA,6to8,2012,4419,Baetis sp.,162.2,4419,,
113000001_6to8_2012,113000001,NA,6to8,2012,4465,Blephariceridae Gen. sp.,1.3,4465,,
113000001_6to8_2012,113000001,NA,6to8,2012,4552,Capnia sp.,12,4552,,
113000001_6to8_2012,113000001,NA,6to8,2012,4585,Ceratopogonidae Gen. sp.,1.3,4585,,
113000001_6to8_2012,113000001,NA,6to8,2012,4642,Chironomidae Gen. sp.,165,4642,,
113000001_6to8_2012,113000001,NA,6to8,2012,4671,Chloroperla sp.,1.3,4671,,
113000001_6to8_2012,113000001,NA,6to8,2012,4771,Crenobia alpina,1.3,4771,,
113000001_6to8_2012,113000001,NA,6to8,2012,4968,Dictyogenus sp.,24.8,4968,,
113000001_6to8_2012,113000001,NA,6to8,2012,5097,Empididae Gen. sp.,15.3,5097,,
113000001_6to8_2012,113000001,NA,6to8,2012,5673,Isoperla sp.,13.4,5673,,
113000001_6to8_2012,113000001,NA,6to8,2012,5790,Leuctra sp.,16,5790,,
113000001_6to8_2012,113000001,NA,6to8,2012,5809,Limnephilidae Gen. sp.,34.4,5809,,
113000001_6to8_2012,113000001,NA,6to8,2012,8483,Limoniidae Gen. sp.,16.2,8483,,
113000001_6to8_2012,113000001,NA,6to8,2012,6108,Nemoura sp.,2.2,6108,,
113000001_6to8_2012,113000001,NA,6to8,2012,6377,Perlodes sp.,1.3,6377,,
113000001_6to8_2012,113000001,NA,6to8,2012,6616,Protonemura sp.,61.8,6616,,
113000001_6to8_2012,113000001,NA,6to8,2012,6682,Rhabdiopteryx sp.,96,6682,,
113000001_6to8_2012,113000001,NA,6to8,2012,6780,Rhyacophila sp.,37.4,6780,,
113000001_6to8_2012,113000001,NA,6to8,2012,6842,Simuliidae Gen. sp.,58.3,6842,,
113000001_6to8_2012,113000001,NA,6to8,2012,6867,Siphonoperla sp.,4.2,6867,,
113000001_6to8_2012,113000001,NA,6to8,2012,8487,Tipulidae Gen. sp.,1.3,8487,,
113000001_6to8_2013,113000001,NA,6to8,2013,9737,Anthomyiidae Gen. sp.,1.5,9737,,
113000001_6to8_2013,113000001,NA,6to8,2013,4419,Baetis sp.,69.3,4419,,
113000001_6to8_2013,113000001,NA,6to8,2013,4465,Blephariceridae Gen. sp.,3.2,4465,,
113000001_6to8_2013,113000001,NA,6to8,2013,4552,Capnia sp.,2,4552,,
113000001_6to8_2013,113000001,NA,6to8,2013,4642,Chironomidae Gen. sp.,72.7,4642,,
113000001_6to8_2013,113000001,NA,6to8,2013,4671,Chloroperla sp.,15.1,4671,,
