sample_id,site_id,day,month,year,taxon_id,taxon,abundance,listed in freshwaterecology.com
113000004_01.04.2011,113000004,1,4,2011,17767,ELMIDAE Gen. sp.,4,
113000004_01.04.2011,113000004,1,4,2011,4380,BAETIDAE Gen. sp.,94,4380
113000004_01.04.2011,113000004,1,4,2011,4642,CHIRONOMIDAE Gen. sp.,71,4642
113000004_01.04.2011,113000004,1,4,2011,5458,HEPTAGENIIDAE Gen. sp.,36,5458
113000004_01.04.2011,113000004,1,4,2011,5809,LIMNEPHILIDAE Gen. sp.,25,5809
113000004_01.04.2011,113000004,1,4,2011,5900,LUMBRICIDAE Gen. sp.,1,5900
113000004_01.04.2011,113000004,1,4,2011,6068,NAIDIDAE Gen. sp.,7,6068
113000004_01.04.2011,113000004,1,4,2011,6385,PHILOPOTAMIDAE Gen. sp.,8,6385
113000004_01.04.2011,113000004,1,4,2011,6788,RHYACOPHILIDAE Gen. sp.,6,6788
113000004_01.04.2011,113000004,1,4,2011,6842,SIMULIIDAE Gen. sp.,63,6842
113000004_01.04.2011,113000004,1,4,2011,7750,ATHERICIDAE Gen. sp.,3,7750
113000004_01.04.2011,113000004,1,4,2011,8422,NEMOURIDAE Gen. sp.,20,8422
113000004_01.04.2011,113000004,1,4,2011,8432,PERLODIDAE Gen. sp.,12,8432
113000004_01.04.2011,113000004,1,4,2011,8437,LEUCTRIDAE Gen. sp.,6,8437
113000004_01.04.2011,113000004,1,4,2011,8474,HYDROPSYCHIDAE Gen. sp.,19,8474
113000004_01.04.2011,113000004,1,4,2011,8483,LIMONIIDAE Gen. sp.,4,8483
113000004_01.04.2011,113000004,1,4,2011,8487,TIPULIDAE Gen. sp.,1,8487
113000004_01.04.2011,113000004,1,4,2011,9311,SERICOSTOMATIDAE Gen. sp.,10,9311
113000004_01.04.2011,113000004,1,4,2011,9370,PLANARIIDAE Gen. sp.,1,9370
113000004_01.04.2011,113000004,1,4,2011,9971,GLOSSOSOMATIDAE Gen. sp.,5,9971
113000004_21.03.2012,113000004,21,3,2012,17767,ELMIDAE Gen. sp.,600,
113000004_21.03.2012,113000004,21,3,2012,4380,BAETIDAE Gen. sp.,1248,4380
113000004_21.03.2012,113000004,21,3,2012,4642,CHIRONOMIDAE Gen. sp.,1008,4642
113000004_21.03.2012,113000004,21,3,2012,5458,HEPTAGENIIDAE Gen. sp.,116,5458
113000004_21.03.2012,113000004,21,3,2012,5809,LIMNEPHILIDAE Gen. sp.,168,5809
113000004_21.03.2012,113000004,21,3,2012,6788,RHYACOPHILIDAE Gen. sp.,16,6788
113000004_21.03.2012,113000004,21,3,2012,6842,SIMULIIDAE Gen. sp.,600,6842
113000004_21.03.2012,113000004,21,3,2012,7490,LUMBRICULIDAE Gen. sp.,72,7490
113000004_21.03.2012,113000004,21,3,2012,7750,ATHERICIDAE Gen. sp.,9,7750
113000004_21.03.2012,113000004,21,3,2012,8422,NEMOURIDAE Gen. sp.,9,8422
113000004_21.03.2012,113000004,21,3,2012,8437,LEUCTRIDAE Gen. sp.,480,8437
113000004_21.03.2012,113000004,21,3,2012,8474,HYDROPSYCHIDAE Gen. sp.,1,8474
113000004_21.03.2012,113000004,21,3,2012,8483,LIMONIIDAE Gen. sp.,44,8483
113000004_21.03.2012,113000004,21,3,2012,8487,TIPULIDAE Gen. sp.,1,8487
113000004_27.03.2013,113000004,27,3,2013,17767,ELMIDAE Gen. sp.,11,
113000004_27.03.2013,113000004,27,3,2013,4380,BAETIDAE Gen. sp.,283,4380
113000004_27.03.2013,113000004,27,3,2013,4642,CHIRONOMIDAE Gen. sp.,508,4642
113000004_27.03.2013,113000004,27,3,2013,5458,HEPTAGENIIDAE Gen. sp.,201,5458
113000004_27.03.2013,113000004,27,3,2013,5809,LIMNEPHILIDAE Gen. sp.,1004,5809
113000004_27.03.2013,113000004,27,3,2013,6385,PHILOPOTAMIDAE Gen. sp.,19,6385
113000004_27.03.2013,113000004,27,3,2013,6788,RHYACOPHILIDAE Gen. sp.,51,6788
113000004_27.03.2013,113000004,27,3,2013,6842,SIMULIIDAE Gen. sp.,4,6842
113000004_27.03.2013,113000004,27,3,2013,7750,ATHERICIDAE Gen. sp.,21,7750
113000004_27.03.2013,113000004,27,3,2013,8422,NEMOURIDAE Gen. sp.,48,8422
113000004_27.03.2013,113000004,27,3,2013,8432,PERLODIDAE Gen. sp.,1,8432
113000004_27.03.2013,113000004,27,3,2013,8437,LEUCTRIDAE Gen. sp.,1724,8437
113000004_27.03.2013,113000004,27,3,2013,8474,HYDROPSYCHIDAE Gen. sp.,2,8474
113000004_27.03.2013,113000004,27,3,2013,8483,LIMONIIDAE Gen. sp.,3,8483
113000004_27.03.2013,113000004,27,3,2013,9971,GLOSSOSOMATIDAE Gen. sp.,3,9971
113000004_21.03.2014,113000004,21,3,2014,17767,ELMIDAE Gen. sp.,312,
113000004_21.03.2014,113000004,21,3,2014,4380,BAETIDAE Gen. sp.,84,4380
113000004_21.03.2014,113000004,21,3,2014,4642,CHIRONOMIDAE Gen. sp.,84,4642
113000004_21.03.2014,113000004,21,3,2014,5458,HEPTAGENIIDAE Gen. sp.,183,5458
113000004_21.03.2014,113000004,21,3,2014,5809,LIMNEPHILIDAE Gen. sp.,178,5809
113000004_21.03.2014,113000004,21,3,2014,5900,LUMBRICIDAE Gen. sp.,1,5900
113000004_21.03.2014,113000004,21,3,2014,6663,PSYCHOMYIIDAE Gen. sp.,2,6663
113000004_21.03.2014,113000004,21,3,2014,6788,RHYACOPHILIDAE Gen. sp.,10,6788
113000004_21.03.2014,113000004,21,3,2014,6842,SIMULIIDAE Gen. sp.,3,6842
113000004_21.03.2014,113000004,21,3,2014,6964,TAENIOPTERYGIDAE Gen. sp.,2,6964
113000004_21.03.2014,113000004,21,3,2014,7750,ATHERICIDAE Gen. sp.,17,7750
113000004_21.03.2014,113000004,21,3,2014,8412,PERLIDAE Gen. sp.,2,8412
113000004_21.03.2014,113000004,21,3,2014,8422,NEMOURIDAE Gen. sp.,7,8422
113000004_21.03.2014,113000004,21,3,2014,8437,LEUCTRIDAE Gen. sp.,715,8437
113000004_21.03.2014,113000004,21,3,2014,8474,HYDROPSYCHIDAE Gen. sp.,2,8474
113000004_21.03.2014,113000004,21,3,2014,8483,LIMONIIDAE Gen. sp.,23,8483
113000004_21.03.2014,113000004,21,3,2014,9365,DUGESIIDAE Gen. sp.,14,9365
113000004_30.04.2015,113000004,30,4,2015,17767,ELMIDAE Gen. sp.,110,
113000004_30.04.2015,113000004,30,4,2015,18153,HYDRAENIDAE Gen. sp.,2,
113000004_30.04.2015,113000004,30,4,2015,4380,BAETIDAE Gen. sp.,768,4380
