sample_id,site_id,day,month,year,taxon_id,taxon,abundance,listed in freshwaterecology.com
120000002_25.07.1997,120000002,25,7,1997,5131,Ephemerella ignita,100,5131
120000002_30.07.1998,120000002,30,7,1998,5131,Ephemerella ignita,20,5131
120000002_22.07.1999,120000002,22,7,1999,5131,Ephemerella ignita,20,5131
120000002_27.07.2001,120000002,27,7,2001,5131,Ephemerella ignita,30,5131
120000002_23.07.2002,120000002,23,7,2002,5131,Ephemerella ignita,10,5131
120000002_27.07.2010,120000002,27,7,2010,5131,Ephemerella ignita,20,5131
120000002_27.07.2011,120000002,27,7,2011,5131,Ephemerella ignita,6.666666667,5131
120000002_24.07.2012,120000002,24,7,2012,5131,Ephemerella ignita,20,5131
120000002_23.07.2013,120000002,23,7,2013,5131,Ephemerella ignita,20,5131
120000003_26.07.1996,120000003,26,7,1996,5131,Ephemerella ignita,55,5131
120000003_26.07.1997,120000003,26,7,1997,5131,Ephemerella ignita,231,5131
120000003_27.07.1998,120000003,27,7,1998,5131,Ephemerella ignita,22,5131
120000003_20.07.1999,120000003,20,7,1999,5131,Ephemerella ignita,44,5131
120000003_24.07.2000,120000003,24,7,2000,5131,Ephemerella ignita,22,5131
120000003_26.07.2001,120000003,26,7,2001,5131,Ephemerella ignita,113,5131
120000003_03.08.2004,120000003,3,8,2004,5131,Ephemerella ignita,5.5,5131
120000003_03.08.2005,120000003,3,8,2005,5131,Ephemerella ignita,5.3,5131
120000003_27.07.2006,120000003,27,7,2006,5131,Ephemerella ignita,58.7,5131
120000003_30.07.2007,120000003,30,7,2007,5131,Ephemerella ignita,64,5131
120000003_23.07.2008,120000003,23,7,2008,5131,Ephemerella ignita,149.3,5131
120000003_27.07.2009,120000003,27,7,2009,5131,Ephemerella ignita,10.7,5131
120000003_26.07.2011,120000003,26,7,2011,5131,Ephemerella ignita,90.7,5131
120000003_23.07.2012,120000003,23,7,2012,5131,Ephemerella ignita,5.3,5131
120000003_22.07.2013,120000003,22,7,2013,5131,Ephemerella ignita,32,5131
120000003_27.07.2015,120000003,27,7,2015,5131,Ephemerella ignita,16,5131
120000003_20.07.1999,120000003,20,7,1999,5329,Goera pilosa,22,5329
120000001_05.08.1986,120000001,5,8,1986,4205,Acroloxus lacustris,6.666666667,4205
120000001_05.08.1986,120000001,5,8,1986,4376,Aulodrilus limnobius,6.666666667,4376
120000001_05.08.1986,120000001,5,8,1986,4452,Bezzia sp.,100,4452
120000001_05.08.1986,120000001,5,8,1986,4462,Bithynia tentaculata,220,4462
120000001_05.08.1986,120000001,5,8,1986,4519,Caenis horaria,6.666666667,4519
120000001_05.08.1986,120000001,5,8,1986,4521,Caenis luctuosa,20,4521
120000001_05.08.1986,120000001,5,8,1986,4522,Caenis macrura,66.66666667,4522
120000001_05.08.1986,120000001,5,8,1986,4642,Chironomidae Gen. sp.,686.6666667,4642
120000001_05.08.1986,120000001,5,8,1986,4876,Cyrnus sp.,6.666666667,4876
120000001_05.08.1986,120000001,5,8,1986,4999,Dreissena polymorpha,3853.333333,4999
120000001_05.08.1986,120000001,5,8,1986,5159,Erpobdella octoculata,33.33333333,5159
120000001_05.08.1986,120000001,5,8,1986,5160,Erpobdella sp.,13.33333333,5160
120000001_05.08.1986,120000001,5,8,1986,5290,Gammarus lacustris,13.33333333,5290
120000001_05.08.1986,120000001,5,8,1986,5304,Glossiphonia complanata,6.666666667,5304
120000001_05.08.1986,120000001,5,8,1986,5354,Gyraulus albus,40,5354
120000001_05.08.1986,120000001,5,8,1986,5413,Helobdella stagnalis,46.66666667,5413
120000001_05.08.1986,120000001,5,8,1986,5916,Lymnaea stagnalis,6.666666667,5916
120000001_05.08.1986,120000001,5,8,1986,6395,Physa fontinalis,33.33333333,6395
120000001_05.08.1986,120000001,5,8,1986,6425,Pisidium sp.,13.33333333,6425
120000001_05.08.1986,120000001,5,8,1986,6430,Planaria torva,26.66666667,6430
120000001_05.08.1986,120000001,5,8,1986,6436,Planorbis planorbis,26.66666667,6436
120000001_05.08.1986,120000001,5,8,1986,6531,Potamothrix hammoniensis,40,6531
120000001_05.08.1986,120000001,5,8,1986,6621,Psammoryctides barbatus,6.666666667,6621
120000001_05.08.1986,120000001,5,8,1986,6669,Radix auricularia,20,6669
120000001_05.08.1986,120000001,5,8,1986,6823,Sialis sp.,53.33333333,6823
120000001_05.08.1986,120000001,5,8,1986,6905,Stagnicola palustris,6.666666667,6905
120000001_05.08.1986,120000001,5,8,1986,7143,Valvata macrostoma,26.66666667,7143
120000001_05.08.1986,120000001,5,8,1986,7144,Valvata piscinalis piscinalis,66.66666667,7144
120000001_05.08.1986,120000001,5,8,1986,7157,Viviparus contectus,6.666666667,7157
120000001_05.08.1986,120000001,5,8,1986,8429,Sphaeriidae Gen. sp.,313.3333333,8429
120000001_05.08.1986,120000001,5,8,1986,8668,Odonata Gen. sp.,20,8668
120000001_05.08.1986,120000001,5,8,1986,8670,Trichoptera Gen. sp.,46.66666667,8670
120000001_05.08.1986,120000001,5,8,1986,8691,Asellus aquaticus,600,8691
120000001_05.08.1986,120000001,5,8,1986,8736,Oligochaeta Gen. sp.,2286.666667,8736
120000001_05.08.1986,120000001,5,8,1986,8831,Turbellaria Gen. sp.,6.666666667,8831
120000001_05.08.1986,120000001,5,8,1986,8850,Centroptilum luteolum,20,8850
120000001_05.08.1986,120000001,5,8,1986,9664,Culicoides sp.,20,9664
120000001_05.08.1986,120000001,5,8,1986,16959,Radix balthica,13.33333333,16959
120000001_05.08.1986,120000001,5,8,1986,17645,Coleoptera Gen. sp.,20,
120000001_05.08.1986,120000001,5,8,1986,20453,Theodoxus fluviatilis fluviatilis,6.666666667,20453
120000001_05.08.1986,120000001,5,8,1986,16777,Sphaerium ovale,6.666666667,16777
120000001_14.07.1987,120000001,14,7,1987,4205,Acroloxus lacustris,240,4205
120000001_14.07.1987,120000001,14,7,1987,4377,Aulodrilus pluriseta,140,4377
120000001_14.07.1987,120000001,14,7,1987,4642,Chironomidae Gen. sp.,40,4642
120000001_14.07.1987,120000001,14,7,1987,4999,Dreissena polymorpha,2080,4999
120000001_14.07.1987,120000001,14,7,1987,5020,Dugesia polychroa,60,5020
