sample_id,site_id,day,month,year,taxon_id,taxon,abundance,listed in freshwaterecology.com
105000001_01.10.2015,105000001,1,10,2015,10540,Isopoda Gen. sp.,2,10540
105000001_01.10.2015,105000001,1,10,2015,10627,Araneae Gen. sp.,1,10627
105000001_01.10.2015,105000001,1,10,2015,11255,Curculionidae Gen. sp. Ad.,1,11255
105000001_01.10.2015,105000001,1,10,2015,12333,Gammarus fossarum/pulex,614,12333
105000001_01.10.2015,105000001,1,10,2015,13023,Hydropsyche pellucidula-Gr.,3,13023
105000001_01.10.2015,105000001,1,10,2015,14823,Nematocera Gen. sp.,7,14823
105000001_01.10.2015,105000001,1,10,2015,17779,Elmis sp.,52,
105000001_01.10.2015,105000001,1,10,2015,17822,Esolus sp.,71,
105000001_01.10.2015,105000001,1,10,2015,18419,Limnius sp.,23,
105000001_01.10.2015,105000001,1,10,2015,18626,Oulimnius sp.,15,
105000001_01.10.2015,105000001,1,10,2015,18650,Platambus sp.,2,
105000001_01.10.2015,105000001,1,10,2015,21218,Plectrocnemia conspersa,4,21218
105000001_01.10.2015,105000001,1,10,2015,21232,Athripsodes bilineatus,35,21232
105000001_01.10.2015,105000001,1,10,2015,21659,Polycentropus flavomaculatus,12,21659
105000001_01.10.2015,105000001,1,10,2015,4310,Ancylus fluviatilis,11,4310
105000001_01.10.2015,105000001,1,10,2015,4380,Baetidae Gen. sp.,17,4380
105000001_01.10.2015,105000001,1,10,2015,4419,Baetis sp.,107,4419
105000001_01.10.2015,105000001,1,10,2015,4531,Calopteryx sp.,3,4531
105000001_01.10.2015,105000001,1,10,2015,4585,Ceratopogonidae Gen. sp.,1,4585
105000001_01.10.2015,105000001,1,10,2015,4639,Cheumatopsyche lepida,1,4639
105000001_01.10.2015,105000001,1,10,2015,4642,Chironomidae Gen. sp.,203,4642
105000001_01.10.2015,105000001,1,10,2015,4989,Dixa sp.,4,4989
105000001_01.10.2015,105000001,1,10,2015,5053,Ecdyonurus sp.,12,5053
105000001_01.10.2015,105000001,1,10,2015,5119,Epeorus sp.,7,5119
105000001_01.10.2015,105000001,1,10,2015,5124,Ephemera danica,29,5124
105000001_01.10.2015,105000001,1,10,2015,5303,Gerris sp.,2,5303
105000001_01.10.2015,105000001,1,10,2015,5367,Habroleptoides confusa,24,5367
105000001_01.10.2015,105000001,1,10,2015,5531,Hydraena sp. Ad.,15,5531
105000001_01.10.2015,105000001,1,10,2015,5602,Hydropsyche saxonica,28,5602
105000001_01.10.2015,105000001,1,10,2015,5604,Hydropsyche siltalai,40,5604
105000001_01.10.2015,105000001,1,10,2015,5605,Hydropsyche sp.,2,5605
105000001_01.10.2015,105000001,1,10,2015,5790,Leuctra sp.,4,5790
105000001_01.10.2015,105000001,1,10,2015,6002,Micronecta sp.,24,6002
105000001_01.10.2015,105000001,1,10,2015,6108,Nemoura sp.,10,6108
105000001_01.10.2015,105000001,1,10,2015,6168,Odontocerum albicorne,1,6168
105000001_01.10.2015,105000001,1,10,2015,6308,Paraleptophlebia sp.,2,6308
105000001_01.10.2015,105000001,1,10,2015,6370,Perla marginata,1,6370
105000001_01.10.2015,105000001,1,10,2015,6377,Perlodes sp.,1,6377
105000001_01.10.2015,105000001,1,10,2015,6425,Pisidium sp.,24,6425
105000001_01.10.2015,105000001,1,10,2015,6447,Plectrocnemia sp.,16,6447
105000001_01.10.2015,105000001,1,10,2015,6469,Polycentropus irroratus,3,6469
105000001_01.10.2015,105000001,1,10,2015,6472,Polycentropus sp.,7,6472
105000001_01.10.2015,105000001,1,10,2015,6616,Protonemura sp.,1,6616
105000001_01.10.2015,105000001,1,10,2015,6673,Radix sp.,7,6673
105000001_01.10.2015,105000001,1,10,2015,6745,Rhithrogena semicolorata-Gr.,79,6745
105000001_01.10.2015,105000001,1,10,2015,6762,Rhyacophila dorsalis dorsalis,1,6762
105000001_01.10.2015,105000001,1,10,2015,6773,Rhyacophila obliterata,1,6773
105000001_01.10.2015,105000001,1,10,2015,6780,Rhyacophila sp.,2,6780
105000001_01.10.2015,105000001,1,10,2015,6818,Sericostoma sp.,2,6818
105000001_01.10.2015,105000001,1,10,2015,6823,Sialis sp.,2,6823
105000001_01.10.2015,105000001,1,10,2015,6834,Silo pallipes,19,6834
105000001_01.10.2015,105000001,1,10,2015,6835,Silo piceus,13,6835
105000001_01.10.2015,105000001,1,10,2015,6836,Silo sp.,30,6836
105000001_01.10.2015,105000001,1,10,2015,6842,Simuliidae Gen. sp.,11,6842
105000001_01.10.2015,105000001,1,10,2015,7068,Tinodes unicolor,7,7068
105000001_01.10.2015,105000001,1,10,2015,7083,Torleya major,10,7083
105000001_01.10.2015,105000001,1,10,2015,8251,Potamopyrgus antipodarum,44,8251
105000001_01.10.2015,105000001,1,10,2015,8478,Polycentropodidae Gen. sp.,4,8478
105000001_01.10.2015,105000001,1,10,2015,8483,Limoniidae Gen. sp.,27,8483
105000001_01.10.2015,105000001,1,10,2015,8485,Tabanidae Gen. sp.,1,8485
105000001_01.10.2015,105000001,1,10,2015,8487,Tipulidae Gen. sp.,1,8487
105000001_01.10.2015,105000001,1,10,2015,8736,Oligochaeta Gen. sp.,100,8736
105000001_01.10.2015,105000001,1,10,2015,8753,Psychodidae Gen. sp.,2,8753
105000001_01.10.2015,105000001,1,10,2015,8850,Centroptilum luteolum,14,8850
105000001_01.10.2015,105000001,1,10,2015,8852,Piscicolidae Gen. sp.,2,8852
105000001_01.10.2015,105000001,1,10,2015,9122,Orectochilus sp. Lv.,11,9122
105000001_01.10.2015,105000001,1,10,2015,9214,Theromyzon sp.,1,9214
105000001_01.10.2015,105000001,1,10,2015,9311,Sericostomatidae Gen. sp.,5,9311
105000001_01.10.2015,105000001,1,10,2015,9319,Ptychopteridae Gen. sp.,24,9319
105000001_01.10.2015,105000001,1,10,2015,9365,Dugesiidae Gen. sp.,5,9365
105000001_01.10.2015,105000001,1,10,2015,9600,Sciomyzidae Gen. sp.,1,9600
105000001_07.10.2016,105000001,7,10,2016,11745,Platambus sp. Ad.,3,11745
105000001_07.10.2016,105000001,7,10,2016,12072,Elmis sp. Ad.,8,12072
105000001_07.10.2016,105000001,7,10,2016,12093,Limnius sp. Ad.,2,12093
105000001_07.10.2016,105000001,7,10,2016,12333,Gammarus fossarum/pulex,810,12333
105000001_07.10.2016,105000001,7,10,2016,14823,Nematocera Gen. sp.,1,14823
105000001_07.10.2016,105000001,7,10,2016,20475,Rhyacophila dorsalis/nubila/pascoei/simulatrix/vulgaris,2,20475
105000001_07.10.2016,105000001,7,10,2016,21232,Athripsodes bilineatus,1,21232
105000001_07.10.2016,105000001,7,10,2016,21659,Polycentropus flavomaculatus,3,21659
105000001_07.10.2016,105000001,7,10,2016,4310,Ancylus fluviatilis,1,4310
105000001_07.10.2016,105000001,7,10,2016,4380,Baetidae Gen. sp.,14,4380
105000001_07.10.2016,105000001,7,10,2016,4419,Baetis sp.,223,4419
105000001_07.10.2016,105000001,7,10,2016,4642,Chironomidae Gen. sp.,32,4642
105000001_07.10.2016,105000001,7,10,2016,5021,Dugesia sp.,1,5021
105000001_07.10.2016,105000001,7,10,2016,5053,Ecdyonurus sp.,26,5053
105000001_07.10.2016,105000001,7,10,2016,5119,Epeorus sp.,7,5119
105000001_07.10.2016,105000001,7,10,2016,5124,Ephemera danica,16,5124
105000001_07.10.2016,105000001,7,10,2016,5303,Gerris sp.,1,5303
105000001_07.10.2016,105000001,7,10,2016,5367,Habroleptoides confusa,11,5367
105000001_07.10.2016,105000001,7,10,2016,5418,Elodes sp. Lv.,3,5418
105000001_07.10.2016,105000001,7,10,2016,5531,Hydraena sp. Ad.,4,5531
105000001_07.10.2016,105000001,7,10,2016,5602,Hydropsyche saxonica,83,5602
105000001_07.10.2016,105000001,7,10,2016,5604,Hydropsyche siltalai,6,5604
105000001_07.10.2016,105000001,7,10,2016,5605,Hydropsyche sp.,3,5605
105000001_07.10.2016,105000001,7,10,2016,5790,Leuctra sp.,3,5790
105000001_07.10.2016,105000001,7,10,2016,5853,Limnius sp. Lv.,1,5853
105000001_07.10.2016,105000001,7,10,2016,6108,Nemoura sp.,3,6108
105000001_07.10.2016,105000001,7,10,2016,6168,Odontocerum albicorne,2,6168
105000001_07.10.2016,105000001,7,10,2016,6200,Orectochilus villosus Lv.,9,6200
105000001_07.10.2016,105000001,7,10,2016,6308,Paraleptophlebia sp.,3,6308
105000001_07.10.2016,105000001,7,10,2016,6370,Perla marginata,4,6370
105000001_07.10.2016,105000001,7,10,2016,6425,Pisidium sp.,17,6425
105000001_07.10.2016,105000001,7,10,2016,6522,Potamophylax latipennis,1,6522
105000001_07.10.2016,105000001,7,10,2016,6616,Protonemura sp.,1,6616
105000001_07.10.2016,105000001,7,10,2016,6745,Rhithrogena semicolorata-Gr.,184,6745
105000001_07.10.2016,105000001,7,10,2016,6818,Sericostoma sp.,1,6818
105000001_07.10.2016,105000001,7,10,2016,6834,Silo pallipes,4,6834
105000001_07.10.2016,105000001,7,10,2016,6842,Simuliidae Gen. sp.,18,6842
105000001_07.10.2016,105000001,7,10,2016,6867,Siphonoperla sp.,1,6867
105000001_07.10.2016,105000001,7,10,2016,7083,Torleya major,2,7083
105000001_07.10.2016,105000001,7,10,2016,8251,Potamopyrgus antipodarum,2,8251
105000001_07.10.2016,105000001,7,10,2016,8483,Limoniidae Gen. sp.,7,8483
105000001_07.10.2016,105000001,7,10,2016,8736,Oligochaeta Gen. sp.,22,8736
105000001_07.10.2016,105000001,7,10,2016,9311,Sericostomatidae Gen. sp.,1,9311
105000001_14.10.2014,105000001,14,10,2014,11723,Colymbetinae Gen. sp. Lv.,2,11723
105000001_14.10.2014,105000001,14,10,2014,12072,Elmis sp. Ad.,17,12072
105000001_14.10.2014,105000001,14,10,2014,12084,Esolus sp. Ad.,13,12084
105000001_14.10.2014,105000001,14,10,2014,12093,Limnius sp. Ad.,1,12093
105000001_14.10.2014,105000001,14,10,2014,12333,Gammarus fossarum/pulex,1200,12333
