sample_id,site_id,day,month,year,taxon_id,taxon,abundance,listed in freshwaterecology.com,
111000040_16.10.2019,111000040,16,10,2019,20125,Ephemerella aurivillii,13,20125,
111000040_17.10.2014,111000040,17,10,2014,20125,Ephemerella aurivillii,6,20125,
111000040_19.10.2015,111000040,19,10,2015,20125,Ephemerella aurivillii,4,20125,
111000040_23.10.2017,111000040,23,10,2017,20125,Ephemerella aurivillii,12,20125,
111000040_25.10.2007,111000040,25,10,2007,20125,Ephemerella aurivillii,3,20125,
111000040_27.10.2011,111000040,27,10,2011,20125,Ephemerella aurivillii,3,20125,
111000040_29.10.2003,111000040,29,10,2003,20125,Ephemerella aurivillii,8,20125,
111000040_31.10.2005,111000040,31,10,2005,20125,Ephemerella aurivillii,3,20125,
111000041_16.10.2019,111000041,16,10,2019,20125,Ephemerella aurivillii,18,20125,
111000041_19.10.2015,111000041,19,10,2015,20125,Ephemerella aurivillii,4,20125,
111000041_23.10.2017,111000041,23,10,2017,20125,Ephemerella aurivillii,20,20125,
111000041_25.10.2007,111000041,25,10,2007,20125,Ephemerella aurivillii,16,20125,
111000041_27.10.2011,111000041,27,10,2011,20125,Ephemerella aurivillii,3,20125,
111000041_29.10.2009,111000041,29,10,2009,20125,Ephemerella aurivillii,2,20125,
111000041_31.10.2005,111000041,31,10,2005,20125,Ephemerella aurivillii,3,20125,
111000044_16.10.2019,111000044,16,10,2019,20125,Ephemerella aurivillii,9,20125,
111000044_17.10.2014,111000044,17,10,2014,20125,Ephemerella aurivillii,1,20125,
111000044_19.10.2015,111000044,19,10,2015,20125,Ephemerella aurivillii,7,20125,
111000044_23.10.2017,111000044,23,10,2017,20125,Ephemerella aurivillii,18,20125,
111000044_25.10.2007,111000044,25,10,2007,20125,Ephemerella aurivillii,5,20125,
111000044_27.10.2011,111000044,27,10,2011,20125,Ephemerella aurivillii,4,20125,
111000044_29.10.2003,111000044,29,10,2003,20125,Ephemerella aurivillii,28,20125,
111000044_29.10.2009,111000044,29,10,2009,20125,Ephemerella aurivillii,2,20125,
111000044_31.10.2005,111000044,31,10,2005,20125,Ephemerella aurivillii,15,20125,
111000046_16.10.2019,111000046,16,10,2019,20125,Ephemerella aurivillii,1,20125,
111000047_16.10.2019,111000047,16,10,2019,20125,Ephemerella aurivillii,5,20125,
111000047_17.10.2014,111000047,17,10,2014,20125,Ephemerella aurivillii,4,20125,
111000047_19.10.2015,111000047,19,10,2015,20125,Ephemerella aurivillii,13,20125,
111000047_23.10.2017,111000047,23,10,2017,20125,Ephemerella aurivillii,10,20125,
111000047_25.10.2007,111000047,25,10,2007,20125,Ephemerella aurivillii,3,20125,
111000047_27.10.2011,111000047,27,10,2011,20125,Ephemerella aurivillii,1,20125,
111000047_29.10.2003,111000047,29,10,2003,20125,Ephemerella aurivillii,3,20125,
111000047_31.10.2005,111000047,31,10,2005,20125,Ephemerella aurivillii,2,20125,
111000049_16.10.2019,111000049,16,10,2019,20125,Ephemerella aurivillii,1,20125,
111000049_19.10.2015,111000049,19,10,2015,20125,Ephemerella aurivillii,1,20125,
111000049_23.10.2017,111000049,23,10,2017,20125,Ephemerella aurivillii,2,20125,
111000052_16.10.2019,111000052,16,10,2019,20125,Ephemerella aurivillii,9,20125,
111000052_17.10.2014,111000052,17,10,2014,20125,Ephemerella aurivillii,1,20125,
111000052_19.10.2015,111000052,19,10,2015,20125,Ephemerella aurivillii,1,20125,
111000052_23.10.2017,111000052,23,10,2017,20125,Ephemerella aurivillii,6,20125,
111000057_01.11.2018,111000057,1,11,2018,20125,Ephemerella aurivillii,4,20125,
111000057_02.10.2020,111000057,2,10,2020,20125,Ephemerella aurivillii,4,20125,
111000057_03.11.2006,111000057,3,11,2006,20125,Ephemerella aurivillii,9,20125,
111000057_05.11.2008,111000057,5,11,2008,20125,Ephemerella aurivillii,5,20125,
111000057_13.11.2014,111000057,13,11,2014,20125,Ephemerella aurivillii,2,20125,
111000057_19.10.2016,111000057,19,10,2016,20125,Ephemerella aurivillii,4,20125,
111000057_24.10.2007,111000057,24,10,2007,20125,Ephemerella aurivillii,1,20125,
111000057_26.09.2012,111000057,26,9,2012,20125,Ephemerella aurivillii,8,20125,
111000057_26.10.2010,111000057,26,10,2010,20125,Ephemerella aurivillii,18,20125,
111000057_30.09.2004,111000057,30,9,2004,20125,Ephemerella aurivillii,1,20125,
111000058_30.09.2004,111000058,30,9,2004,20125,Ephemerella aurivillii,1,20125,
111000060_01.11.2018,111000060,1,11,2018,20125,Ephemerella aurivillii,4,20125,
111000060_02.10.2020,111000060,2,10,2020,20125,Ephemerella aurivillii,5,20125,
111000060_03.11.2006,111000060,3,11,2006,20125,Ephemerella aurivillii,1,20125,
111000060_13.11.2014,111000060,13,11,2014,20125,Ephemerella aurivillii,3,20125,
111000060_19.10.2016,111000060,19,10,2016,20125,Ephemerella aurivillii,3,20125,
111000060_26.09.2012,111000060,26,9,2012,20125,Ephemerella aurivillii,2,20125,
111000060_26.10.2010,111000060,26,10,2010,20125,Ephemerella aurivillii,3,20125,
111000061_01.11.2018,111000061,1,11,2018,20125,Ephemerella aurivillii,7,20125,
111000061_02.10.2020,111000061,2,10,2020,20125,Ephemerella aurivillii,10,20125,
111000061_05.11.2008,111000061,5,11,2008,20125,Ephemerella aurivillii,5,20125,
111000061_13.11.2014,111000061,13,11,2014,20125,Ephemerella aurivillii,16,20125,
111000061_19.10.2016,111000061,19,10,2016,20125,Ephemerella aurivillii,17,20125,
111000061_24.10.2007,111000061,24,10,2007,20125,Ephemerella aurivillii,1,20125,
111000061_26.09.2012,111000061,26,9,2012,20125,Ephemerella aurivillii,7,20125,
111000061_26.10.2010,111000061,26,10,2010,20125,Ephemerella aurivillii,15,20125,
111000061_29.10.2009,111000061,29,10,2009,20125,Ephemerella aurivillii,3,20125,
111000065_03.11.2006,111000065,3,11,2006,20125,Ephemerella aurivillii,1,20125,
111000008_01.10.2020,111000008,1,10,2020,11139,Siphonoperla burmeisteri,9,11139,
111000008_01.10.2020,111000008,1,10,2020,13624,Diura nanseni,1,13624,
111000008_01.10.2020,111000008,1,10,2020,17768,Elmis aenea,377,,
111000008_01.10.2020,111000008,1,10,2020,18421,Limnius volckmari,369,,
111000008_01.10.2020,111000008,1,10,2020,20151,Leuctra fusca-Gr.,34,20151,
111000008_01.10.2020,111000008,1,10,2020,21218,Plectrocnemia conspersa ssp.,16,21218,
111000008_01.10.2020,111000008,1,10,2020,21659,Polycentropus flavomaculatus ssp.,564,21659,
111000008_01.10.2020,111000008,1,10,2020,4253,Agapetus ochripes,163,4253,
111000008_01.10.2020,111000008,1,10,2020,4292,Amphinemura borealis,416,4292,
111000008_01.10.2020,111000008,1,10,2020,4295,Amphinemura sulcicollis,320,4295,
111000008_01.10.2020,111000008,1,10,2020,4331,Antocha vitripennis,14,4331,
111000008_01.10.2020,111000008,1,10,2020,4334,Apatania sp.,1,4334,
111000008_01.10.2020,111000008,1,10,2020,4415,Baetis rhodani,391,4415,
111000008_01.10.2020,111000008,1,10,2020,4419,Baetis sp.,175,4419,
111000008_01.10.2020,111000008,1,10,2020,4487,Brachyptera risi,40,4487,
111000008_01.10.2020,111000008,1,10,2020,4585,Ceratopogonidae Gen. sp.,2,4585,
111000008_01.10.2020,111000008,1,10,2020,4642,Chironomidae Gen. sp.,10046,4642,
111000008_01.10.2020,111000008,1,10,2020,4955,Dicranota sp.,26,4955,
