sample_id,site_id,day,month,year,taxon_id,taxon,abundance,listed in freshwaterecology.com
103000046_26.08.2013,103000046,26,8,2013,5063,Ecnomus sp.,3,5063
103000046_31.08.2015,103000046,31,8,2015,5063,Ecnomus sp.,2,5063
103000078_02.07.2009,103000078,2,7,2009,5063,Ecnomus sp.,2,5063
103000078_26.08.2008,103000078,26,8,2008,5063,Ecnomus sp.,1,5063
103000078_29.08.2013,103000078,29,8,2013,5063,Ecnomus sp.,1,5063
103000079_02.08.2007,103000079,2,8,2007,5063,Ecnomus sp.,1,5063
103000107_26.07.2012,103000107,26,7,2012,5063,Ecnomus sp.,2,5063
103000046_03.08.2009,103000046,3,8,2009,8978,Ephoron sp.,1,8978
103000046_26.08.2013,103000046,26,8,2013,8978,Ephoron sp.,1,8978
103000070_05.07.2011,103000070,5,7,2011,8978,Ephoron sp.,11,8978
103000070_08.07.2009,103000070,8,7,2009,8978,Ephoron sp.,404,8978
103000070_12.08.2013,103000070,12,8,2013,8978,Ephoron sp.,244,8978
103000070_14.07.2008,103000070,14,7,2008,8978,Ephoron sp.,463,8978
103000070_19.07.2010,103000070,19,7,2010,8978,Ephoron sp.,143,8978
103000070_20.08.2012,103000070,20,8,2012,8978,Ephoron sp.,2,8978
103000070_23.07.2015,103000070,23,7,2015,8978,Ephoron sp.,23,8978
103000070_27.08.2014,103000070,27,8,2014,8978,Ephoron sp.,1,8978
103000075_05.09.2013,103000075,5,9,2013,8978,Ephoron sp.,81,8978
103000075_09.08.2010,103000075,9,8,2010,8978,Ephoron sp.,1,8978
103000078_02.07.2009,103000078,2,7,2009,8978,Ephoron sp.,69,8978
103000078_25.08.2014,103000078,25,8,2014,8978,Ephoron sp.,2,8978
103000078_26.07.2007,103000078,26,7,2007,8978,Ephoron sp.,7,8978
103000078_26.08.2008,103000078,26,8,2008,8978,Ephoron sp.,2,8978
103000078_29.08.2013,103000078,29,8,2013,8978,Ephoron sp.,8,8978
103000079_02.08.2007,103000079,2,8,2007,8978,Ephoron sp.,3,8978
103000079_03.08.2009,103000079,3,8,2009,8978,Ephoron sp.,123,8978
103000079_06.07.2015,103000079,6,7,2015,8978,Ephoron sp.,1,8978
103000079_12.08.2010,103000079,12,8,2010,8978,Ephoron sp.,21,8978
103000079_12.08.2014,103000079,12,8,2014,8978,Ephoron sp.,487,8978
103000079_21.07.2008,103000079,21,7,2008,8978,Ephoron sp.,324,8978
103000079_27.08.2013,103000079,27,8,2013,8978,Ephoron sp.,45,8978
103000082_02.08.2007,103000082,2,8,2007,8978,Ephoron sp.,11,8978
103000082_03.08.2009,103000082,3,8,2009,8978,Ephoron sp.,23,8978
103000082_06.07.2015,103000082,6,7,2015,8978,Ephoron sp.,243,8978
103000082_09.08.2010,103000082,9,8,2010,8978,Ephoron sp.,403,8978
103000082_11.07.2011,103000082,11,7,2011,8978,Ephoron sp.,82,8978
103000082_12.08.2014,103000082,12,8,2014,8978,Ephoron sp.,83,8978
103000082_21.07.2008,103000082,21,7,2008,8978,Ephoron sp.,1927,8978
103000082_23.07.2012,103000082,23,7,2012,8978,Ephoron sp.,883,8978
103000082_28.08.2013,103000082,28,8,2013,8978,Ephoron sp.,11,8978
103000087_04.08.2009,103000087,4,8,2009,8978,Ephoron sp.,323,8978
103000087_08.07.2015,103000087,8,7,2015,8978,Ephoron sp.,83,8978
103000087_11.08.2010,103000087,11,8,2010,8978,Ephoron sp.,1203,8978
103000087_12.07.2011,103000087,12,7,2011,8978,Ephoron sp.,24,8978
103000087_12.08.2014,103000087,12,8,2014,8978,Ephoron sp.,322,8978
103000087_16.08.2007,103000087,16,8,2007,8978,Ephoron sp.,761,8978
103000087_21.07.2008,103000087,21,7,2008,8978,Ephoron sp.,121,8978
103000087_28.08.2013,103000087,28,8,2013,8978,Ephoron sp.,488,8978
103000100_01.08.2007,103000100,1,8,2007,8978,Ephoron sp.,1,8978
103000103_01.08.2012,103000103,1,8,2012,8978,Ephoron sp.,243,8978
103000103_06.08.2008,103000103,6,8,2008,8978,Ephoron sp.,143,8978
103000103_09.08.2007,103000103,9,8,2007,8978,Ephoron sp.,203,8978
103000103_10.09.2015,103000103,10,9,2015,8978,Ephoron sp.,2,8978
103000103_13.08.2009,103000103,13,8,2009,8978,Ephoron sp.,63,8978
103000103_13.08.2014,103000103,13,8,2014,8978,Ephoron sp.,243,8978
103000103_16.09.2013,103000103,16,9,2013,8978,Ephoron sp.,12,8978
103000103_17.08.2010,103000103,17,8,2010,8978,Ephoron sp.,564,8978
103000107_05.09.2013,103000107,5,9,2013,8978,Ephoron sp.,13,8978
103000107_07.09.2011,103000107,7,9,2011,8978,Ephoron sp.,10,8978
103000107_09.08.2010,103000107,9,8,2010,8978,Ephoron sp.,23,8978
103000107_16.09.2015,103000107,16,9,2015,8978,Ephoron sp.,6,8978
103000107_17.07.2014,103000107,17,7,2014,8978,Ephoron sp.,41,8978
103000107_26.07.2012,103000107,26,7,2012,8978,Ephoron sp.,208,8978
103000107_26.08.2008,103000107,26,8,2008,8978,Ephoron sp.,9,8978
103000123_15.07.2008,103000123,15,7,2008,8978,Ephoron sp.,162,8978
103000123_20.06.2007,103000123,20,6,2007,8978,Ephoron sp.,46,8978
103000123_20.07.2009,103000123,20,7,2009,8978,Ephoron sp.,67,8978
103000123_20.08.2015,103000123,20,8,2015,8978,Ephoron sp.,1,8978
103000123_21.08.2014,103000123,21,8,2014,8978,Ephoron sp.,21,8978
103000123_22.08.2011,103000123,22,8,2011,8978,Ephoron sp.,7,8978
103000123_23.08.2012,103000123,23,8,2012,8978,Ephoron sp.,13,8978
103000123_30.07.2013,103000123,30,7,2013,8978,Ephoron sp.,3,8978
103000177_29.07.2009,103000177,29,7,2009,8978,Ephoron sp.,1,8978
103000213_07.07.2009,103000213,7,7,2009,8978,Ephoron sp.,2,8978
103000213_11.07.2012,103000213,11,7,2012,8978,Ephoron sp.,1,8978
103000213_12.07.2007,103000213,12,7,2007,8978,Ephoron sp.,1,8978
103000213_29.07.2014,103000213,29,7,2014,8978,Ephoron sp.,1,8978
103000031_07.09.2010,103000031,7,9,2010,10323,Gammaridae Gen. sp.,22599,10323
103000031_07.09.2010,103000031,7,9,2010,10708,Procambarus sp.,12,10708
103000031_07.09.2010,103000031,7,9,2010,13667,Ancylidae Gen. sp.,11,
103000031_07.09.2010,103000031,7,9,2010,17861,Gyrinidae Gen. sp.,1,
103000031_07.09.2010,103000031,7,9,2010,4380,Baetidae Gen. sp.,365,4380
103000031_07.09.2010,103000031,7,9,2010,4642,Chironomidae Gen. sp.,122,4642
103000031_07.09.2010,103000031,7,9,2010,5162,Erpobdellidae Gen. sp.,6,5162
103000031_07.09.2010,103000031,7,9,2010,5458,Heptageniidae Gen. sp.,1,5458
103000031_07.09.2010,103000031,7,9,2010,6842,Simuliidae Gen. sp.,1,6842
103000031_07.09.2010,103000031,7,9,2010,7455,Hydroptilidae Gen. sp.,7,7455
103000031_07.09.2010,103000031,7,9,2010,7458,Glossiphoniidae Gen. sp.,11,7458
103000031_07.09.2010,103000031,7,9,2010,8416,Caenidae Gen. sp.,360,8416
103000031_07.09.2010,103000031,7,9,2010,8474,Hydropsychidae Gen. sp.,1213,8474
103000031_07.09.2010,103000031,7,9,2010,8485,Tabanidae Gen. sp.,2,8485
103000031_07.09.2010,103000031,7,9,2010,8654,Gerridae Gen. sp.,6,8654
103000031_07.09.2010,103000031,7,9,2010,8662,Physidae Gen. sp.,17,8662
103000031_07.09.2010,103000031,7,9,2010,8736,Oligochaeta Gen. sp.,10,8736
103000031_07.09.2010,103000031,7,9,2010,8846,Spongillidae Gen. sp.,1,8846
103000031_07.09.2010,103000031,7,9,2010,9295,Sisyridae Gen. sp.,3,9295
103000031_07.09.2010,103000031,7,9,2010,9365,Dugesiidae Gen. sp.,7,9365
103000031_07.09.2010,103000031,7,9,2010,9618,Hydrobiidae Gen. sp.,2166,9618
103000031_07.09.2010,103000031,7,9,2010,9691,Neritidae Gen. sp.,1108,9691
103000031_08.07.2008,103000031,8,7,2008,10323,Gammaridae Gen. sp.,18902,10323
103000031_08.07.2008,103000031,8,7,2008,17756,Dytiscidae Gen. sp.,1,
103000031_08.07.2008,103000031,8,7,2008,17861,Gyrinidae Gen. sp.,4,
103000031_08.07.2008,103000031,8,7,2008,4380,Baetidae Gen. sp.,484,4380
103000031_08.07.2008,103000031,8,7,2008,4642,Chironomidae Gen. sp.,2650,4642
103000031_08.07.2008,103000031,8,7,2008,6842,Simuliidae Gen. sp.,103,6842
103000031_08.07.2008,103000031,8,7,2008,8416,Caenidae Gen. sp.,22,8416
103000031_08.07.2008,103000031,8,7,2008,8474,Hydropsychidae Gen. sp.,884,8474
103000031_08.07.2008,103000031,8,7,2008,8492,Hydrometridae Gen. sp.,1,8492
103000031_08.07.2008,103000031,8,7,2008,8654,Gerridae Gen. sp.,4,8654
103000031_08.07.2008,103000031,8,7,2008,8736,Oligochaeta Gen. sp.,262,8736
103000031_08.07.2008,103000031,8,7,2008,9275,Atyidae Gen. sp.,11,9275
103000031_08.07.2008,103000031,8,7,2008,9599,Ephydridae Gen. sp.,82,9599
103000031_08.07.2008,103000031,8,7,2008,9618,Hydrobiidae Gen. sp.,501,9618
103000031_08.07.2008,103000031,8,7,2008,9691,Neritidae Gen. sp.,266,9691
103000031_08.07.2008,103000031,8,7,2008,9737,Anthomyiidae Gen. sp.,1,9737
103000031_09.08.2011,103000031,9,8,2011,10323,Gammaridae Gen. sp.,18090,10323
103000031_09.08.2011,103000031,9,8,2011,13667,Ancylidae Gen. sp.,327,
103000031_09.08.2011,103000031,9,8,2011,17861,Gyrinidae Gen. sp.,1,
103000031_09.08.2011,103000031,9,8,2011,4380,Baetidae Gen. sp.,1603,4380
103000031_09.08.2011,103000031,9,8,2011,4642,Chironomidae Gen. sp.,402,4642
103000031_09.08.2011,103000031,9,8,2011,5162,Erpobdellidae Gen. sp.,42,5162
