sample_id,site_id,day,month,year,taxon_id,taxon,abundance,listed in freshwaterecology.com,
103000711_13.08.2012,103000711,13,8,2012,5131,Ephemerella ignita,401,5131,
103000711_23.09.2013,103000711,23,9,2013,5131,Ephemerella ignita,8,5131,
103000711_25.09.2014,103000711,25,9,2014,5131,Ephemerella ignita,2,5131,
103000711_11.08.2015,103000711,11,8,2015,5131,Ephemerella ignita,42,5131,
103000711_04.08.2016,103000711,4,8,2016,5131,Ephemerella ignita,206,5131,
103000711_18.08.2017,103000711,18,8,2017,5131,Ephemerella ignita,37,5131,
103000711_28.08.2018,103000711,28,8,2018,5131,Ephemerella ignita,98,5131,
103000711_20.08.2019,103000711,20,8,2019,5131,Ephemerella ignita,35,5131,
103000712_13.08.2012,103000712,13,8,2012,5131,Ephemerella ignita,137,5131,
103000712_25.09.2013,103000712,25,9,2013,5131,Ephemerella ignita,23,5131,
103000712_24.09.2014,103000712,24,9,2014,5131,Ephemerella ignita,3,5131,
103000712_11.08.2015,103000712,11,8,2015,5131,Ephemerella ignita,5,5131,
103000712_04.08.2016,103000712,4,8,2016,5131,Ephemerella ignita,85,5131,
103000712_18.08.2017,103000712,18,8,2017,5131,Ephemerella ignita,19,5131,
103000712_29.08.2018,103000712,29,8,2018,5131,Ephemerella ignita,51,5131,
103000712_16.08.2019,103000712,16,8,2019,5131,Ephemerella ignita,53,5131,
103000713_14.08.2012,103000713,14,8,2012,5131,Ephemerella ignita,54,5131,
103000713_20.09.2013,103000713,20,9,2013,5131,Ephemerella ignita,24,5131,
103000713_29.09.2014,103000713,29,9,2014,5131,Ephemerella ignita,6,5131,
103000713_05.08.2015,103000713,5,8,2015,5131,Ephemerella ignita,8,5131,
103000713_01.08.2016,103000713,1,8,2016,5131,Ephemerella ignita,58,5131,
103000713_15.08.2017,103000713,15,8,2017,5131,Ephemerella ignita,78,5131,
103000713_22.08.2018,103000713,22,8,2018,5131,Ephemerella ignita,71,5131,
103000713_14.08.2019,103000713,14,8,2019,5131,Ephemerella ignita,24,5131,
103000714_07.08.2012,103000714,7,8,2012,5131,Ephemerella ignita,1,5131,
103000714_29.07.2016,103000714,29,7,2016,5131,Ephemerella ignita,4,5131,
103000714_30.08.2018,103000714,30,8,2018,5131,Ephemerella ignita,1,5131,
103000715_09.08.2012,103000715,9,8,2012,5131,Ephemerella ignita,35,5131,
103000715_10.08.2015,103000715,10,8,2015,5131,Ephemerella ignita,6,5131,
103000715_03.08.2016,103000715,3,8,2016,5131,Ephemerella ignita,9,5131,
103000715_17.08.2017,103000715,17,8,2017,5131,Ephemerella ignita,2,5131,
103000715_16.08.2019,103000715,16,8,2019,5131,Ephemerella ignita,2,5131,
103000716_10.08.2012,103000716,10,8,2012,5131,Ephemerella ignita,98,5131,
103000716_18.09.2013,103000716,18,9,2013,5131,Ephemerella ignita,53,5131,
103000716_17.09.2014,103000716,17,9,2014,5131,Ephemerella ignita,18,5131,
103000716_05.08.2015,103000716,5,8,2015,5131,Ephemerella ignita,88,5131,
103000716_01.08.2016,103000716,1,8,2016,5131,Ephemerella ignita,46,5131,
103000716_15.08.2017,103000716,15,8,2017,5131,Ephemerella ignita,26,5131,
103000716_22.08.2018,103000716,22,8,2018,5131,Ephemerella ignita,14,5131,
103000716_14.08.2019,103000716,14,8,2019,5131,Ephemerella ignita,22,5131,
103000717_20.09.2013,103000717,20,9,2013,5131,Ephemerella ignita,4,5131,
103000717_17.09.2014,103000717,17,9,2014,5131,Ephemerella ignita,3,5131,
103000717_05.08.2015,103000717,5,8,2015,5131,Ephemerella ignita,4,5131,
103000717_01.08.2016,103000717,1,8,2016,5131,Ephemerella ignita,11,5131,
103000717_15.08.2017,103000717,15,8,2017,5131,Ephemerella ignita,10,5131,
103000717_14.08.2019,103000717,14,8,2019,5131,Ephemerella ignita,2,5131,
103000718_07.08.2012,103000718,7,8,2012,5131,Ephemerella ignita,135,5131,
103000718_19.09.2013,103000718,19,9,2013,5131,Ephemerella ignita,12,5131,
103000718_19.09.2014,103000718,19,9,2014,5131,Ephemerella ignita,46,5131,
103000718_05.08.2015,103000718,5,8,2015,5131,Ephemerella ignita,20,5131,
103000718_01.08.2016,103000718,1,8,2016,5131,Ephemerella ignita,22,5131,
103000718_15.08.2017,103000718,15,8,2017,5131,Ephemerella ignita,13,5131,
