sample_id,site_id,day,month,year,taxon_id,taxon,abundance,listed in freshwaterecology.com,
104000001_29.09.2000,104000001,29,9,2000,20125,Ephemerella aurivillii,14.4,20125,
104000001_18.09.2001,104000001,18,9,2001,20125,Ephemerella aurivillii,12.6,20125,
104000001_27.09.2002,104000001,27,9,2002,20125,Ephemerella aurivillii,31.4,20125,
104000001_22.09.2003,104000001,22,9,2003,20125,Ephemerella aurivillii,9,20125,
104000001_16.09.2004,104000001,16,9,2004,20125,Ephemerella aurivillii,17.8,20125,
104000001_16.09.2005,104000001,16,9,2005,20125,Ephemerella aurivillii,12,20125,
104000001_13.09.2006,104000001,13,9,2006,20125,Ephemerella aurivillii,38.6,20125,
104000001_25.09.2007,104000001,25,9,2007,20125,Ephemerella aurivillii,4.8,20125,
104000001_23.09.2008,104000001,23,9,2008,20125,Ephemerella aurivillii,16.6,20125,
104000001_01.10.2009,104000001,1,10,2009,20125,Ephemerella aurivillii,21,20125,
104000001_13.09.2010,104000001,13,9,2010,20125,Ephemerella aurivillii,22.6,20125,
104000001_11.09.2011,104000001,11,9,2011,20125,Ephemerella aurivillii,22,20125,
104000001_12.09.2012,104000001,12,9,2012,20125,Ephemerella aurivillii,17.6,20125,
104000001_19.09.2013,104000001,19,9,2013,20125,Ephemerella aurivillii,11.6,20125,
104000001_17.09.2014,104000001,17,9,2014,20125,Ephemerella aurivillii,2.8,20125,
104000001_06.10.2016,104000001,6,10,2016,20125,Ephemerella aurivillii,9.4,20125,
104000001_05.10.2017,104000001,5,10,2017,20125,Ephemerella aurivillii,10,20125,
104000001_22.09.2018,104000001,22,9,2018,20125,Ephemerella aurivillii,36.2,20125,
104000001_24.09.2019,104000001,24,9,2019,20125,Ephemerella aurivillii,6,20125,
104000003_14.09.2007,104000003,14,9,2007,20125,Ephemerella aurivillii,0.2,20125,
104000003_15.09.2008,104000003,15,9,2008,20125,Ephemerella aurivillii,1.6,20125,
