sample_id,site_id,day,month,year,taxon_id,taxon,abundance,listed in freshwaterecology.com
104000038_20.10.2004,104000038,20,10,2004,20125,Ephemerella aurivillii,55,20125
104000038_03.09.2005,104000038,3,9,2005,20125,Ephemerella aurivillii,104,20125
104000038_16.09.2006,104000038,16,9,2006,20125,Ephemerella aurivillii,83,20125
104000038_25.09.2007,104000038,25,9,2007,20125,Ephemerella aurivillii,50,20125
104000038_16.09.2008,104000038,16,9,2008,20125,Ephemerella aurivillii,60,20125
104000038_19.09.2009,104000038,19,9,2009,20125,Ephemerella aurivillii,31,20125
104000038_04.09.2010,104000038,4,9,2010,20125,Ephemerella aurivillii,57,20125
104000038_04.10.2011,104000038,4,10,2011,20125,Ephemerella aurivillii,46,20125
104000038_13.09.2012,104000038,13,9,2012,20125,Ephemerella aurivillii,132,20125
104000038_15.09.2013,104000038,15,9,2013,20125,Ephemerella aurivillii,105,20125
104000038_15.09.2014,104000038,15,9,2014,20125,Ephemerella aurivillii,83,20125
104000038_13.09.2015,104000038,13,9,2015,20125,Ephemerella aurivillii,79,20125
104000038_09.09.2016,104000038,9,9,2016,20125,Ephemerella aurivillii,129,20125
104000038_17.09.2017,104000038,17,9,2017,20125,Ephemerella aurivillii,235,20125
104000038_11.09.2018,104000038,11,9,2018,20125,Ephemerella aurivillii,44,20125
104000038_20.09.2019,104000038,20,9,2019,20125,Ephemerella aurivillii,92,20125
104000043_21.10.2004,104000043,21,10,2004,20125,Ephemerella aurivillii,207,20125
104000043_11.09.2005,104000043,11,9,2005,20125,Ephemerella aurivillii,90,20125
104000043_20.09.2006,104000043,20,9,2006,20125,Ephemerella aurivillii,115,20125
104000043_27.09.2007,104000043,27,9,2007,20125,Ephemerella aurivillii,100,20125
104000043_19.09.2008,104000043,19,9,2008,20125,Ephemerella aurivillii,69,20125
104000043_22.09.2009,104000043,22,9,2009,20125,Ephemerella aurivillii,46,20125
104000043_19.09.2010,104000043,19,9,2010,20125,Ephemerella aurivillii,97,20125
104000043_02.10.2011,104000043,2,10,2011,20125,Ephemerella aurivillii,82,20125
104000043_24.09.2012,104000043,24,9,2012,20125,Ephemerella aurivillii,110,20125
104000043_24.09.2013,104000043,24,9,2013,20125,Ephemerella aurivillii,130,20125
104000043_22.09.2014,104000043,22,9,2014,20125,Ephemerella aurivillii,70,20125
104000043_16.09.2015,104000043,16,9,2015,20125,Ephemerella aurivillii,187,20125
104000043_05.09.2016,104000043,5,9,2016,20125,Ephemerella aurivillii,4,20125
104000043_08.09.2017,104000043,8,9,2017,20125,Ephemerella aurivillii,13,20125
104000043_07.09.2018,104000043,7,9,2018,20125,Ephemerella aurivillii,1,20125
104000043_08.09.2019,104000043,8,9,2019,20125,Ephemerella aurivillii,4,20125
104000051_21.10.2004,104000051,21,10,2004,20125,Ephemerella aurivillii,7,20125
104000051_11.09.2005,104000051,11,9,2005,20125,Ephemerella aurivillii,3,20125
104000051_20.09.2006,104000051,20,9,2006,20125,Ephemerella aurivillii,38,20125
104000051_27.09.2007,104000051,27,9,2007,20125,Ephemerella aurivillii,5,20125
104000051_22.09.2009,104000051,22,9,2009,20125,Ephemerella aurivillii,5,20125
104000051_19.09.2010,104000051,19,9,2010,20125,Ephemerella aurivillii,8,20125
104000051_02.10.2011,104000051,2,10,2011,20125,Ephemerella aurivillii,8,20125
104000051_24.09.2012,104000051,24,9,2012,20125,Ephemerella aurivillii,21,20125
104000051_24.09.2013,104000051,24,9,2013,20125,Ephemerella aurivillii,9,20125
104000051_22.09.2014,104000051,22,9,2014,20125,Ephemerella aurivillii,8,20125
104000051_16.09.2015,104000051,16,9,2015,20125,Ephemerella aurivillii,26,20125
104000051_05.09.2016,104000051,5,9,2016,20125,Ephemerella aurivillii,11,20125
104000051_08.09.2017,104000051,8,9,2017,20125,Ephemerella aurivillii,9,20125
104000051_07.09.2018,104000051,7,9,2018,20125,Ephemerella aurivillii,4,20125
104000051_09.09.2019,104000051,9,9,2019,20125,Ephemerella aurivillii,8,20125
104000063_10.09.2005,104000063,10,9,2005,20125,Ephemerella aurivillii,9,20125
104000063_21.09.2006,104000063,21,9,2006,20125,Ephemerella aurivillii,47,20125
104000063_28.09.2007,104000063,28,9,2007,20125,Ephemerella aurivillii,6,20125
104000063_18.09.2008,104000063,18,9,2008,20125,Ephemerella aurivillii,20,20125
104000063_21.09.2009,104000063,21,9,2009,20125,Ephemerella aurivillii,5,20125
104000063_18.09.2010,104000063,18,9,2010,20125,Ephemerella aurivillii,61,20125
104000063_01.10.2011,104000063,1,10,2011,20125,Ephemerella aurivillii,19,20125
104000063_23.09.2012,104000063,23,9,2012,20125,Ephemerella aurivillii,53,20125
104000063_23.09.2013,104000063,23,9,2013,20125,Ephemerella aurivillii,28,20125
104000063_21.09.2014,104000063,21,9,2014,20125,Ephemerella aurivillii,30,20125
104000063_04.09.2016,104000063,4,9,2016,20125,Ephemerella aurivillii,39,20125
104000063_07.09.2017,104000063,7,9,2017,20125,Ephemerella aurivillii,10,20125
104000063_06.09.2018,104000063,6,9,2018,20125,Ephemerella aurivillii,3,20125
104000063_30.09.2019,104000063,30,9,2019,20125,Ephemerella aurivillii,2,20125
104000069_16.06.1996,104000069,16,6,1996,20125,Ephemerella aurivillii,0.4,20125
104000069_17.06.1997,104000069,17,6,1997,20125,Ephemerella aurivillii,0.1,20125
104000069_01.06.2004,104000069,1,6,2004,20125,Ephemerella aurivillii,0.7,20125
104000069_08.06.2005,104000069,8,6,2005,20125,Ephemerella aurivillii,1.3,20125
104000069_06.06.2006,104000069,6,6,2006,20125,Ephemerella aurivillii,1.9,20125
104000071_21.09.2006,104000071,21,9,2006,20125,Ephemerella aurivillii,8,20125
104000071_28.09.2007,104000071,28,9,2007,20125,Ephemerella aurivillii,1,20125
104000071_18.09.2008,104000071,18,9,2008,20125,Ephemerella aurivillii,9,20125
104000071_21.09.2009,104000071,21,9,2009,20125,Ephemerella aurivillii,2,20125
104000071_18.09.2010,104000071,18,9,2010,20125,Ephemerella aurivillii,12,20125
104000071_01.10.2011,104000071,1,10,2011,20125,Ephemerella aurivillii,23,20125
104000071_23.09.2012,104000071,23,9,2012,20125,Ephemerella aurivillii,24,20125
104000071_23.09.2013,104000071,23,9,2013,20125,Ephemerella aurivillii,27,20125
104000071_21.09.2014,104000071,21,9,2014,20125,Ephemerella aurivillii,28,20125
104000071_15.09.2015,104000071,15,9,2015,20125,Ephemerella aurivillii,11,20125
104000071_04.09.2016,104000071,4,9,2016,20125,Ephemerella aurivillii,16,20125
104000071_07.09.2017,104000071,7,9,2017,20125,Ephemerella aurivillii,4,20125
104000071_06.09.2018,104000071,6,9,2018,20125,Ephemerella aurivillii,3,20125
104000071_30.09.2019,104000071,30,9,2019,20125,Ephemerella aurivillii,4,20125
104000073_23.10.2004,104000073,23,10,2004,20125,Ephemerella aurivillii,9,20125
104000073_02.09.2005,104000073,2,9,2005,20125,Ephemerella aurivillii,42,20125
104000073_19.09.2006,104000073,19,9,2006,20125,Ephemerella aurivillii,19,20125
104000073_21.09.2007,104000073,21,9,2007,20125,Ephemerella aurivillii,7,20125
104000073_21.09.2008,104000073,21,9,2008,20125,Ephemerella aurivillii,16,20125
104000073_23.09.2009,104000073,23,9,2009,20125,Ephemerella aurivillii,17,20125
104000073_07.09.2010,104000073,7,9,2010,20125,Ephemerella aurivillii,37,20125
104000073_09.09.2011,104000073,9,9,2011,20125,Ephemerella aurivillii,9,20125
104000073_18.09.2012,104000073,18,9,2012,20125,Ephemerella aurivillii,26,20125
104000073_17.09.2013,104000073,17,9,2013,20125,Ephemerella aurivillii,7,20125
104000073_17.09.2014,104000073,17,9,2014,20125,Ephemerella aurivillii,31,20125
104000073_12.09.2016,104000073,12,9,2016,20125,Ephemerella aurivillii,30,20125
104000073_13.09.2017,104000073,13,9,2017,20125,Ephemerella aurivillii,29,20125
104000073_14.09.2018,104000073,14,9,2018,20125,Ephemerella aurivillii,23,20125
104000073_13.09.2019,104000073,13,9,2019,20125,Ephemerella aurivillii,16,20125
104000084_20.10.2004,104000084,20,10,2004,20125,Ephemerella aurivillii,3,20125
104000084_03.09.2005,104000084,3,9,2005,20125,Ephemerella aurivillii,1,20125
104000084_16.09.2006,104000084,16,9,2006,20125,Ephemerella aurivillii,5,20125
104000084_25.09.2007,104000084,25,9,2007,20125,Ephemerella aurivillii,55,20125
104000084_16.09.2008,104000084,16,9,2008,20125,Ephemerella aurivillii,13,20125
104000084_18.09.2009,104000084,18,9,2009,20125,Ephemerella aurivillii,23,20125
104000084_04.09.2010,104000084,4,9,2010,20125,Ephemerella aurivillii,11,20125
104000084_04.10.2011,104000084,4,10,2011,20125,Ephemerella aurivillii,8,20125
104000084_13.09.2012,104000084,13,9,2012,20125,Ephemerella aurivillii,40,20125
104000084_15.09.2013,104000084,15,9,2013,20125,Ephemerella aurivillii,10,20125
104000084_15.09.2014,104000084,15,9,2014,20125,Ephemerella aurivillii,37,20125
104000084_12.09.2015,104000084,12,9,2015,20125,Ephemerella aurivillii,13,20125
104000084_17.09.2017,104000084,17,9,2017,20125,Ephemerella aurivillii,7,20125
104000084_11.09.2018,104000084,11,9,2018,20125,Ephemerella aurivillii,5,20125
104000084_20.09.2019,104000084,20,9,2019,20125,Ephemerella aurivillii,4,20125
104000090_14.09.2015,104000090,14,9,2015,20125,Ephemerella aurivillii,1,20125
104000092_01.06.2007,104000092,1,6,2007,20125,Ephemerella aurivillii,3,20125
104000092_22.05.2008,104000092,22,5,2008,20125,Ephemerella aurivillii,8,20125
104000092_02.06.2010,104000092,2,6,2010,20125,Ephemerella aurivillii,5,20125
104000092_08.06.2012,104000092,8,6,2012,20125,Ephemerella aurivillii,3,20125
104000092_08.06.2014,104000092,8,6,2014,20125,Ephemerella aurivillii,4,20125
104000092_02.06.2016,104000092,2,6,2016,20125,Ephemerella aurivillii,1,20125
104000092_18.06.2018,104000092,18,6,2018,20125,Ephemerella aurivillii,2,20125
104000095_07.06.1997,104000095,7,6,1997,20125,Ephemerella aurivillii,1,20125
104000095_05.06.1999,104000095,5,6,1999,20125,Ephemerella aurivillii,1,20125
104000095_09.06.2000,104000095,9,6,2000,20125,Ephemerella aurivillii,1,20125
104000103_02.10.2011,104000103,2,10,2011,20125,Ephemerella aurivillii,28.2,20125
104000103_25.09.2012,104000103,25,9,2012,20125,Ephemerella aurivillii,9,20125
104000103_24.09.2013,104000103,24,9,2013,20125,Ephemerella aurivillii,22.6,20125
104000103_22.09.2014,104000103,22,9,2014,20125,Ephemerella aurivillii,21.4,20125
104000103_16.09.2015,104000103,16,9,2015,20125,Ephemerella aurivillii,3,20125
