sample_id,site_id,day,month,year,taxon_id,taxon,abundance,listed in freshwaterecology.com,
118000004_10.03.2015,118000004,10,3,2015,5131,Ephemerella ignita,3,5131,
118000004_06.04.2018,118000004,6,4,2018,5131,Ephemerella ignita,4,5131,
118000004_16.03.1995,118000004,16,3,1995,4310,Ancylus fluviatilis,1,4310,
118000004_16.03.1995,118000004,16,3,1995,4415,Baetis rhodani,3,4415,
118000004_16.03.1995,118000004,16,3,1995,4642,Chironomidae Gen. sp.,10,4642,
118000004_16.03.1995,118000004,16,3,1995,4999,Dreissena polymorpha,3,4999,
118000004_16.03.1995,118000004,16,3,1995,5159,Erpobdella octoculata,3,5159,
118000004_16.03.1995,118000004,16,3,1995,5288,Gammarus fossarum,3,5288,
118000004_16.03.1995,118000004,16,3,1995,5359,Gyraulus sp.,3,5359,
118000004_16.03.1995,118000004,16,3,1995,5907,Lumbriculus variegatus,3,5907,
118000004_16.03.1995,118000004,16,3,1995,6395,Physa fontinalis,3,6395,
118000004_16.03.1995,118000004,16,3,1995,6882,Sphaerium corneum,3,6882,
118000004_16.03.1995,118000004,16,3,1995,7843,Simulium ornatum,40,7843,
118000004_16.03.1995,118000004,16,3,1995,8428,Lymnaeidae Gen. sp.,10,8428,
118000004_16.03.1995,118000004,16,3,1995,8487,Tipulidae Gen. sp.,1,8487,
118000004_16.03.1995,118000004,16,3,1995,8691,Asellus aquaticus,10,8691,
118000004_09.03.2000,118000004,9,3,2000,4415,Baetis rhodani,3,4415,
118000004_09.03.2000,118000004,9,3,2000,4487,Brachyptera risi,3,4487,
118000004_09.03.2000,118000004,9,3,2000,4642,Chironomidae Gen. sp.,40,4642,
118000004_09.03.2000,118000004,9,3,2000,4999,Dreissena polymorpha,1,4999,
118000004_09.03.2000,118000004,9,3,2000,5075,Eiseniella tetraedra,1,5075,
118000004_09.03.2000,118000004,9,3,2000,5288,Gammarus fossarum,1,5288,
118000004_09.03.2000,118000004,9,3,2000,5604,Hydropsyche siltalai,1,5604,
118000004_09.03.2000,118000004,9,3,2000,5605,Hydropsyche sp.,3,5605,
118000004_09.03.2000,118000004,9,3,2000,6853,Simulium sp.,160,6853,
118000004_09.03.2000,118000004,9,3,2000,6882,Sphaerium corneum,1,6882,
118000004_09.03.2000,118000004,9,3,2000,8691,Asellus aquaticus,1,8691,
118000004_09.03.2000,118000004,9,3,2000,18695,Riolus sp.,1,,
118000004_05.03.2004,118000004,5,3,2004,4415,Baetis rhodani,1,4415,
118000004_05.03.2004,118000004,5,3,2004,4531,Calopteryx sp.,1,4531,
118000004_05.03.2004,118000004,5,3,2004,4642,Chironomidae Gen. sp.,40,4642,
118000004_05.03.2004,118000004,5,3,2004,5075,Eiseniella tetraedra,1,5075,
118000004_05.03.2004,118000004,5,3,2004,5288,Gammarus fossarum,3,5288,
118000004_05.03.2004,118000004,5,3,2004,5605,Hydropsyche sp.,3,5605,
118000004_05.03.2004,118000004,5,3,2004,6853,Simulium sp.,40,6853,
118000004_05.03.2004,118000004,5,3,2004,6886,Sphaerium sp.,1,6886,
118000004_05.03.2004,118000004,5,3,2004,8487,Tipulidae Gen. sp.,3,8487,
118000004_05.03.2004,118000004,5,3,2004,8813,Nematoda Gen. sp.,3,,
118000004_05.03.2004,118000004,5,3,2004,16959,Radix balthica,1,16959,
118000004_05.03.2004,118000004,5,3,2004,18419,Limnius sp.,10,,
118000004_14.04.2011,118000004,14,4,2011,4335,Aphelocheirus aestivalis,7,4335,
118000004_14.04.2011,118000004,14,4,2011,4415,Baetis rhodani,47,4415,
118000004_14.04.2011,118000004,14,4,2011,4462,Bithynia tentaculata,14,4462,
118000004_14.04.2011,118000004,14,4,2011,4531,Calopteryx sp.,3,4531,
118000004_14.04.2011,118000004,14,4,2011,4642,Chironomidae Gen. sp.,46,4642,
118000004_14.04.2011,118000004,14,4,2011,4974,Dina punctata,1,4974,
118000004_14.04.2011,118000004,14,4,2011,4999,Dreissena polymorpha,23,4999,
118000004_14.04.2011,118000004,14,4,2011,5075,Eiseniella tetraedra,9,5075,
118000004_14.04.2011,118000004,14,4,2011,5291,Gammarus pulex,9,5291,
118000004_14.04.2011,118000004,14,4,2011,5331,Gomphus sp.,1,5331,
118000004_14.04.2011,118000004,14,4,2011,5605,Hydropsyche sp.,52,5605,
118000004_14.04.2011,118000004,14,4,2011,5809,Limnephilidae Gen. sp.,6,5809,
118000004_14.04.2011,118000004,14,4,2011,6396,Physella acuta,6,6396,
118000004_14.04.2011,118000004,14,4,2011,6591,Prosimulium sp.,16,6591,
118000004_14.04.2011,118000004,14,4,2011,6661,Psychomyia pusilla,7,6661,
118000004_14.04.2011,118000004,14,4,2011,6780,Rhyacophila sp.,11,6780,
118000004_14.04.2011,118000004,14,4,2011,6882,Sphaerium corneum,19,6882,
118000004_14.04.2011,118000004,14,4,2011,7455,Hydroptilidae Gen. sp.,26,7455,
118000004_14.04.2011,118000004,14,4,2011,7517,Dikerogammarus villosus,15,7517,
118000004_14.04.2011,118000004,14,4,2011,7744,Polycelis sp.,4,7744,
118000004_14.04.2011,118000004,14,4,2011,8251,Potamopyrgus antipodarum,10,8251,
118000004_14.04.2011,118000004,14,4,2011,8483,Limoniidae Gen. sp.,12,8483,
118000004_14.04.2011,118000004,14,4,2011,8691,Asellus aquaticus,3,8691,
118000004_14.04.2011,118000004,14,4,2011,9118,Onychogomphus sp.,1,9118,
118000004_14.04.2011,118000004,14,4,2011,10725,Ceratopogoninae Gen. sp.,9,10725,
118000004_14.04.2011,118000004,14,4,2011,18419,Limnius sp.,7,,
118000004_14.04.2011,118000004,14,4,2011,18722,Stenelmis canaliculata,20,,
118000004_14.04.2011,118000004,14,4,2011,19443,Valvata piscinalis ssp.,26,19443,
