sample_id,site_id,day,month,year,taxon_id,taxon,abundance,listed in freshwaterecology.com
109000384_22.05.2015,109000384,22,5,2015,5131,Ephemerella ignita,80,5131
109000384_04.05.2016,109000384,4,5,2016,5131,Ephemerella ignita,300,5131
109000384_20.04.2017,109000384,20,4,2017,5131,Ephemerella ignita,15,5131
109000386_16.04.2009,109000386,16,4,2009,5131,Ephemerella ignita,1,5131
109000386_17.05.2010,109000386,17,5,2010,5131,Ephemerella ignita,60,5131
109000386_14.03.2011,109000386,14,3,2011,5131,Ephemerella ignita,2,5131
109000386_17.03.2014,109000386,17,3,2014,5131,Ephemerella ignita,1,5131
109000386_13.03.2015,109000386,13,3,2015,5131,Ephemerella ignita,2,5131
109000386_11.05.2016,109000386,11,5,2016,5131,Ephemerella ignita,10,5131
109000386_21.03.2017,109000386,21,3,2017,5131,Ephemerella ignita,1,5131
109000387_04.05.2004,109000387,4,5,2004,5131,Ephemerella ignita,7,5131
109000387_26.05.2005,109000387,26,5,2005,5131,Ephemerella ignita,12,5131
109000387_07.04.2006,109000387,7,4,2006,5131,Ephemerella ignita,1,5131
109000387_25.05.2007,109000387,25,5,2007,5131,Ephemerella ignita,80,5131
109000387_20.05.2008,109000387,20,5,2008,5131,Ephemerella ignita,3,5131
109000387_30.03.2009,109000387,30,3,2009,5131,Ephemerella ignita,2,5131
109000387_07.03.2011,109000387,7,3,2011,5131,Ephemerella ignita,1,5131
109000387_27.03.2017,109000387,27,3,2017,5131,Ephemerella ignita,48,5131
109000389_12.05.1999,109000389,12,5,1999,5131,Ephemerella ignita,44,5131
109000389_18.04.2001,109000389,18,4,2001,5131,Ephemerella ignita,3,5131
109000389_05.05.2004,109000389,5,5,2004,5131,Ephemerella ignita,4,5131
109000389_28.04.2009,109000389,28,4,2009,5131,Ephemerella ignita,15,5131
109000389_06.04.2010,109000389,6,4,2010,5131,Ephemerella ignita,1,5131
109000390_12.03.2008,109000390,12,3,2008,5131,Ephemerella ignita,1,5131
109000390_19.04.2011,109000390,19,4,2011,5131,Ephemerella ignita,2,5131
109000390_20.03.2014,109000390,20,3,2014,5131,Ephemerella ignita,9,5131
109000390_08.05.2015,109000390,8,5,2015,5131,Ephemerella ignita,250,5131
109000390_04.05.2016,109000390,4,5,2016,5131,Ephemerella ignita,50,5131
109000390_23.05.2017,109000390,23,5,2017,5131,Ephemerella ignita,473,5131
109000392_08.03.2003,109000392,8,3,2003,5131,Ephemerella ignita,100,5131
109000392_16.04.2004,109000392,16,4,2004,5131,Ephemerella ignita,5,5131
109000392_05.04.2005,109000392,5,4,2005,5131,Ephemerella ignita,1,5131
109000392_28.05.2008,109000392,28,5,2008,5131,Ephemerella ignita,14,5131
109000392_13.03.2009,109000392,13,3,2009,5131,Ephemerella ignita,1,5131
109000392_04.04.2011,109000392,4,4,2011,5131,Ephemerella ignita,3,5131
109000392_23.04.2015,109000392,23,4,2015,5131,Ephemerella ignita,20,5131
109000392_11.05.2016,109000392,11,5,2016,5131,Ephemerella ignita,110,5131
109000393_29.05.2001,109000393,29,5,2001,5131,Ephemerella ignita,75,5131
109000393_19.04.2002,109000393,19,4,2002,5131,Ephemerella ignita,1,5131
109000393_20.05.2015,109000393,20,5,2015,5131,Ephemerella ignita,3,5131
109000393_24.05.2016,109000393,24,5,2016,5131,Ephemerella ignita,36,5131
109000394_19.04.2002,109000394,19,4,2002,5131,Ephemerella ignita,3,5131
109000394_08.03.2003,109000394,8,3,2003,5131,Ephemerella ignita,100,5131
109000394_05.05.2006,109000394,5,5,2006,5131,Ephemerella ignita,5,5131
109000394_28.05.2008,109000394,28,5,2008,5131,Ephemerella ignita,12,5131
109000394_13.03.2009,109000394,13,3,2009,5131,Ephemerella ignita,1,5131
109000394_15.03.2010,109000394,15,3,2010,5131,Ephemerella ignita,1,5131
109000394_04.04.2011,109000394,4,4,2011,5131,Ephemerella ignita,1,5131
109000394_20.03.2013,109000394,20,3,2013,5131,Ephemerella ignita,2,5131
109000394_23.04.2015,109000394,23,4,2015,5131,Ephemerella ignita,3,5131
109000394_11.05.2016,109000394,11,5,2016,5131,Ephemerella ignita,37,5131
109000394_04.04.2017,109000394,4,4,2017,5131,Ephemerella ignita,1,5131
109000395_28.05.2008,109000395,28,5,2008,5131,Ephemerella ignita,12,5131
109000395_23.04.2015,109000395,23,4,2015,5131,Ephemerella ignita,70,5131
