sample_id,site_id,day,month,year,taxon_id,taxon,abundance,listed in freshwaterecology.com,
109000419_23.10.2015,109000419,23,10,2015,5131,Ephemerella ignita,1,5131,
109000420_16.10.2015,109000420,16,10,2015,5131,Ephemerella ignita,1,5131,
109000420_24.10.2017,109000420,24,10,2017,5131,Ephemerella ignita,2,5131,
109000420_08.10.2019,109000420,8,10,2019,5131,Ephemerella ignita,3,5131,
109000421_09.10.2014,109000421,9,10,2014,5131,Ephemerella ignita,4,5131,
109000421_12.10.2015,109000421,12,10,2015,5131,Ephemerella ignita,1,5131,
109000421_14.10.2016,109000421,14,10,2016,5131,Ephemerella ignita,2,5131,
109000421_24.10.2017,109000421,24,10,2017,5131,Ephemerella ignita,9,5131,
109000421_24.10.2018,109000421,24,10,2018,5131,Ephemerella ignita,1,5131,
109000422_20.10.2014,109000422,20,10,2014,5131,Ephemerella ignita,1,5131,
109000422_30.09.2015,109000422,30,9,2015,5131,Ephemerella ignita,5,5131,
109000422_10.10.2016,109000422,10,10,2016,5131,Ephemerella ignita,18,5131,
109000422_23.10.2017,109000422,23,10,2017,5131,Ephemerella ignita,48,5131,
109000422_18.10.2018,109000422,18,10,2018,5131,Ephemerella ignita,1,5131,
109000422_15.10.2019,109000422,15,10,2019,5131,Ephemerella ignita,4,5131,
109000423_20.10.2014,109000423,20,10,2014,5131,Ephemerella ignita,27,5131,
109000423_10.10.2016,109000423,10,10,2016,5131,Ephemerella ignita,2,5131,
109000423_23.10.2017,109000423,23,10,2017,5131,Ephemerella ignita,1,5131,
109000423_18.10.2018,109000423,18,10,2018,5131,Ephemerella ignita,1,5131,
109000424_20.10.2014,109000424,20,10,2014,5131,Ephemerella ignita,6,5131,
109000424_23.10.2015,109000424,23,10,2015,5131,Ephemerella ignita,55,5131,
109000424_23.10.2017,109000424,23,10,2017,5131,Ephemerella ignita,8,5131,
109000424_11.10.2018,109000424,11,10,2018,5131,Ephemerella ignita,1,5131,
109000425_20.10.2014,109000425,20,10,2014,5131,Ephemerella ignita,22,5131,
109000425_27.10.2015,109000425,27,10,2015,5131,Ephemerella ignita,1,5131,
109000425_10.10.2016,109000425,10,10,2016,5131,Ephemerella ignita,6,5131,
109000425_23.10.2017,109000425,23,10,2017,5131,Ephemerella ignita,26,5131,
109000425_11.10.2018,109000425,11,10,2018,5131,Ephemerella ignita,1,5131,
109000426_27.10.2015,109000426,27,10,2015,5131,Ephemerella ignita,9,5131,
109000426_10.10.2016,109000426,10,10,2016,5131,Ephemerella ignita,2,5131,
